Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2023-2024,30,Real Madrid,es ESP,1. La Liga,1st,33,30,2709,30.1,1,0,1,1,0,0,7,0,1.5,1.5,1.2,2.6,17,88,1,0.03,0.00,0.03,0.03,0.03,0.05,0.04,0.09,0.05,0.09,Antonio Rüdiger,DF
2024-2025,31,Real Madrid,es ESP,1. La Liga,1st,19,18,1627,18.1,0,0,0,0,0,0,2,0,1.2,1.2,0.1,1.3,13,62,2,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.07,0.07,0.07,Antonio Rüdiger,DF
2015-2016,16,Monaco,fr FRA,1. Ligue 1,3rd,11,2,296,3.3,1,1,2,1,0,0,1,0,,,,,,,,0.30,0.30,0.61,0.30,0.61,,,,,,Kylian Mbappé,FW
2016-2017,17,Monaco,fr FRA,1. Ligue 1,1st,29,17,1498,16.6,15,7,22,15,0,0,2,0,,,,,,,,0.90,0.42,1.32,0.90,1.32,,,,,,Kylian Mbappé,FW
2017-2018,18,Monaco,fr FRA,1. Ligue 1,2nd,1,1,74,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,3,12,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Kylian Mbappé,FW
2017-2018,18,Paris S-G,fr FRA,1. Ligue 1,1st,27,24,2094,23.3,13,8,21,13,0,0,2,0,14.0,14.0,8.1,22.1,98,60,282,0.56,0.34,0.90,0.56,0.90,0.60,0.35,0.95,0.60,0.95,Kylian Mbappé,FW
2018-2019,19,Paris S-G,fr FRA,1. Ligue 1,1st,29,24,2343,26.0,33,7,40,32,1,2,5,1,28.0,26.4,5.4,31.8,114,97,311,1.27,0.27,1.54,1.23,1.50,1.08,0.21,1.28,1.01,1.22,Kylian Mbappé,FW
2019-2020,20,Paris S-G,fr FRA,1. Ligue 1,1st,20,17,1513,16.8,18,5,23,18,0,0,0,0,15.6,15.6,9.5,25.1,115,59,260,1.07,0.30,1.37,1.07,1.37,0.93,0.57,1.49,0.93,1.49,Kylian Mbappé,FW
2020-2021,21,Paris S-G,fr FRA,1. Ligue 1,2nd,31,27,2380,26.4,27,7,34,21,6,6,5,0,22.1,17.4,4.8,22.2,163,80,345,1.02,0.26,1.29,0.79,1.06,0.83,0.18,1.02,0.66,0.84,Kylian Mbappé,FW
2021-2022,22,Paris S-G,fr FRA,1. Ligue 1,1st,35,34,3023,33.6,28,17,45,24,4,4,10,0,23.8,20.7,12.6,33.4,210,107,449,0.83,0.51,1.34,0.71,1.22,0.71,0.38,1.08,0.62,0.99,Kylian Mbappé,FW
