Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2019-2020,20,Paris S-G,fr FRA,1. Ligue 1,1st,16.8,18,87,49,56.3,5.18,2.91,0.21,0.37,14.2,0,0,0,15.6,15.6,0.18,+2.4,+2.4,Kylian Mbappé,FW
2020-2021,21,Paris S-G,fr FRA,1. Ligue 1,2nd,26.4,27,98,47,48.0,3.71,1.78,0.21,0.45,15.4,2,6,6,22.1,17.4,0.18,+4.9,+3.6,Kylian Mbappé,FW
2021-2022,22,Paris S-G,fr FRA,1. Ligue 1,1st,33.6,28,143,59,41.3,4.26,1.76,0.17,0.41,16.9,3,4,4,23.8,20.7,0.14,+4.2,+3.3,Kylian Mbappé,FW
2022-2023,23,Paris S-G,fr FRA,1. Ligue 1,1st,31.3,29,144,73,50.7,4.60,2.33,0.18,0.36,15.9,1,3,5,26.3,22.2,0.15,+2.7,+3.8,Kylian Mbappé,FW
2023-2024,24,Paris S-G,fr FRA,1. Ligue 1,1st,24.0,27,112,50,44.6,4.67,2.09,0.19,0.42,18.3,2,6,8,21.0,14.5,0.13,+6.0,+6.5,Kylian Mbappé,FW
2024-2025,25,Real Madrid,es ESP,1. La Liga,1st,16.2,10,70,33,47.1,4.32,2.04,0.10,0.21,16.2,1,3,4,12.1,9.0,0.13,-2.1,-2.0,Kylian Mbappé,FW
2008-2009,16,Genk,be BEL,1. First Division,8th,1.0,0,,0,,,0.00,,,,,0,0,,,,,,Thibaut Courtois,GK
2010-2011,18,Genk,be BEL,1. Pro League,1st,40.0,0,,0,,,0.00,,,,,0,0,,,,,,Thibaut Courtois,GK
2011-2012,19,Atlético Madrid,es ESP,1. La Liga,5th,36.2,0,,0,,,0.00,,,,,0,0,,,,,,Thibaut Courtois,GK
2012-2013,20,Atlético Madrid,es ESP,1. La Liga,3rd,37.0,0,,0,,,0.00,,,,,0,0,,,,,,Thibaut Courtois,GK
2013-2014,21,Atlético Madrid,es ESP,1. La Liga,1st,37.0,0,,0,,,0.00,,,,,0,0,,,,,,Thibaut Courtois,GK
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,31.3,0,,0,,,0.00,,,,,0,0,,,,,,Thibaut Courtois,GK
2015-2016,23,Chelsea,eng ENG,1. Premier League,10th,22.4,0,,0,,,0.00,,,,,0,0,,,,,,Thibaut Courtois,GK
2016-2017,24,Chelsea,eng ENG,1. Premier League,1st,36.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Thibaut Courtois,GK
2017-2018,25,Chelsea,eng ENG,1. Premier League,5th,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Thibaut Courtois,GK
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,27.0,0,1,0,0.0,0.04,0.00,0.00,,11.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Thibaut Courtois,GK
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,34.0,0,1,1,100.0,0.03,0.03,0.00,0.00,11.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Thibaut Courtois,GK
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Thibaut Courtois,GK
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Thibaut Courtois,GK
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Thibaut Courtois,GK
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Thibaut Courtois,GK
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Thibaut Courtois,GK
