Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2011-2012,19,Atlético Madrid,es ESP,1. La Liga,5th,36.2,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2012-2013,20,Atlético Madrid,es ESP,1. La Liga,3rd,37.0,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2013-2014,21,Atlético Madrid,es ESP,1. La Liga,1st,37.0,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,31.3,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2015-2016,23,Chelsea,eng ENG,1. Premier League,10th,22.4,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2016-2017,24,Chelsea,eng ENG,1. Premier League,1st,36.0,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2017-2018,25,Chelsea,eng ENG,1. Premier League,5th,35.0,4,0.11,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Thibaut Courtois,GK
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,27.0,2,0.07,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Thibaut Courtois,GK
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,34.0,2,0.06,1,0,0,1,0,0,1,0.03,0,0,0,1,0,0,Thibaut Courtois,GK
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,38.0,4,0.11,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Thibaut Courtois,GK
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,36.0,3,0.08,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Thibaut Courtois,GK
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,31.0,5,0.16,2,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Thibaut Courtois,GK
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,3.7,1,0.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Thibaut Courtois,GK
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,16.0,1,0.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Thibaut Courtois,GK
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,7.8,7,0.89,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,12.3,17,1.38,14,0,0,1,1,1,1,0.08,0,0,0,0,1,0,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Monaco,fr FRA,1. Ligue 1,9th,0.7,4,5.54,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Aurélien Tchouaméni,"MF,DF"
2020-2021,20,Monaco,fr FRA,1. Ligue 1,3rd,34.0,56,1.65,41,0,1,9,4,1,9,0.26,8,0,0,0,1,0,Aurélien Tchouaméni,"MF,DF"
2021-2022,21,Monaco,fr FRA,1. Ligue 1,3rd,32.5,71,2.18,50,0,7,7,4,3,8,0.25,8,0,0,0,0,0,Aurélien Tchouaméni,"MF,DF"
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,23.5,63,2.67,53,1,2,3,3,1,12,0.51,11,0,0,0,1,0,Aurélien Tchouaméni,"MF,DF"
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,22.1,35,1.58,30,0,1,3,0,1,11,0.50,10,0,0,1,0,0,Aurélien Tchouaméni,"MF,DF"
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,14.2,21,1.48,21,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Aurélien Tchouaméni,"MF,DF"
2019-2020,16,Birmingham City,eng ENG,2. Championship,20th,29.9,87,2.91,52,8,9,9,6,3,7,0.23,3,2,0,2,0,0,Jude Bellingham,MF
2020-2021,17,Dortmund,de GER,1. Bundesliga,3rd,18.9,39,2.07,33,0,1,1,3,1,7,0.37,7,0,0,0,0,0,Jude Bellingham,MF
2021-2022,18,Dortmund,de GER,1. Bundesliga,2nd,31.0,104,3.35,72,0,13,5,11,3,17,0.55,11,0,2,0,2,2,Jude Bellingham,MF
2022-2023,19,Dortmund,de GER,1. Bundesliga,2nd,29.9,125,4.18,89,0,16,8,10,2,17,0.57,12,0,3,0,2,0,Jude Bellingham,MF
2023-2024,20,Real Madrid,es ESP,1. La Liga,1st,25.7,99,3.85,82,0,8,4,5,0,13,0.51,10,0,1,2,0,0,Jude Bellingham,MF
