Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2022-2023,23,Real Madrid,es ESP,1. La Liga,2nd,7,630,90,18.4,7.0,7,90,7,0,,30,1.86,14,7,+7,+1.00,-0.03,14.0,6.7,+7.4,+1.05,+0.11,Andriy Lunin,GK
2023-2024,24,Real Madrid,es ESP,1. La Liga,1st,21,1890,90,55.3,21.0,21,90,21,0,,17,2.52,52,17,+35,+1.67,+0.14,39.1,18.9,+20.2,+0.96,+0.19,Andriy Lunin,GK
2024-2025,25,Real Madrid,es ESP,1. La Liga,1st,3,270,90,15.8,3.0,3,90,3,0,,16,2.00,6,4,+2,+0.67,-0.71,5.0,3.7,+1.3,+0.42,-0.52,Andriy Lunin,GK
2024-2025,18,Real Madrid,es ESP,1. La Liga,1st,12,91,8,5.3,1.0,0,,0,12,8,7,2.25,3,3,0,0.00,-1.33,2.0,1.5,+0.4,+0.40,-0.49,Endrick,FW
2014-2015,17,Zaragoza,es ESP,2. La Liga 2,6th,29,2315,80,61.2,25.7,25,,21,4,,3,1.47,36,29,+7,+0.27,+0.52,,,,,,Jesús Vallejo,DF
2015-2016,18,Zaragoza,es ESP,2. La Liga 2,8th,20,1683,84,44.5,18.7,19,,17,1,,3,1.60,22,17,+5,+0.27,+0.22,,,,,,Jesús Vallejo,DF
2016-2017,19,Eint Frankfurt,de GER,1. Bundesliga,11th,25,2057,82,67.2,22.9,22,,21,3,,0,1.48,27,23,+4,+0.18,+1.16,,,,,,Jesús Vallejo,DF
2017-2018,20,Real Madrid,es ESP,1. La Liga,3rd,7,630,90,18.4,7.0,7,90,7,0,,9,2.57,20,7,+13,+1.86,+0.66,19.0,8.0,+10.9,+1.56,+0.55,Jesús Vallejo,DF
2018-2019,21,Real Madrid,es ESP,1. La Liga,3rd,5,311,62,9.1,3.5,4,77,3,1,2,9,1.80,7,4,+3,+0.87,+0.46,6.0,4.1,+1.9,+0.55,+0.04,Jesús Vallejo,DF
2019-2020,22,Wolves,eng ENG,1. Premier League,7th,2,163,82,4.8,1.8,1,90,1,1,73,10,0.50,3,6,-3,-1.66,-2.04,2.6,4.0,-1.4,-0.80,-1.28,Jesús Vallejo,DF
2019-2020,22,Granada,es ESP,1. La Liga,7th,11,629,57,18.4,7.0,7,87,6,4,6,4,1.55,10,6,+4,+0.57,+0.48,6.8,8.4,-1.6,-0.23,-0.35,Jesús Vallejo,DF
2020-2021,23,Granada,es ESP,1. La Liga,9th,21,1348,64,39.4,15.0,15,82,10,6,19,4,1.29,16,23,-7,-0.47,+0.01,16.3,23.7,-7.4,-0.49,-0.16,Jesús Vallejo,DF
2021-2022,24,Real Madrid,es ESP,1. La Liga,1st,5,341,68,10.0,3.8,4,83,3,1,8,26,2.00,11,2,+9,+2.38,+1.21,7.7,7.0,+0.6,+0.17,-0.62,Jesús Vallejo,DF
2022-2023,25,Real Madrid,es ESP,1. La Liga,2nd,1,22,22,0.6,0.2,0,,0,1,22,35,3.00,2,0,+2,+8.18,+7.20,1.2,0.1,+1.1,+4.47,+3.53,Jesús Vallejo,DF
2023-2024,26,Granada,es ESP,1. La Liga,20th,3,108,36,3.2,1.2,1,90,1,2,9,1,1.33,1,4,-3,-2.50,-1.47,1.6,3.2,-1.6,-1.31,-0.77,Jesús Vallejo,DF
2024-2025,27,Real Madrid,es ESP,1. La Liga,1st,1,11,11,0.6,0.1,0,,0,1,11,15,3.00,0,2,-2,-16.36,-17.74,0.1,0.4,-0.4,-3.03,-3.92,Jesús Vallejo,DF
2024-2025,17,Real Madrid,es ESP,1. La Liga,1st,1,2,2,0.1,0.0,0,,0,1,2,0,3.0,0,0,0,0.0,-1.26,0.0,0.0,0.0,0.0,-0.86,Daniel Yáñez,FW
2023-2024,19,Real Madrid,es ESP,1. La Liga,1st,2,19.0,10.0,0.6,0.2,0,,0,2,10.0,4,3.0,0.0,0.0,0.0,0.0,-1.61,0.3,0.3,0.0,-0.13,-1.02,Gonzalo García,MF
2024-2025,20,Real Madrid,es ESP,1. La Liga,1st,0,,,,,0,,0,0,,1,,,,,,,,,,,,Gonzalo García,MF
