Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2013-2014,21,Atlético Madrid,es ESP,1. La Liga,1st,37.0,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,31.3,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2015-2016,23,Chelsea,eng ENG,1. Premier League,10th,22.4,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2016-2017,24,Chelsea,eng ENG,1. Premier League,1st,36.0,,,,,,,0,,,,,,,,,Thibaut Courtois,GK
2017-2018,25,Chelsea,eng ENG,1. Premier League,5th,35.0,1202,897,300,52,0,0,0,0,0,0,0,0,903,5,1,Thibaut Courtois,GK
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,27.0,841,592,247,63,0,1,0,0,0,0,0,0,651,2,1,Thibaut Courtois,GK
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,34.0,1086,798,284,67,0,1,0,0,0,0,0,0,861,4,1,Thibaut Courtois,GK
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,38.0,1323,1026,295,59,0,5,0,1,0,0,0,0,1087,2,1,Thibaut Courtois,GK
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,36.0,1137,897,238,39,0,3,0,0,0,0,0,0,936,2,0,Thibaut Courtois,GK
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,31.0,1136,942,192,40,0,3,0,0,0,0,0,0,980,2,1,Thibaut Courtois,GK
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,3.7,123,103,20,2,0,1,0,0,0,0,0,0,113,0,0,Thibaut Courtois,GK
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,16.0,597,507,89,13,0,2,0,0,0,0,0,0,512,1,0,Thibaut Courtois,GK
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,7.8,281,273,7,7,0,3,1,0,0,0,0,0,224,1,7,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,12.3,696,679,15,15,1,3,1,0,0,0,0,0,589,2,12,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Monaco,fr FRA,1. Ligue 1,9th,0.7,24,22,2,2,0,0,0,0,0,0,0,0,21,0,1,Aurélien Tchouaméni,"MF,DF"
2020-2021,20,Monaco,fr FRA,1. Ligue 1,3rd,34.0,1860,1818,39,36,4,29,29,2,1,0,1,0,1516,3,30,Aurélien Tchouaméni,"MF,DF"
2021-2022,21,Monaco,fr FRA,1. Ligue 1,3rd,32.5,2091,2020,64,62,6,13,17,2,0,0,0,0,1795,7,24,Aurélien Tchouaméni,"MF,DF"
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,23.5,1700,1657,41,40,7,7,12,1,0,0,0,0,1578,2,9,Aurélien Tchouaméni,"MF,DF"
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,22.1,1520,1461,53,49,1,4,22,2,0,0,0,0,1377,6,9,Aurélien Tchouaméni,"MF,DF"
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,14.2,1031,993,37,26,0,6,3,3,0,0,0,0,956,1,8,Aurélien Tchouaméni,"MF,DF"
2019-2020,16,Birmingham City,eng ENG,2. Championship,20th,29.9,1081,996,76,33,1,7,85,2,34,16,9,4,756,9,32,Jude Bellingham,MF
2020-2021,17,Dortmund,de GER,1. Bundesliga,3rd,18.9,1049,1022,22,15,3,6,20,2,0,0,0,0,866,5,23,Jude Bellingham,MF
2021-2022,18,Dortmund,de GER,1. Bundesliga,2nd,31.0,1517,1475,33,23,12,18,14,9,1,0,0,0,1256,9,25,Jude Bellingham,MF
2022-2023,19,Dortmund,de GER,1. Bundesliga,2nd,29.9,1643,1583,55,34,9,30,33,17,1,0,0,0,1342,5,37,Jude Bellingham,MF
2023-2024,20,Real Madrid,es ESP,1. La Liga,1st,25.7,1543,1490,43,18,18,14,21,12,1,1,0,0,1363,10,25,Jude Bellingham,MF
2024-2025,21,Real Madrid,es ESP,1. La Liga,1st,13.7,757,724,25,11,8,6,9,7,0,0,0,0,649,8,11,Jude Bellingham,MF
2018-2019,18,Real Madrid,es ESP,1. La Liga,3rd,9.7,309,302,6,1,4,0,21,2,2,0,0,0,224,1,13,Vinicius Júnior,FW
2019-2020,19,Real Madrid,es ESP,1. La Liga,1st,15.2,537,530,5,2,1,1,30,3,0,0,0,0,413,2,27,Vinicius Júnior,FW
2020-2021,20,Real Madrid,es ESP,1. La Liga,2nd,21.9,795,775,17,2,2,4,39,14,1,0,0,0,657,3,18,Vinicius Júnior,FW
2021-2022,21,Real Madrid,es ESP,1. La Liga,1st,29.9,1289,1263,20,5,5,12,44,9,5,0,0,0,1075,6,35,Vinicius Júnior,FW
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,31.4,1153,1107,41,8,5,10,64,24,7,0,0,0,883,5,61,Vinicius Júnior,FW
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,20.7,690,663,22,4,10,22,56,7,5,0,0,0,499,5,34,Vinicius Júnior,FW
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,13.1,452,434,14,3,6,9,30,5,4,0,0,0,336,4,26,Vinicius Júnior,FW
2019-2020,18,Real Madrid,es ESP,1. La Liga,1st,11.3,504,491,11,0,0,3,38,10,1,0,0,0,419,2,11,Rodrygo,FW
2020-2021,19,Real Madrid,es ESP,1. La Liga,2nd,10.9,420,410,8,0,1,1,24,6,2,2,0,0,333,2,16,Rodrygo,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,16.9,682,635,41,3,1,1,41,9,27,5,10,0,555,6,18,Rodrygo,FW
2022-2023,21,Real Madrid,es ESP,1. La Liga,2nd,26.4,1050,991,51,6,2,6,22,9,18,3,2,0,918,8,24,Rodrygo,FW
2023-2024,22,Real Madrid,es ESP,1. La Liga,1st,26.4,1007,961,42,6,3,1,32,10,13,1,6,0,883,4,17,Rodrygo,FW
2024-2025,23,Real Madrid,es ESP,1. La Liga,1st,11.6,556,496,58,12,1,0,41,9,33,11,16,0,474,2,9,Rodrygo,FW
2012-2013,21,Real Madrid B,es ESP,2. La Liga 2,8th,9.1,,,,,,,,,,,,,,,,Lucas Vázquez,DF
2013-2014,22,Real Madrid B,es ESP,2. La Liga 2,20th,39.5,,,,,,,,,,,,,,,,Lucas Vázquez,DF
2014-2015,23,Espanyol,es ESP,1. La Liga,10th,30.5,,,,,,,,,,,,,,,,Lucas Vázquez,DF
2015-2016,24,Real Madrid,es ESP,1. La Liga,2nd,13.8,,,,,,,63,,,,,,,,,Lucas Vázquez,DF
2016-2017,25,Real Madrid,es ESP,1. La Liga,1st,15.6,,,,,,,80,,,,,,,,,Lucas Vázquez,DF
2017-2018,26,Real Madrid,es ESP,1. La Liga,3rd,18.7,1014,961,46,7,2,18,91,19,20,3,11,0,818,7,35,Lucas Vázquez,DF
2018-2019,27,Real Madrid,es ESP,1. La Liga,3rd,16.8,967,929,34,5,3,13,63,25,4,0,2,0,774,4,33,Lucas Vázquez,DF
2019-2020,28,Real Madrid,es ESP,1. La Liga,1st,9.4,576,533,41,2,2,5,47,36,3,0,3,0,456,2,8,Lucas Vázquez,DF
2020-2021,29,Real Madrid,es ESP,1. La Liga,2nd,20.5,1448,1310,134,8,0,20,96,125,1,0,0,0,1215,4,28,Lucas Vázquez,DF
2021-2022,30,Real Madrid,es ESP,1. La Liga,1st,20.4,1537,1391,142,22,1,29,75,116,4,0,3,0,1327,4,13,Lucas Vázquez,DF
2022-2023,31,Real Madrid,es ESP,1. La Liga,2nd,12.7,936,826,106,14,2,5,41,92,0,0,0,0,808,4,14,Lucas Vázquez,DF
2023-2024,32,Real Madrid,es ESP,1. La Liga,1st,15.8,1085,952,132,10,5,7,47,120,2,0,1,0,930,1,17,Lucas Vázquez,DF
2024-2025,33,Real Madrid,es ESP,1. La Liga,1st,10.8,722,622,99,13,1,3,30,75,11,3,5,0,628,1,12,Lucas Vázquez,DF
2018-2019,20,Porto,pt POR,1. Primeira Liga,2nd,28.9,1636,1496,138,63,1,24,22,75,0,0,0,0,1317,2,15,Éder Militão,DF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,11.4,694,652,41,21,1,7,2,20,0,0,0,0,602,1,9,Éder Militão,DF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,12.6,791,768,21,12,0,13,2,9,0,0,0,0,714,2,2,Éder Militão,DF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,33.7,2037,1905,120,57,5,28,11,21,0,0,0,0,1801,12,18,Éder Militão,DF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,30.0,1881,1756,123,52,2,40,12,25,0,0,0,0,1660,2,20,Éder Militão,DF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,5.5,329,308,20,10,0,8,1,1,0,0,0,0,297,1,2,Éder Militão,DF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,10.4,712,676,34,19,0,15,2,2,0,0,0,0,636,2,3,Éder Militão,DF
