Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2012-2013,20,Atlético Madrid,es ESP,1. La Liga,3rd,37.0,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2013-2014,21,Atlético Madrid,es ESP,1. La Liga,1st,37.0,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,31.3,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2015-2016,23,Chelsea,eng ENG,1. Premier League,10th,22.4,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2016-2017,24,Chelsea,eng ENG,1. Premier League,1st,36.0,,0,,,,,,,,,,,0,,,,Thibaut Courtois,GK
2017-2018,25,Chelsea,eng ENG,1. Premier League,5th,35.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,1,Thibaut Courtois,GK
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,27.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,5,0,Thibaut Courtois,GK
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,34.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,18,2,Thibaut Courtois,GK
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,38.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,17,2,Thibaut Courtois,GK
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,36.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,9,1,Thibaut Courtois,GK
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,31.0,1,0,1,0,0,1,1,100.0,0,0,0,0,3,4,7,1,Thibaut Courtois,GK
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,3.7,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Thibaut Courtois,GK
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,16.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,1,Thibaut Courtois,GK
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,7.8,24,12,10,14,0,7,18,38.9,11,11,5,6,21,45,14,0,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,12.3,30,14,15,13,2,11,27,40.7,16,11,3,8,13,43,19,1,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Monaco,fr FRA,1. Ligue 1,9th,0.7,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,1,Aurélien Tchouaméni,"MF,DF"
2020-2021,20,Monaco,fr FRA,1. Ligue 1,3rd,34.0,127,68,47,62,18,48,92,52.2,44,39,11,28,60,187,47,0,Aurélien Tchouaméni,"MF,DF"
2021-2022,21,Monaco,fr FRA,1. Ligue 1,3rd,32.5,86,45,33,49,4,29,55,52.7,26,39,7,32,101,187,34,0,Aurélien Tchouaméni,"MF,DF"
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,23.5,64,40,23,36,5,23,38,60.5,15,20,6,14,49,113,50,0,Aurélien Tchouaméni,"MF,DF"
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,22.1,38,23,19,17,2,9,18,50.0,9,21,13,8,28,66,52,1,Aurélien Tchouaméni,"MF,DF"
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,14.2,25,12,11,13,1,10,20,50.0,10,11,9,2,24,49,22,0,Aurélien Tchouaméni,"MF,DF"
2019-2020,16,Birmingham City,eng ENG,2. Championship,20th,29.9,90,57,40,35,15,33,68,48.5,35,50,3,47,30,120,41,0,Jude Bellingham,MF
2020-2021,17,Dortmund,de GER,1. Bundesliga,3rd,18.9,49,31,11,29,9,19,46,41.3,27,37,5,32,24,73,13,0,Jude Bellingham,MF
2021-2022,18,Dortmund,de GER,1. Bundesliga,2nd,31.0,52,34,15,31,6,21,53,39.6,32,50,4,46,42,94,32,0,Jude Bellingham,MF
2022-2023,19,Dortmund,de GER,1. Bundesliga,2nd,29.9,76,42,28,34,14,34,51,66.7,17,51,4,47,35,111,30,0,Jude Bellingham,MF
2023-2024,20,Real Madrid,es ESP,1. La Liga,1st,25.7,42,34,14,18,10,12,36,33.3,24,55,5,50,21,63,17,0,Jude Bellingham,MF
2024-2025,21,Real Madrid,es ESP,1. La Liga,1st,13.7,29,16,12,12,5,14,20,70.0,6,21,2,19,16,45,13,0,Jude Bellingham,MF
2018-2019,18,Real Madrid,es ESP,1. La Liga,3rd,9.7,10,6,3,6,1,3,16,18.8,13,6,1,5,7,17,1,0,Vinicius Júnior,FW
2019-2020,19,Real Madrid,es ESP,1. La Liga,1st,15.2,26,16,13,8,5,8,32,25.0,24,14,0,14,3,29,2,0,Vinicius Júnior,FW
2020-2021,20,Real Madrid,es ESP,1. La Liga,2nd,21.9,32,22,14,10,8,11,43,25.6,32,28,0,28,7,39,4,0,Vinicius Júnior,FW
2021-2022,21,Real Madrid,es ESP,1. La Liga,1st,29.9,46,24,23,19,4,15,50,30.0,35,25,0,25,6,52,6,0,Vinicius Júnior,FW
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,31.4,30,21,10,12,8,14,39,35.9,25,24,1,23,6,36,1,0,Vinicius Júnior,FW
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,20.7,18,13,5,5,8,3,12,25.0,9,13,0,13,1,19,3,2,Vinicius Júnior,FW
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,13.1,15,8,4,3,8,3,8,37.5,5,5,0,5,0,15,1,1,Vinicius Júnior,FW
2019-2020,18,Real Madrid,es ESP,1. La Liga,1st,11.3,6,1,2,3,1,2,21,9.5,19,13,0,13,10,16,5,0,Rodrygo,FW
2020-2021,19,Real Madrid,es ESP,1. La Liga,2nd,10.9,15,6,10,4,1,2,17,11.8,15,15,0,15,7,22,4,0,Rodrygo,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,16.9,18,14,7,4,7,3,18,16.7,15,21,0,21,11,29,3,0,Rodrygo,FW
2022-2023,21,Real Madrid,es ESP,1. La Liga,2nd,26.4,17,10,3,7,7,4,23,17.4,19,23,0,23,8,25,5,0,Rodrygo,FW
2023-2024,22,Real Madrid,es ESP,1. La Liga,1st,26.4,16,15,2,9,5,5,19,26.3,14,14,0,14,8,24,6,0,Rodrygo,FW
2024-2025,23,Real Madrid,es ESP,1. La Liga,1st,11.6,9,7,6,2,1,4,15,26.7,11,12,1,11,3,12,4,0,Rodrygo,FW
2012-2013,21,Real Madrid B,es ESP,2. La Liga 2,8th,9.1,,,,,,,,,,,,,,,,,Lucas Vázquez,DF
2013-2014,22,Real Madrid B,es ESP,2. La Liga 2,20th,39.5,,,,,,,,,,,,,,,,,Lucas Vázquez,DF
2014-2015,23,Espanyol,es ESP,1. La Liga,10th,30.5,,,,,,,,,,,,,,,,,Lucas Vázquez,DF
2015-2016,24,Real Madrid,es ESP,1. La Liga,2nd,13.8,,45,,,,,,,,,,,25,,,,Lucas Vázquez,DF
2016-2017,25,Real Madrid,es ESP,1. La Liga,1st,15.6,,30,,,,,,,,,,,10,,,,Lucas Vázquez,DF
2017-2018,26,Real Madrid,es ESP,1. La Liga,3rd,18.7,48,33,16,21,11,12,42,28.6,30,28,2,26,7,55,9,0,Lucas Vázquez,DF
2018-2019,27,Real Madrid,es ESP,1. La Liga,3rd,16.8,43,26,11,21,11,15,41,36.6,26,16,1,15,12,55,11,0,Lucas Vázquez,DF
2019-2020,28,Real Madrid,es ESP,1. La Liga,1st,9.4,23,17,10,13,0,11,26,42.3,15,10,0,10,10,33,8,1,Lucas Vázquez,DF
2020-2021,29,Real Madrid,es ESP,1. La Liga,2nd,20.5,61,37,30,22,9,22,52,42.3,30,14,1,13,19,80,31,1,Lucas Vázquez,DF
2021-2022,30,Real Madrid,es ESP,1. La Liga,1st,20.4,43,22,24,9,10,17,35,48.6,18,25,7,18,20,63,41,1,Lucas Vázquez,DF
2022-2023,31,Real Madrid,es ESP,1. La Liga,2nd,12.7,34,23,22,10,2,20,28,71.4,8,10,0,10,7,41,13,0,Lucas Vázquez,DF
2023-2024,32,Real Madrid,es ESP,1. La Liga,1st,15.8,37,25,22,14,1,18,25,72.0,7,27,5,22,12,49,36,0,Lucas Vázquez,DF
2024-2025,33,Real Madrid,es ESP,1. La Liga,1st,10.8,28,17,18,7,3,13,28,46.4,15,8,1,7,6,34,15,0,Lucas Vázquez,DF
2018-2019,20,Porto,pt POR,1. Primeira Liga,2nd,28.9,60,43,34,22,4,20,33,60.6,13,35,22,13,65,125,91,1,Éder Militão,DF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,11.4,25,15,15,9,1,10,17,58.8,7,12,6,6,20,45,42,0,Éder Militão,DF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,12.6,20,8,13,6,1,8,14,57.1,6,19,6,13,19,39,42,0,Éder Militão,DF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,33.7,50,32,30,12,8,20,39,51.3,19,42,20,22,52,102,107,3,Éder Militão,DF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,30.0,46,32,25,18,3,26,33,78.8,7,67,39,28,42,88,104,2,Éder Militão,DF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,5.5,7,3,4,3,0,6,9,66.7,3,4,3,1,4,11,19,1,Éder Militão,DF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,10.4,19,17,14,5,0,7,12,58.3,5,13,8,5,12,31,35,0,Éder Militão,DF
2014-2015,19,Le Havre,fr FRA,2. Ligue 2,7th,1.0,,,,,,,,,,,,,,,,,Ferland Mendy,DF
2015-2016,20,Le Havre,fr FRA,2. Ligue 2,4th,7.9,,,,,,,,,,,,,,,,,Ferland Mendy,DF
2016-2017,21,Le Havre,fr FRA,2. Ligue 2,8th,34.5,,0,,,,,,,,,,,0,,,,Ferland Mendy,DF
2017-2018,22,Lyon,fr FRA,1. Ligue 1,3rd,23.6,45,28,29,13,3,20,31,64.5,11,18,5,13,25,70,43,0,Ferland Mendy,DF
2018-2019,23,Lyon,fr FRA,1. Ligue 1,3rd,28.1,44,28,25,14,5,14,17,82.4,3,22,5,17,34,78,53,2,Ferland Mendy,DF
2019-2020,24,Real Madrid,es ESP,1. La Liga,1st,20.1,32,26,20,9,3,14,18,77.8,4,19,5,14,22,54,30,1,Ferland Mendy,DF
2020-2021,25,Real Madrid,es ESP,1. La Liga,2nd,24.5,26,16,17,6,3,12,24,50.0,12,16,4,12,26,52,32,1,Ferland Mendy,DF
2021-2022,26,Real Madrid,es ESP,1. La Liga,1st,19.3,24,14,11,10,3,8,14,57.1,6,8,2,6,18,42,27,3,Ferland Mendy,DF
2022-2023,27,Real Madrid,es ESP,1. La Liga,2nd,15.0,21,12,14,6,1,12,20,60.0,8,7,2,5,14,35,16,0,Ferland Mendy,DF
2023-2024,28,Real Madrid,es ESP,1. La Liga,1st,19.1,15,10,12,2,1,11,14,78.6,3,12,2,10,13,28,26,1,Ferland Mendy,DF
2024-2025,29,Real Madrid,es ESP,1. La Liga,1st,9.2,16,13,6,6,4,8,11,72.7,3,10,3,7,9,25,7,1,Ferland Mendy,DF
2020-2021,20,Rayo Vallecano,es ESP,2. La Liga 2,6th,36.5,43,31,23,16,4,28,45,62.2,17,33,5,28,43,86,60,2,Fran Garcia,DF
2021-2022,21,Rayo Vallecano,es ESP,1. La Liga,12th,33.6,60,35,44,12,4,39,73,53.4,34,34,8,26,45,105,53,0,Fran Garcia,DF
2022-2023,22,Rayo Vallecano,es ESP,1. La Liga,11th,37.9,84,54,53,23,8,55,96,57.3,41,49,8,41,44,128,66,0,Fran Garcia,DF
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,15.5,25,17,11,12,2,13,31,41.9,18,16,3,13,19,44,28,1,Fran Garcia,DF
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,8.5,11,8,7,2,2,5,10,50.0,5,6,3,3,7,18,22,0,Fran Garcia,DF
2007-2008,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,21.9,,,,,,,,,,,,,,,,,Luka Modrić,MF
2008-2009,22,Tottenham,eng ENG,1. Premier League,8th,30.8,,,,,,,,,,,,,,,,,Luka Modrić,MF
2009-2010,23,Tottenham,eng ENG,1. Premier League,4th,21.2,,,,,,,,,,,,,,,,,Luka Modrić,MF
2010-2011,24,Tottenham,eng ENG,1. Premier League,5th,31.0,,,,,,,,,,,,,,,,,Luka Modrić,MF
2011-2012,25,Tottenham,eng ENG,1. Premier League,4th,35.7,,,,,,,,,,,,,,,,,Luka Modrić,MF
2012-2013,26,Real Madrid,es ESP,1. La Liga,2nd,24.2,,,,,,,,,,,,,,,,,Luka Modrić,MF
2013-2014,27,Real Madrid,es ESP,1. La Liga,3rd,29.3,,,,,,,,,,,,,,,,,Luka Modrić,MF
2014-2015,28,Real Madrid,es ESP,1. La Liga,2nd,14.3,,,,,,,,,,,,,,,,,Luka Modrić,MF
2015-2016,29,Real Madrid,es ESP,1. La Liga,2nd,29.1,,39,,,,,,,,,,,62,,,,Luka Modrić,MF
2016-2017,30,Real Madrid,es ESP,1. La Liga,1st,21.0,,25,,,,,,,,,,,42,,,,Luka Modrić,MF
2017-2018,31,Real Madrid,es ESP,1. La Liga,3rd,21.9,33,22,14,15,4,15,41,36.6,26,13,4,9,31,64,7,0,Luka Modrić,MF
2018-2019,32,Real Madrid,es ESP,1. La Liga,3rd,29.0,49,30,11,25,13,14,48,29.2,34,20,3,17,31,80,7,1,Luka Modrić,MF
2019-2020,33,Real Madrid,es ESP,1. La Liga,1st,22.2,37,18,9,15,13,16,41,39.0,25,10,2,8,22,59,12,0,Luka Modrić,MF
