Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2024-2025,26,Milan,it ITA,1. Serie A,8th,14.1,558,638,87.5,9342,2440,261,285,91.6,239,265,90.2,43,60,71.7,2,1.7,1.9,+0.3,19,51,19,1,93,Tijjani Reijnders,MF
2018-2019,19,Betis,es ESP,1. La Liga,10th,3.5,155,191,81.2,1864,692,94,107,87.9,37,46,80.4,5,7,71.4,0,0.3,0.2,-0.3,4,3,4,1,13,Emerson,DF
2019-2020,20,Betis,es ESP,1. La Liga,15th,31.5,1265,1615,78.3,19097,6176,708,814,87.0,387,488,79.3,109,170,64.1,6,5.0,4.8,+1.0,28,54,45,13,108,Emerson,DF
2020-2021,21,Betis,es ESP,1. La Liga,6th,33.2,1533,1936,79.2,22046,8020,886,998,88.8,490,588,83.3,83,180,46.1,4,2.7,2.8,+1.3,33,90,38,18,132,Emerson,DF
2021-2022,22,Barcelona,es ESP,1. La Liga,2nd,1.0,57,68,83.8,769,108,36,38,94.7,15,19,78.9,3,4,75.0,0,0.0,0.0,0.0,0,0,2,0,2,Emerson,DF
2021-2022,22,Tottenham,eng ENG,1. Premier League,4th,25.4,1170,1450,80.7,16330,4045,686,762,90.0,368,459,80.2,52,94,55.3,1,2.2,3.0,-1.2,28,32,28,14,68,Emerson,DF
2022-2023,23,Tottenham,eng ENG,1. Premier League,8th,19.3,848,1060,80.0,13378,3797,437,482,90.7,330,392,84.2,53,93,57.0,1,0.6,1.0,+0.4,9,58,17,3,80,Emerson,DF
2023-2024,24,Tottenham,eng ENG,1. Premier League,5th,12.9,937,1038,90.3,13652,3714,529,558,94.8,339,362,93.6,32,45,71.1,0,0.4,0.9,-0.4,3,42,7,2,57,Emerson,DF
2024-2025,25,Milan,it ITA,1. Serie A,8th,13.5,720,822,87.6,11510,2900,346,375,92.3,329,358,91.9,29,46,63.0,0,0.7,1.1,-0.7,15,39,13,5,62,Emerson,DF
2017-2018,18,Sporting CP,pt POR,1. Primeira Liga,3rd,1.1,,,,,,,,,,,,,,,1,,,,,,,,,Rafael Leão,FW
2018-2019,19,Lille,fr FRA,1. Ligue 1,2nd,14.3,177,252,70.2,2567,361,105,135,77.8,53,73,72.6,11,15,73.3,3,1.7,1.1,+1.3,13,9,7,1,17,Rafael Leão,FW
2019-2020,20,Milan,it ITA,1. Serie A,6th,15.6,349,465,75.1,5287,1118,197,249,79.1,113,139,81.3,24,36,66.7,1,2.6,2.4,-1.6,31,12,26,10,39,Rafael Leão,FW
2020-2021,21,Milan,it ITA,1. Serie A,2nd,21.4,362,507,71.4,5185,1075,195,255,76.5,126,163,77.3,16,32,50.0,6,4.4,2.6,+1.6,27,16,25,4,45,Rafael Leão,FW
2021-2022,22,Milan,it ITA,1. Serie A,1st,28.9,555,787,70.5,9136,2681,284,368,77.2,187,244,76.6,60,84,71.4,10,6.8,4.9,+3.2,45,46,48,12,101,Rafael Leão,FW
2022-2023,23,Milan,it ITA,1. Serie A,4th,26.9,595,845,70.4,10191,3212,282,365,77.3,226,302,74.8,65,107,60.7,8,7.0,6.2,+1.0,49,64,59,14,122,Rafael Leão,FW
