Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2018-2019,19,Lille,fr FRA,1. Ligue 1,2nd,14.3,25,1.75,18,0,2,1,3,1,6,0.42,5,0,1,0,0,0,Rafael Leão,FW
2019-2020,20,Milan,it ITA,1. Serie A,6th,15.6,63,4.04,45,0,15,2,1,0,6,0.38,2,0,2,1,1,0,Rafael Leão,FW
2020-2021,21,Milan,it ITA,1. Serie A,2nd,21.4,66,3.09,45,0,10,6,5,0,6,0.28,5,0,1,0,0,0,Rafael Leão,FW
2021-2022,22,Milan,it ITA,1. Serie A,1st,28.9,113,3.90,65,0,28,9,11,0,19,0.66,13,0,5,0,1,0,Rafael Leão,FW
2022-2023,23,Milan,it ITA,1. Serie A,4th,26.9,123,4.57,80,3,24,8,8,0,18,0.67,12,1,4,0,1,0,Rafael Leão,FW
2023-2024,24,Milan,it ITA,1. Serie A,2nd,27.9,135,4.83,92,5,23,5,10,0,26,0.93,17,0,8,0,1,0,Rafael Leão,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,11.5,61,5.31,36,1,13,6,4,1,9,0.78,4,0,2,1,2,0,Rafael Leão,FW
2015-2016,16,Dortmund,de GER,1. Bundesliga,2nd,4.3,,,,,,,,,,,,,,,,,Christian Pulisic,"MF,FW"
2016-2017,17,Dortmund,de GER,1. Bundesliga,3rd,16.9,,,,,,,,,,,,,,,,,Christian Pulisic,"MF,FW"
2017-2018,18,Dortmund,de GER,1. Bundesliga,4th,25.6,78,3.05,54,0,12,4,5,3,10,0.39,7,0,2,1,0,0,Christian Pulisic,"MF,FW"
2018-2019,19,Dortmund,de GER,1. Bundesliga,2nd,10.4,43,4.15,21,4,10,4,4,0,10,0.97,4,0,3,2,1,0,Christian Pulisic,"MF,FW"
2019-2020,20,Chelsea,eng ENG,1. Premier League,4th,19.1,87,4.55,55,0,19,6,7,0,16,0.84,8,0,4,1,3,0,Christian Pulisic,"MF,FW"
2020-2021,21,Chelsea,eng ENG,1. Premier League,4th,19.3,69,3.57,53,1,6,2,7,0,8,0.41,7,0,0,1,0,0,Christian Pulisic,"MF,FW"
2021-2022,22,Chelsea,eng ENG,1. Premier League,3rd,14.3,36,2.51,24,0,1,4,6,1,5,0.35,4,0,0,1,0,0,Christian Pulisic,"MF,FW"
2022-2023,23,Chelsea,eng ENG,1. Premier League,12th,9.1,24,2.63,21,0,0,3,0,0,3,0.33,3,0,0,0,0,0,Christian Pulisic,"MF,FW"
2023-2024,24,Milan,it ITA,1. Serie A,2nd,28.9,90,3.11,59,9,8,6,6,2,17,0.59,13,0,2,0,1,1,Christian Pulisic,"MF,FW"
2024-2025,25,Milan,it ITA,1. Serie A,8th,10.9,48,4.41,32,7,1,3,2,3,5,0.46,1,2,0,1,0,1,Christian Pulisic,"MF,FW"
2016-2017,18,Alavés,es ESP,1. La Liga,9th,30.3,,,,,,,,,,,,,,,,,Theo Hernández,DF
2017-2018,19,Real Madrid,es ESP,1. La Liga,3rd,10.7,27,2.52,20,1,4,1,1,0,2,0.19,1,0,0,0,1,0,Theo Hernández,DF
2018-2019,20,Real Sociedad,es ESP,1. La Liga,9th,22.0,48,2.19,31,4,4,3,3,3,4,0.18,2,0,0,0,1,1,Theo Hernández,DF
2019-2020,21,Milan,it ITA,1. Serie A,6th,31.3,101,3.23,73,2,8,9,7,2,8,0.26,7,0,0,0,1,0,Theo Hernández,DF
2020-2021,22,Milan,it ITA,1. Serie A,2nd,32.6,94,2.88,65,4,7,5,11,2,15,0.46,12,0,0,1,1,1,Theo Hernández,DF
2021-2022,23,Milan,it ITA,1. Serie A,1st,30.1,104,3.45,58,25,4,5,10,2,13,0.43,10,0,1,2,0,0,Theo Hernández,DF
2022-2023,24,Milan,it ITA,1. Serie A,4th,30.8,87,2.82,51,17,3,7,8,1,8,0.26,5,2,1,0,0,0,Theo Hernández,DF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,31.0,119,3.84,87,8,7,11,5,1,13,0.42,11,0,0,1,1,0,Theo Hernández,DF
2024-2025,26,Milan,it ITA,1. Serie A,8th,12.0,44,3.65,25,11,4,2,1,1,5,0.42,3,1,0,0,0,1,Theo Hernández,DF
2017-2018,15,Schalke U17,de GER,Jr. U17 Bundesliga,10th,18.1,,,,,,,,,,,,,,,,,Malick Thiaw,DF
2018-2019,16,Schalke U19,de GER,Jr. U19 Bundesliga,6th,24.1,,,,,,,,,,,,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke U19,de GER,Jr. U19 Bundesliga,16th,18.8,,,,,,,,,,,,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke 04,de GER,1. Bundesliga,12th,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Malick Thiaw,DF
2020-2021,18,Schalke 04,de GER,1. Bundesliga,18th,16.1,6,0.37,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Malick Thiaw,DF
2021-2022,19,Schalke 04,de GER,2. 2. Bundesliga,1st,28.3,42,1.48,33,0,1,5,0,3,4,0.14,4,0,0,0,0,0,Malick Thiaw,DF
