Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2019-2020,20,Milan,it ITA,1. Serie A,6th,15.6,7,4,2,5,0,3,9,33.3,6,4,0,4,0,7,5,0,Rafael Leão,FW
2020-2021,21,Milan,it ITA,1. Serie A,2nd,21.4,13,6,4,7,2,6,15,40.0,9,17,0,17,4,17,14,1,Rafael Leão,FW
2021-2022,22,Milan,it ITA,1. Serie A,1st,28.9,17,7,3,9,5,10,20,50.0,10,12,1,11,12,29,8,0,Rafael Leão,FW
2022-2023,23,Milan,it ITA,1. Serie A,4th,26.9,8,7,2,3,3,6,14,42.9,8,9,2,7,15,23,8,0,Rafael Leão,FW
2023-2024,24,Milan,it ITA,1. Serie A,2nd,27.9,16,10,3,8,5,8,13,61.5,5,15,1,14,9,25,19,0,Rafael Leão,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,11.5,7,6,1,4,2,5,10,50.0,5,8,0,8,4,11,0,0,Rafael Leão,FW
2015-2016,16,Dortmund,de GER,1. Bundesliga,2nd,4.3,,,,,,,,,,,,,,,,,Christian Pulisic,"MF,FW"
2016-2017,17,Dortmund,de GER,1. Bundesliga,3rd,16.9,,20,,,,,,,,,,,18,,,,Christian Pulisic,"MF,FW"
2017-2018,18,Dortmund,de GER,1. Bundesliga,4th,25.6,46,30,12,20,14,26,44,59.1,18,24,2,22,16,62,11,0,Christian Pulisic,"MF,FW"
2018-2019,19,Dortmund,de GER,1. Bundesliga,2nd,10.4,10,6,2,6,2,2,6,33.3,4,12,2,10,6,16,10,0,Christian Pulisic,"MF,FW"
2019-2020,20,Chelsea,eng ENG,1. Premier League,4th,19.1,23,11,13,4,6,7,24,29.2,17,15,0,15,6,29,11,0,Christian Pulisic,"MF,FW"
2020-2021,21,Chelsea,eng ENG,1. Premier League,4th,19.3,19,11,8,10,1,8,21,38.1,13,25,2,23,12,31,9,0,Christian Pulisic,"MF,FW"
2021-2022,22,Chelsea,eng ENG,1. Premier League,3rd,14.3,10,7,6,3,1,3,17,17.6,14,12,0,12,5,15,10,0,Christian Pulisic,"MF,FW"
2022-2023,23,Chelsea,eng ENG,1. Premier League,12th,9.1,11,6,3,6,2,3,5,60.0,2,8,1,7,4,15,4,0,Christian Pulisic,"MF,FW"
2023-2024,24,Milan,it ITA,1. Serie A,2nd,28.9,35,26,14,11,10,17,30,56.7,13,20,1,19,10,45,10,1,Christian Pulisic,"MF,FW"
2024-2025,25,Milan,it ITA,1. Serie A,8th,10.9,20,12,6,7,7,6,14,42.9,8,9,1,8,0,20,5,1,Christian Pulisic,"MF,FW"
2016-2017,18,Alavés,es ESP,1. La Liga,9th,30.3,,56,,,,,,,,,,,43,,,,Theo Hernández,DF
2017-2018,19,Real Madrid,es ESP,1. La Liga,3rd,10.7,21,15,16,2,3,13,25,52.0,12,9,2,7,17,38,20,0,Theo Hernández,DF
2018-2019,20,Real Sociedad,es ESP,1. La Liga,9th,22.0,54,33,30,15,9,28,44,63.6,16,21,5,16,33,87,42,3,Theo Hernández,DF
2019-2020,21,Milan,it ITA,1. Serie A,6th,31.3,56,39,32,18,6,33,53,62.3,20,34,6,28,43,99,62,2,Theo Hernández,DF
2020-2021,22,Milan,it ITA,1. Serie A,2nd,32.6,48,29,22,21,5,19,38,50.0,19,29,6,23,34,82,64,5,Theo Hernández,DF
2021-2022,23,Milan,it ITA,1. Serie A,1st,30.1,53,35,34,14,5,29,40,72.5,11,16,3,13,23,76,29,3,Theo Hernández,DF
2022-2023,24,Milan,it ITA,1. Serie A,4th,30.8,43,24,27,15,1,22,38,57.9,16,34,7,27,21,64,35,1,Theo Hernández,DF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,31.0,30,17,19,11,0,11,22,50.0,11,33,13,20,23,53,42,1,Theo Hernández,DF
2024-2025,26,Milan,it ITA,1. Serie A,8th,12.0,15,10,13,0,2,7,13,53.8,6,9,5,4,12,27,30,2,Theo Hernández,DF
2017-2018,15,Schalke U17,de GER,Jr. U17 Bundesliga,10th,18.1,,,,,,,,,,,,,,,,,Malick Thiaw,DF
2018-2019,16,Schalke U19,de GER,Jr. U19 Bundesliga,6th,24.1,,,,,,,,,,,,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke U19,de GER,Jr. U19 Bundesliga,16th,18.8,,,,,,,,,,,,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke 04,de GER,1. Bundesliga,12th,0.8,2,0,1,1,0,1,2,50.0,1,2,2,0,2,4,4,1,Malick Thiaw,DF
2020-2021,18,Schalke 04,de GER,1. Bundesliga,18th,16.1,42,27,24,17,1,15,26,57.7,11,17,12,5,33,75,70,0,Malick Thiaw,DF
2021-2022,19,Schalke 04,de GER,2. 2. Bundesliga,1st,28.3,82,46,61,17,4,36,48,75.0,12,33,21,12,51,133,113,0,Malick Thiaw,DF
2022-2023,20,Schalke 04,de GER,1. Bundesliga,17th,3.0,3,1,2,1,0,1,2,50.0,1,4,3,1,9,12,24,1,Malick Thiaw,DF
2022-2023,20,Milan,it ITA,1. Serie A,4th,15.1,31,26,22,9,0,11,20,55.0,9,11,5,6,12,43,65,1,Malick Thiaw,DF
2023-2024,21,Milan,it ITA,1. Serie A,2nd,18.0,34,17,15,17,2,12,25,48.0,13,23,13,10,13,47,55,0,Malick Thiaw,DF
2024-2025,22,Milan,it ITA,1. Serie A,8th,11.0,12,9,6,4,2,4,6,66.7,2,6,4,2,9,21,41,0,Malick Thiaw,DF
2010-2011,17,Real Madrid,es ESP,1. La Liga,2nd,0.0,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2011-2012,18,Real Madrid,es ESP,1. La Liga,1st,0.1,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid B,es ESP,2. La Liga 2,8th,17.9,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid,es ESP,1. La Liga,2nd,4.6,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2013-2014,20,Real Madrid,es ESP,1. La Liga,3rd,6.6,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2014-2015,21,Juventus,it ITA,1. Serie A,1st,14.8,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2015-2016,22,Juventus,it ITA,1. Serie A,1st,16.0,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2016-2017,23,Real Madrid,es ESP,1. La Liga,1st,14.8,,13,,,,,,,,,,,3,,,,Álvaro Morata,"FW,MF"
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,22.9,13,8,0,7,6,1,21,4.8,20,17,4,13,6,19,20,0,Álvaro Morata,"FW,MF"
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,10.5,8,5,0,5,3,1,7,14.3,6,6,1,5,0,8,6,0,Álvaro Morata,"FW,MF"
2018-2019,25,Atlético Madrid,es ESP,1. La Liga,2nd,12.0,20,14,2,7,11,3,10,30.0,7,7,0,7,5,25,13,0,Álvaro Morata,"FW,MF"
2019-2020,26,Atlético Madrid,es ESP,1. La Liga,3rd,23.3,17,8,4,9,4,1,13,7.7,12,12,2,10,5,22,23,0,Álvaro Morata,"FW,MF"
2020-2021,27,Juventus,it ITA,1. Serie A,4th,22.4,17,12,2,10,5,4,28,14.3,24,22,2,20,5,22,21,0,Álvaro Morata,"FW,MF"
2021-2022,28,Juventus,it ITA,1. Serie A,4th,25.6,18,9,4,9,5,8,31,25.8,23,26,1,25,5,23,24,0,Álvaro Morata,"FW,MF"
2022-2023,29,Atlético Madrid,es ESP,1. La Liga,3rd,21.1,16,11,4,8,4,3,8,37.5,5,11,3,8,0,16,23,0,Álvaro Morata,"FW,MF"
2023-2024,30,Atlético Madrid,es ESP,1. La Liga,4th,21.2,16,10,4,7,5,3,5,60.0,2,18,3,15,1,17,26,0,Álvaro Morata,"FW,MF"
2024-2025,31,Milan,it ITA,1. Serie A,8th,10.1,10,6,2,6,2,3,6,50.0,3,4,1,3,5,15,5,0,Álvaro Morata,"FW,MF"
2019-2020,19,Milan,it ITA,1. Serie A,6th,7.6,7,5,5,2,0,5,8,62.5,3,6,6,0,9,16,21,0,Matteo Gabbia,DF
