Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2019-2020,21,AZ Alkmaar,nl NED,1. Eredivisie,2nd,3,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,3,0.00,0.00,0.00,0.00,0.00,0.07,0.16,0.23,0.07,0.23,Tijjani Reijnders,MF
2019-2020,21,Jong AZ,nl NED,2. Eerste Divisie,14th,16,16,1440,16.0,3,3,6,3,0,0,2,0,,,,,,,,0.19,0.19,0.37,0.19,0.37,,,,,,Tijjani Reijnders,MF
2020-2021,22,Jong AZ,nl NED,2. Eerste Divisie,17th,8,8,675,7.5,2,0,2,1,1,1,1,0,,,,,,,,0.27,0.00,0.27,0.13,0.13,,,,,,Tijjani Reijnders,MF
2020-2021,22,AZ Alkmaar,nl NED,1. Eredivisie,3rd,22,6,734,8.2,0,0,0,0,0,0,0,0,1.5,1.5,0.5,2.0,15,57,27,0.00,0.00,0.00,0.00,0.00,0.18,0.06,0.24,0.18,0.24,Tijjani Reijnders,MF
2021-2022,23,AZ Alkmaar,nl NED,1. Eredivisie,5th,33,11,1305,14.5,4,2,6,4,0,0,1,0,2.1,2.1,2.5,4.6,37,98,41,0.28,0.14,0.41,0.28,0.41,0.14,0.17,0.32,0.14,0.32,Tijjani Reijnders,MF
2022-2023,24,AZ Alkmaar,nl NED,1. Eredivisie,4th,34,34,3046,33.8,3,6,9,3,0,0,4,0,5.6,5.6,7.1,12.7,100,257,92,0.09,0.18,0.27,0.09,0.27,0.17,0.21,0.38,0.17,0.38,Tijjani Reijnders,MF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,36,33,2820,31.3,3,3,6,3,0,0,8,0,3.2,3.2,3.7,7.0,88,204,90,0.10,0.10,0.19,0.10,0.19,0.10,0.12,0.22,0.10,0.22,Tijjani Reijnders,MF
2024-2025,26,Milan,it ITA,1. Serie A,8th,16,15,1271,14.1,5,2,7,5,0,0,2,1,2.3,2.3,1.7,4.0,51,93,51,0.35,0.14,0.50,0.35,0.50,0.16,0.12,0.29,0.16,0.29,Tijjani Reijnders,MF
2018-2019,19,Betis,es ESP,1. La Liga,10th,6,4,317,3.5,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.4,7,13,26,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Emerson,DF
2019-2020,20,Betis,es ESP,1. La Liga,15th,33,32,2839,31.5,3,6,9,3,0,0,11,0,1.8,1.8,5.0,6.8,90,108,215,0.10,0.19,0.29,0.10,0.29,0.06,0.16,0.22,0.06,0.22,Emerson,DF
2020-2021,21,Betis,es ESP,1. La Liga,6th,34,34,2991,33.2,1,4,5,1,0,0,9,1,1.5,1.5,2.7,4.3,91,132,186,0.03,0.12,0.15,0.03,0.15,0.05,0.08,0.13,0.05,0.13,Emerson,DF
2021-2022,22,Barcelona,es ESP,1. La Liga,2nd,3,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Emerson,DF
2021-2022,22,Tottenham,eng ENG,1. Premier League,4th,31,26,2286,25.4,1,1,2,1,0,0,5,0,1.5,1.5,2.2,3.6,68,68,175,0.04,0.04,0.08,0.04,0.08,0.06,0.09,0.14,0.06,0.14,Emerson,DF
2022-2023,23,Tottenham,eng ENG,1. Premier League,8th,26,20,1735,19.3,2,1,3,2,0,0,2,1,1.7,1.7,0.6,2.3,47,80,103,0.10,0.05,0.16,0.10,0.16,0.09,0.03,0.12,0.09,0.12,Emerson,DF
2023-2024,24,Tottenham,eng ENG,1. Premier League,5th,22,11,1161,12.9,1,0,1,1,0,0,4,0,0.2,0.2,0.4,0.6,21,57,35,0.08,0.00,0.08,0.08,0.08,0.02,0.03,0.05,0.02,0.05,Emerson,DF
2024-2025,25,Milan,it ITA,1. Serie A,8th,15,14,1214,13.5,0,0,0,0,0,0,4,0,0.3,0.3,0.7,1.1,16,62,62,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08,Emerson,DF
2017-2018,18,Sporting CP,pt POR,1. Primeira Liga,3rd,3,0,103,1.1,1,1,2,1,0,0,0,0,,,,,,,,0.87,0.87,1.75,0.87,1.75,,,,,,Rafael Leão,FW
2018-2019,19,Lille,fr FRA,1. Ligue 1,2nd,24,16,1287,14.3,8,3,11,8,0,0,3,0,4.3,4.3,1.7,6.0,17,17,76,0.56,0.21,0.77,0.56,0.77,0.30,0.12,0.42,0.30,0.42,Rafael Leão,FW
2019-2020,20,Milan,it ITA,1. Serie A,6th,31,12,1404,15.6,6,1,7,6,0,0,0,0,4.3,4.3,2.6,6.9,66,39,150,0.38,0.06,0.45,0.38,0.45,0.28,0.17,0.44,0.28,0.44,Rafael Leão,FW
2020-2021,21,Milan,it ITA,1. Serie A,2nd,30,22,1924,21.4,6,6,12,6,0,0,5,0,6.0,6.0,4.4,10.4,77,45,147,0.28,0.28,0.56,0.28,0.56,0.28,0.21,0.48,0.28,0.48,Rafael Leão,FW
2021-2022,22,Milan,it ITA,1. Serie A,1st,34,31,2605,28.9,11,10,21,11,0,0,4,0,8.8,8.8,6.8,15.5,161,101,218,0.38,0.35,0.73,0.38,0.73,0.30,0.23,0.54,0.30,0.54,Rafael Leão,FW
2022-2023,23,Milan,it ITA,1. Serie A,4th,35,28,2421,26.9,15,8,23,15,0,0,7,1,10.8,10.8,7.0,17.9,136,122,235,0.56,0.30,0.86,0.56,0.86,0.40,0.26,0.66,0.40,0.66,Rafael Leão,FW
2023-2024,24,Milan,it ITA,1. Serie A,2nd,34,29,2512,27.9,9,9,18,9,0,0,5,0,10.0,10.0,9.1,19.1,160,117,293,0.32,0.32,0.64,0.32,0.64,0.36,0.32,0.68,0.36,0.68,Rafael Leão,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,15,12,1034,11.5,3,4,7,3,0,0,1,0,4.5,4.5,2.7,7.2,56,46,118,0.26,0.35,0.61,0.26,0.61,0.39,0.23,0.63,0.39,0.63,Rafael Leão,FW
2015-2016,16,Dortmund,de GER,1. Bundesliga,2nd,9,4,389,4.3,2,0,2,2,0,0,1,0,,,,,,,,0.46,0.00,0.46,0.46,0.46,,,,,,Christian Pulisic,"MF,FW"
2016-2017,17,Dortmund,de GER,1. Bundesliga,3rd,29,15,1525,16.9,3,7,10,3,0,0,1,0,,,,,,,,0.18,0.41,0.59,0.18,0.59,,,,,,Christian Pulisic,"MF,FW"
2017-2018,18,Dortmund,de GER,1. Bundesliga,4th,32,27,2302,25.6,4,5,9,4,0,0,1,0,5.2,5.2,4.9,10.1,152,64,257,0.16,0.20,0.35,0.16,0.35,0.20,0.19,0.40,0.20,0.40,Christian Pulisic,"MF,FW"
2018-2019,19,Dortmund,de GER,1. Bundesliga,2nd,20,9,932,10.4,4,4,8,4,0,0,2,0,4.8,4.8,2.6,7.4,66,20,109,0.39,0.39,0.77,0.39,0.77,0.47,0.25,0.72,0.47,0.72,Christian Pulisic,"MF,FW"
2019-2020,20,Chelsea,eng ENG,1. Premier League,4th,25,19,1722,19.1,9,4,13,9,0,0,0,0,9.0,9.0,3.6,12.6,107,73,188,0.47,0.21,0.68,0.47,0.68,0.47,0.19,0.66,0.47,0.66,Christian Pulisic,"MF,FW"
2020-2021,21,Chelsea,eng ENG,1. Premier League,4th,27,18,1738,19.3,4,2,6,4,0,0,2,0,6.1,6.1,2.8,8.9,86,82,160,0.21,0.10,0.31,0.21,0.31,0.32,0.15,0.46,0.32,0.46,Christian Pulisic,"MF,FW"
2021-2022,22,Chelsea,eng ENG,1. Premier League,3rd,22,13,1290,14.3,6,2,8,6,0,0,2,0,4.9,4.9,1.3,6.2,44,38,108,0.42,0.14,0.56,0.42,0.56,0.34,0.09,0.43,0.34,0.43,Christian Pulisic,"MF,FW"
2022-2023,23,Chelsea,eng ENG,1. Premier League,12th,24,8,821,9.1,1,1,2,1,0,0,1,0,1.7,1.7,0.7,2.3,35,23,76,0.11,0.11,0.22,0.11,0.22,0.18,0.07,0.26,0.18,0.26,Christian Pulisic,"MF,FW"
2023-2024,24,Milan,it ITA,1. Serie A,2nd,36,32,2602,28.9,12,8,20,12,0,0,2,0,8.0,8.0,4.8,12.8,131,87,293,0.42,0.28,0.69,0.42,0.69,0.28,0.16,0.44,0.28,0.44,Christian Pulisic,"MF,FW"
2024-2025,25,Milan,it ITA,1. Serie A,8th,14,12,981,10.9,5,4,9,4,1,1,0,0,4.5,3.7,2.8,6.4,47,49,67,0.46,0.37,0.83,0.37,0.73,0.41,0.26,0.66,0.34,0.59,Christian Pulisic,"MF,FW"
2015-2016,17,Atlético Madrid,es ESP,1. La Liga,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theo Hernández,DF
2016-2017,18,Alavés,es ESP,1. La Liga,9th,32,30,2725,30.3,1,3,4,1,0,0,12,1,,,,,,,,0.03,0.10,0.13,0.03,0.13,,,,,,Theo Hernández,DF
2017-2018,19,Real Madrid,es ESP,1. La Liga,3rd,13,10,963,10.7,0,0,0,0,0,0,1,0,0.2,0.2,1.1,1.2,47,45,107,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.11,0.01,0.11,Theo Hernández,DF
2018-2019,20,Real Sociedad,es ESP,1. La Liga,9th,24,22,1976,22.0,1,2,3,1,0,0,5,1,1.4,1.4,1.8,3.1,87,72,117,0.05,0.09,0.14,0.05,0.14,0.06,0.08,0.14,0.06,0.14,Theo Hernández,DF
2019-2020,21,Milan,it ITA,1. Serie A,6th,33,32,2817,31.3,6,3,9,6,0,0,10,0,5.8,5.8,4.4,10.3,125,144,195,0.19,0.10,0.29,0.19,0.29,0.19,0.14,0.33,0.19,0.33,Theo Hernández,DF
2020-2021,22,Milan,it ITA,1. Serie A,2nd,33,33,2933,32.6,7,5,12,7,0,0,9,0,4.3,4.3,4.9,9.2,146,133,189,0.21,0.15,0.37,0.21,0.37,0.13,0.15,0.28,0.13,0.28,Theo Hernández,DF
2021-2022,23,Milan,it ITA,1. Serie A,1st,32,30,2711,30.1,5,5,10,4,1,2,7,2,3.7,2.8,5.8,8.6,120,116,140,0.17,0.17,0.33,0.13,0.30,0.12,0.19,0.32,0.09,0.29,Theo Hernández,DF
2022-2023,24,Milan,it ITA,1. Serie A,4th,32,32,2771,30.8,4,3,7,3,1,1,7,0,4.1,3.3,3.3,6.6,108,128,146,0.13,0.10,0.23,0.10,0.19,0.13,0.11,0.24,0.11,0.21,Theo Hernández,DF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,32,31,2791,31.0,5,4,9,4,1,2,11,1,4.9,3.4,4.3,7.7,115,166,124,0.16,0.13,0.29,0.13,0.26,0.16,0.14,0.30,0.11,0.25,Theo Hernández,DF
2024-2025,26,Milan,it ITA,1. Serie A,8th,14,11,1084,12.0,2,2,4,2,0,1,2,1,1.4,0.7,1.5,2.2,35,48,52,0.17,0.17,0.33,0.17,0.33,0.12,0.12,0.24,0.05,0.18,Theo Hernández,DF
2017-2018,15,Schalke U17,de GER,Jr. U17 Bundesliga,10th,23,21,1626,18.1,1,,,1,0,0,1,0,,,,,,,,0.06,,,0.06,,,,,,,Malick Thiaw,DF
2018-2019,16,Schalke U19,de GER,Jr. U19 Bundesliga,6th,25,24,2167,24.1,1,,,0,1,1,0,0,,,,,,,,0.04,,,0.00,,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke U19,de GER,Jr. U19 Bundesliga,16th,19,19,1693,18.8,7,,,6,1,1,3,0,,,,,,,,0.37,,,0.32,,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke 04,de GER,1. Bundesliga,12th,4,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Malick Thiaw,DF
2020-2021,18,Schalke 04,de GER,1. Bundesliga,18th,19,15,1452,16.1,1,0,1,1,0,0,5,1,0.7,0.7,0.1,0.8,4,28,10,0.06,0.00,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,Malick Thiaw,DF
2021-2022,19,Schalke 04,de GER,2. 2. Bundesliga,1st,31,28,2546,28.3,2,0,2,2,0,0,3,0,2.6,2.6,0.9,3.5,21,110,9,0.07,0.00,0.07,0.07,0.07,0.09,0.03,0.12,0.09,0.12,Malick Thiaw,DF
