Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2020-2021,21,Betis,es ESP,1. La Liga,6th,33.2,1,11,3,27.3,0.33,0.09,0.09,0.33,16.6,0,0,0,1.5,1.5,0.14,-0.5,-0.5,Emerson,DF
2021-2022,22,Barcelona,es ESP,1. La Liga,2nd,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Emerson,DF
2021-2022,22,Tottenham,eng ENG,1. Premier League,4th,25.4,1,15,4,26.7,0.59,0.16,0.07,0.25,14.6,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Emerson,DF
2022-2023,23,Tottenham,eng ENG,1. Premier League,8th,19.3,2,17,6,35.3,0.88,0.31,0.12,0.33,16.6,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Emerson,DF
2023-2024,24,Tottenham,eng ENG,1. Premier League,5th,12.9,1,6,3,50.0,0.47,0.23,0.17,0.33,22.5,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Emerson,DF
2024-2025,25,Milan,it ITA,1. Serie A,8th,13.5,0,9,2,22.2,0.67,0.15,0.00,0.00,20.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Emerson,DF
2017-2018,18,Sporting CP,pt POR,1. Primeira Liga,3rd,1.1,1,3,2,66.7,2.62,1.75,0.33,0.50,,,0,0,,,,,,Rafael Leão,FW
2018-2019,19,Lille,fr FRA,1. Ligue 1,2nd,14.3,8,37,20,54.1,2.59,1.40,0.22,0.40,14.7,0,0,0,4.3,4.3,0.12,+3.7,+3.7,Rafael Leão,FW
2019-2020,20,Milan,it ITA,1. Serie A,6th,15.6,6,44,15,34.1,2.82,0.96,0.14,0.40,16.1,0,0,0,4.3,4.3,0.10,+1.7,+1.7,Rafael Leão,FW
2020-2021,21,Milan,it ITA,1. Serie A,2nd,21.4,6,43,20,46.5,2.01,0.94,0.14,0.30,16.4,0,0,0,6.0,6.0,0.14,0.0,0.0,Rafael Leão,FW
2021-2022,22,Milan,it ITA,1. Serie A,1st,28.9,11,97,38,39.2,3.35,1.31,0.11,0.29,19.0,0,0,0,8.8,8.8,0.09,+2.2,+2.2,Rafael Leão,FW
2022-2023,23,Milan,it ITA,1. Serie A,4th,26.9,15,92,29,31.5,3.42,1.08,0.16,0.52,17.9,0,0,0,10.8,10.8,0.12,+4.2,+4.2,Rafael Leão,FW
2023-2024,24,Milan,it ITA,1. Serie A,2nd,27.9,9,70,24,34.3,2.51,0.86,0.13,0.38,17.1,0,0,0,10.0,10.0,0.14,-1.0,-1.0,Rafael Leão,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,11.5,3,35,15,42.9,3.05,1.31,0.09,0.20,17.2,0,0,0,4.5,4.5,0.13,-1.5,-1.5,Rafael Leão,FW
2015-2016,16,Dortmund,de GER,1. Bundesliga,2nd,4.3,2,,3,,,0.69,,0.67,,,0,0,,,,,,Christian Pulisic,"MF,FW"
2016-2017,17,Dortmund,de GER,1. Bundesliga,3rd,16.9,3,32,14,43.8,1.89,0.83,0.09,0.21,,,0,0,,,,,,Christian Pulisic,"MF,FW"
2017-2018,18,Dortmund,de GER,1. Bundesliga,4th,25.6,4,38,15,39.5,1.49,0.59,0.11,0.27,15.3,0,0,0,5.2,5.2,0.14,-1.2,-1.2,Christian Pulisic,"MF,FW"
2018-2019,19,Dortmund,de GER,1. Bundesliga,2nd,10.4,4,27,10,37.0,2.61,0.97,0.15,0.40,13.8,0,0,0,4.8,4.8,0.18,-0.8,-0.8,Christian Pulisic,"MF,FW"
2019-2020,20,Chelsea,eng ENG,1. Premier League,4th,19.1,9,63,25,39.7,3.29,1.31,0.14,0.36,13.4,0,0,0,9.0,9.0,0.14,0.0,0.0,Christian Pulisic,"MF,FW"
2020-2021,21,Chelsea,eng ENG,1. Premier League,4th,19.3,4,43,16,37.2,2.23,0.83,0.09,0.25,14.5,0,0,0,6.1,6.1,0.14,-2.1,-2.1,Christian Pulisic,"MF,FW"
2021-2022,22,Chelsea,eng ENG,1. Premier League,3rd,14.3,6,28,11,39.3,1.95,0.77,0.21,0.55,13.2,0,0,0,4.9,4.9,0.18,+1.1,+1.1,Christian Pulisic,"MF,FW"
2022-2023,23,Chelsea,eng ENG,1. Premier League,12th,9.1,1,19,6,31.6,2.08,0.66,0.05,0.17,16.8,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Christian Pulisic,"MF,FW"
2023-2024,24,Milan,it ITA,1. Serie A,2nd,28.9,12,65,31,47.7,2.25,1.07,0.18,0.39,15.7,0,0,0,8.0,8.0,0.12,+4.0,+4.0,Christian Pulisic,"MF,FW"
2024-2025,25,Milan,it ITA,1. Serie A,8th,10.9,5,23,10,43.5,2.11,0.92,0.17,0.40,17.0,1,1,1,4.5,3.7,0.16,+0.5,+0.3,Christian Pulisic,"MF,FW"
2016-2017,18,Alavés,es ESP,1. La Liga,9th,30.3,1,26,8,30.8,0.86,0.26,0.04,0.13,,,0,0,,,,,,Theo Hernández,DF
2017-2018,19,Real Madrid,es ESP,1. La Liga,3rd,10.7,0,2,2,100.0,0.19,0.19,0.00,0.00,13.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Theo Hernández,DF
2018-2019,20,Real Sociedad,es ESP,1. La Liga,9th,22.0,1,24,5,20.8,1.09,0.23,0.04,0.20,24.0,0,0,0,1.4,1.4,0.06,-0.4,-0.4,Theo Hernández,DF
2019-2020,21,Milan,it ITA,1. Serie A,6th,31.3,6,50,17,34.0,1.60,0.54,0.12,0.35,18.1,0,0,0,5.8,5.8,0.12,+0.2,+0.2,Theo Hernández,DF
2020-2021,22,Milan,it ITA,1. Serie A,2nd,32.6,7,47,13,27.7,1.44,0.40,0.15,0.54,19.3,3,0,0,4.3,4.3,0.09,+2.7,+2.7,Theo Hernández,DF
2021-2022,23,Milan,it ITA,1. Serie A,1st,30.1,5,40,13,32.5,1.33,0.43,0.10,0.31,24.5,8,1,2,3.7,2.8,0.07,+1.3,+1.2,Theo Hernández,DF
2022-2023,24,Milan,it ITA,1. Serie A,4th,30.8,4,51,11,21.6,1.66,0.36,0.06,0.27,23.1,5,1,1,4.1,3.3,0.06,-0.1,-0.3,Theo Hernández,DF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,31.0,5,55,16,29.1,1.77,0.52,0.07,0.25,20.7,2,1,2,4.9,3.4,0.06,+0.1,+0.6,Theo Hernández,DF
2024-2025,26,Milan,it ITA,1. Serie A,8th,12.0,2,16,5,31.3,1.33,0.42,0.13,0.40,21.0,0,0,1,1.4,0.7,0.04,+0.6,+1.3,Theo Hernández,DF
2017-2018,15,Schalke U17,de GER,Jr. U17 Bundesliga,10th,18.1,1,,,,,,,,,,0,0,,,,,,Malick Thiaw,DF
2018-2019,16,Schalke U19,de GER,Jr. U19 Bundesliga,6th,24.1,1,,,,,,,,,,1,1,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke U19,de GER,Jr. U19 Bundesliga,16th,18.8,7,,,,,,,,,,1,1,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke 04,de GER,1. Bundesliga,12th,0.8,0,1,1,100.0,1.18,1.18,0.00,0.00,35.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Malick Thiaw,DF
2020-2021,18,Schalke 04,de GER,1. Bundesliga,18th,16.1,1,8,4,50.0,0.50,0.25,0.13,0.25,9.3,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Malick Thiaw,DF
2021-2022,19,Schalke 04,de GER,2. 2. Bundesliga,1st,28.3,2,23,7,30.4,0.81,0.25,0.09,0.29,13.1,0,0,0,2.6,2.6,0.11,-0.6,-0.6,Malick Thiaw,DF
2022-2023,20,Schalke 04,de GER,1. Bundesliga,17th,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,8.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Malick Thiaw,DF
2022-2023,20,Milan,it ITA,1. Serie A,4th,15.1,0,8,3,37.5,0.53,0.20,0.00,0.00,10.9,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Malick Thiaw,DF
2023-2024,21,Milan,it ITA,1. Serie A,2nd,18.0,0,5,1,20.0,0.28,0.06,0.00,0.00,12.7,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Malick Thiaw,DF
2024-2025,22,Milan,it ITA,1. Serie A,8th,11.0,0,2,0,0.0,0.18,0.00,0.00,,7.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Malick Thiaw,DF
2010-2011,17,Real Madrid,es ESP,1. La Liga,2nd,0.0,0,,0,,,0.00,,,,,0,0,,,,,,Álvaro Morata,"FW,MF"
2011-2012,18,Real Madrid,es ESP,1. La Liga,1st,0.1,0,,1,,,9.00,,0.00,,,0,0,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid B,es ESP,2. La Liga 2,8th,17.9,12,,29,,,1.62,,0.41,,,0,0,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid,es ESP,1. La Liga,2nd,4.6,2,,6,,,1.29,,0.33,,,0,0,,,,,,Álvaro Morata,"FW,MF"
2013-2014,20,Real Madrid,es ESP,1. La Liga,3rd,6.6,8,,23,,,3.48,,0.35,,,0,0,,,,,,Álvaro Morata,"FW,MF"
2014-2015,21,Juventus,it ITA,1. Serie A,1st,14.8,8,,20,,,1.35,,0.40,,,0,0,,,,,,Álvaro Morata,"FW,MF"
2015-2016,22,Juventus,it ITA,1. Serie A,1st,16.0,7,,20,,,1.25,,0.30,,,1,1,,,,,,Álvaro Morata,"FW,MF"
2016-2017,23,Real Madrid,es ESP,1. La Liga,1st,14.8,15,54,30,55.6,3.64,2.02,0.28,0.50,,,0,0,,,,,,Álvaro Morata,"FW,MF"
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,22.9,11,79,34,43.0,3.45,1.48,0.14,0.32,13.6,0,0,0,13.0,13.0,0.16,-2.0,-2.0,Álvaro Morata,"FW,MF"
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,10.5,5,35,16,45.7,3.35,1.53,0.14,0.31,13.7,0,0,0,6.1,6.1,0.18,-1.1,-1.1,Álvaro Morata,"FW,MF"
2018-2019,25,Atlético Madrid,es ESP,1. La Liga,2nd,12.0,6,30,13,43.3,2.49,1.08,0.20,0.46,11.2,0,0,0,6.3,6.3,0.22,-0.3,-0.3,Álvaro Morata,"FW,MF"
2019-2020,26,Atlético Madrid,es ESP,1. La Liga,3rd,23.3,12,66,27,40.9,2.83,1.16,0.15,0.37,12.3,0,2,3,16.0,13.6,0.21,-4.0,-3.6,Álvaro Morata,"FW,MF"
2020-2021,27,Juventus,it ITA,1. Serie A,4th,22.4,11,55,23,41.8,2.46,1.03,0.18,0.43,11.7,0,1,1,10.7,9.9,0.18,+0.3,+0.1,Álvaro Morata,"FW,MF"
2021-2022,28,Juventus,it ITA,1. Serie A,4th,25.6,9,60,24,40.0,2.35,0.94,0.13,0.33,13.1,1,1,1,8.8,8.1,0.13,+0.2,-0.1,Álvaro Morata,"FW,MF"
2022-2023,29,Atlético Madrid,es ESP,1. La Liga,3rd,21.1,13,71,32,45.1,3.36,1.52,0.18,0.41,12.2,0,0,0,11.9,11.9,0.17,+1.1,+1.1,Álvaro Morata,"FW,MF"
2023-2024,30,Atlético Madrid,es ESP,1. La Liga,4th,21.2,15,66,33,50.0,3.12,1.56,0.23,0.45,11.4,0,0,1,13.8,12.9,0.20,+1.2,+2.1,Álvaro Morata,"FW,MF"
2024-2025,31,Milan,it ITA,1. Serie A,8th,10.1,4,22,7,31.8,2.18,0.69,0.18,0.57,11.3,0,0,0,3.1,3.1,0.14,+0.9,+0.9,Álvaro Morata,"FW,MF"
2019-2020,19,Milan,it ITA,1. Serie A,6th,7.6,0,4,2,50.0,0.53,0.26,0.00,0.00,17.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matteo Gabbia,DF
2020-2021,20,Milan,it ITA,1. Serie A,2nd,6.2,0,5,0,0.0,0.81,0.00,0.00,,13.9,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matteo Gabbia,DF
2021-2022,21,Milan,it ITA,1. Serie A,1st,6.0,0,1,0,0.0,0.17,0.00,0.00,,5.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matteo Gabbia,DF
