Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2021-2022,18,Hellas Verona,it ITA,1. Serie A,9th,0.1,7,0,2,2,3,1,7,0,0,,0,,1,2,0,0,0,0,0,0,2,1,Filippo Terracciano,"DF,MF"
2022-2023,19,Hellas Verona,it ITA,1. Serie A,18th,9.1,439,21,110,224,113,9,439,12,6,50.0,3,25.0,217,1267,618,16,13,0,17,4,242,24,Filippo Terracciano,"DF,MF"
2023-2024,20,Hellas Verona,it ITA,1. Serie A,13th,14.4,860,36,271,426,172,8,860,31,13,41.9,10,32.3,464,2728,1352,26,21,1,18,19,460,28,Filippo Terracciano,"DF,MF"
2023-2024,20,Milan,it ITA,1. Serie A,2nd,0.8,48,2,13,27,8,0,48,0,0,,0,,33,205,58,0,2,0,1,1,36,1,Filippo Terracciano,"DF,MF"
2024-2025,21,Milan,it ITA,1. Serie A,8th,5.5,265,8,79,147,40,3,265,2,0,0.0,2,100.0,147,583,314,5,3,0,0,3,175,8,Filippo Terracciano,"DF,MF"
2020-2021,17,Valencia,es ESP,1. La Liga,13th,17.0,628,21,131,251,263,36,628,53,33,62.3,20,37.7,382,2677,1441,43,33,11,46,19,432,89,Yunus Musah,"MF,FW"
2021-2022,18,Valencia,es ESP,1. La Liga,9th,14.0,548,9,70,240,258,35,548,64,36,56.3,28,43.8,318,2793,1593,59,37,19,35,14,365,78,Yunus Musah,"MF,FW"
2022-2023,19,Valencia,es ESP,1. La Liga,16th,23.4,1030,27,154,487,405,51,1030,70,27,38.6,35,50.0,646,4812,2417,72,62,11,52,22,729,101,Yunus Musah,"MF,FW"
2023-2024,20,Milan,it ITA,1. Serie A,2nd,16.4,831,27,173,383,291,20,831,47,22,46.8,20,42.6,520,3554,2034,48,39,6,32,15,580,77,Yunus Musah,"MF,FW"
2024-2025,21,Milan,it ITA,1. Serie A,8th,6.0,352,9,64,192,107,9,352,17,8,47.1,7,41.2,216,1621,876,21,17,4,14,5,269,22,Yunus Musah,"MF,FW"
2018-2019,18,Basel,ch SUI,1. Super Lg,2nd,16.3,,,,,,,,,,,,,,,,,,,,,,,Noah Okafor,FW
2019-2020,19,Basel,ch SUI,1. Super Lg,3rd,7.0,,,,,,,,,,,,,,,,,,,,,,,Noah Okafor,FW
2019-2020,19,RB Salzburg,at AUT,1. Bundesliga,1st,5.2,,,,,,,,,,,,,,,,,,,,,,,Noah Okafor,FW
2020-2021,20,RB Salzburg,at AUT,1. Bundesliga,1st,9.9,,,,,,,,,,,,,,,,,,,,,,,Noah Okafor,FW
2021-2022,21,RB Salzburg,at AUT,1. Bundesliga,1st,10.6,,,,,,,,,,,,,,,,,,,,,,,Noah Okafor,FW
2022-2023,22,RB Salzburg,at AUT,1. Bundesliga,1st,11.1,,,,,,,,,,,,,,,,,,,,,,,Noah Okafor,FW
2023-2024,23,Milan,it ITA,1. Serie A,2nd,9.9,298,7,34,117,154,45,298,32,14,43.8,17,53.1,191,1405,761,29,11,14,24,14,218,66,Noah Okafor,FW
2024-2025,24,Milan,it ITA,1. Serie A,8th,4.6,163,1,10,62,97,28,163,25,12,48.0,11,44.0,111,891,563,21,11,10,12,9,123,48,Noah Okafor,FW
2023-2024,18,Milan,it ITA,1. Serie A,2nd,0.8,54,3,17,29,8,1,54,1,0,0.0,0,0.0,30,185,105,2,1,0,0,2,35,3,Alejandro Jiménez,"DF,FW"
2024-2025,19,Milan,it ITA,1. Serie A,8th,3.0,154,5,31,58,69,8,154,12,6,50.0,6,50.0,104,733,433,11,8,5,3,5,108,18,Alejandro Jiménez,"DF,FW"
2014-2015,17,Milan,it ITA,1. Serie A,10th,0.1,,,,,,,,,,,,,,,,,,,,,,,Davide Calabria,"DF,FW"
2015-2016,18,Milan,it ITA,1. Serie A,7th,4.1,,,,,,,,,,,,,,,,,,,,,,,Davide Calabria,"DF,FW"
2016-2017,19,Milan,it ITA,1. Serie A,6th,11.0,,,,,,,,,,,,,,,,,,,,,,,Davide Calabria,"DF,FW"
2017-2018,20,Milan,it ITA,1. Serie A,6th,17.4,1381.0,58.0,395.0,629.0,364.0,14.0,1381.0,19.0,13.0,68.4,6.0,31.6,499.0,2537.0,1518.0,33.0,31.0,2.0,14.0,5.0,767.0,122.0,Davide Calabria,"DF,FW"
2018-2019,21,Milan,it ITA,1. Serie A,5th,21.7,1769.0,78.0,578.0,850.0,360.0,18.0,1769.0,33.0,12.0,36.4,21.0,63.6,991.0,4710.0,2898.0,58.0,45.0,4.0,26.0,15.0,1123.0,124.0,Davide Calabria,"DF,FW"
2019-2020,22,Milan,it ITA,1. Serie A,6th,18.0,1379.0,59.0,369.0,733.0,284.0,30.0,1379.0,23.0,10.0,43.5,13.0,56.5,749.0,3767.0,2231.0,40.0,35.0,2.0,20.0,3.0,855.0,81.0,Davide Calabria,"DF,FW"
2020-2021,23,Milan,it ITA,1. Serie A,2nd,29.4,2139.0,114.0,639.0,1088.0,430.0,34.0,2139.0,35.0,20.0,57.1,15.0,42.9,999.0,4870.0,2954.0,60.0,46.0,7.0,29.0,14.0,1260.0,110.0,Davide Calabria,"DF,FW"
2021-2022,24,Milan,it ITA,1. Serie A,1st,23.5,1521.0,43.0,422.0,756.0,361.0,26.0,1521.0,20.0,10.0,50.0,10.0,50.0,693.0,3396.0,2000.0,36.0,24.0,2.0,16.0,6.0,862.0,74.0,Davide Calabria,"DF,FW"
2022-2023,25,Milan,it ITA,1. Serie A,4th,18.8,1474.0,59.0,414.0,768.0,307.0,16.0,1474.0,14.0,3.0,21.4,8.0,57.1,755.0,3303.0,1966.0,26.0,23.0,2.0,14.0,7.0,915.0,80.0,Davide Calabria,"DF,FW"
