Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,Player
6 Seasons,6 Seasons,3 Clubs,,2 Leagues,,112,7862,70,35.4,87.4,83,84,64,29,30,48,2.09,198,98,+100,+1.14,-0.11,177.8,101.9,+75.9,+0.87,-0.17,,Eric García,"MF,DF"
,,,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,Eric García,"MF,DF"
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,63,4049,64,33.8,45.0,42,82,29,21,30,24,2.06,97,39,+58,+1.29,+0.31,92.6,43.3,+49.3,+1.09,+0.16,,Eric García,"MF,DF"
Manchester City (3 Seasons),Manchester City (3 Seasons),Manchester City (3 Seasons),,1 League,,15,1335,89,23.9,14.8,15,89,14,0,,3,1.33,31,36,-5,-0.34,-0.46,,,,,,,Eric García,"MF,DF"
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,19,1176,62,17.2,13.1,11,84,9,8,31,23,2.27,31,19,+12,+0.92,-0.77,24.9,14.7,+10.2,+0.78,-0.54,,Eric García,"MF,DF"
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,30,2637,88,77.1,29.3,30,88,26,0,,1,2.03,70,40,+30,+1.02,-0.01,60.3,43.9,+16.4,+0.56,+0.56,,Eric García,"MF,DF"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric García,"MF,DF"
La Liga (4 Seasons),La Liga (4 Seasons),La Liga (4 Seasons),,,,93,6686,72,43.4,74.3,72,84,55,21,30,25,2.05,167,79,+88,+1.18,+0.20,152.9,87.2,+65.7,+0.88,+0.04,,Eric García,"MF,DF"
PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),,,,15,1335,89,23.9,14.8,15,89,14,0,,3,1.33,31,36,-5,-0.34,-0.46,,,,,,,Eric García,"MF,DF"
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,19,1176,62,17.2,13.1,11,84,9,8,31,23,2.27,31,19,+12,+0.92,-0.77,24.9,14.7,+10.2,+0.78,-0.54,,Eric García,"MF,DF"
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,31,1446,47,42.3,16.1,14,70,1,17,28,6,2.29,31,15,16,1.0,0.13,29.8,17.7,12.1,0.75,-0.33,Matches,Fermin López,"MF,FW"
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,12,396,33,23.2,4.4,4,58,0,8,21,1,1.83,8,7,1,0.23,-1.69,8.9,5.4,3.5,0.79,-0.62,Matches,Fermin López,"MF,FW"
2 Seasons,2 Seasons,1 Club,,1 League,,43,1842,43,35.9,20.5,18,67,1,25,25,7,2.16,39,22,17,0.83,-0.46,38.7,23.1,15.6,0.76,-0.45,,Fermin López,"MF,FW"
2024-2025,22,Barcelona,es ESP,1. La Liga,3rd,11,390,35,22.8,4.3,4,67,1,7,17,8,2.27,11,7,4,0.92,-0.78,9.5,5.7,3.8,0.88,-0.5,Matches,Gerard Martín,DF
1 Season,1 Season,1 Club,,1 League,,11,390,35,22.8,4.3,4,67,1,7,17,8,2.27,11,7,4,0.92,-0.78,9.5,5.7,3.8,0.88,-0.5,,Gerard Martín,DF
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,8,144,18,4.2,1.6,1,62,0,7,12,23,0.88,3,2,+1,+0.62,-0.72,3.3,2.7,+0.6,+0.38,-0.77,Matches,Pablo Torre,"MF,FW"
2023-2024,20,Girona,es ESP,1. La Liga,3rd,26,701,27,20.5,7.8,4,66,0,22,20,10,2.08,14,10,+4,+0.51,-0.64,13.2,13.1,+0.1,+0.01,-0.53,Matches,Pablo Torre,"MF,FW"
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,7,248,35,14.5,2.8,4,56,0,3,8,12,1.86,8,4,+4,+1.45,-0.09,5.4,4.7,+0.7,+0.25,-1.19,Matches,Pablo Torre,"MF,FW"
3 Seasons,3 Seasons,2 Clubs,,1 League,,41,1093,27,12.8,12.1,9,61,0,32,17,45,1.81,25,16,+9,+0.74,-0.57,21.8,20.4,+1.4,+0.11,-0.87,,Pablo Torre,"MF,FW"
,,,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,Pablo Torre,"MF,FW"
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,15,392,26,7.6,4.4,5,57,0,10,11,35,1.34,11,6,+5,+1.15,-0.26,8.6,7.4,+1.3,+0.30,-0.94,,Pablo Torre,"MF,FW"
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,26,701,27,20.5,7.8,4,66,0,22,20,10,2.08,14,10,+4,+0.51,-0.64,13.2,13.1,+0.1,+0.01,-0.53,,Pablo Torre,"MF,FW"
2021-2022,16,Barcelona,es ESP,1. La Liga,2nd,34,2316,68,67.7,25.7,28,78,11,6,23,2,1.85,44,27,17,0.66,-0.4,41.0,19.8,21.2,0.82,0.19,Matches,Gavi,MF
2022-2023,17,Barcelona,es ESP,1. La Liga,1st,36,2531,70,74.0,28.1,30,78,13,6,33,0,2.36,52,11,41,1.46,0.55,53.9,21.9,32.0,1.14,0.1,Matches,Gavi,MF
2023-2024,18,Barcelona,es ESP,1. La Liga,2nd,12,944,79,27.6,10.5,10,88,9,2,34,0,2.25,22,11,11,1.05,0.18,22.7,10.9,11.9,1.13,0.26,Matches,Gavi,MF
2024-2025,19,Barcelona,es ESP,1. La Liga,3rd,10,260,26,15.2,2.9,3,64,0,7,10,0,1.4,6,4,2,0.69,-0.98,6.3,2.7,3.6,1.24,-0.03,Matches,Gavi,MF
4 Seasons,4 Seasons,1 Club,,1 League,,92,6051,66,50.6,67.2,71,79,33,21,22,2,2.05,124,53,71,1.06,-0.05,123.9,55.2,68.7,1.02,0.07,,Gavi,MF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,3,242,81,14.2,2.7,3,81,1,0,,0,3.0,6,3,3,1.12,-0.48,6.0,2.3,3.7,1.39,0.15,Matches,Marc Bernal,MF
1 Season,1 Season,1 Club,,1 League,,3,242,81,14.2,2.7,3,81,1,0,,0,3.0,6,3,3,1.12,-0.48,6.0,2.3,3.7,1.39,0.15,,Marc Bernal,MF
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,7,318,45,9.3,3.5,4,65,0,3,20,17,2.57,9,2,7,1.98,1.17,5.4,2.9,2.5,0.7,-0.28,Matches,Héctor Fort,DF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,9,275,31,16.1,3.1,2,72,0,7,19,8,1.89,11,7,4,1.31,-0.26,8.1,4.3,3.8,1.23,-0.05,Matches,Héctor Fort,DF
2 Seasons,2 Seasons,1 Club,,1 League,,16,593,37,11.6,6.6,6,67,0,10,19,25,2.19,20,9,11,1.67,0.62,13.5,7.2,6.2,0.94,-0.12,,Héctor Fort,DF
2024-2025,19,Barcelona,es ESP,1. La Liga,3rd,3,172,57,10.1,1.9,2,71,0,1,30,15,2.0,8,4,4,2.09,0.63,4.3,4.3,0.0,0.01,-1.39,Matches,Sergi Dominguez,DF
1 Season,1 Season,1 Club,,1 League,,3,172,57,10.1,1.9,2,71,0,1,30,15,2.0,8,4,4,2.09,0.63,4.3,4.3,0.0,0.01,-1.39,,Sergi Dominguez,DF
2014-2015,17,Willem II,nl NED,1. Eredivisie,9th,1,23,23,0.8,0.3,0,,0,1,,0,3.00,0,0,0,0.00,+0.12,,,,,,Matches,Frenkie de Jong,MF
2015-2016,18,Willem II,nl NED,1. Eredivisie,16th,1,21,21,0.7,0.2,0,,0,1,,4,0.00,0,0,0,0.00,+0.53,,,,,,Matches,Frenkie de Jong,MF
2015-2016,18,Jong Ajax,nl NED,2. Eerste Divisie,9th,15,1287,86,39.7,14.3,15,,12,0,,1,1.47,23,17,+6,+0.42,+0.60,,,,,,Matches,Frenkie de Jong,MF
2016-2017,19,Jong Ajax,nl NED,2. Eerste Divisie,2nd,31,2606,84,76.2,29.0,30,,25,1,,0,1.94,71,42,+29,+1.00,-0.10,,,,,,Matches,Frenkie de Jong,MF
2016-2017,19,Ajax,nl NED,1. Eredivisie,2nd,4,151,38,4.9,1.7,1,,1,3,,13,3.00,6,1,+5,+2.98,+1.40,,,,,,Matches,Frenkie de Jong,MF
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,22,1559,71,50.9,17.3,16,,13,6,,3,2.23,42,16,+26,+1.50,-0.30,,,,,,Matches,Frenkie de Jong,MF
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,31,2510,81,82.0,27.9,30,83,22,1,34,2,2.48,98,29,+69,+2.47,-0.47,75.0,29.8,+45.2,+1.62,-0.61,Matches,Frenkie de Jong,MF
2019-2020,22,Barcelona,es ESP,1. La Liga,2nd,29,2115,73,61.8,23.5,24,83,14,5,23,1,2.10,52,26,+26,+1.11,-0.41,41.2,25.3,+16.0,+0.68,-0.15,Matches,Frenkie de Jong,MF
2020-2021,23,Barcelona,es ESP,1. La Liga,3rd,37,3154,85,92.2,35.0,35,87,29,2,63,0,2.14,78,35,+43,+1.23,-0.13,67.8,37.7,+30.1,+0.86,-0.01,Matches,Frenkie de Jong,MF
2021-2022,24,Barcelona,es ESP,1. La Liga,2nd,32,2476,77,72.4,27.5,30,81,17,2,28,1,2.00,49,30,+19,+0.69,-0.36,43.1,24.2,+18.9,+0.69,-0.27,Matches,Frenkie de Jong,MF
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,33,2534,77,74.1,28.2,29,83,20,4,29,1,2.33,56,20,+36,+1.28,-0.14,58.4,24.3,+34.2,+1.21,+0.39,Matches,Frenkie de Jong,MF
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,20,1634,82,47.8,18.2,20,82,17,0,,1,2.05,41,25,+16,+0.88,-0.08,41.3,20.0,+21.3,+1.17,+0.43,Matches,Frenkie de Jong,MF
2024-2025,27,Barcelona,es ESP,1. La Liga,3rd,8,235,29,13.7,2.6,1,45,0,7,27,3,1.75,9,7,+2,+0.77,-0.88,8.0,5.3,+2.6,+1.01,-0.30,Matches,Frenkie de Jong,MF
11 Seasons,11 Seasons,4 Clubs,,3 Leagues,,264,20305,77,49.8,225.6,231,83,170,33,30,30,2.12,525,248,+277,+1.23,+0.44,334.8,166.5,+168.2,+1.03,0.00,,Frenkie de Jong,MF
,,,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,Frenkie de Jong,MF
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,159,12148,76,64.6,135.0,139,83,97,20,30,7,2.11,285,143,+142,+1.05,-0.26,259.8,136.7,+123.1,+0.91,-0.02,,Frenkie de Jong,MF
Ajax (3 Seasons),Ajax (3 Seasons),Ajax (3 Seasons),,1 League,,57,4220,74,46.0,46.9,47,83,36,10,34,18,2.42,146,46,+100,+2.13,+0.34,75.0,29.8,+45.2,+1.62,-0.61,,Frenkie de Jong,MF
Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),,1 League,,46,3893,85,58.5,43.3,45,,37,1,,1,1.79,94,59,+35,+0.81,+0.61,,,,,,,Frenkie de Jong,MF
Willem II (2 Seasons),Willem II (2 Seasons),Willem II (2 Seasons),,1 League,,2,44,22,0.7,0.5,0,,0,2,,4,1.50,0,0,0,0.00,+0.33,,,,,,,Frenkie de Jong,MF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frenkie de Jong,MF
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,159,12148,76,64.6,135.0,139,83,97,20,30,7,2.11,285,143,+142,+1.05,-0.26,259.8,136.7,+123.1,+0.91,-0.02,,Frenkie de Jong,MF
Eredivisie (5 Seasons),Eredivisie (5 Seasons),Eredivisie (5 Seasons),,,,59,4264,72,27.9,47.4,47,83,36,12,34,22,2.39,146,46,+100,+2.11,+1.48,75.0,29.8,+45.2,+1.62,-0.61,,Frenkie de Jong,MF
Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),,,,46,3893,85,58.5,43.3,45,,37,1,,1,1.79,94,59,+35,+0.81,+0.61,,,,,,,Frenkie de Jong,MF
2019-2020,17,Girona,es ESP,2. La Liga 2,5th,1,23,23,0.6,0.3,0,,0,1,23,3,0.00,0,1,-1,-3.91,-4.06,0.1,0.8,-0.7,-2.71,-3.10,Matches,Pau Victor Delgado,FW
2020-2021,18,Girona,es ESP,2. La Liga 2,5th,7,108,15,2.9,1.2,0,,0,7,15,12,0.86,2,2,0,0.00,-0.27,1.8,1.5,+0.3,+0.24,+0.32,Matches,Pau Victor Delgado,FW
2021-2022,19,Girona,es ESP,2. La Liga 2,6th,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Pau Victor Delgado,FW
2022-2023,20,Girona,es ESP,1. La Liga,10th,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Pau Victor Delgado,FW
2023-2024,21,Barcelona,es ESP,1. La Liga,2nd,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,Pau Victor Delgado,FW
2024-2025,22,Barcelona,es ESP,1. La Liga,3rd,13,194,15,11.3,2.2,1,58,0,12,11,6,1.77,9,5,+4,+1.86,+0.37,8.0,3.1,+4.9,+2.28,+1.14,Matches,Pau Victor Delgado,FW
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,21,325,15,1.6,3.6,1,58,0,20,13,27,1.38,11,8,+3,+0.83,+0.41,9.9,5.4,+4.5,+1.25,+0.93,,Pau Victor Delgado,FW
,,,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,Pau Victor Delgado,FW
Girona (4 Seasons),Girona (4 Seasons),Girona (4 Seasons),,2 Leagues,,8,131,16,0.9,1.5,0,,0,8,16,18,0.75,2,3,-1,-0.69,-0.89,1.9,2.3,-0.4,-0.27,-0.43,,Pau Victor Delgado,FW
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,13,194,15,3.8,2.2,1,58,0,12,11,9,1.77,9,5,+4,+1.86,+0.37,8.0,3.1,+4.9,+2.28,+1.14,,Pau Victor Delgado,FW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pau Victor Delgado,FW
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,13,194,15,2.3,2.2,1,58,0,12,11,10,1.77,9,5,+4,+1.86,+0.37,8.0,3.1,+4.9,+2.28,+1.14,,Pau Victor Delgado,FW
La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),,,,8,131,16,1.2,1.5,0,,0,8,16,17,0.75,2,3,-1,-0.69,-0.89,1.9,2.3,-0.4,-0.27,-0.43,,Pau Victor Delgado,FW
2019-2020,16,Barcelona,es ESP,1. La Liga,2nd,24,1027,43,30.0,11.4,11,71,1,13,19,9,2.04,27,14,+13,+1.14,-0.18,22.3,11.3,+11.0,+0.96,+0.32,Matches,Ansu Fati,FW
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,7,431,62,12.6,4.8,6,67,0,1,29,0,1.57,10,5,+5,+1.04,-0.22,7.9,5.4,+2.5,+0.51,-0.40,Matches,Ansu Fati,FW
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,10,336,34,9.8,3.7,3,59,0,7,23,0,1.70,8,4,+4,+1.07,+0.31,4.3,3.3,+1.0,+0.27,-0.55,Matches,Ansu Fati,FW
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,36,1393,39,40.7,15.5,12,71,1,24,22,1,2.36,36,5,+31,+2.00,+1.16,31.8,13.1,+18.7,+1.21,+0.16,Matches,Ansu Fati,FW
2023-2024,20,Brighton,eng ENG,1. Premier League,11th,19,521,27,15.2,5.8,3,50,0,16,23,5,1.26,13,12,+1,+0.17,+0.42,10.2,7.0,+3.2,+0.56,+0.61,Matches,Ansu Fati,FW
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,3,50,17,1.5,0.6,0,,0,3,17,0,2.33,2,0,+2,+3.60,+2.72,2.4,0.3,+2.1,+3.86,+2.96,Matches,Ansu Fati,FW
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,4,127,32,7.4,1.4,1,75,0,3,17,5,2.25,3,0,+3,+2.13,+0.65,3.7,1.0,+2.6,+1.86,+0.65,Matches,Ansu Fati,FW
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,103,3885,38,17.5,43.2,36,68,2,67,22,20,1.96,99,40,+59,+1.37,+0.52,82.6,41.4,+41.2,+0.95,+0.21,,Ansu Fati,FW
,,,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,Ansu Fati,FW
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,84,3364,40,17.9,37.4,33,70,2,51,21,15,2.12,86,28,+58,+1.55,+0.50,72.3,34.4,+37.9,+1.01,+0.12,,Ansu Fati,FW
Brighton (1 Season),Brighton (1 Season),Brighton (1 Season),,1 League,,19,521,27,15.2,5.8,3,50,0,16,23,5,1.26,13,12,+1,+0.17,+0.42,10.2,7.0,+3.2,+0.56,+0.61,,Ansu Fati,FW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ansu Fati,FW
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,84,3364,40,17.9,37.4,33,70,2,51,21,15,2.12,86,28,+58,+1.55,+0.50,72.3,34.4,+37.9,+1.01,+0.12,,Ansu Fati,FW
Premier League (1 Season),Premier League (1 Season),Premier League (1 Season),,,,19,521,27,15.2,5.8,3,50,0,16,23,5,1.26,13,12,+1,+0.17,+0.42,10.2,7.0,+3.2,+0.56,+0.61,,Ansu Fati,FW
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,1,13,13,0.4,0.1,0,,0,1,,2,3.00,1,0,+1,+6.92,+5.87,,,,,,Matches,Andreas Christensen,DF
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,31,2790,90,91.2,31.0,31,,31,0,,3,1.77,65,43,+22,+0.71,+2.38,,,,,,Matches,Andreas Christensen,DF
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,31,2781,90,90.9,30.9,31,,30,0,,0,1.42,45,43,+2,+0.06,+2.00,,,,,,Matches,Andreas Christensen,DF
2017-2018,21,Chelsea,eng ENG,1. Premier League,5th,27,2086,77,61.0,23.2,23,,18,4,,9,1.67,37,23,+14,+0.60,-0.07,34.3,19.3,+15.0,+0.65,+0.28,Matches,Andreas Christensen,DF
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,8,617,77,18.0,6.9,6,90,6,2,38,22,1.75,16,7,+9,+1.31,+0.83,13.0,5.6,+7.4,+1.08,+0.60,Matches,Andreas Christensen,DF
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,21,1751,83,51.2,19.5,21,83,18,0,,14,1.62,37,33,+4,+0.21,-0.39,36.3,21.7,+14.7,+0.75,-0.11,Matches,Andreas Christensen,DF
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,17,1371,81,40.1,15.2,15,84,13,2,57,6,1.94,21,15,+6,+0.39,-0.31,23.5,10.8,+12.7,+0.84,-0.02,Matches,Andreas Christensen,DF
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,19,1496,79,43.7,16.6,17,85,15,2,28,9,2.21,38,11,+27,+1.62,+0.88,25.9,14.8,+11.1,+0.67,-0.22,Matches,Andreas Christensen,DF
2022-2023,26,Barcelona,es ESP,1. La Liga,1st,23,1760,77,51.5,19.6,22,80,15,1,6,4,2.30,33,13,+20,+1.02,-0.60,34.9,19.5,+15.4,+0.79,-0.67,Matches,Andreas Christensen,DF
2023-2024,27,Barcelona,es ESP,1. La Liga,2nd,30,1979,66,57.9,22.0,27,68,6,3,49,6,2.17,37,26,+11,+0.50,-1.00,41.1,24.7,+16.4,+0.75,-0.47,Matches,Andreas Christensen,DF
2024-2025,28,Barcelona,es ESP,1. La Liga,3rd,1,27,27,1.6,0.3,0,,0,1,27,0,3.00,0,0,0,0.00,-1.55,0.5,0.0,+0.5,+1.62,+0.36,Matches,Andreas Christensen,DF
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,209,16671,80,47.4,185.2,193,79,152,16,39,75,1.87,330,214,+116,+0.63,-0.25,209.4,116.3,+93.2,+0.76,-0.14,,Andreas Christensen,DF
,,,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,Andreas Christensen,DF
Chelsea (6 Seasons),Chelsea (6 Seasons),Chelsea (6 Seasons),,1 League,,93,7334,79,35.7,81.5,82,85,70,11,41,62,1.84,150,89,+61,+0.75,+0.01,133.0,72.1,+60.9,+0.75,+0.06,,Andreas Christensen,DF
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,54,3766,70,44.0,41.8,49,73,21,5,36,10,2.24,70,39,+31,+0.74,-0.82,76.4,44.1,+32.3,+0.77,-0.54,,Andreas Christensen,DF
Gladbach (2 Seasons),Gladbach (2 Seasons),Gladbach (2 Seasons),,1 League,,62,5571,90,91.0,61.9,62,,61,0,,3,1.60,110,86,+24,+0.39,+2.19,,,,,,,Andreas Christensen,DF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Christensen,DF
Premier League (6 Seasons),Premier League (6 Seasons),Premier League (6 Seasons),,,,93,7334,79,35.7,81.5,82,85,70,11,41,62,1.84,150,89,+61,+0.75,+0.01,133.0,72.1,+60.9,+0.75,+0.06,,Andreas Christensen,DF
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,54,3766,70,44.0,41.8,49,73,21,5,36,10,2.24,70,39,+31,+0.74,-0.82,76.4,44.1,+32.3,+0.77,-0.54,,Andreas Christensen,DF
Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,62,5571,90,91.0,61.9,62,,61,0,,3,1.60,110,86,+24,+0.39,+2.19,,,,,,,Andreas Christensen,DF
2017,17,Boston River,uy URU,1. Uruguayan Primera División,6th,9,530,59,15.9,5.9,5,91,5,4,19,4,1.22,4,10,-6,-1.02,-1.34,,,,,,Matches,Ronald Araújo,DF
2018,18,Boston River,uy URU,1. Uruguayan Primera División,13th,18,1596,89,52.2,17.7,18,89,17,0,,0,1.22,22,26,-4,-0.23,+0.57,,,,,,Matches,Ronald Araújo,DF
2019-2020,20,Barcelona,es ESP,1. La Liga,2nd,6,238,40,7.0,2.6,2,90,2,4,15,9,3.00,11,0,+11,+4.16,+3.11,6.6,2.6,+4.0,+1.50,+0.82,Matches,Ronald Araújo,DF
2020-2021,21,Barcelona,es ESP,1. La Liga,3rd,24,1510,63,44.2,16.8,16,80,12,8,29,5,2.33,34,16,+18,+1.07,-0.29,34.0,16.5,+17.5,+1.04,+0.33,Matches,Ronald Araújo,DF
2021-2022,22,Barcelona,es ESP,1. La Liga,2nd,30,2272,76,66.4,25.2,25,86,22,5,25,1,2.13,48,29,+19,+0.75,-0.11,42.2,23.8,+18.4,+0.73,-0.11,Matches,Ronald Araújo,DF
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,22,1800,82,52.6,20.0,21,85,16,1,24,2,2.45,42,5,+37,+1.85,+1.13,44.4,14.0,+30.4,+1.52,+0.86,Matches,Ronald Araújo,DF
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,25,1997,80,58.4,22.2,21,88,20,4,38,7,2.00,50,31,+19,+0.86,-0.16,47.9,26.7,+21.3,+0.96,+0.03,Matches,Ronald Araújo,DF
2024-2025,25,Barcelona,es ESP,1. La Liga,3rd,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Ronald Araújo,DF
8 Seasons,8 Seasons,2 Clubs,,2 Leagues,,134,9943,74,39.5,110.5,108,86,94,26,26,30,2.05,211,117,+94,+0.85,+0.17,175.1,83.6,+91.5,+1.05,+0.31,,Ronald Araújo,DF
,,,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,Ronald Araújo,DF
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,107,7817,73,41.6,86.9,85,85,72,22,27,26,2.26,185,81,+104,+1.20,+0.17,175.1,83.6,+91.5,+1.05,+0.31,,Ronald Araújo,DF
Boston River (2 Seasons),Boston River (2 Seasons),Boston River (2 Seasons),,1 League,,27,2126,79,33.3,23.6,23,89,22,4,19,4,1.22,26,36,-10,-0.42,-0.36,,,,,,,Ronald Araújo,DF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronald Araújo,DF
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,107,7817,73,41.6,86.9,85,85,72,22,27,26,2.26,185,81,+104,+1.20,+0.17,175.1,83.6,+91.5,+1.05,+0.31,,Ronald Araújo,DF
Uruguayan Primera División (2 Seasons),Uruguayan Primera División (2 Seasons),Uruguayan Primera División (2 Seasons),,,,27,2126,79,33.3,23.6,23,89,22,4,19,4,1.22,26,36,-10,-0.42,-0.36,,,,,,,Ronald Araújo,DF
2021-2022,14,Freiburg U17,de GER,Jr. U17 Bundesliga,7th,15,987,66,54.8,11.0,14,69,5,1,20,0,2.00,30,26,+4,+0.36,-1.85,Matches,Noah Darvich,MF
2022-2023,15,Freiburg U17,de GER,Jr. U17 Bundesliga,28th,8,659,82,45.8,7.3,7,88,6,1,45,0,1.25,17,15,+2,+0.27,-0.30,Matches,Noah Darvich,MF
,,,,,,,,,,,,,,,,,,,,,,,,Noah Darvich,MF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,0,,,,,0,,0,0,,1,,,,,,,Matches,Noah Darvich,MF
1 Season,1 Season,1 Club,,1 League,,0,,,,,0,,0,0,,1,,,,,,,,Noah Darvich,MF
,,,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,Noah Darvich,MF
Freiburg U17 (2 Seasons),Freiburg U17 (2 Seasons),Freiburg U17 (2 Seasons),,1 League,,23,1646,72,50.8,18.3,21,75,11,2,33,0,1.74,47,41,+6,+0.33,-1.08,,Noah Darvich,MF
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,0,,,,,0,,0,0,,1,,,,,,,,Noah Darvich,MF
