Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,Player
Barcelona (11 Seasons),Barcelona (11 Seasons),Barcelona (11 Seasons),,1 League,,289,25804,89,71.9,286.7,288,90,285,1,3,69,2.29,665,252,+413,+1.44,-0.07,478.4,248.6,+229.8,+0.94,+0.09,,Marc-André ter Stegen,GK
Gladbach (4 Seasons),Gladbach (4 Seasons),Gladbach (4 Seasons),,1 League,,108,9706,90,79.3,107.8,108,,107,0,,,,,,,,,,,,,,,Marc-André ter Stegen,GK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marc-André ter Stegen,GK
La Liga (11 Seasons),La Liga (11 Seasons),La Liga (11 Seasons),,,,289,25804,89,71.9,286.7,288,90,285,1,3,69,2.29,665,252,+413,+1.44,-0.07,478.4,248.6,+229.8,+0.94,+0.09,,Marc-André ter Stegen,GK
Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,108,9706,90,79.3,107.8,108,,107,0,,,,,,,,,,,,,,,Marc-André ter Stegen,GK
2017-2018,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,6th,2,180,90,9.1,2.0,2,90,2,0,,2,1.50,2,1,+1,+0.50,+0.05,,,,,,Matches,Eric García,"MF,DF"
2018-2019,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,8th,10,885,89,44.7,9.8,10,89,9,0,,1,1.30,21,29,-8,-0.81,-0.65,,,,,,Matches,Eric García,"MF,DF"
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,3,270,90,16.7,3.0,3,90,3,0,,0,1.33,8,6,+2,+0.67,+0.73,,,,,,Matches,Eric García,"MF,DF"
2019-2020,18,Manchester City,eng ENG,1. Premier League,2nd,13,793,61,23.2,8.8,8,82,6,5,27,7,2.54,23,7,+16,+1.82,+0.07,20.9,8.0,+12.8,+1.46,-0.01,Matches,Eric García,"MF,DF"
2020-2021,19,Manchester City,eng ENG,1. Premier League,1st,6,383,64,11.2,4.3,3,90,3,3,38,16,1.67,8,12,-4,-0.94,-2.57,4.0,6.7,-2.6,-0.61,-1.82,Matches,Eric García,"MF,DF"
2021-2022,20,Barcelona,es ESP,1. La Liga,2nd,26,2039,78,59.6,22.7,23,82,16,3,48,7,2.00,46,20,+26,+1.15,+0.89,42.1,21.7,+20.4,+0.90,+0.34,Matches,Eric García,"MF,DF"
2022-2023,21,Barcelona,es ESP,1. La Liga,1st,24,1417,59,41.4,15.7,15,79,10,9,25,14,2.00,30,10,+20,+1.27,-0.08,30.6,14.0,+16.7,+1.06,-0.09,Matches,Eric García,"MF,DF"
2023-2024,22,Girona,es ESP,1. La Liga,3rd,30,2637,88,77.1,29.3,30,88,26,0,,1,2.03,70,40,+30,+1.02,-0.01,60.3,43.9,+16.4,+0.56,+0.56,Matches,Eric García,"MF,DF"
2023-2024,22,Barcelona,es ESP,1. La Liga,2nd,2,57,29,1.7,0.6,0,,0,2,29,1,3.00,4,1,+3,+4.74,+3.88,3.2,0.4,+2.8,+4.47,+3.59,Matches,Eric García,"MF,DF"
2024-2025,23,Barcelona,es ESP,1. La Liga,3rd,11,536,49,31.3,6.0,4,86,3,7,28,2,2.18,17,8,+9,+1.51,-0.02,16.6,7.3,+9.4,+1.57,+0.45,Matches,Eric García,"MF,DF"
