Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Player
Gladbach (4 Seasons),Gladbach (4 Seasons),Gladbach (4 Seasons),,1 League,,107.8,,,,,,,,,,,,,,0,,,,Marc-André ter Stegen
,,,,,,,,,,,,,,,,,,,,,,,,Marc-André ter Stegen
La Liga (11 Seasons),La Liga (11 Seasons),La Liga (11 Seasons),,,,286.7,3,2,3,0,0,3,13,23.1,10,1,0,1,12,13,71,24,,Marc-André ter Stegen
Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,107.8,,,,,,,,,,,,,,0,,,,Marc-André ter Stegen
2017-2018,17,Valencia,es ESP,1. La Liga,4th,3.5,8,7,3,5,0,2,6,33.3,4,1,0,1,3,11,1,0,Matches,Ferrán Torres
2018-2019,18,Valencia,es ESP,1. La Liga,4th,9.4,15,8,4,8,3,5,11,45.5,6,10,1,9,10,25,9,0,Matches,Ferrán Torres
2019-2020,19,Valencia,es ESP,1. La Liga,9th,25.0,23,15,6,16,1,8,30,26.7,22,20,3,17,14,37,12,0,Matches,Ferrán Torres
2020-2021,20,Manchester City,eng ENG,1. Premier League,1st,14.5,12,5,4,6,2,5,16,31.3,11,16,0,16,3,15,8,0,Matches,Ferrán Torres
2021-2022,21,Manchester City,eng ENG,1. Premier League,1st,3.4,2,2,0,1,1,0,3,0.0,3,2,0,2,0,2,1,0,Matches,Ferrán Torres
2021-2022,21,Barcelona,es ESP,1. La Liga,2nd,15.7,10,5,3,4,3,3,7,42.9,4,12,3,9,6,16,7,0,Matches,Ferrán Torres
2022-2023,22,Barcelona,es ESP,1. La Liga,1st,15.5,13,7,4,5,4,5,20,25.0,15,11,2,9,3,16,5,0,Matches,Ferrán Torres
2023-2024,23,Barcelona,es ESP,1. La Liga,2nd,13.5,9,6,1,6,2,5,16,31.3,11,7,1,6,5,14,6,0,Matches,Ferrán Torres
2024-2025,24,Barcelona,es ESP,1. La Liga,1st,5.2,5,3,1,2,2,1,3,33.3,2,5,0,5,1,6,1,0,Matches,Ferrán Torres
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,105.6,97,58,26,53,18,34,112,30.4,78,84,10,74,45,142,50,0,,Ferrán Torres
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Ferrán Torres
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,49.8,37,21,9,17,11,14,46,30.4,32,35,6,29,15,52,19,0,,Ferrán Torres
Valencia (3 Seasons),Valencia (3 Seasons),Valencia (3 Seasons),,1 League,,37.9,46,30,13,29,4,15,47,31.9,32,31,4,27,27,73,22,0,,Ferrán Torres
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,17.9,14,7,4,7,3,5,19,26.3,14,18,0,18,3,17,9,0,,Ferrán Torres
,,,,,,,,,,,,,,,,,,,,,,,,Ferrán Torres
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,87.7,83,51,22,46,15,29,93,31.2,64,66,10,56,42,125,41,0,,Ferrán Torres
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,17.9,14,7,4,7,3,5,19,26.3,14,18,0,18,3,17,9,0,,Ferrán Torres
2024-2025,22,Barcelona,es ESP,1. La Liga,1st,4.3,10,4,4,3,3,7,10,70.0,3,9,2,7,4,14,9,0,Matches,Gerard Martín
1 Season,1 Season,1 Club,,1 League,,4.3,10,4,4,3,3,7,10,70.0,3,9,2,7,4,14,9,0,,Gerard Martín
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,1.6,2,1,0,1,1,2,4,50.0,2,1,0,1,2,4,1,0,Matches,Pablo Torre
2023-2024,20,Girona,es ESP,1. La Liga,3rd,7.8,5,2,0,5,0,4,10,40.0,6,10,2,8,4,9,6,1,Matches,Pablo Torre
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,2.8,5,4,1,3,1,2,2,100.0,0,0,0,0,1,6,4,1,Matches,Pablo Torre
3 Seasons,3 Seasons,2 Clubs,,1 League,,12.1,12,7,1,9,2,8,16,50.0,8,11,2,9,7,19,11,2,,Pablo Torre
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Pablo Torre
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,4.4,7,5,1,4,2,4,6,66.7,2,1,0,1,3,10,5,1,,Pablo Torre
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,7.8,5,2,0,5,0,4,10,40.0,6,10,2,8,4,9,6,1,,Pablo Torre
2017-2018,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,6th,2.0,,,,,,,,,,,,,,,,,Matches,Eric García
2018-2019,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,8th,9.8,,,,,,,,,,,,,,,,,Matches,Eric García
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,3.0,,,,,,,,,,,,,,,,,Matches,Eric García
2019-2020,18,Manchester City,eng ENG,1. Premier League,2nd,8.8,6,1,4,2,0,5,9,55.6,4,2,0,2,18,24,33,0,Matches,Eric García
2020-2021,19,Manchester City,eng ENG,1. Premier League,1st,4.3,8,7,5,3,0,5,7,71.4,2,4,1,3,4,12,10,0,Matches,Eric García
2021-2022,20,Barcelona,es ESP,1. La Liga,2nd,22.7,27,18,13,13,1,11,26,42.3,15,22,12,10,44,71,53,3,Matches,Eric García
2022-2023,21,Barcelona,es ESP,1. La Liga,1st,15.7,24,16,16,5,3,9,20,45.0,11,23,10,13,19,43,36,1,Matches,Eric García
2023-2024,22,Girona,es ESP,1. La Liga,3rd,29.3,55,37,34,18,3,34,49,69.4,15,36,18,18,30,85,79,2,Matches,Eric García
2023-2024,22,Barcelona,es ESP,1. La Liga,2nd,0.6,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches,Eric García
2024-2025,23,Barcelona,es ESP,1. La Liga,1st,5.0,10,4,2,6,2,4,6,66.7,2,8,3,5,4,14,9,0,Matches,Eric García
6 Seasons,6 Seasons,3 Clubs,,2 Leagues,,86.4,130,83,74,47,9,68,117,58.1,49,96,45,51,119,249,220,6,,Eric García
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Eric García
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,44.1,61,38,31,24,6,24,52,46.2,28,54,26,28,67,128,98,4,,Eric García
Manchester City (3 Seasons),Manchester City (3 Seasons),Manchester City (3 Seasons),,1 League,,14.8,,,,,,,,,,,,,,0,,,,Eric García
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,13.1,14,8,9,5,0,10,16,62.5,6,6,1,5,22,36,43,0,,Eric García
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,29.3,55,37,34,18,3,34,49,69.4,15,36,18,18,30,85,79,2,,Eric García
,,,,,,,,,,,,,,,,,,,,,,,,Eric García
La Liga (4 Seasons),La Liga (4 Seasons),La Liga (4 Seasons),,,,73.4,116,75,65,42,9,58,101,57.4,43,90,44,46,97,213,177,6,,Eric García
PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),,,,14.8,,,,,,,,,,,,,,0,,,,Eric García
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,13.1,14,8,9,5,0,10,16,62.5,6,6,1,5,22,36,43,0,,Eric García
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.1,41,21,15,18,8,14,40,35.0,26,14,1,13,4,45,9,0,Matches,Fermin López
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,3.4,6,5,3,1,2,2,7,28.6,5,1,0,1,2,8,1,0,Matches,Fermin López
2 Seasons,2 Seasons,1 Club,,1 League,,19.5,47,26,18,19,10,16,47,34.0,31,15,1,14,6,53,10,0,,Fermin López
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,2.7,8,6,2,5,1,7,8,87.5,1,5,1,4,1,9,4,0,Matches,Marc Bernal
1 Season,1 Season,1 Club,,1 League,,2.7,8,6,2,5,1,7,8,87.5,1,5,1,4,1,9,4,0,,Marc Bernal
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,3.5,6,5,5,1,0,4,10,40.0,6,0,0,0,2,8,4,0,Matches,Héctor Fort
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,3.1,8,6,4,3,1,7,10,70.0,3,6,0,6,4,12,9,0,Matches,Héctor Fort
2 Seasons,2 Seasons,1 Club,,1 League,,6.6,14,11,9,4,1,11,20,55.0,9,6,0,6,6,20,13,0,,Héctor Fort
2021-2022,16,Barcelona,es ESP,1. La Liga,2nd,25.7,38,18,13,18,7,9,33,27.3,24,36,0,36,25,63,13,0,Matches,Gavi
2022-2023,17,Barcelona,es ESP,1. La Liga,1st,28.1,47,31,7,30,10,21,55,38.2,34,32,5,27,18,65,22,0,Matches,Gavi
2023-2024,18,Barcelona,es ESP,1. La Liga,2nd,10.5,39,21,20,14,5,18,36,50.0,18,19,3,16,8,47,16,1,Matches,Gavi
2024-2025,19,Barcelona,es ESP,1. La Liga,1st,2.0,6,4,3,3,0,4,4,100.0,0,6,1,5,5,11,2,0,Matches,Gavi
4 Seasons,4 Seasons,1 Club,,1 League,,66.4,130,74,43,65,22,52,128,40.6,76,93,9,84,56,186,53,1,,Gavi
2024-2025,19,Barcelona,es ESP,1. La Liga,1st,1.9,1,1,1,0,0,0,0,,0,0,0,0,3,4,7,0,Matches,Sergi Dominguez
1 Season,1 Season,1 Club,,1 League,,1.9,1,1,1,0,0,0,0,,0,0,0,0,3,4,7,0,,Sergi Dominguez
2014-2015,17,Willem II,nl NED,1. Eredivisie,9th,0.3,,,,,,,,,,,,,,,,,Matches,Frenkie de Jong
2015-2016,18,Willem II,nl NED,1. Eredivisie,16th,0.2,,,,,,,,,,,,,,,,,Matches,Frenkie de Jong
2015-2016,18,Jong Ajax,nl NED,2. Eerste Divisie,9th,14.3,,,,,,,,,,,,,,,,,Matches,Frenkie de Jong
2016-2017,19,Jong Ajax,nl NED,2. Eerste Divisie,2nd,29.0,,0,,,,,,,,,,,0,,,,Matches,Frenkie de Jong
2016-2017,19,Ajax,nl NED,1. Eredivisie,2nd,1.7,,0,,,,,,,,,,,0,,,,Matches,Frenkie de Jong
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,17.3,,0,,,,,,,,,,,0,,,,Matches,Frenkie de Jong
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,27.9,54,32,15,31,8,21,49,42.9,28,21,6,15,44,98,43,4,Matches,Frenkie de Jong
2019-2020,22,Barcelona,es ESP,1. La Liga,2nd,23.5,26,19,7,12,7,7,22,31.8,15,17,7,10,21,47,9,0,Matches,Frenkie de Jong
2020-2021,23,Barcelona,es ESP,1. La Liga,3rd,35.0,44,27,21,19,4,15,35,42.9,20,20,4,16,38,82,29,2,Matches,Frenkie de Jong
2021-2022,24,Barcelona,es ESP,1. La Liga,2nd,27.5,35,19,12,18,5,12,23,52.2,11,19,5,14,20,55,16,0,Matches,Frenkie de Jong
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,28.2,46,26,16,21,9,17,41,41.5,24,11,1,10,35,81,22,1,Matches,Frenkie de Jong
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,18.2,43,26,14,23,6,8,19,42.1,11,18,8,10,14,57,28,1,Matches,Frenkie de Jong
2024-2025,27,Barcelona,es ESP,1. La Liga,1st,2.6,1,1,0,1,0,0,1,0.0,1,3,0,3,1,2,0,0,Matches,Frenkie de Jong
11 Seasons,11 Seasons,4 Clubs,,3 Leagues,,225.6,249,150,85,125,39,80,190,42.1,110,109,31,78,173,422,147,8,,Frenkie de Jong
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Frenkie de Jong
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,135.0,195,118,70,94,31,59,141,41.8,82,88,25,63,129,324,104,4,,Frenkie de Jong
Ajax (3 Seasons),Ajax (3 Seasons),Ajax (3 Seasons),,1 League,,46.9,54,32,15,31,8,21,49,42.9,28,21,6,15,44,98,43,4,,Frenkie de Jong
Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),,1 League,,43.3,,0,,,,,,,,,,,0,0,,,,Frenkie de Jong
Willem II (2 Seasons),Willem II (2 Seasons),Willem II (2 Seasons),,1 League,,0.5,,,,,,,,,,,,,,0,,,,Frenkie de Jong
,,,,,,,,,,,,,,,,,,,,,,,,Frenkie de Jong
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,135.0,195,118,70,94,31,59,141,41.8,82,88,25,63,129,324,104,4,,Frenkie de Jong
Eredivisie (5 Seasons),Eredivisie (5 Seasons),Eredivisie (5 Seasons),,,,47.4,54,32,15,31,8,21,49,42.9,28,21,6,15,44,98,43,4,,Frenkie de Jong
Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),,,,43.3,,0,,,,,,,,,,,0,0,,,,Frenkie de Jong
2019-2020,17,Girona,es ESP,2. La Liga 2,5th,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Pau Victor Delgado
2020-2021,18,Girona,es ESP,2. La Liga 2,5th,1.2,1,0,1,0,0,1,5,20.0,4,0,0,0,0,1,0,0,Matches,Pau Victor Delgado
2024-2025,22,Barcelona,es ESP,1. La Liga,1st,2.0,1,1,0,1,0,0,3,0.0,3,5,1,4,2,3,4,0,Matches,Pau Victor Delgado
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,3.5,2,1,1,1,0,1,8,12.5,7,5,1,4,2,4,4,0,,Pau Victor Delgado
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Pau Victor Delgado
Girona (4 Seasons),Girona (4 Seasons),Girona (4 Seasons),,2 Leagues,,1.5,1,0,1,0,0,1,5,20.0,4,0,0,0,0,1,0,0,,Pau Victor Delgado
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,2.0,1,1,0,1,0,0,3,0.0,3,5,1,4,2,3,4,0,,Pau Victor Delgado
,,,,,,,,,,,,,,,,,,,,,,,,Pau Victor Delgado
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,2.0,1,1,0,1,0,0,3,0.0,3,5,1,4,2,3,4,0,,Pau Victor Delgado
La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),,,,1.5,1,0,1,0,0,1,5,20.0,4,0,0,0,0,1,0,0,,Pau Victor Delgado
2019-2020,16,Barcelona,es ESP,1. La Liga,2nd,11.4,16,8,4,7,5,5,15,33.3,10,14,1,13,8,24,3,0,Matches,Ansu Fati
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,4.8,9,4,2,4,3,2,10,20.0,8,4,0,4,3,12,1,0,Matches,Ansu Fati
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,3.7,3,2,0,2,1,1,1,100.0,0,4,0,4,1,4,0,0,Matches,Ansu Fati
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,15.5,16,9,8,4,4,5,18,27.8,13,19,0,19,5,21,6,0,Matches,Ansu Fati
2023-2024,20,Brighton,eng ENG,1. Premier League,11th,5.8,5,3,1,2,2,1,11,9.1,10,8,0,8,3,8,3,0,Matches,Ansu Fati
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,Ansu Fati
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,1.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,1,Matches,Ansu Fati
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,43.2,50,27,15,20,15,14,56,25.0,42,49,1,48,20,70,13,1,,Ansu Fati
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Ansu Fati
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,37.4,45,24,14,18,13,13,45,28.9,32,41,1,40,17,62,10,1,,Ansu Fati
Brighton (1 Season),Brighton (1 Season),Brighton (1 Season),,1 League,,5.8,5,3,1,2,2,1,11,9.1,10,8,0,8,3,8,3,0,,Ansu Fati
,,,,,,,,,,,,,,,,,,,,,,,,Ansu Fati
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,37.4,45,24,14,18,13,13,45,28.9,32,41,1,40,17,62,10,1,,Ansu Fati
Premier League (1 Season),Premier League (1 Season),Premier League (1 Season),,,,5.8,5,3,1,2,2,1,11,9.1,10,8,0,8,3,8,3,0,,Ansu Fati
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,0.1,,,,,,,,,,,,,,,,,Matches,Andreas Christensen
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,31.0,,,,,,,,,,,,,,,,,Matches,Andreas Christensen
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,30.9,,37,,,,,,,,,,,69,,,,Matches,Andreas Christensen
2017-2018,21,Chelsea,eng ENG,1. Premier League,5th,23.2,26,13,23,3,0,10,15,66.7,5,25,17,8,39,65,109,5,Matches,Andreas Christensen
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,6.9,10,4,2,6,2,2,5,40.0,3,4,2,2,4,14,29,0,Matches,Andreas Christensen
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,19.5,38,21,25,12,1,15,21,71.4,6,12,8,4,29,67,56,0,Matches,Andreas Christensen
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,15.2,11,6,8,3,0,0,8,0.0,8,19,14,5,20,31,51,1,Matches,Andreas Christensen
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,16.6,14,8,9,4,1,4,7,57.1,3,14,6,8,29,43,57,1,Matches,Andreas Christensen
2022-2023,26,Barcelona,es ESP,1. La Liga,1st,19.6,20,15,9,11,0,10,16,62.5,6,14,12,2,21,41,47,0,Matches,Andreas Christensen
2023-2024,27,Barcelona,es ESP,1. La Liga,2nd,22.0,23,14,7,14,2,16,28,57.1,12,23,10,13,21,44,41,0,Matches,Andreas Christensen
2024-2025,28,Barcelona,es ESP,1. La Liga,1st,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,Andreas Christensen
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,185.2,142,118,83,53,6,57,100,57.0,43,111,69,42,232,305,392,7,,Andreas Christensen
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Andreas Christensen
Chelsea (6 Seasons),Chelsea (6 Seasons),Chelsea (6 Seasons),,1 League,,81.5,99,52,67,28,4,31,56,55.4,25,74,47,27,121,220,302,7,,Andreas Christensen
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,41.8,43,29,16,25,2,26,44,59.1,18,37,22,15,42,85,90,0,,Andreas Christensen
Gladbach (2 Seasons),Gladbach (2 Seasons),Gladbach (2 Seasons),,1 League,,61.9,,37,,,,,,,,,,,69,0,,,,Andreas Christensen
,,,,,,,,,,,,,,,,,,,,,,,,Andreas Christensen
Premier League (6 Seasons),Premier League (6 Seasons),Premier League (6 Seasons),,,,81.5,99,52,67,28,4,31,56,55.4,25,74,47,27,121,220,302,7,,Andreas Christensen
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,41.8,43,29,16,25,2,26,44,59.1,18,37,22,15,42,85,90,0,,Andreas Christensen
Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,61.9,,37,,,,,,,,,,,69,0,,,,Andreas Christensen
2009-2010,19,Brentford,eng ENG,3. League One,9th,27.7,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2010-2011,20,Arsenal,eng ENG,1. Premier League,4th,15.0,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2011-2012,21,Arsenal,eng ENG,1. Premier League,3rd,38.0,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2012-2013,22,Arsenal,eng ENG,1. Premier League,4th,25.0,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2013-2014,23,Arsenal,eng ENG,1. Premier League,4th,37.0,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2014-2015,24,Arsenal,eng ENG,1. Premier League,3rd,16.6,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2015-2016,25,Roma,it ITA,1. Serie A,3rd,34.0,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2016-2017,26,Roma,it ITA,1. Serie A,2nd,38.0,,1,,,,,,,,,,,1,,,,Matches,Wojciech Szczęsny
2017-2018,27,Juventus,it ITA,1. Serie A,1st,17.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,Wojciech Szczęsny
2018-2019,28,Juventus,it ITA,1. Serie A,1st,28.0,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,8,2,Matches,Wojciech Szczęsny
2019-2020,29,Juventus,it ITA,1. Serie A,1st,28.8,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,1,Matches,Wojciech Szczęsny
2020-2021,30,Juventus,it ITA,1. Serie A,4th,29.7,0,0,0,0,0,0,0,,0,2,0,2,3,3,5,1,Matches,Wojciech Szczęsny
2021-2022,31,Juventus,it ITA,1. Serie A,4th,33.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,8,1,Matches,Wojciech Szczęsny
2022-2023,32,Juventus,it ITA,1. Serie A,7th,27.5,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,7,0,Matches,Wojciech Szczęsny
2023-2024,33,Juventus,it ITA,1. Serie A,3rd,35.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,2,Matches,Wojciech Szczęsny
16 Seasons,16 Seasons,5 Clubs,,4 Leagues,,430.4,4,3,4,0,0,2,4,50.0,2,2,0,2,7,10,53,7,,Wojciech Szczęsny
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Wojciech Szczęsny
Juventus (7 Seasons),Juventus (7 Seasons),Juventus (7 Seasons),,1 League,,199.0,4,2,4,0,0,2,4,50.0,2,2,0,2,6,10,53,7,,Wojciech Szczęsny
Arsenal (5 Seasons),Arsenal (5 Seasons),Arsenal (5 Seasons),,1 League,,131.6,,,,,,,,,,,,,,0,,,,Wojciech Szczęsny
Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,72.0,,1,,,,,,,,,,,1,0,,,,Wojciech Szczęsny
Brentford (1 Season),Brentford (1 Season),Brentford (1 Season),,1 League,,27.7,,,,,,,,,,,,,,0,,,,Wojciech Szczęsny
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,,,,,,,,,,,,,,,0,,,,Wojciech Szczęsny
,,,,,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny
Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,271.0,4,3,4,0,0,2,4,50.0,2,2,0,2,7,10,53,7,,Wojciech Szczęsny
Premier League (5 Seasons),Premier League (5 Seasons),Premier League (5 Seasons),,,,131.6,,,,,,,,,,,,,,0,,,,Wojciech Szczęsny
League One (1 Season),League One (1 Season),League One (1 Season),,,,27.7,,,,,,,,,,,,,,0,,,,Wojciech Szczęsny
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,,,,,,,,,,,,,,,0,,,,Wojciech Szczęsny
2022-2023,18,FC Andorra,es ESP,2. La Liga 2,7th,3.4,6,1,2,2,2,4,10,40.0,6,5,1,4,2,8,2,0,Matches,Álex Valle
2023-2024,19,Levante,es ESP,2. La Liga 2,8th,25.6,71,40,40,18,13,53,79,67.1,26,36,7,29,36,107,79,0,Matches,Álex Valle
2024-2025,20,Celtic,sct SCO,1. Premiership,1st,4.6,,6,,,,,,,,,,,5,,,,Matches,Álex Valle
3 Seasons,3 Seasons,4 Clubs,,3 Leagues,,33.6,77,47,42,20,15,57,89,64.0,32,41,8,33,43,115,81,0,,Álex Valle
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Álex Valle
Levante (1 Season),Levante (1 Season),Levante (1 Season),,1 League,,25.6,71,40,40,18,13,53,79,67.1,26,36,7,29,36,107,79,0,,Álex Valle
FC Andorra (1 Season),FC Andorra (1 Season),FC Andorra (1 Season),,1 League,,3.4,6,1,2,2,2,4,10,40.0,6,5,1,4,2,8,2,0,,Álex Valle
Celtic (1 Season),Celtic (1 Season),Celtic (1 Season),,1 League,,4.6,,6,,,,,,,,,,,5,0,,,,Álex Valle
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,,,,,,,,,,,,,,,0,,,,Álex Valle
,,,,,,,,,,,,,,,,,,,,,,,,Álex Valle
La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),,,,29.0,77,41,42,20,15,57,89,64.0,32,41,8,33,38,115,81,0,,Álex Valle
Premiership (1 Season),Premiership (1 Season),Premiership (1 Season),,,,4.6,,6,,,,,,,,,,,5,0,,,,Álex Valle
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,,,,,,,,,,,,,,,0,,,,Álex Valle
2011-2012,20,Real Sociedad,es ESP,1. La Liga,12th,24.4,,,,,,,,,,,,,,,,,Matches,Iñigo Martínez,DF
2012-2013,21,Real Sociedad,es ESP,1. La Liga,4th,34.0,,,,,,,,,,,,,,,,,Matches,Iñigo Martínez,DF
2013-2014,22,Real Sociedad,es ESP,1. La Liga,7th,34.7,,,,,,,,,,,,,,,,,Matches,Iñigo Martínez,DF
2014-2015,23,Real Sociedad,es ESP,1. La Liga,12th,33.6,,,,,,,,,,,,,,,,,Matches,Iñigo Martínez,DF
2015-2016,24,Real Sociedad,es ESP,1. La Liga,9th,30.0,,44,,,,,,,,,,,93,,,,Matches,Iñigo Martínez,DF
2016-2017,25,Real Sociedad,es ESP,1. La Liga,6th,33.3,,30,,,,,,,,,,,60,,,,Matches,Iñigo Martínez,DF
2017-2018,26,Real Sociedad,es ESP,1. La Liga,12th,11.7,14,9,9,4,1,5,11,45.5,6,9,4,5,23,37,55,0,Matches,Iñigo Martínez,DF
