Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Player
Sporting CP (2 Seasons),Sporting CP (2 Seasons),Sporting CP (2 Seasons),,1 League,,20.8,42,31,17,17,8,14,43,32.6,29,28,0,28,23,65,6,0,,Raphinha
Rennes (2 Seasons),Rennes (2 Seasons),Rennes (2 Seasons),,1 League,,23.3,27,20,6,15,6,11,36,30.6,25,28,1,27,20,47,18,1,,Raphinha
Leeds United (1 Season),Leeds United (1 Season),Leeds United (1 Season),,1 League,,1.0,,,,,,,,,,,,,,0,,,,Raphinha
Avaí (1 Season),Avaí (1 Season),Avaí (1 Season),,1 League,,,,,,,,,,,,,,,,0,,,,Raphinha
,,,,,,,,,,,,,,,,,,,,,,,,Raphinha
Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),,,,70.8,42,31,17,17,8,14,43,32.6,29,28,0,28,23,65,6,0,,Raphinha
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,53.8,62,39,22,23,17,21,62,33.9,41,62,4,58,32,94,37,1,,Raphinha
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,58.6,85,46,38,30,17,34,129,26.4,95,74,1,73,58,143,55,1,,Raphinha
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,23.3,27,20,6,15,6,11,36,30.6,25,28,1,27,20,47,18,1,,Raphinha
PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),,,,1.0,,,,,,,,,,,,,,0,,,,Raphinha
Série A (1 Season),Série A (1 Season),Série A (1 Season),,,,,,,,,,,,,,,,,,0,,,,Raphinha
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,17.3,22,14,18,3,1,13,18,72.2,5,20,16,4,12,34,65,0,Matches,Pau Cubarsí
