Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Player
Sporting CP (2 Seasons),Sporting CP (2 Seasons),Sporting CP (2 Seasons),,1 League,,20.8,7,0,0,34,46,12,54,23,31,2,0,0,88,22,27,44.9,,Raphinha
Rennes (2 Seasons),Rennes (2 Seasons),Rennes (2 Seasons),,1 League,,23.3,4,0,0,25,44,3,109,20,20,0,0,0,112,19,29,39.6,,Raphinha
Leeds United (1 Season),Leeds United (1 Season),Leeds United (1 Season),,1 League,,1.0,1,0,0,,,,,,,,,0,,,,,,Raphinha
Avaí (1 Season),Avaí (1 Season),Avaí (1 Season),,1 League,,,,,,,,,,,,,,,,,,,,Raphinha
,,,,,,,,,,,,,,,,,,,,,,,,Raphinha
Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),,,,70.8,17,0,0,95,46,12,54,23,31,2,0,0,88,22,27,44.9,,Raphinha
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,53.8,14,1,0,43,84,26,342,32,39,3,0,0,224,25,17,59.5,,Raphinha
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,58.6,10,0,0,53,78,28,327,58,46,1,1,0,283,31,67,31.6,,Raphinha
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,23.3,4,0,0,25,44,3,109,20,20,0,0,0,112,19,29,39.6,,Raphinha
PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),,,,1.0,1,0,0,,,,,,,,,0,,,,,,Raphinha
Série A (1 Season),Série A (1 Season),Série A (1 Season),,,,,,,,,,,,,,,,,,,,,,Raphinha
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,17.3,4,0,0,15,2,0,1,12,14,0,1,0,59,28,26,51.9,Matches,Pau Cubarsí
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,15.3,3,0,0,13,8,0,1,9,9,0,1,0,45,34,19,64.2,Matches,Pau Cubarsí
2 Seasons,2 Seasons,1 Club,,1 League,,32.7,7,0,0,28,10,0,2,21,23,0,2,0,104,62,45,57.9,,Pau Cubarsí
2008-2009,19,Lech Poznań,pl POL,1. Ekstraklasa,3rd,27.0,1,0,,,,,,,,,,,,,,,Matches,Robert Lewandowski
2009-2010,20,Lech Poznań,pl POL,1. Ekstraklasa,1st,27.9,6,0,,,,,,,,,,,,,,,Matches,Robert Lewandowski
2010-2011,21,Dortmund,de GER,1. Bundesliga,1st,17.7,4,0,,35,,,,,,,,,,,,,Matches,Robert Lewandowski
2011-2012,22,Dortmund,de GER,1. Bundesliga,1st,31.9,4,0,,67,,,,,,,,,,,,,Matches,Robert Lewandowski
2012-2013,23,Dortmund,de GER,1. Bundesliga,2nd,28.8,2,1,,51,,,,,,,,,,,,,Matches,Robert Lewandowski
2013-2014,24,Dortmund,de GER,1. Bundesliga,2nd,31.1,3,0,,66,,,,,,,,,,,,,Matches,Robert Lewandowski
2014-2015,25,Bayern Munich,de GER,1. Bundesliga,1st,27.6,0,0,,31,,,,,,,,,,,,,Matches,Robert Lewandowski
2015-2016,26,Bayern Munich,de GER,1. Bundesliga,1st,29.5,2,0,,36,,,,,,,,,,,,,Matches,Robert Lewandowski
2016-2017,27,Bayern Munich,de GER,1. Bundesliga,1st,30.8,5,0,0,36,56,29,12,12,10,1,0,0,,,,,Matches,Robert Lewandowski
2017-2018,28,Bayern Munich,de GER,1. Bundesliga,1st,24.1,1,0,0,37,37,25,15,5,3,2,0,0,51,49,61,44.5,Matches,Robert Lewandowski
2018-2019,29,Bayern Munich,de GER,1. Bundesliga,1st,32.9,2,0,0,25,47,29,9,7,9,1,0,0,65,56,76,42.4,Matches,Robert Lewandowski
2019-2020,30,Bayern Munich,de GER,1. Bundesliga,1st,30.7,5,0,0,32,43,17,23,7,9,1,0,0,61,59,52,53.2,Matches,Robert Lewandowski
2020-2021,31,Bayern Munich,de GER,1. Bundesliga,1st,27.3,4,0,0,41,29,21,29,3,9,2,0,0,65,44,54,44.9,Matches,Robert Lewandowski
