Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Player
Barcelona (11 Seasons),Barcelona (11 Seasons),Barcelona (11 Seasons),,1 League,,286.7,9,0,0,2,21,0,0,12,2,0,1,0,402,40,2,95.2,,Marc-André ter Stegen
Gladbach (4 Seasons),Gladbach (4 Seasons),Gladbach (4 Seasons),,1 League,,107.8,3,0,,0,,,,,,,,,,,,,,Marc-André ter Stegen
,,,,,,,,,,,,,,,,,,,,,,,,Marc-André ter Stegen
La Liga (11 Seasons),La Liga (11 Seasons),La Liga (11 Seasons),,,,286.7,9,0,0,2,21,0,0,12,2,0,1,0,402,40,2,95.2,,Marc-André ter Stegen
Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,107.8,3,0,,0,,,,,,,,,,,,,,Marc-André ter Stegen
2017-2018,17,Valencia,es ESP,1. La Liga,4th,3.5,0,0,0,4,6,0,11,3,7,0,0,0,18,4,5,44.4,Matches,Ferrán Torres
2018-2019,18,Valencia,es ESP,1. La Liga,4th,9.4,5,0,0,18,10,1,34,10,8,0,0,0,50,30,20,60.0,Matches,Ferrán Torres
2019-2020,19,Valencia,es ESP,1. La Liga,9th,25.0,5,0,0,20,39,16,91,14,15,0,0,0,125,41,55,42.7,Matches,Ferrán Torres
2020-2021,20,Manchester City,eng ENG,1. Premier League,1st,14.5,1,0,0,16,17,5,33,3,5,1,0,0,41,14,20,41.2,Matches,Ferrán Torres
2021-2022,21,Manchester City,eng ENG,1. Premier League,1st,3.4,0,0,0,1,1,1,4,0,2,0,0,0,6,4,1,80.0,Matches,Ferrán Torres
2021-2022,21,Barcelona,es ESP,1. La Liga,2nd,15.7,1,0,0,9,20,16,7,6,5,0,0,0,44,12,15,44.4,Matches,Ferrán Torres
2022-2023,22,Barcelona,es ESP,1. La Liga,1st,15.5,5,1,0,17,25,8,60,3,7,0,0,0,53,11,9,55.0,Matches,Ferrán Torres
2023-2024,23,Barcelona,es ESP,1. La Liga,2nd,13.5,2,0,0,8,16,16,21,5,6,1,0,0,40,4,11,26.7,Matches,Ferrán Torres
2024-2025,24,Barcelona,es ESP,1. La Liga,1st,5.2,0,1,0,3,2,4,11,1,3,0,0,0,11,1,2,33.3,Matches,Ferrán Torres
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,105.6,19,2,0,96,136,67,272,45,58,2,0,0,388,121,138,46.7,,Ferrán Torres
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Ferrán Torres
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,49.8,8,2,0,37,63,44,99,15,21,1,0,0,148,28,37,43.1,,Ferrán Torres
Valencia (3 Seasons),Valencia (3 Seasons),Valencia (3 Seasons),,1 League,,37.9,10,0,0,42,55,17,136,27,30,0,0,0,193,75,80,48.4,,Ferrán Torres
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,17.9,1,0,0,17,18,6,37,3,7,1,0,0,47,18,21,46.2,,Ferrán Torres
,,,,,,,,,,,,,,,,,,,,,,,,Ferrán Torres
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,87.7,18,2,0,79,118,61,235,42,51,1,0,0,341,103,117,46.8,,Ferrán Torres
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,17.9,1,0,0,17,18,6,37,3,7,1,0,0,47,18,21,46.2,,Ferrán Torres
2024-2025,22,Barcelona,es ESP,1. La Liga,1st,4.3,2,0,0,6,2,0,10,4,4,0,0,0,10,6,2,75.0,Matches,Gerard Martín
1 Season,1 Season,1 Club,,1 League,,4.3,2,0,0,6,2,0,10,4,4,0,0,0,10,6,2,75.0,,Gerard Martín
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,1.6,0,0,0,4,3,0,8,2,1,0,0,0,9,1,1,50.0,Matches,Pablo Torre
2023-2024,20,Girona,es ESP,1. La Liga,3rd,7.8,1,0,0,8,21,0,7,4,2,0,0,0,42,0,7,0.0,Matches,Pablo Torre
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,2.8,0,0,0,4,6,1,9,1,4,0,0,0,9,1,6,14.3,Matches,Pablo Torre
3 Seasons,3 Seasons,2 Clubs,,1 League,,12.1,1,0,0,16,30,1,24,7,7,0,0,0,60,2,14,12.5,,Pablo Torre
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Pablo Torre
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,4.4,0,0,0,8,9,1,17,3,5,0,0,0,18,2,7,22.2,,Pablo Torre
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,7.8,1,0,0,8,21,0,7,4,2,0,0,0,42,0,7,0.0,,Pablo Torre
2017-2018,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,6th,2.0,0,0,0,,,,,,,,,0,,,,,Matches,Eric García
2018-2019,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,8th,9.8,0,0,0,,,,,,,,,0,,,,,Matches,Eric García
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,3.0,0,0,0,,,,,,,,,0,,,,,Matches,Eric García
2019-2020,18,Manchester City,eng ENG,1. Premier League,2nd,8.8,1,0,0,9,2,0,1,18,1,0,0,0,38,11,19,36.7,Matches,Eric García
2020-2021,19,Manchester City,eng ENG,1. Premier League,1st,4.3,0,0,0,4,2,0,0,4,7,0,1,0,19,3,8,27.3,Matches,Eric García
2021-2022,20,Barcelona,es ESP,1. La Liga,2nd,22.7,5,1,0,34,5,2,2,44,18,0,1,0,95,32,21,60.4,Matches,Eric García
2022-2023,21,Barcelona,es ESP,1. La Liga,1st,15.7,3,0,0,18,8,0,0,19,16,0,2,0,90,23,15,60.5,Matches,Eric García
2023-2024,22,Girona,es ESP,1. La Liga,3rd,29.3,4,0,0,24,26,3,10,30,37,1,0,0,128,49,37,57.0,Matches,Eric García
2023-2024,22,Barcelona,es ESP,1. La Liga,2nd,0.6,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches,Eric García
2024-2025,23,Barcelona,es ESP,1. La Liga,1st,5.0,0,0,0,7,3,0,1,4,4,0,0,0,11,11,11,50.0,Matches,Eric García
6 Seasons,6 Seasons,3 Clubs,,2 Leagues,,86.4,14,1,0,97,46,5,14,119,83,1,4,0,384,130,111,53.9,,Eric García
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Eric García
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,44.1,9,1,0,60,16,2,3,67,38,0,3,0,199,67,47,58.8,,Eric García
Manchester City (3 Seasons),Manchester City (3 Seasons),Manchester City (3 Seasons),,1 League,,14.8,0,0,0,,,,,,,,,0,,,,,,Eric García
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,13.1,1,0,0,13,4,0,1,22,8,0,1,0,57,14,27,34.1,,Eric García
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,29.3,4,0,0,24,26,3,10,30,37,1,0,0,128,49,37,57.0,,Eric García
,,,,,,,,,,,,,,,,,,,,,,,,Eric García
La Liga (4 Seasons),La Liga (4 Seasons),La Liga (4 Seasons),,,,73.4,13,1,0,84,42,5,13,97,75,1,3,0,327,116,84,58.0,,Eric García
PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),,,,14.8,0,0,0,,,,,,,,,0,,,,,,Eric García
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,13.1,1,0,0,13,4,0,1,22,8,0,1,0,57,14,27,34.1,,Eric García
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.1,2,0,0,43,17,10,17,4,21,0,0,0,70,8,23,25.8,Matches,Fermin López
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,3.4,2,0,0,5,6,2,5,2,5,0,0,0,17,3,6,33.3,Matches,Fermin López
2 Seasons,2 Seasons,1 Club,,1 League,,19.5,4,0,0,48,23,12,22,6,26,0,0,0,87,11,29,27.5,,Fermin López
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,2.7,2,0,0,4,3,0,0,1,6,0,0,0,9,1,6,14.3,Matches,Marc Bernal
1 Season,1 Season,1 Club,,1 League,,2.7,2,0,0,4,3,0,0,1,6,0,0,0,9,1,6,14.3,,Marc Bernal
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,3.5,0,0,0,8,1,1,6,2,5,0,0,0,16,0,3,0.0,Matches,Héctor Fort
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,3.1,2,0,0,3,1,0,5,4,6,0,0,0,13,3,3,50.0,Matches,Héctor Fort
2 Seasons,2 Seasons,1 Club,,1 League,,6.6,2,0,0,11,2,1,11,6,11,0,0,0,29,3,6,33.3,,Héctor Fort
2021-2022,16,Barcelona,es ESP,1. La Liga,2nd,25.7,11,1,1,63,69,12,48,25,18,1,0,0,122,32,35,47.8,Matches,Gavi
2022-2023,17,Barcelona,es ESP,1. La Liga,1st,28.1,10,0,0,74,72,9,38,18,31,0,0,0,113,39,33,54.2,Matches,Gavi
2023-2024,18,Barcelona,es ESP,1. La Liga,2nd,10.5,5,0,0,31,23,4,8,8,21,0,0,0,44,13,26,33.3,Matches,Gavi
2024-2025,19,Barcelona,es ESP,1. La Liga,1st,2.0,1,0,0,8,5,0,2,5,4,0,0,0,11,2,4,33.3,Matches,Gavi
4 Seasons,4 Seasons,1 Club,,1 League,,66.4,27,1,1,176,169,25,96,56,74,1,0,0,290,86,98,46.7,,Gavi
2024-2025,19,Barcelona,es ESP,1. La Liga,1st,1.9,1,0,0,2,0,0,0,3,1,0,1,0,8,1,3,25.0,Matches,Sergi Dominguez
1 Season,1 Season,1 Club,,1 League,,1.9,1,0,0,2,0,0,0,3,1,0,1,0,8,1,3,25.0,,Sergi Dominguez
2014-2015,17,Willem II,nl NED,1. Eredivisie,9th,0.3,0,0,,0,,,,,,,,,,,,,Matches,Frenkie de Jong
2015-2016,18,Willem II,nl NED,1. Eredivisie,16th,0.2,0,0,,0,,,,,,,,,,,,,Matches,Frenkie de Jong
2015-2016,18,Jong Ajax,nl NED,2. Eerste Divisie,9th,14.3,0,0,,,,,,,,,,,,,,,Matches,Frenkie de Jong
2016-2017,19,Jong Ajax,nl NED,2. Eerste Divisie,2nd,29.0,2,0,0,,0,0,0,0,0,0,0,0,,,,,Matches,Frenkie de Jong
2016-2017,19,Ajax,nl NED,1. Eredivisie,2nd,1.7,0,0,0,1,0,0,0,0,0,0,0,0,,,,,Matches,Frenkie de Jong
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,17.3,2,0,0,12,0,0,0,0,0,0,0,0,,,,,Matches,Frenkie de Jong
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,27.9,0,0,0,14,47,4,20,44,32,1,0,0,265,35,30,53.8,Matches,Frenkie de Jong
2019-2020,22,Barcelona,es ESP,1. La Liga,2nd,23.5,3,1,1,23,31,1,3,21,19,0,0,0,139,14,19,42.4,Matches,Frenkie de Jong
2020-2021,23,Barcelona,es ESP,1. La Liga,3rd,35.0,5,0,0,25,44,4,7,38,27,0,1,0,215,39,30,56.5,Matches,Frenkie de Jong
2021-2022,24,Barcelona,es ESP,1. La Liga,2nd,27.5,7,1,1,24,35,6,31,20,19,0,0,0,154,25,15,62.5,Matches,Frenkie de Jong
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,28.2,3,0,0,33,34,1,37,35,26,0,0,0,182,32,15,68.1,Matches,Frenkie de Jong
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,18.2,7,0,0,19,22,1,25,14,26,0,0,0,117,23,17,57.5,Matches,Frenkie de Jong
2024-2025,27,Barcelona,es ESP,1. La Liga,1st,2.6,1,0,0,6,4,0,2,1,1,0,1,0,8,1,1,50.0,Matches,Frenkie de Jong
11 Seasons,11 Seasons,4 Clubs,,3 Leagues,,225.6,30,2,2,157,217,17,125,173,150,1,2,0,1080,169,127,57.1,,Frenkie de Jong
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Frenkie de Jong
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,135.0,26,2,2,130,170,13,105,129,118,0,2,0,815,134,97,58.0,,Frenkie de Jong
Ajax (3 Seasons),Ajax (3 Seasons),Ajax (3 Seasons),,1 League,,46.9,2,0,0,27,47,4,20,44,32,1,0,0,265,35,30,53.8,,Frenkie de Jong
Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),,1 League,,43.3,2,0,0,,0,0,0,0,0,0,0,0,,,,,,Frenkie de Jong
Willem II (2 Seasons),Willem II (2 Seasons),Willem II (2 Seasons),,1 League,,0.5,0,0,,0,,,,,,,,,,,,,,Frenkie de Jong
,,,,,,,,,,,,,,,,,,,,,,,,Frenkie de Jong
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,135.0,26,2,2,130,170,13,105,129,118,0,2,0,815,134,97,58.0,,Frenkie de Jong
Eredivisie (5 Seasons),Eredivisie (5 Seasons),Eredivisie (5 Seasons),,,,47.4,2,0,0,27,47,4,20,44,32,1,0,0,265,35,30,53.8,,Frenkie de Jong
Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),,,,43.3,2,0,0,,0,0,0,0,0,0,0,0,,,,,,Frenkie de Jong
2019-2020,17,Girona,es ESP,2. La Liga 2,5th,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,Pau Victor Delgado
2020-2021,18,Girona,es ESP,2. La Liga 2,5th,1.2,0,0,0,4,2,0,1,0,0,0,0,0,5,2,2,50.0,Matches,Pau Victor Delgado
2024-2025,22,Barcelona,es ESP,1. La Liga,1st,2.0,2,0,0,5,3,0,2,2,1,0,0,0,13,2,1,66.7,Matches,Pau Victor Delgado
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,3.5,2,0,0,9,5,0,3,2,1,0,0,0,19,4,3,57.1,,Pau Victor Delgado
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Pau Victor Delgado
Girona (4 Seasons),Girona (4 Seasons),Girona (4 Seasons),,2 Leagues,,1.5,0,0,0,4,2,0,1,0,0,0,0,0,6,2,2,50.0,,Pau Victor Delgado
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,2.0,2,0,0,5,3,0,2,2,1,0,0,0,13,2,1,66.7,,Pau Victor Delgado
,,,,,,,,,,,,,,,,,,,,,,,,Pau Victor Delgado
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,2.0,2,0,0,5,3,0,2,2,1,0,0,0,13,2,1,66.7,,Pau Victor Delgado
La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),,,,1.5,0,0,0,4,2,0,1,0,0,0,0,0,6,2,2,50.0,,Pau Victor Delgado
2019-2020,16,Barcelona,es ESP,1. La Liga,2nd,11.4,2,1,0,19,19,4,21,8,8,0,0,0,41,6,11,35.3,Matches,Ansu Fati
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,4.8,1,0,0,6,11,2,4,3,4,2,0,0,13,2,4,33.3,Matches,Ansu Fati
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,3.7,0,0,0,9,12,3,3,1,2,1,0,0,10,1,3,25.0,Matches,Ansu Fati
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,15.5,3,0,0,18,13,10,9,5,9,0,0,0,65,7,14,33.3,Matches,Ansu Fati
2023-2024,20,Brighton,eng ENG,1. Premier League,11th,5.8,2,0,0,6,13,2,3,3,3,0,0,0,22,1,10,9.1,Matches,Ansu Fati
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,0.6,0,0,0,0,4,1,0,0,0,0,0,0,2,1,1,50.0,Matches,Ansu Fati
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,1.4,1,0,0,1,2,1,0,0,1,0,0,0,4,1,4,20.0,Matches,Ansu Fati
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,43.2,9,1,0,59,74,23,40,20,27,3,0,0,157,19,47,28.8,,Ansu Fati
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Ansu Fati
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,37.4,7,1,0,53,61,21,37,17,24,3,0,0,135,18,37,32.7,,Ansu Fati
Brighton (1 Season),Brighton (1 Season),Brighton (1 Season),,1 League,,5.8,2,0,0,6,13,2,3,3,3,0,0,0,22,1,10,9.1,,Ansu Fati
,,,,,,,,,,,,,,,,,,,,,,,,Ansu Fati
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,37.4,7,1,0,53,61,21,37,17,24,3,0,0,135,18,37,32.7,,Ansu Fati
Premier League (1 Season),Premier League (1 Season),Premier League (1 Season),,,,5.8,2,0,0,6,13,2,3,3,3,0,0,0,22,1,10,9.1,,Ansu Fati
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,0.1,0,0,,1,,,,,,,,,,,,,Matches,Andreas Christensen
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,31.0,1,0,,12,,,,,,,,,,,,,Matches,Andreas Christensen
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,30.9,1,0,0,19,23,0,1,69,37,0,0,0,,,,,Matches,Andreas Christensen
2017-2018,21,Chelsea,eng ENG,1. Premier League,5th,23.2,0,0,0,8,13,1,0,39,13,0,0,0,139,55,26,67.9,Matches,Andreas Christensen
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,6.9,1,0,0,8,3,0,0,4,4,0,0,0,49,18,15,54.5,Matches,Andreas Christensen
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,19.5,5,0,0,17,10,0,0,29,21,0,0,0,107,68,49,58.1,Matches,Andreas Christensen
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,15.2,2,1,0,9,7,0,0,20,6,0,0,0,85,38,18,67.9,Matches,Andreas Christensen
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,16.6,2,0,0,11,7,0,1,29,8,0,0,0,110,48,38,55.8,Matches,Andreas Christensen
2022-2023,26,Barcelona,es ESP,1. La Liga,1st,19.6,2,0,0,18,7,0,1,21,15,0,0,1,107,42,19,68.9,Matches,Andreas Christensen
2023-2024,27,Barcelona,es ESP,1. La Liga,2nd,22.0,4,0,0,26,10,0,0,21,14,0,0,0,107,54,22,71.1,Matches,Andreas Christensen
2024-2025,28,Barcelona,es ESP,1. La Liga,1st,0.3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches,Andreas Christensen
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,185.2,19,1,0,130,80,1,3,232,118,0,0,1,705,324,187,63.4,,Andreas Christensen
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Andreas Christensen
Chelsea (6 Seasons),Chelsea (6 Seasons),Chelsea (6 Seasons),,1 League,,81.5,10,1,0,54,40,1,1,121,52,0,0,0,490,227,146,60.9,,Andreas Christensen
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,41.8,7,0,0,45,17,0,1,42,29,0,0,1,215,97,41,70.3,,Andreas Christensen
Gladbach (2 Seasons),Gladbach (2 Seasons),Gladbach (2 Seasons),,1 League,,61.9,2,0,0,31,23,0,1,69,37,0,0,0,,,,,,Andreas Christensen
,,,,,,,,,,,,,,,,,,,,,,,,Andreas Christensen
Premier League (6 Seasons),Premier League (6 Seasons),Premier League (6 Seasons),,,,81.5,10,1,0,54,40,1,1,121,52,0,0,0,490,227,146,60.9,,Andreas Christensen
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,41.8,7,0,0,45,17,0,1,42,29,0,0,1,215,97,41,70.3,,Andreas Christensen
Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,61.9,2,0,0,31,23,0,1,69,37,0,0,0,,,,,,Andreas Christensen
2021-2022,14,Freiburg U17,de GER,Jr. U17 Bundesliga,7th,11.0,3,0,0,,,,,,,,,0,Matches,Noah Darvich
2022-2023,15,Freiburg U17,de GER,Jr. U17 Bundesliga,28th,7.3,1,0,0,,,,,,,,,0,Matches,Noah Darvich
1 Season,1 Season,1 Club,,1 League,,,,,,,,,,,,,,,,Noah Darvich
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,Noah Darvich
Freiburg U17 (2 Seasons),Freiburg U17 (2 Seasons),Freiburg U17 (2 Seasons),,1 League,,18.3,4,0,0,,,,,,,,,0,,Noah Darvich
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,,,,,,,,,,,,,,,Noah Darvich
,,,,,,,,,,,,,,,,,,,,Noah Darvich
U17 Bundesliga (2 Seasons),U17 Bundesliga (2 Seasons),U17 Bundesliga (2 Seasons),,,,18.3,4,0,0,,,,,,,,,0,,Noah Darvich
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,,,,,,,,,,,,,,,Noah Darvich
2009-2010,19,Brentford,eng ENG,3. League One,9th,27.7,3,0,,0,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2010-2011,20,Arsenal,eng ENG,1. Premier League,4th,15.0,1,0,,0,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2011-2012,21,Arsenal,eng ENG,1. Premier League,3rd,38.0,2,0,,0,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2012-2013,22,Arsenal,eng ENG,1. Premier League,4th,25.0,1,0,,0,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2013-2014,23,Arsenal,eng ENG,1. Premier League,4th,37.0,2,0,,0,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2014-2015,24,Arsenal,eng ENG,1. Premier League,3rd,16.6,1,0,,0,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2015-2016,25,Roma,it ITA,1. Serie A,3rd,34.0,1,0,,0,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2016-2017,26,Roma,it ITA,1. Serie A,2nd,38.0,0,0,0,0,5,0,0,1,1,0,1,0,,,,,Matches,Wojciech Szczęsny
2017-2018,27,Juventus,it ITA,1. Serie A,1st,17.0,0,0,0,0,1,0,0,0,0,0,0,0,15,1,0,100.0,Matches,Wojciech Szczęsny
2018-2019,28,Juventus,it ITA,1. Serie A,1st,28.0,0,0,0,0,1,0,0,1,1,0,0,0,42,2,0,100.0,Matches,Wojciech Szczęsny
2019-2020,29,Juventus,it ITA,1. Serie A,1st,28.8,1,0,0,1,2,0,0,1,0,0,1,0,44,5,1,83.3,Matches,Wojciech Szczęsny
2020-2021,30,Juventus,it ITA,1. Serie A,4th,29.7,0,0,0,0,1,0,0,3,0,0,0,0,59,7,0,100.0,Matches,Wojciech Szczęsny
2021-2022,31,Juventus,it ITA,1. Serie A,4th,33.0,2,0,0,2,4,0,0,0,1,0,2,0,29,9,0,100.0,Matches,Wojciech Szczęsny
2022-2023,32,Juventus,it ITA,1. Serie A,7th,27.5,0,0,0,0,1,0,0,0,0,0,0,0,35,10,0,100.0,Matches,Wojciech Szczęsny
2023-2024,33,Juventus,it ITA,1. Serie A,3rd,35.0,1,0,0,1,2,0,0,1,0,0,1,0,38,3,1,75.0,Matches,Wojciech Szczęsny
16 Seasons,16 Seasons,5 Clubs,,4 Leagues,,430.4,15,0,0,4,17,0,0,7,3,0,5,0,262,37,2,94.9,,Wojciech Szczęsny
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Wojciech Szczęsny
Juventus (7 Seasons),Juventus (7 Seasons),Juventus (7 Seasons),,1 League,,199.0,4,0,0,4,12,0,0,6,2,0,4,0,262,37,2,94.9,,Wojciech Szczęsny
Arsenal (5 Seasons),Arsenal (5 Seasons),Arsenal (5 Seasons),,1 League,,131.6,7,0,,0,,,,,,,,,,,,,,Wojciech Szczęsny
Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,72.0,1,0,0,0,5,0,0,1,1,0,1,0,,,,,,Wojciech Szczęsny
Brentford (1 Season),Brentford (1 Season),Brentford (1 Season),,1 League,,27.7,3,0,,0,,,,,,,,,,,,,,Wojciech Szczęsny
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny
,,,,,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny
Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,271.0,5,0,0,4,17,0,0,7,3,0,5,0,262,37,2,94.9,,Wojciech Szczęsny
Premier League (5 Seasons),Premier League (5 Seasons),Premier League (5 Seasons),,,,131.6,7,0,,0,,,,,,,,,,,,,,Wojciech Szczęsny
League One (1 Season),League One (1 Season),League One (1 Season),,,,27.7,3,0,,0,,,,,,,,,,,,,,Wojciech Szczęsny
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny
2022-2023,18,FC Andorra,es ESP,2. La Liga 2,7th,3.4,0,0,0,4,4,1,8,2,1,0,0,0,20,1,4,20.0,Matches,Álex Valle
2023-2024,19,Levante,es ESP,2. La Liga 2,8th,25.6,2,0,0,30,39,1,61,36,40,0,2,0,144,30,33,47.6,Matches,Álex Valle
2024-2025,20,Celtic,sct SCO,1. Premiership,1st,4.6,1,0,0,4,8,0,19,5,6,,,0,,,,,Matches,Álex Valle
3 Seasons,3 Seasons,4 Clubs,,3 Leagues,,33.6,3,0,0,38,51,2,88,43,47,0,2,0,164,31,37,45.6,,Álex Valle
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Álex Valle
Levante (1 Season),Levante (1 Season),Levante (1 Season),,1 League,,25.6,2,0,0,30,39,1,61,36,40,0,2,0,144,30,33,47.6,,Álex Valle
FC Andorra (1 Season),FC Andorra (1 Season),FC Andorra (1 Season),,1 League,,3.4,0,0,0,4,4,1,8,2,1,0,0,0,20,1,4,20.0,,Álex Valle
Celtic (1 Season),Celtic (1 Season),Celtic (1 Season),,1 League,,4.6,1,0,0,4,8,0,19,5,6,,,0,,,,,,Álex Valle
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,,,,,,,,,,,,,,,,,,,Álex Valle
,,,,,,,,,,,,,,,,,,,,,,,,Álex Valle
