Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player
4 Seasons,4 Seasons,1 Club,,1 League,,59.2,1,31,6,19.4,0.52,0.1,0.03,0.17,18.9,0,0,0,2.4,2.4,0.08,-1.4,-1.4,,Alejandro Balde,DF
2022-2023,15,Barcelona,es ESP,1. La Liga,1st,0.1,0,1,1,100.0,11.25,11.25,0.0,0.0,10.9,0,0,0,0.4,0.4,0.35,-0.4,-0.4,Matches,Lamine Yamal,FW
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,24.5,5,58,21,36.2,2.37,0.86,0.09,0.24,17.5,0,0,0,5.2,5.2,0.09,-0.2,-0.2,Matches,Lamine Yamal,FW
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,14.2,5,54,19,35.2,3.81,1.34,0.09,0.26,19.2,0,0,0,4.8,4.8,0.09,0.2,0.2,Matches,Lamine Yamal,FW
3 Seasons,3 Seasons,1 Club,,1 League,,38.7,10,113,41,36.3,2.92,1.06,0.09,0.24,18.3,0,0,0,10.3,10.3,0.09,-0.3,-0.3,,Lamine Yamal,FW
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Marc Casado,MF
2024-2025,20,Barcelona,es ESP,1. La Liga,3rd,13.1,0,11,0,0.0,0.84,0.0,0.0,,23.2,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,Marc Casado,MF
3 Seasons,3 Seasons,1 Club,,1 League,,13.3,0,11,0,0.0,0.83,0.0,0.0,,23.2,0,0,0,0.9,0.9,0.08,-0.9,-0.9,,Marc Casado,MF
2014-2015,16,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.8,0,,1,,,1.27,,0.00,,,0,0,,,,,,Matches,Dani Olmo,"MF,FW"
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.5,0,,0,,,0.00,,,,,0,0,,,,,,Matches,Dani Olmo,"MF,FW"
2016-2017,18,Dinamo Zagreb,hr CRO,1. 1. HNL,2nd,9.3,1,0,10,,0.00,1.08,,0.10,,,0,0,,,,,,Matches,Dani Olmo,"MF,FW"
2017-2018,19,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,23.3,8,0,26,,0.00,1.11,,0.27,,,1,1,,,,,,Matches,Dani Olmo,"MF,FW"
2018-2019,20,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,17.7,8,,,,,,,,,,0,0,,,,,,Matches,Dani Olmo,"MF,FW"
2019-2020,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,8.2,3,,,,,,,,,,0,0,,,,,,Matches,Dani Olmo,"MF,FW"
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,3rd,8.3,3,21,6,28.6,2.53,0.72,0.14,0.50,19.8,0,0,0,1.8,1.8,0.08,+1.2,+1.2,Matches,Dani Olmo,"MF,FW"
2020-2021,22,RB Leipzig,de GER,1. Bundesliga,2nd,24.4,5,76,22,28.9,3.12,0.90,0.05,0.18,20.1,0,1,1,6.6,5.8,0.08,-1.6,-1.8,Matches,Dani Olmo,"MF,FW"
2021-2022,23,RB Leipzig,de GER,1. Bundesliga,4th,8.3,3,22,12,54.5,2.66,1.45,0.14,0.25,19.2,0,0,0,1.9,1.9,0.09,+1.1,+1.1,Matches,Dani Olmo,"MF,FW"
2022-2023,24,RB Leipzig,de GER,1. Bundesliga,3rd,14.2,2,43,16,37.2,3.02,1.12,0.05,0.13,21.6,0,0,0,2.9,2.9,0.07,-0.9,-0.9,Matches,Dani Olmo,"MF,FW"
2023-2024,25,RB Leipzig,de GER,1. Bundesliga,4th,16.1,4,45,13,28.9,2.80,0.81,0.09,0.31,18.7,3,0,0,3.3,3.3,0.07,+0.7,+0.7,Matches,Dani Olmo,"MF,FW"
2024-2025,26,Barcelona,es ESP,1. La Liga,3rd,6.9,5,24,8,33.3,3.47,1.16,0.21,0.63,18.4,0,0,0,2.4,2.4,0.10,+2.6,+2.6,Matches,Dani Olmo,"MF,FW"
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,138.0,42,231,114,48.9,2.08,1.02,0.13,0.25,19.8,3,2,2,18.9,18.2,0.08,+3.1,+2.8,,Dani Olmo,"MF,FW"
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Dani Olmo,"MF,FW"
Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),,1 League,,59.8,20,0,37,,0.00,1.09,,0.22,,,1,1,,,,,,,Dani Olmo,"MF,FW"
RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),,1 League,,71.3,17,207,69,33.3,2.90,0.97,0.08,0.23,20.0,3,1,1,16.5,15.7,0.08,+0.5,+0.3,,Dani Olmo,"MF,FW"
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,6.9,5,24,8,33.3,3.47,1.16,0.21,0.63,18.4,0,0,0,2.4,2.4,0.10,+2.6,+2.6,,Dani Olmo,"MF,FW"
,,,,,,,,,,,,,,,,,,,,,,,,,Dani Olmo,"MF,FW"
1. HNL (6 Seasons),1. HNL (6 Seasons),1. HNL (6 Seasons),,,,59.8,20,0,37,,0.00,1.09,,0.22,,,1,1,,,,,,,Dani Olmo,"MF,FW"
Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,71.3,17,207,69,33.3,2.90,0.97,0.08,0.23,20.0,3,1,1,16.5,15.7,0.08,+0.5,+0.3,,Dani Olmo,"MF,FW"
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,6.9,5,24,8,33.3,3.47,1.16,0.21,0.63,18.4,0,0,0,2.4,2.4,0.10,+2.6,+2.6,,Dani Olmo,"MF,FW"
2017-2018,17,Valencia,es ESP,1. La Liga,4th,3.5,0,3,2,66.7,0.87,0.58,0.00,0.00,15.6,0,0,0,0.4,0.4,0.15,-0.4,-0.4,Matches,Ferrán Torres,"FW,MF"
2018-2019,18,Valencia,es ESP,1. La Liga,4th,9.4,2,16,6,37.5,1.69,0.64,0.13,0.33,15.6,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches,Ferrán Torres,"FW,MF"
2019-2020,19,Valencia,es ESP,1. La Liga,9th,25.0,4,33,9,27.3,1.32,0.36,0.12,0.44,15.8,0,0,0,4.0,4.0,0.12,0.0,0.0,Matches,Ferrán Torres,"FW,MF"
2020-2021,20,Manchester City,eng ENG,1. Premier League,1st,14.5,7,36,14,38.9,2.48,0.96,0.19,0.50,15.6,0,0,0,4.9,4.9,0.13,+2.1,+2.1,Matches,Ferrán Torres,"FW,MF"
2021-2022,21,Manchester City,eng ENG,1. Premier League,1st,3.4,2,13,4,30.8,3.86,1.19,0.15,0.50,14.2,0,0,0,2.8,2.8,0.21,-0.8,-0.8,Matches,Ferrán Torres,"FW,MF"
2021-2022,21,Barcelona,es ESP,1. La Liga,2nd,15.7,4,51,18,35.3,3.25,1.15,0.06,0.17,16.5,3,1,1,7.0,6.2,0.12,-3.0,-3.2,Matches,Ferrán Torres,"FW,MF"
2022-2023,22,Barcelona,es ESP,1. La Liga,1st,15.5,4,37,11,29.7,2.39,0.71,0.11,0.36,15.6,1,0,1,4.9,4.1,0.11,-0.9,-0.1,Matches,Ferrán Torres,"FW,MF"
2023-2024,23,Barcelona,es ESP,1. La Liga,2nd,13.5,7,38,15,39.5,2.82,1.11,0.18,0.47,16.6,2,0,0,5.5,5.5,0.15,+1.5,+1.5,Matches,Ferrán Torres,"FW,MF"
2024-2025,24,Barcelona,es ESP,1. La Liga,3rd,5.7,3,16,8,50.0,2.79,1.39,0.19,0.38,15.9,0,0,0,2.2,2.2,0.14,+0.8,+0.8,Matches,Ferrán Torres,"FW,MF"
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,106.1,33,243,87,35.8,2.29,0.82,0.13,0.37,15.9,6,1,2,33.2,31.6,0.13,-0.2,+0.4,,Ferrán Torres,"FW,MF"
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Ferrán Torres,"FW,MF"
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,50.4,18,142,52,36.6,2.82,1.03,0.12,0.33,16.2,6,1,2,19.7,18.1,0.13,-1.7,-1.1,,Ferrán Torres,"FW,MF"
Valencia (3 Seasons),Valencia (3 Seasons),Valencia (3 Seasons),,1 League,,37.9,6,52,17,32.7,1.37,0.45,0.12,0.35,15.7,0,0,0,5.9,5.9,0.11,+0.1,+0.1,,Ferrán Torres,"FW,MF"
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,17.9,9,49,18,36.7,2.74,1.01,0.18,0.50,15.2,0,0,0,7.6,7.6,0.16,+1.4,+1.4,,Ferrán Torres,"FW,MF"
,,,,,,,,,,,,,,,,,,,,,,,,,Ferrán Torres,"FW,MF"
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,88.3,24,194,69,35.6,2.20,0.78,0.12,0.33,16.1,6,1,2,25.6,24.0,0.12,-1.6,-1.0,,Ferrán Torres,"FW,MF"
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,17.9,9,49,18,36.7,2.74,1.01,0.18,0.50,15.2,0,0,0,7.6,7.6,0.16,+1.4,+1.4,,Ferrán Torres,"FW,MF"
2010-2011,18,Gladbach,de GER,1. Bundesliga,16th,6.0,0,,0,,,0.00,,,,,0,0,,,,,,Matches,Marc-André ter Stegen,GK
2011-2012,19,Gladbach,de GER,1. Bundesliga,4th,34.0,0,,0,,,0.00,,,,,0,0,,,,,,Matches,Marc-André ter Stegen,GK
2012-2013,20,Gladbach,de GER,1. Bundesliga,8th,33.8,0,,0,,,0.00,,,,,0,0,,,,,,Matches,Marc-André ter Stegen,GK
2013-2014,21,Gladbach,de GER,1. Bundesliga,6th,34.0,0,,0,,,0.00,,,,,0,0,,,,,,Matches,Marc-André ter Stegen,GK
2015-2016,23,Barcelona,es ESP,1. La Liga,1st,6.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches,Marc-André ter Stegen,GK
2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,36.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches,Marc-André ter Stegen,GK
2017-2018,25,Barcelona,es ESP,1. La Liga,1st,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Marc-André ter Stegen,GK
2018-2019,26,Barcelona,es ESP,1. La Liga,1st,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Marc-André ter Stegen,GK
2019-2020,27,Barcelona,es ESP,1. La Liga,2nd,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Marc-André ter Stegen,GK
2020-2021,28,Barcelona,es ESP,1. La Liga,3rd,31.0,0,1,0,0.0,0.03,0.00,0.00,,19.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Marc-André ter Stegen,GK
2021-2022,29,Barcelona,es ESP,1. La Liga,2nd,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Marc-André ter Stegen,GK
2022-2023,30,Barcelona,es ESP,1. La Liga,1st,37.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Marc-André ter Stegen,GK
2023-2024,31,Barcelona,es ESP,1. La Liga,2nd,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Marc-André ter Stegen,GK
2024-2025,32,Barcelona,es ESP,1. La Liga,3rd,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Marc-André ter Stegen,GK
15 Seasons,15 Seasons,2 Clubs,,2 Leagues,,394.6,0,1,0,0.0,0.00,0.00,0.00,,19.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,,Marc-André ter Stegen,GK
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Marc-André ter Stegen,GK
Barcelona (11 Seasons),Barcelona (11 Seasons),Barcelona (11 Seasons),,1 League,,286.7,0,1,0,0.0,0.00,0.00,0.00,,19.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,,Marc-André ter Stegen,GK
Gladbach (4 Seasons),Gladbach (4 Seasons),Gladbach (4 Seasons),,1 League,,107.8,0,,0,,,0.00,,,,,0,0,,,,,,,Marc-André ter Stegen,GK
,,,,,,,,,,,,,,,,,,,,,,,,,Marc-André ter Stegen,GK
La Liga (11 Seasons),La Liga (11 Seasons),La Liga (11 Seasons),,,,286.7,0,1,0,0.0,0.00,0.00,0.00,,19.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,,Marc-André ter Stegen,GK
Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,107.8,0,,0,,,0.00,,,,,0,0,,,,,,,Marc-André ter Stegen,GK
2017-2018,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,6th,2.0,0,,,,,,,,,,0,0,,,,,,Matches,Eric García,"MF,DF"
2018-2019,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,8th,9.8,1,,,,,,,,,,0,0,,,,,,Matches,Eric García,"MF,DF"
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,3.0,0,,,,,,,,,,0,0,,,,,,Matches,Eric García,"MF,DF"
2019-2020,18,Manchester City,eng ENG,1. Premier League,2nd,8.8,0,2,1,50.0,0.23,0.11,0.00,0.00,7.1,0,0,0,0.5,0.5,0.27,-0.5,-0.5,Matches,Eric García,"MF,DF"
2020-2021,19,Manchester City,eng ENG,1. Premier League,1st,4.3,0,2,0,0.0,0.47,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Eric García,"MF,DF"
2021-2022,20,Barcelona,es ESP,1. La Liga,2nd,22.7,0,6,4,66.7,0.26,0.18,0.00,0.00,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Eric García,"MF,DF"
2022-2023,21,Barcelona,es ESP,1. La Liga,1st,15.7,1,7,1,14.3,0.44,0.06,0.14,1.00,12.9,0,0,0,1.6,1.6,0.22,-0.6,-0.6,Matches,Eric García,"MF,DF"
2023-2024,22,Girona,es ESP,1. La Liga,3rd,29.3,5,16,6,37.5,0.55,0.20,0.31,0.83,9.4,0,0,0,2.8,2.8,0.18,+2.2,+2.2,Matches,Eric García,"MF,DF"
2023-2024,22,Barcelona,es ESP,1. La Liga,2nd,0.6,0,1,0,0.0,1.58,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,Eric García,"MF,DF"
2024-2025,23,Barcelona,es ESP,1. La Liga,3rd,6.0,0,6,3,50.0,1.01,0.50,0.00,0.00,10.1,0,0,0,0.9,0.9,0.14,-0.9,-0.9,Matches,Eric García,"MF,DF"
6 Seasons,6 Seasons,3 Clubs,,2 Leagues,,87.4,6,40,15,37.5,0.46,0.17,0.15,0.40,13.0,0,0,0,6.1,6.1,0.15,-0.1,-0.1,,Eric García,"MF,DF"
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Eric García,"MF,DF"
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,45.0,1,20,8,40.0,0.44,0.18,0.05,0.13,15.5,0,0,0,2.7,2.7,0.13,-1.7,-1.7,,Eric García,"MF,DF"
Manchester City (3 Seasons),Manchester City (3 Seasons),Manchester City (3 Seasons),,1 League,,14.8,1,,,,,,,,,,0,0,,,,,,,Eric García,"MF,DF"
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,13.1,0,4,1,25.0,0.31,0.08,0.00,0.00,14.8,0,0,0,0.6,0.6,0.16,-0.6,-0.6,,Eric García,"MF,DF"
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,29.3,5,16,6,37.5,0.55,0.20,0.31,0.83,9.4,0,0,0,2.8,2.8,0.18,+2.2,+2.2,,Eric García,"MF,DF"
,,,,,,,,,,,,,,,,,,,,,,,,,Eric García,"MF,DF"
La Liga (4 Seasons),La Liga (4 Seasons),La Liga (4 Seasons),,,,74.3,6,36,14,38.9,0.48,0.19,0.17,0.43,12.8,0,0,0,5.5,5.5,0.15,+0.5,+0.5,,Eric García,"MF,DF"
PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),,,,14.8,1,,,,,,,,,,0,0,,,,,,,Eric García,"MF,DF"
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,13.1,0,4,1,25.0,0.31,0.08,0.00,0.00,14.8,0,0,0,0.6,0.6,0.16,-0.6,-0.6,,Eric García,"MF,DF"
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.1,8,51,24,47.1,3.17,1.49,0.16,0.33,15.9,0,0,0,7.5,7.5,0.15,0.5,0.5,Matches,Fermin López,"MF,FW"
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,4.4,0,12,3,25.0,2.73,0.68,0.0,0.0,18.8,0,0,0,1.2,1.2,0.1,-1.2,-1.2,Matches,Fermin López,"MF,FW"
2 Seasons,2 Seasons,1 Club,,1 League,,20.5,8,63,27,42.9,3.08,1.32,0.13,0.3,16.4,0,0,0,8.7,8.7,0.14,-0.7,-0.7,,Fermin López,"MF,FW"
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,1.6,0,1,0,0.0,0.62,0.00,0.00,,25.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Pablo Torre,"MF,FW"
2023-2024,20,Girona,es ESP,1. La Liga,3rd,7.8,0,13,1,7.7,1.67,0.13,0.00,0.00,19.3,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,Pablo Torre,"MF,FW"
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,2.8,3,3,3,100.0,1.09,1.09,1.00,1.00,22.0,1,0,0,0.3,0.3,0.08,+2.7,+2.7,Matches,Pablo Torre,"MF,FW"
3 Seasons,3 Seasons,2 Clubs,,1 League,,12.1,3,17,4,23.5,1.40,0.33,0.18,0.75,20.2,1,0,0,1.0,1.0,0.06,+2.0,+2.0,,Pablo Torre,"MF,FW"
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Pablo Torre,"MF,FW"
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,4.4,3,4,3,75.0,0.92,0.69,0.75,1.00,22.9,1,0,0,0.3,0.3,0.07,+2.7,+2.7,,Pablo Torre,"MF,FW"
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,7.8,0,13,1,7.7,1.67,0.13,0.00,0.00,19.3,0,0,0,0.8,0.8,0.06,-0.8,-0.8,,Pablo Torre,"MF,FW"
2021-2022,16,Barcelona,es ESP,1. La Liga,2nd,25.7,2,30,8,26.7,1.17,0.31,0.07,0.25,15.3,0,0,0,3.6,3.6,0.12,-1.6,-1.6,Matches,Gavi,MF
2022-2023,17,Barcelona,es ESP,1. La Liga,1st,28.1,2,28,8,28.6,1.0,0.28,0.07,0.25,16.6,0,0,0,3.2,3.2,0.11,-1.2,-1.2,Matches,Gavi,MF
2023-2024,18,Barcelona,es ESP,1. La Liga,2nd,10.5,1,9,4,44.4,0.86,0.38,0.11,0.25,15.2,0,0,0,0.9,0.9,0.11,0.1,0.1,Matches,Gavi,MF
2024-2025,19,Barcelona,es ESP,1. La Liga,3rd,2.9,0,1,0,0.0,0.35,0.0,0.0,,9.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Gavi,MF
4 Seasons,4 Seasons,1 Club,,1 League,,67.2,5,68,20,29.4,1.01,0.3,0.07,0.25,15.7,0,0,0,7.8,7.8,0.11,-2.8,-2.8,,Gavi,MF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,2.7,0,2,1,50.0,0.74,0.37,0.0,0.0,26.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Marc Bernal,MF
1 Season,1 Season,1 Club,,1 League,,2.7,0,2,1,50.0,0.74,0.37,0.0,0.0,26.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,Marc Bernal,MF
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,3.5,0,1,0,0.0,0.28,0.0,0.0,,27.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Héctor Fort,DF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,3.1,0,2,0,0.0,0.65,0.0,0.0,,23.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Héctor Fort,DF
2 Seasons,2 Seasons,1 Club,,1 League,,6.6,0,3,0,0.0,0.46,0.0,0.0,,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,Héctor Fort,DF
2024-2025,19,Barcelona,es ESP,1. La Liga,3rd,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sergi Dominguez,DF
1 Season,1 Season,1 Club,,1 League,,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,,Sergi Dominguez,DF
2014-2015,17,Willem II,nl NED,1. Eredivisie,9th,0.3,0,,0,,,0.00,,,,,0,0,,,,,,Matches,Frenkie de Jong,MF
2015-2016,18,Willem II,nl NED,1. Eredivisie,16th,0.2,0,,0,,,0.00,,,,,0,0,,,,,,Matches,Frenkie de Jong,MF
2015-2016,18,Jong Ajax,nl NED,2. Eerste Divisie,9th,14.3,2,,3,,,0.21,,0.67,,,0,0,,,,,,Matches,Frenkie de Jong,MF
2016-2017,19,Jong Ajax,nl NED,2. Eerste Divisie,2nd,29.0,6,0,15,,0.00,0.52,,0.40,,,0,0,,,,,,Matches,Frenkie de Jong,MF
2016-2017,19,Ajax,nl NED,1. Eredivisie,2nd,1.7,1,0,4,,0.00,2.38,,0.25,,,0,0,,,,,,Matches,Frenkie de Jong,MF
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,17.3,0,0,2,,0.00,0.12,,0.00,,,0,0,,,,,,Matches,Frenkie de Jong,MF
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,27.9,3,29,11,37.9,1.04,0.39,0.10,0.27,19.4,0,0,0,2.1,2.1,0.07,+0.9,+0.9,Matches,Frenkie de Jong,MF
2019-2020,22,Barcelona,es ESP,1. La Liga,2nd,23.5,2,4,4,100.0,0.17,0.17,0.50,0.50,12.0,0,0,0,1.3,1.3,0.32,+0.7,+0.7,Matches,Frenkie de Jong,MF
2020-2021,23,Barcelona,es ESP,1. La Liga,3rd,35.0,3,17,6,35.3,0.49,0.17,0.18,0.50,11.4,0,0,0,4.8,4.8,0.30,-1.8,-1.8,Matches,Frenkie de Jong,MF
2021-2022,24,Barcelona,es ESP,1. La Liga,2nd,27.5,3,17,7,41.2,0.62,0.25,0.18,0.43,14.4,0,0,0,4.8,4.8,0.28,-1.8,-1.8,Matches,Frenkie de Jong,MF
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,28.2,2,18,10,55.6,0.64,0.36,0.11,0.20,17.8,0,0,0,2.4,2.4,0.13,-0.4,-0.4,Matches,Frenkie de Jong,MF
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,18.2,2,7,4,57.1,0.39,0.22,0.29,0.50,20.4,0,0,0,0.7,0.7,0.10,+1.3,+1.3,Matches,Frenkie de Jong,MF
2024-2025,27,Barcelona,es ESP,1. La Liga,3rd,2.6,1,2,1,50.0,0.77,0.38,0.50,1.00,19.1,0,0,0,0.2,0.2,0.12,+0.8,+0.8,Matches,Frenkie de Jong,MF
11 Seasons,11 Seasons,4 Clubs,,3 Leagues,,225.6,25,94,67,68.1,0.45,0.30,0.24,0.37,16.5,0,0,0,16.4,16.4,0.18,-0.4,-0.4,,Frenkie de Jong,MF
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Frenkie de Jong,MF
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,135.0,13,65,32,49.2,0.48,0.24,0.20,0.41,15.2,0,0,0,14.3,14.3,0.22,-1.3,-1.3,,Frenkie de Jong,MF
Ajax (3 Seasons),Ajax (3 Seasons),Ajax (3 Seasons),,1 League,,46.9,4,29,17,58.6,0.62,0.36,0.14,0.24,19.4,0,0,0,2.1,2.1,0.07,+0.9,+0.9,,Frenkie de Jong,MF
Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),,1 League,,43.3,8,0,18,,0.00,0.42,,0.44,,,0,0,,,,,,,Frenkie de Jong,MF
Willem II (2 Seasons),Willem II (2 Seasons),Willem II (2 Seasons),,1 League,,0.5,0,,0,,,0.00,,,,,0,0,,,,,,,Frenkie de Jong,MF
,,,,,,,,,,,,,,,,,,,,,,,,,Frenkie de Jong,MF
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,135.0,13,65,32,49.2,0.48,0.24,0.20,0.41,15.2,0,0,0,14.3,14.3,0.22,-1.3,-1.3,,Frenkie de Jong,MF
Eredivisie (5 Seasons),Eredivisie (5 Seasons),Eredivisie (5 Seasons),,,,47.4,4,29,17,58.6,0.62,0.36,0.14,0.24,19.4,0,0,0,2.1,2.1,0.07,+0.9,+0.9,,Frenkie de Jong,MF
Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),,,,43.3,8,0,18,,0.00,0.42,,0.44,,,0,0,,,,,,,Frenkie de Jong,MF
2019-2020,17,Girona,es ESP,2. La Liga 2,5th,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Pau Victor Delgado,FW
2020-2021,18,Girona,es ESP,2. La Liga 2,5th,1.2,0,2,0,0.0,1.67,0.00,0.00,,15.7,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches,Pau Victor Delgado,FW
2024-2025,22,Barcelona,es ESP,1. La Liga,3rd,2.2,2,8,4,50.0,3.71,1.86,0.25,0.50,16.6,0,0,0,2.0,2.0,0.24,0.0,0.0,Matches,Pau Victor Delgado,FW
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,3.6,2,10,4,40.0,2.77,1.11,0.20,0.50,16.4,0,0,0,2.2,2.2,0.22,-0.2,-0.2,,Pau Victor Delgado,FW
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Pau Victor Delgado,FW
