Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player
Avaí (1 Season),Avaí (1 Season),Avaí (1 Season),,1 League,,,,,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
,,,,,,,,,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),,,,70.8,25,61,66,41.0,2.94,0.93,0.10,0.35,17.7,2,2,3,5.9,5.9,0.10,+0.1,+0.1,,Raphinha,"FW,MF"
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,55.8,24,197,70,35.5,3.53,1.25,0.11,0.31,19.3,30,2,2,28.3,26.8,0.14,-4.3,-4.8,,Raphinha,"FW,MF"
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,58.6,17,151,45,29.8,2.58,0.77,0.09,0.29,19.5,14,4,4,15.9,12.7,0.08,+1.1,+0.3,,Raphinha,"FW,MF"
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,23.3,6,53,16,30.2,2.28,0.69,0.09,0.31,20.0,11,1,1,6.1,5.0,0.09,-0.1,0.0,,Raphinha,"FW,MF"
PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),,,,1.0,1,,,,,,,,,,0,0,,,,,,,Raphinha,"FW,MF"
Série A (1 Season),Série A (1 Season),Série A (1 Season),,,,,,,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
2008-2009,19,Lech Poznań,pl POL,1. Ekstraklasa,3rd,27.0,14,,41,,,1.52,,0.34,,,0,0,,,,,,Matches,Robert Lewandowski,FW
2009-2010,20,Lech Poznań,pl POL,1. Ekstraklasa,1st,27.9,18,,46,,,1.65,,0.39,,,0,0,,,,,,Matches,Robert Lewandowski,FW
2010-2011,21,Dortmund,de GER,1. Bundesliga,1st,17.7,8,,28,,,1.58,,0.29,,,0,0,,,,,,Matches,Robert Lewandowski,FW
2011-2012,22,Dortmund,de GER,1. Bundesliga,1st,31.9,22,,59,,,1.85,,0.37,,,0,0,,,,,,Matches,Robert Lewandowski,FW
2012-2013,23,Dortmund,de GER,1. Bundesliga,2nd,28.8,24,,56,,,1.94,,0.41,,,1,2,,,,,,Matches,Robert Lewandowski,FW
2013-2014,24,Dortmund,de GER,1. Bundesliga,2nd,31.1,20,,64,,,2.06,,0.25,,,4,4,,,,,,Matches,Robert Lewandowski,FW
