Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Player
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Ferrán Torres,"FW,MF"
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,93,49,4532,50.4,18,10,28,17,1,2,8,2,19.7,18.1,11.2,29.3,118,155,549,0.36,0.20,0.56,0.34,0.54,0.39,0.22,0.61,0.36,0.58,,Ferrán Torres,"FW,MF"
Valencia (3 Seasons),Valencia (3 Seasons),Valencia (3 Seasons),,1 League,,71,36,3412,37.9,6,7,13,6,0,0,10,0,5.9,5.9,7.4,13.3,138,114,288,0.16,0.18,0.34,0.16,0.34,0.16,0.19,0.35,0.16,0.35,,Ferrán Torres,"FW,MF"
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,28,19,1609,17.9,9,3,12,9,0,0,1,0,7.6,7.6,2.3,9.9,35,35,144,0.50,0.17,0.67,0.50,0.67,0.43,0.13,0.55,0.43,0.55,,Ferrán Torres,"FW,MF"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferrán Torres,"FW,MF"
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,164,85,7944,88.3,24,17,41,23,1,2,18,2,25.6,24.0,18.6,42.6,256,269,837,0.27,0.19,0.46,0.26,0.45,0.29,0.21,0.50,0.27,0.48,,Ferrán Torres,"FW,MF"
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,28,19,1609,17.9,9,3,12,9,0,0,1,0,7.6,7.6,2.3,9.9,35,35,144,0.50,0.17,0.67,0.50,0.67,0.43,0.13,0.55,0.43,0.55,,Ferrán Torres,"FW,MF"
2010-2011,18,Gladbach,de GER,1. Bundesliga,16th,6,6,540,6.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Marc-André ter Stegen,GK
2011-2012,19,Gladbach,de GER,1. Bundesliga,4th,34,34,3060,34.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Marc-André ter Stegen,GK
2012-2013,20,Gladbach,de GER,1. Bundesliga,8th,34,34,3046,33.8,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Marc-André ter Stegen,GK
2013-2014,21,Gladbach,de GER,1. Bundesliga,6th,34,34,3060,34.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Marc-André ter Stegen,GK
2014-2015,22,Barcelona,es ESP,1. La Liga,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen,GK
2015-2016,23,Barcelona,es ESP,1. La Liga,1st,7,6,543,6.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Marc-André ter Stegen,GK
2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,36,36,3240,36.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Marc-André ter Stegen,GK
2017-2018,25,Barcelona,es ESP,1. La Liga,1st,37,37,3330,37.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Marc-André ter Stegen,GK
2018-2019,26,Barcelona,es ESP,1. La Liga,1st,35,35,3150,35.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Marc-André ter Stegen,GK
2019-2020,27,Barcelona,es ESP,1. La Liga,2nd,36,36,3240,36.0,0,2,2,0,0,0,1,0,0.0,0.0,0.7,0.7,0,1,0,0.00,0.06,0.06,0.00,0.06,0.00,0.02,0.02,0.00,0.02,Matches,Marc-André ter Stegen,GK
2020-2021,28,Barcelona,es ESP,1. La Liga,3rd,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Marc-André ter Stegen,GK
2021-2022,29,Barcelona,es ESP,1. La Liga,2nd,35,35,3150,35.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Marc-André ter Stegen,GK
2022-2023,30,Barcelona,es ESP,1. La Liga,1st,38,38,3347,37.2,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,Marc-André ter Stegen,GK
2023-2024,31,Barcelona,es ESP,1. La Liga,2nd,28,28,2520,28.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Marc-André ter Stegen,GK
2024-2025,32,Barcelona,es ESP,1. La Liga,3rd,6,6,494,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Marc-André ter Stegen,GK
15 Seasons,15 Seasons,2 Clubs,,2 Leagues,,397,396,35510,394.6,0,2,2,0,0,0,12,0,0.1,0.1,1.3,1.3,0,9,0,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.01,,Marc-André ter Stegen,GK
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Marc-André ter Stegen,GK
Barcelona (11 Seasons),Barcelona (11 Seasons),Barcelona (11 Seasons),,1 League,,289,288,25804,286.7,0,2,2,0,0,0,9,0,0.1,0.1,1.3,1.3,0,9,0,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.01,,Marc-André ter Stegen,GK
Gladbach (4 Seasons),Gladbach (4 Seasons),Gladbach (4 Seasons),,1 League,,108,108,9706,107.8,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Marc-André ter Stegen,GK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marc-André ter Stegen,GK
La Liga (11 Seasons),La Liga (11 Seasons),La Liga (11 Seasons),,,,289,288,25804,286.7,0,2,2,0,0,0,9,0,0.1,0.1,1.3,1.3,0,9,0,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.01,,Marc-André ter Stegen,GK
Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,108,108,9706,107.8,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Marc-André ter Stegen,GK
2017-2018,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,6th,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Eric García,"MF,DF"
2018-2019,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,8th,10,10,885,9.8,1,0,1,1,0,0,0,0,,,,,,,,0.10,0.00,0.10,0.10,0.10,,,,,,Matches,Eric García,"MF,DF"
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Eric García,"MF,DF"
2019-2020,18,Manchester City,eng ENG,1. Premier League,2nd,13,8,793,8.8,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,7,53,0,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,Eric García,"MF,DF"
2020-2021,19,Manchester City,eng ENG,1. Premier League,1st,6,3,383,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,8,22,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Eric García,"MF,DF"
2021-2022,20,Barcelona,es ESP,1. La Liga,2nd,26,23,2039,22.7,0,0,0,0,0,0,5,1,0.2,0.2,0.1,0.3,36,137,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,Eric García,"MF,DF"
2022-2023,21,Barcelona,es ESP,1. La Liga,1st,24,15,1417,15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.2,1.8,24,105,6,0.06,0.00,0.06,0.06,0.06,0.10,0.02,0.11,0.10,0.11,Matches,Eric García,"MF,DF"
2023-2024,22,Girona,es ESP,1. La Liga,3rd,30,30,2637,29.3,5,0,5,5,0,0,4,0,2.8,2.8,0.5,3.4,45,221,18,0.17,0.00,0.17,0.17,0.17,0.10,0.02,0.12,0.10,0.12,Matches,Eric García,"MF,DF"
2023-2024,22,Barcelona,es ESP,1. La Liga,2nd,2,0,57,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,Eric García,"MF,DF"
2024-2025,23,Barcelona,es ESP,1. La Liga,3rd,11,4,536,6.0,0,1,1,0,0,0,0,0,0.9,0.9,0.4,1.2,9,39,5,0.00,0.17,0.17,0.00,0.17,0.14,0.06,0.20,0.14,0.20,Matches,Eric García,"MF,DF"
6 Seasons,6 Seasons,3 Clubs,,2 Leagues,,112,83,7862,87.4,6,1,7,6,0,0,14,1,6.1,6.1,1.5,7.6,129,582,32,0.07,0.01,0.08,0.07,0.08,0.07,0.02,0.09,0.07,0.09,,Eric García,"MF,DF"
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Eric García,"MF,DF"
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,63,42,4049,45.0,1,1,2,1,0,0,9,1,2.7,2.7,0.7,3.4,69,286,14,0.02,0.02,0.04,0.02,0.04,0.06,0.02,0.07,0.06,0.07,,Eric García,"MF,DF"
Manchester City (3 Seasons),Manchester City (3 Seasons),Manchester City (3 Seasons),,1 League,,15,15,1335,14.8,1,0,1,1,0,0,0,0,,,,,,,,0.07,0.00,0.07,0.07,0.07,,,,,,,Eric García,"MF,DF"
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,19,11,1176,13.1,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,15,75,0,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,,Eric García,"MF,DF"
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,30,30,2637,29.3,5,0,5,5,0,0,4,0,2.8,2.8,0.5,3.4,45,221,18,0.17,0.00,0.17,0.17,0.17,0.10,0.02,0.12,0.10,0.12,,Eric García,"MF,DF"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric García,"MF,DF"
La Liga (4 Seasons),La Liga (4 Seasons),La Liga (4 Seasons),,,,93,72,6686,74.3,6,1,7,6,0,0,13,1,5.5,5.5,1.2,6.7,114,507,32,0.08,0.01,0.09,0.08,0.09,0.07,0.02,0.09,0.07,0.09,,Eric García,"MF,DF"
PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),,,,15,15,1335,14.8,1,0,1,1,0,0,0,0,,,,,,,,0.07,0.00,0.07,0.07,0.07,,,,,,,Eric García,"MF,DF"
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,19,11,1176,13.1,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,15,75,0,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,,Eric García,"MF,DF"
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,31,14,1446,16.1,8,0,8,8,0,0,2,0,7.5,7.5,1.1,8.6,42,76,93,0.5,0.0,0.5,0.5,0.5,0.47,0.07,0.54,0.47,0.54,Matches,Fermin López,"MF,FW"
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,12,4,396,4.4,0,0,0,0,0,0,2,0,1.2,1.2,0.5,1.7,10,20,40,0.0,0.0,0.0,0.0,0.0,0.28,0.1,0.38,0.28,0.38,Matches,Fermin López,"MF,FW"
2 Seasons,2 Seasons,1 Club,,1 League,,43,18,1842,20.5,8,0,8,8,0,0,4,0,8.7,8.7,1.6,10.3,52,96,133,0.39,0.0,0.39,0.39,0.39,0.43,0.08,0.5,0.43,0.5,,Fermin López,"MF,FW"
2024-2025,22,Barcelona,es ESP,1. La Liga,3rd,11,4,390,4.3,0,1,1,0,0,0,2,0,0.0,0.0,0.4,0.4,6,16,33,0.0,0.23,0.23,0.0,0.23,0.0,0.1,0.1,0.0,0.1,Matches,Gerard Martín,DF
1 Season,1 Season,1 Club,,1 League,,11,4,390,4.3,0,1,1,0,0,0,2,0,0.0,0.0,0.4,0.4,6,16,33,0.0,0.23,0.23,0.0,0.23,0.0,0.1,0.1,0.0,0.1,,Gerard Martín,DF
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,8,1,144,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,4,11,16,0.00,0.00,0.00,0.00,0.00,0.02,0.30,0.31,0.02,0.31,Matches,Pablo Torre,"MF,FW"
2023-2024,20,Girona,es ESP,1. La Liga,3rd,26,4,701,7.8,0,2,2,0,0,0,1,0,0.8,0.8,0.9,1.6,25,65,40,0.00,0.26,0.26,0.00,0.26,0.10,0.11,0.21,0.10,0.21,Matches,Pablo Torre,"MF,FW"
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,7,4,248,2.8,3,1,4,3,0,0,0,0,0.3,0.3,0.5,0.8,5,15,15,1.09,0.36,1.45,1.09,1.45,0.09,0.19,0.28,0.09,0.28,Matches,Pablo Torre,"MF,FW"
3 Seasons,3 Seasons,2 Clubs,,1 League,,41,9,1093,12.1,3,3,6,3,0,0,1,0,1.0,1.0,1.9,2.9,34,91,71,0.25,0.25,0.49,0.25,0.49,0.09,0.15,0.24,0.09,0.24,,Pablo Torre,"MF,FW"
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Pablo Torre,"MF,FW"
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,15,5,392,4.4,3,1,4,3,0,0,0,0,0.3,0.3,1.0,1.3,9,26,31,0.69,0.23,0.92,0.69,0.92,0.06,0.23,0.29,0.06,0.29,,Pablo Torre,"MF,FW"
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,26,4,701,7.8,0,2,2,0,0,0,1,0,0.8,0.8,0.9,1.6,25,65,40,0.00,0.26,0.26,0.00,0.26,0.10,0.11,0.21,0.10,0.21,,Pablo Torre,"MF,FW"
2021-2022,16,Barcelona,es ESP,1. La Liga,2nd,34,28,2316,25.7,2,5,7,2,0,0,11,1,3.6,3.6,3.2,6.8,72,115,160,0.08,0.19,0.27,0.08,0.27,0.14,0.12,0.26,0.14,0.26,Matches,Gavi,MF
2022-2023,17,Barcelona,es ESP,1. La Liga,1st,36,30,2531,28.1,2,4,6,2,0,0,10,0,3.2,3.2,3.7,6.9,49,134,153,0.07,0.14,0.21,0.07,0.21,0.11,0.13,0.24,0.11,0.24,Matches,Gavi,MF
2023-2024,18,Barcelona,es ESP,1. La Liga,2nd,12,10,944,10.5,1,1,2,1,0,0,5,0,0.9,0.9,1.1,2.0,26,39,38,0.1,0.1,0.19,0.1,0.19,0.09,0.1,0.19,0.09,0.19,Matches,Gavi,MF
2024-2025,19,Barcelona,es ESP,1. La Liga,3rd,10,3,260,2.9,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0,1,16,12,0.0,0.35,0.35,0.0,0.35,0.03,0.32,0.35,0.03,0.35,Matches,Gavi,MF
4 Seasons,4 Seasons,1 Club,,1 League,,92,71,6051,67.2,5,11,16,5,0,0,27,1,7.8,7.8,8.9,16.7,148,304,363,0.07,0.16,0.24,0.07,0.24,0.12,0.13,0.25,0.12,0.25,,Gavi,MF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,3,3,242,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,8,2,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches,Marc Bernal,MF
1 Season,1 Season,1 Club,,1 League,,3,3,242,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,8,2,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,,Marc Bernal,MF
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,7,4,318,3.5,0,2,2,0,0,0,0,0,0.0,0.0,0.8,0.8,3,7,38,0.0,0.57,0.57,0.0,0.57,0.0,0.23,0.23,0.0,0.23,Matches,Héctor Fort,DF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,9,2,275,3.1,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.7,6,14,14,0.0,0.0,0.0,0.0,0.0,0.02,0.2,0.22,0.02,0.22,Matches,Héctor Fort,DF
2 Seasons,2 Seasons,1 Club,,1 League,,16,6,593,6.6,0,2,2,0,0,0,2,0,0.1,0.1,1.4,1.5,9,21,52,0.0,0.3,0.3,0.0,0.3,0.01,0.21,0.23,0.01,0.23,,Héctor Fort,DF
2024-2025,19,Barcelona,es ESP,1. La Liga,3rd,3,2,172,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sergi Dominguez,DF
1 Season,1 Season,1 Club,,1 League,,3,2,172,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Sergi Dominguez,DF
2014-2015,17,Willem II,nl NED,1. Eredivisie,9th,1,0,23,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Frenkie de Jong,MF
2015-2016,18,Willem II,nl NED,1. Eredivisie,16th,1,0,21,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Frenkie de Jong,MF
2015-2016,18,Jong Ajax,nl NED,2. Eerste Divisie,9th,15,15,1287,14.3,2,3,5,2,0,0,0,0,,,,,,,,0.14,0.21,0.35,0.14,0.35,,,,,,Matches,Frenkie de Jong,MF
2016-2017,19,Jong Ajax,nl NED,2. Eerste Divisie,2nd,31,30,2606,29.0,6,6,12,6,0,0,2,0,,,,,,,,0.21,0.21,0.41,0.21,0.41,,,,,,Matches,Frenkie de Jong,MF
2016-2017,19,Ajax,nl NED,1. Eredivisie,2nd,4,1,151,1.7,1,0,1,1,0,0,0,0,,,,,,,,0.60,0.00,0.60,0.60,0.60,,,,,,Matches,Frenkie de Jong,MF
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,22,16,1559,17.3,0,7,7,0,0,0,2,0,,,,,,,,0.00,0.40,0.40,0.00,0.40,,,,,,Matches,Frenkie de Jong,MF
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,31,30,2510,27.9,3,3,6,3,0,0,0,0,2.1,2.1,4.4,6.4,169,316,105,0.11,0.11,0.22,0.11,0.22,0.07,0.16,0.23,0.07,0.23,Matches,Frenkie de Jong,MF
2019-2020,22,Barcelona,es ESP,1. La Liga,2nd,29,24,2115,23.5,2,2,4,2,0,0,3,1,1.3,1.3,2.4,3.7,77,146,82,0.09,0.09,0.17,0.09,0.17,0.06,0.10,0.16,0.06,0.16,Matches,Frenkie de Jong,MF
2020-2021,23,Barcelona,es ESP,1. La Liga,3rd,37,35,3154,35.0,3,4,7,3,0,0,5,0,4.8,4.8,5.8,10.6,95,238,129,0.09,0.11,0.20,0.09,0.20,0.14,0.17,0.30,0.14,0.30,Matches,Frenkie de Jong,MF
2021-2022,24,Barcelona,es ESP,1. La Liga,2nd,32,30,2476,27.5,3,3,6,3,0,0,7,1,4.8,4.8,3.4,8.2,78,206,121,0.11,0.11,0.22,0.11,0.22,0.18,0.12,0.30,0.18,0.30,Matches,Frenkie de Jong,MF
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,33,29,2534,28.2,2,4,6,2,0,0,3,0,2.4,2.4,4.3,6.7,92,280,83,0.07,0.14,0.21,0.07,0.21,0.09,0.15,0.24,0.09,0.24,Matches,Frenkie de Jong,MF
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,20,20,1634,18.2,2,0,2,2,0,0,7,0,0.7,0.7,2.2,2.9,69,168,38,0.11,0.00,0.11,0.11,0.11,0.04,0.12,0.16,0.04,0.16,Matches,Frenkie de Jong,MF
2024-2025,27,Barcelona,es ESP,1. La Liga,3rd,8,1,235,2.6,1,1,2,1,0,0,1,0,0.2,0.2,1.2,1.5,5,21,6,0.38,0.38,0.77,0.38,0.77,0.10,0.46,0.56,0.10,0.56,Matches,Frenkie de Jong,MF
11 Seasons,11 Seasons,4 Clubs,,3 Leagues,,264,231,20305,225.6,25,33,58,25,0,0,30,2,16.4,16.4,23.7,40.0,585,1375,564,0.11,0.15,0.26,0.11,0.26,0.10,0.15,0.25,0.10,0.25,,Frenkie de Jong,MF
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Frenkie de Jong,MF
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,159,139,12148,135.0,13,14,27,13,0,0,26,2,14.3,14.3,19.3,33.6,416,1059,459,0.10,0.10,0.20,0.10,0.20,0.11,0.14,0.25,0.11,0.25,,Frenkie de Jong,MF
Ajax (3 Seasons),Ajax (3 Seasons),Ajax (3 Seasons),,1 League,,57,47,4220,46.9,4,10,14,4,0,0,2,0,2.1,2.1,4.4,6.4,169,316,105,0.09,0.21,0.30,0.09,0.30,0.07,0.16,0.23,0.07,0.23,,Frenkie de Jong,MF
Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),,1 League,,46,45,3893,43.3,8,9,17,8,0,0,2,0,,,,,,,,0.18,0.21,0.39,0.18,0.39,,,,,,,Frenkie de Jong,MF
Willem II (2 Seasons),Willem II (2 Seasons),Willem II (2 Seasons),,1 League,,2,0,44,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Frenkie de Jong,MF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frenkie de Jong,MF
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,159,139,12148,135.0,13,14,27,13,0,0,26,2,14.3,14.3,19.3,33.6,416,1059,459,0.10,0.10,0.20,0.10,0.20,0.11,0.14,0.25,0.11,0.25,,Frenkie de Jong,MF
Eredivisie (5 Seasons),Eredivisie (5 Seasons),Eredivisie (5 Seasons),,,,59,47,4264,47.4,4,10,14,4,0,0,2,0,2.1,2.1,4.4,6.4,169,316,105,0.08,0.21,0.30,0.08,0.30,0.07,0.16,0.23,0.07,0.23,,Frenkie de Jong,MF
Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),,,,46,45,3893,43.3,8,9,17,8,0,0,2,0,,,,,,,,0.18,0.21,0.39,0.18,0.39,,,,,,,Frenkie de Jong,MF
2019-2020,17,Girona,es ESP,2. La Liga 2,5th,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches,Pau Victor Delgado,FW
2020-2021,18,Girona,es ESP,2. La Liga 2,5th,7,0,108,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,3,9,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches,Pau Victor Delgado,FW
2021-2022,19,Girona,es ESP,2. La Liga 2,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Pau Victor Delgado,FW
2022-2023,20,Girona,es ESP,1. La Liga,10th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Pau Victor Delgado,FW
2023-2024,21,Barcelona,es ESP,1. La Liga,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Pau Victor Delgado,FW
2024-2025,22,Barcelona,es ESP,1. La Liga,3rd,13,1,194,2.2,2,1,3,2,0,0,2,0,2.0,2.0,0.4,2.4,2,6,21,0.93,0.46,1.39,0.93,1.39,0.90,0.20,1.10,0.90,1.10,Matches,Pau Victor Delgado,FW
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,21,1,325,3.6,2,1,3,2,0,0,2,0,2.2,2.2,0.5,2.7,4,11,30,0.55,0.28,0.83,0.55,0.83,0.62,0.13,0.75,0.62,0.75,,Pau Victor Delgado,FW
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Pau Victor Delgado,FW
Girona (4 Seasons),Girona (4 Seasons),Girona (4 Seasons),,2 Leagues,,8,0,131,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,5,9,0.00,0.00,0.00,0.00,0.00,0.20,0.02,0.22,0.20,0.22,,Pau Victor Delgado,FW
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,13,1,194,2.2,2,1,3,2,0,0,2,0,2.0,2.0,0.4,2.4,2,6,21,0.93,0.46,1.39,0.93,1.39,0.90,0.20,1.10,0.90,1.10,,Pau Victor Delgado,FW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pau Victor Delgado,FW
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,13,1,194,2.2,2,1,3,2,0,0,2,0,2.0,2.0,0.4,2.4,2,6,21,0.93,0.46,1.39,0.93,1.39,0.90,0.20,1.10,0.90,1.10,,Pau Victor Delgado,FW
