Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Player
2024-2025,25,Barcelona,es ESP,1. La Liga,3rd,19,17,1525,16.9,1,3,4,1,0,0,2,0,0.7,0.7,3.0,3.7,29,91,124,0.06,0.18,0.24,0.06,0.24,0.04,0.17,0.22,0.04,0.22,Matches,Jules Koundé,DF
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,233,220,19789,219.9,10,12,22,10,0,0,25,2,11.4,11.4,13.1,24.6,328,1150,345,0.05,0.05,0.10,0.05,0.10,0.05,0.06,0.11,0.05,0.11,,Jules Koundé,DF
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Jules Koundé,DF
Sevilla (3 Seasons),Sevilla (3 Seasons),Sevilla (3 Seasons),,1 League,,95,89,8020,89.1,5,3,8,5,0,0,12,2,5.3,5.3,4.3,9.6,120,417,92,0.06,0.03,0.09,0.06,0.09,0.06,0.05,0.11,0.06,0.11,,Jules Koundé,DF
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,83,77,6850,76.1,3,8,11,3,0,0,8,0,3.9,3.9,8.0,11.8,154,521,249,0.04,0.11,0.14,0.04,0.14,0.05,0.10,0.16,0.05,0.16,,Jules Koundé,DF
Bordeaux (2 Seasons),Bordeaux (2 Seasons),Bordeaux (2 Seasons),,1 League,,55,54,4919,54.7,2,1,3,2,0,0,5,0,2.3,2.3,0.9,3.2,54,212,4,0.04,0.02,0.05,0.04,0.05,0.04,0.02,0.06,0.04,0.06,,Jules Koundé,DF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jules Koundé,DF
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,178,166,14870,165.2,8,11,19,8,0,0,20,2,9.2,9.2,12.2,21.4,274,938,341,0.05,0.07,0.11,0.05,0.11,0.06,0.07,0.13,0.06,0.13,,Jules Koundé,DF
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,55,54,4919,54.7,2,1,3,2,0,0,5,0,2.3,2.3,0.9,3.2,54,212,4,0.04,0.02,0.05,0.04,0.05,0.04,0.02,0.06,0.04,0.06,,Jules Koundé,DF
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,19,18,1558,17.3,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,8,75,2,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Pau Cubarsí,DF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,19,17,1488,16.5,0,1,1,0,0,0,3,0,0.7,0.7,0.9,1.7,10,100,3,0.0,0.06,0.06,0.0,0.06,0.04,0.06,0.1,0.04,0.1,Matches,Pau Cubarsí,DF
2 Seasons,2 Seasons,1 Club,,1 League,,38,35,3046,33.8,0,1,1,0,0,0,7,0,0.8,0.8,1.4,2.2,18,175,5,0.0,0.03,0.03,0.0,0.03,0.02,0.04,0.06,0.02,0.06,,Pau Cubarsí,DF
2019-2020,16,Las Palmas,es ESP,2. La Liga 2,9th,36,34,2823,31.4,4,6,10,4,0,0,4,0,2.7,2.7,6.5,9.2,83,149,186,0.13,0.19,0.32,0.13,0.32,0.09,0.21,0.29,0.09,0.29,Matches,Pedri,MF
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,37,28,2415,26.8,3,3,6,3,0,0,2,0,4.6,4.4,3.5,7.9,65,152,128,0.11,0.11,0.22,0.11,0.22,0.17,0.13,0.30,0.16,0.30,Matches,Pedri,MF
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,12,10,885,9.8,3,1,4,3,0,0,0,0,1.3,1.3,1.2,2.5,23,84,42,0.31,0.10,0.41,0.31,0.41,0.13,0.12,0.25,0.13,0.25,Matches,Pedri,MF
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,26,22,1976,22.0,6,1,7,6,0,0,2,0,4.9,4.9,5.0,9.9,67,184,99,0.27,0.05,0.32,0.27,0.32,0.22,0.23,0.45,0.22,0.45,Matches,Pedri,MF
