Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Player
2023-2024,23,Barcelona,es ESP,1. La Liga,2nd,13.5,450,422,22,1,3,3,21,4,10,1,5,0,351,6,18,Matches,Ferrán Torres
2024-2025,24,Barcelona,es ESP,1. La Liga,1st,5.2,143,130,12,3,1,1,11,0,5,2,0,0,102,1,5,Matches,Ferrán Torres
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,105.6,3483,3301,159,27,12,18,272,42,54,20,19,0,2628,23,96,,Ferrán Torres
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Ferrán Torres
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,49.8,1756,1650,94,15,5,11,99,18,38,13,11,0,1379,12,50,,Ferrán Torres
Valencia (3 Seasons),Valencia (3 Seasons),Valencia (3 Seasons),,1 League,,37.9,1208,1161,37,9,5,6,136,19,5,0,4,0,842,10,33,,Ferrán Torres
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,17.9,519,490,28,3,2,1,37,5,11,7,4,0,407,1,13,,Ferrán Torres
,,,,,,,,,,,,,,,,,,,,,,,Ferrán Torres
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,87.7,2964,2811,131,24,10,17,235,37,43,13,15,0,2221,22,83,,Ferrán Torres
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,17.9,519,490,28,3,2,1,37,5,11,7,4,0,407,1,13,,Ferrán Torres
2024-2025,22,Barcelona,es ESP,1. La Liga,1st,4.3,278,239,39,3,1,0,10,36,0,0,0,0,229,0,8,Matches,Gerard Martín
1 Season,1 Season,1 Club,,1 League,,4.3,278,239,39,3,1,0,10,36,0,0,0,0,229,0,8,,Gerard Martín
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,1.6,98,87,9,3,2,0,8,0,6,1,4,0,77,2,1,Matches,Pablo Torre
2023-2024,20,Girona,es ESP,1. La Liga,3rd,7.8,429,416,11,5,8,3,7,0,1,0,1,0,356,2,8,Matches,Pablo Torre
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,2.8,158,144,13,3,1,0,9,0,8,6,0,0,128,1,2,Matches,Pablo Torre
3 Seasons,3 Seasons,2 Clubs,,1 League,,12.1,685,647,33,11,11,3,24,0,15,7,5,0,561,5,11,,Pablo Torre
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Pablo Torre
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,4.4,256,231,22,6,3,0,17,0,14,7,4,0,205,3,3,,Pablo Torre
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,7.8,429,416,11,5,8,3,7,0,1,0,1,0,356,2,8,,Pablo Torre
2017-2018,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,6th,2.0,,,,,,,,,,,,,,,,Matches,Eric García
2018-2019,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,8th,9.8,,,,,,,,,,,,,,,,Matches,Eric García
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,3.0,,,,,,,,,,,,,,,,Matches,Eric García
2019-2020,18,Manchester City,eng ENG,1. Premier League,2nd,8.8,731,723,7,6,0,1,1,1,0,0,0,0,680,1,5,Matches,Eric García
2020-2021,19,Manchester City,eng ENG,1. Premier League,1st,4.3,342,337,4,2,1,1,0,2,0,0,0,0,325,1,0,Matches,Eric García
2021-2022,20,Barcelona,es ESP,1. La Liga,2nd,22.7,1689,1630,58,40,2,20,2,14,0,0,0,0,1568,1,7,Matches,Eric García
2022-2023,21,Barcelona,es ESP,1. La Liga,1st,15.7,1257,1205,50,33,2,13,0,16,0,0,0,0,1142,2,8,Matches,Eric García
2023-2024,22,Girona,es ESP,1. La Liga,3rd,29.3,2306,2123,175,71,7,18,10,95,0,0,0,0,2064,8,20,Matches,Eric García
2023-2024,22,Barcelona,es ESP,1. La Liga,2nd,0.6,48,42,6,2,0,2,0,4,0,0,0,0,46,0,0,Matches,Eric García
2024-2025,23,Barcelona,es ESP,1. La Liga,1st,5.0,297,287,10,9,1,0,1,1,0,0,0,0,268,0,4,Matches,Eric García
6 Seasons,6 Seasons,3 Clubs,,2 Leagues,,86.4,6670,6347,310,163,13,55,14,133,0,0,0,0,6093,13,44,,Eric García
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Eric García
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,44.1,3291,3164,124,84,5,35,3,35,0,0,0,0,3024,3,19,,Eric García
Manchester City (3 Seasons),Manchester City (3 Seasons),Manchester City (3 Seasons),,1 League,,14.8,,,,,,,,,,,,,,,,,Eric García
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,13.1,1073,1060,11,8,1,2,1,3,0,0,0,0,1005,2,5,,Eric García
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,29.3,2306,2123,175,71,7,18,10,95,0,0,0,0,2064,8,20,,Eric García
,,,,,,,,,,,,,,,,,,,,,,,Eric García
La Liga (4 Seasons),La Liga (4 Seasons),La Liga (4 Seasons),,,,73.4,5597,5287,299,155,12,53,13,130,0,0,0,0,5088,11,39,,Eric García
PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),,,,14.8,,,,,,,,,,,,,,,,,Eric García
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,13.1,1073,1060,11,8,1,2,1,3,0,0,0,0,1005,2,5,,Eric García
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.1,631,614,12,1,3,10,17,3,0,0,0,0,522,5,20,Matches,Fermin López
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,3.4,133,130,2,2,1,1,5,0,0,0,0,0,113,1,2,Matches,Fermin López
2 Seasons,2 Seasons,1 Club,,1 League,,19.5,764,744,14,3,4,11,22,3,0,0,0,0,635,6,22,,Fermin López
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,2.7,160,154,6,6,0,1,0,0,0,0,0,0,148,0,2,Matches,Marc Bernal
1 Season,1 Season,1 Club,,1 League,,2.7,160,154,6,6,0,1,0,0,0,0,0,0,148,0,2,,Marc Bernal
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,3.5,230,203,27,6,0,2,6,21,0,0,0,0,200,0,2,Matches,Héctor Fort
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,3.1,227,197,29,2,0,1,5,27,0,0,0,0,203,1,4,Matches,Héctor Fort
2 Seasons,2 Seasons,1 Club,,1 League,,6.6,457,400,56,8,0,3,11,48,0,0,0,0,403,1,6,,Héctor Fort
2021-2022,16,Barcelona,es ESP,1. La Liga,2nd,25.7,1262,1237,17,5,11,12,48,10,2,0,0,0,1086,8,28,Matches,Gavi
2022-2023,17,Barcelona,es ESP,1. La Liga,1st,28.1,1206,1157,45,13,8,13,38,9,0,0,0,0,1026,4,27,Matches,Gavi
2023-2024,18,Barcelona,es ESP,1. La Liga,2nd,10.5,541,514,26,18,3,6,8,6,0,0,0,0,489,1,8,Matches,Gavi
2024-2025,19,Barcelona,es ESP,1. La Liga,1st,2.0,140,136,4,1,1,1,2,3,0,0,0,0,121,0,0,Matches,Gavi
4 Seasons,4 Seasons,1 Club,,1 League,,66.4,3149,3044,92,37,23,32,96,28,2,0,0,0,2722,13,63,,Gavi
2024-2025,19,Barcelona,es ESP,1. La Liga,1st,1.9,180,173,7,4,0,0,0,1,0,0,0,0,171,0,0,Matches,Sergi Dominguez
1 Season,1 Season,1 Club,,1 League,,1.9,180,173,7,4,0,0,0,1,0,0,0,0,171,0,0,,Sergi Dominguez
2014-2015,17,Willem II,nl NED,1. Eredivisie,9th,0.3,,,,,,,,,,,,,,,,Matches,Frenkie de Jong
2015-2016,18,Willem II,nl NED,1. Eredivisie,16th,0.2,,,,,,,,,,,,,,,,Matches,Frenkie de Jong
2015-2016,18,Jong Ajax,nl NED,2. Eerste Divisie,9th,14.3,,,,,,,,,,,,,,,,Matches,Frenkie de Jong
2016-2017,19,Jong Ajax,nl NED,2. Eerste Divisie,2nd,29.0,,,,,,,0,,,,,,,,,Matches,Frenkie de Jong
2016-2017,19,Ajax,nl NED,1. Eredivisie,2nd,1.7,,,,,,,0,,,,,,,,,Matches,Frenkie de Jong
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,17.3,,,,,,,0,,,,,,,,,Matches,Frenkie de Jong
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,27.9,2511,2445,62,35,10,17,20,24,3,0,2,0,2274,4,22,Matches,Frenkie de Jong
2019-2020,22,Barcelona,es ESP,1. La Liga,2nd,23.5,1660,1629,26,9,6,8,3,16,1,0,0,0,1519,5,19,Matches,Frenkie de Jong
2020-2021,23,Barcelona,es ESP,1. La Liga,3rd,35.0,2821,2759,48,32,2,9,7,15,1,1,0,0,2575,14,28,Matches,Frenkie de Jong
2021-2022,24,Barcelona,es ESP,1. La Liga,2nd,27.5,1680,1643,30,19,9,12,31,4,7,3,3,0,1504,7,20,Matches,Frenkie de Jong
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,28.2,2320,2246,63,39,19,17,37,15,8,2,2,0,2089,11,24,Matches,Frenkie de Jong
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,18.2,1674,1619,51,42,12,7,25,6,1,1,0,0,1542,4,14,Matches,Frenkie de Jong
2024-2025,27,Barcelona,es ESP,1. La Liga,1st,2.6,186,178,7,6,1,0,2,1,0,0,0,0,173,1,0,Matches,Frenkie de Jong
11 Seasons,11 Seasons,4 Clubs,,3 Leagues,,225.6,12852,12519,287,182,59,70,125,81,21,7,7,0,11676,46,127,,Frenkie de Jong
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Frenkie de Jong
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,135.0,10341,10074,225,147,49,53,105,57,18,7,5,0,9402,42,105,,Frenkie de Jong
Ajax (3 Seasons),Ajax (3 Seasons),Ajax (3 Seasons),,1 League,,46.9,2511,2445,62,35,10,17,20,24,3,0,2,0,2274,4,22,,Frenkie de Jong
Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),,1 League,,43.3,,,,,,,0,,,,,,,,,,Frenkie de Jong
Willem II (2 Seasons),Willem II (2 Seasons),Willem II (2 Seasons),,1 League,,0.5,,,,,,,,,,,,,,,,,Frenkie de Jong
,,,,,,,,,,,,,,,,,,,,,,,Frenkie de Jong
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,135.0,10341,10074,225,147,49,53,105,57,18,7,5,0,9402,42,105,,Frenkie de Jong
Eredivisie (5 Seasons),Eredivisie (5 Seasons),Eredivisie (5 Seasons),,,,47.4,2511,2445,62,35,10,17,20,24,3,0,2,0,2274,4,22,,Frenkie de Jong
Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),,,,43.3,,,,,,,0,,,,,,,,,,Frenkie de Jong
2019-2020,17,Girona,es ESP,2. La Liga 2,5th,0.3,4,3,1,0,0,0,0,0,0,0,0,0,4,0,0,Matches,Pau Victor Delgado
2020-2021,18,Girona,es ESP,2. La Liga 2,5th,1.2,28,28,0,0,0,0,1,0,0,0,0,0,19,0,1,Matches,Pau Victor Delgado
2024-2025,22,Barcelona,es ESP,1. La Liga,1st,2.0,78,75,3,0,0,0,2,1,0,0,0,0,60,0,2,Matches,Pau Victor Delgado
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,3.5,110,106,4,0,0,0,3,1,0,0,0,0,83,0,3,,Pau Victor Delgado
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Pau Victor Delgado
Girona (4 Seasons),Girona (4 Seasons),Girona (4 Seasons),,2 Leagues,,1.5,32,31,1,0,0,0,1,0,0,0,0,0,23,0,1,,Pau Victor Delgado
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,2.0,78,75,3,0,0,0,2,1,0,0,0,0,60,0,2,,Pau Victor Delgado
,,,,,,,,,,,,,,,,,,,,,,,Pau Victor Delgado
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,2.0,78,75,3,0,0,0,2,1,0,0,0,0,60,0,2,,Pau Victor Delgado
La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),,,,1.5,32,31,1,0,0,0,1,0,0,0,0,0,23,0,1,,Pau Victor Delgado
2019-2020,16,Barcelona,es ESP,1. La Liga,2nd,11.4,530,512,15,1,0,4,21,4,10,8,0,0,438,3,9,Matches,Ansu Fati
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,4.8,202,194,8,0,3,0,4,1,4,2,0,0,168,0,2,Matches,Ansu Fati
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,3.7,160,148,10,2,1,1,3,1,4,0,1,0,133,2,7,Matches,Ansu Fati
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,15.5,609,590,14,3,1,3,9,3,5,1,0,0,509,5,21,Matches,Ansu Fati
2023-2024,20,Brighton,eng ENG,1. Premier League,11th,5.8,210,203,4,2,1,1,3,0,0,0,0,0,178,3,10,Matches,Ansu Fati
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,0.6,28,25,3,1,0,0,0,1,1,0,0,0,24,0,0,Matches,Ansu Fati
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,1.4,63,59,3,3,2,0,0,0,0,0,0,0,53,1,1,Matches,Ansu Fati
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,43.2,1802,1731,57,12,8,9,40,10,24,11,1,0,1503,14,50,,Ansu Fati
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Ansu Fati
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,37.4,1592,1528,53,10,7,8,37,10,24,11,1,0,1325,11,40,,Ansu Fati
Brighton (1 Season),Brighton (1 Season),Brighton (1 Season),,1 League,,5.8,210,203,4,2,1,1,3,0,0,0,0,0,178,3,10,,Ansu Fati
,,,,,,,,,,,,,,,,,,,,,,,Ansu Fati
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,37.4,1592,1528,53,10,7,8,37,10,24,11,1,0,1325,11,40,,Ansu Fati
Premier League (1 Season),Premier League (1 Season),Premier League (1 Season),,,,5.8,210,203,4,2,1,1,3,0,0,0,0,0,178,3,10,,Ansu Fati
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,0.1,,,,,,,,,,,,,,,,Matches,Andreas Christensen
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,31.0,,,,,,,,,,,,,,,,Matches,Andreas Christensen
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,30.9,,,,,,,1,,,,,,,,,Matches,Andreas Christensen
2017-2018,21,Chelsea,eng ENG,1. Premier League,5th,23.2,1357,1314,38,35,1,1,0,3,0,0,0,0,1263,5,6,Matches,Andreas Christensen
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,6.9,459,445,14,13,0,3,0,1,0,0,0,0,426,0,4,Matches,Andreas Christensen
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,19.5,1314,1274,38,33,2,10,0,5,0,0,0,0,1199,2,3,Matches,Andreas Christensen
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,15.2,1149,1117,29,24,1,4,0,5,0,0,0,0,1046,3,5,Matches,Andreas Christensen
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,16.6,1336,1289,46,33,1,4,1,13,0,0,0,0,1201,1,5,Matches,Andreas Christensen
2022-2023,26,Barcelona,es ESP,1. La Liga,1st,19.6,1507,1445,62,48,3,14,1,10,0,0,0,0,1416,0,7,Matches,Andreas Christensen
2023-2024,27,Barcelona,es ESP,1. La Liga,2nd,22.0,1569,1514,55,41,0,5,0,5,0,0,0,0,1480,0,11,Matches,Andreas Christensen
2024-2025,28,Barcelona,es ESP,1. La Liga,1st,0.3,16,15,1,1,0,0,0,0,0,0,0,0,14,0,0,Matches,Andreas Christensen
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,185.2,8707,8413,283,228,8,41,3,42,0,0,0,0,8045,11,41,,Andreas Christensen
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Andreas Christensen
Chelsea (6 Seasons),Chelsea (6 Seasons),Chelsea (6 Seasons),,1 League,,81.5,5615,5439,165,138,5,22,1,27,0,0,0,0,5135,11,23,,Andreas Christensen
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,41.8,3092,2974,118,90,3,19,1,15,0,0,0,0,2910,0,18,,Andreas Christensen
Gladbach (2 Seasons),Gladbach (2 Seasons),Gladbach (2 Seasons),,1 League,,61.9,,,,,,,1,,,,,,,,,,Andreas Christensen
,,,,,,,,,,,,,,,,,,,,,,,Andreas Christensen
Premier League (6 Seasons),Premier League (6 Seasons),Premier League (6 Seasons),,,,81.5,5615,5439,165,138,5,22,1,27,0,0,0,0,5135,11,23,,Andreas Christensen
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,41.8,3092,2974,118,90,3,19,1,15,0,0,0,0,2910,0,18,,Andreas Christensen
Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,61.9,,,,,,,1,,,,,,,,,,Andreas Christensen
2009-2010,19,Brentford,eng ENG,3. League One,9th,27.7,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2010-2011,20,Arsenal,eng ENG,1. Premier League,4th,15.0,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2011-2012,21,Arsenal,eng ENG,1. Premier League,3rd,38.0,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2012-2013,22,Arsenal,eng ENG,1. Premier League,4th,25.0,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2013-2014,23,Arsenal,eng ENG,1. Premier League,4th,37.0,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2014-2015,24,Arsenal,eng ENG,1. Premier League,3rd,16.6,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2015-2016,25,Roma,it ITA,1. Serie A,3rd,34.0,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny
2016-2017,26,Roma,it ITA,1. Serie A,2nd,38.0,,,,,,,0,,,,,,,,,Matches,Wojciech Szczęsny
2017-2018,27,Juventus,it ITA,1. Serie A,1st,17.0,460,331,126,30,0,3,0,0,0,0,0,0,364,3,0,Matches,Wojciech Szczęsny
2018-2019,28,Juventus,it ITA,1. Serie A,1st,28.0,745,490,252,47,0,8,0,0,0,0,0,0,613,3,0,Matches,Wojciech Szczęsny
2019-2020,29,Juventus,it ITA,1. Serie A,1st,28.8,758,515,240,45,0,5,0,0,0,0,0,0,656,3,1,Matches,Wojciech Szczęsny
2020-2021,30,Juventus,it ITA,1. Serie A,4th,29.7,1016,800,215,36,0,3,0,0,0,0,0,0,919,1,3,Matches,Wojciech Szczęsny
2021-2022,31,Juventus,it ITA,1. Serie A,4th,33.0,1011,781,227,55,0,4,0,0,0,0,0,0,830,3,3,Matches,Wojciech Szczęsny
2022-2023,32,Juventus,it ITA,1. Serie A,7th,27.5,789,581,206,52,0,5,0,1,0,0,0,0,625,2,1,Matches,Wojciech Szczęsny
2023-2024,33,Juventus,it ITA,1. Serie A,3rd,35.0,1006,771,231,57,0,5,0,0,0,0,0,0,780,4,0,Matches,Wojciech Szczęsny
16 Seasons,16 Seasons,5 Clubs,,4 Leagues,,430.4,5785,4269,1497,322,0,33,0,1,0,0,0,0,4787,19,8,,Wojciech Szczęsny
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Wojciech Szczęsny
Juventus (7 Seasons),Juventus (7 Seasons),Juventus (7 Seasons),,1 League,,199.0,5785,4269,1497,322,0,33,0,1,0,0,0,0,4787,19,8,,Wojciech Szczęsny
Arsenal (5 Seasons),Arsenal (5 Seasons),Arsenal (5 Seasons),,1 League,,131.6,,,,,,,,,,,,,,,,,Wojciech Szczęsny
Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,72.0,,,,,,,0,,,,,,,,,,Wojciech Szczęsny
Brentford (1 Season),Brentford (1 Season),Brentford (1 Season),,1 League,,27.7,,,,,,,,,,,,,,,,,Wojciech Szczęsny
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny
,,,,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny
Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,271.0,5785,4269,1497,322,0,33,0,1,0,0,0,0,4787,19,8,,Wojciech Szczęsny
Premier League (5 Seasons),Premier League (5 Seasons),Premier League (5 Seasons),,,,131.6,,,,,,,,,,,,,,,,,Wojciech Szczęsny
League One (1 Season),League One (1 Season),League One (1 Season),,,,27.7,,,,,,,,,,,,,,,,,Wojciech Szczęsny
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny
2022-2023,18,FC Andorra,es ESP,2. La Liga 2,7th,3.4,234,209,25,6,0,1,8,19,0,0,0,0,206,0,3,Matches,Álex Valle
2023-2024,19,Levante,es ESP,2. La Liga 2,8th,25.6,1495,1226,266,34,0,6,61,228,4,0,0,0,1147,3,46,Matches,Álex Valle
2024-2025,20,Celtic,sct SCO,1. Premiership,1st,4.6,,,,,,,19,,,,,,,,,Matches,Álex Valle
3 Seasons,3 Seasons,4 Clubs,,3 Leagues,,33.6,1729,1435,291,40,0,7,88,247,4,0,0,0,1353,3,49,,Álex Valle
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Álex Valle
Levante (1 Season),Levante (1 Season),Levante (1 Season),,1 League,,25.6,1495,1226,266,34,0,6,61,228,4,0,0,0,1147,3,46,,Álex Valle
FC Andorra (1 Season),FC Andorra (1 Season),FC Andorra (1 Season),,1 League,,3.4,234,209,25,6,0,1,8,19,0,0,0,0,206,0,3,,Álex Valle
Celtic (1 Season),Celtic (1 Season),Celtic (1 Season),,1 League,,4.6,,,,,,,19,,,,,,,,,,Álex Valle
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,,,,,,,,,,,,,,,,,,Álex Valle
,,,,,,,,,,,,,,,,,,,,,,,Álex Valle
La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),,,,29.0,1729,1435,291,40,0,7,69,247,4,0,0,0,1353,3,49,,Álex Valle
Premiership (1 Season),Premiership (1 Season),Premiership (1 Season),,,,4.6,,,,,,,19,,,,,,,,,,Álex Valle
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,,,,,,,,,,,,,,,,,,Álex Valle
2011-2012,20,Real Sociedad,es ESP,1. La Liga,12th,24.4,,,,,,,,,,,,,,,,Matches,Iñigo Martínez,DF
2012-2013,21,Real Sociedad,es ESP,1. La Liga,4th,34.0,,,,,,,,,,,,,,,,Matches,Iñigo Martínez,DF
2013-2014,22,Real Sociedad,es ESP,1. La Liga,7th,34.7,,,,,,,,,,,,,,,,Matches,Iñigo Martínez,DF
2014-2015,23,Real Sociedad,es ESP,1. La Liga,12th,33.6,,,,,,,,,,,,,,,,Matches,Iñigo Martínez,DF
2015-2016,24,Real Sociedad,es ESP,1. La Liga,9th,30.0,,,,,,,4,,,,,,,,,Matches,Iñigo Martínez,DF
2016-2017,25,Real Sociedad,es ESP,1. La Liga,6th,33.3,,,,,,,14,,,,,,,,,Matches,Iñigo Martínez,DF
2017-2018,26,Real Sociedad,es ESP,1. La Liga,12th,11.7,780,688,85,52,2,18,13,33,0,0,0,0,611,7,13,Matches,Iñigo Martínez,DF
2017-2018,26,Athletic Club,es ESP,1. La Liga,16th,16.0,780,708,58,40,2,24,6,18,0,0,0,0,595,14,11,Matches,Iñigo Martínez,DF
2018-2019,27,Athletic Club,es ESP,1. La Liga,8th,32.2,1472,1342,127,113,5,66,16,14,0,0,0,0,1138,3,11,Matches,Iñigo Martínez,DF
2019-2020,28,Athletic Club,es ESP,1. La Liga,11th,33.0,1580,1443,125,86,0,54,19,39,0,0,0,0,1200,12,23,Matches,Iñigo Martínez,DF
2020-2021,29,Athletic Club,es ESP,1. La Liga,10th,28.0,1472,1377,88,79,1,37,10,9,0,0,0,0,1208,7,9,Matches,Iñigo Martínez,DF
2021-2022,30,Athletic Club,es ESP,1. La Liga,8th,26.0,1213,1123,85,81,0,42,11,4,0,0,0,0,952,5,12,Matches,Iñigo Martínez,DF
2022-2023,31,Athletic Club,es ESP,1. La Liga,8th,14.9,773,725,46,35,0,26,5,2,0,0,0,0,627,2,7,Matches,Iñigo Martínez,DF
2023-2024,32,Barcelona,es ESP,1. La Liga,2nd,14.4,1132,1092,37,22,3,22,3,8,0,0,0,0,1001,3,4,Matches,Iñigo Martínez,DF
2024-2025,33,Barcelona,es ESP,1. La Liga,3rd,17.8,1640,1552,86,72,1,27,1,3,0,0,0,0,1496,2,9,Matches,Iñigo Martínez,DF
14 Seasons,14 Seasons,3 Clubs,,1 League,,384.0,10842,10050,737,580,14,316,102,130,0,0,0,0,8828,55,99,,Iñigo Martínez,DF
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Iñigo Martínez,DF
Real Sociedad (7 Seasons),Real Sociedad (7 Seasons),Real Sociedad (7 Seasons),,1 League,,201.8,780,688,85,52,2,18,31,33,0,0,0,0,611,7,13,,Iñigo Martínez,DF
Athletic Club (6 Seasons),Athletic Club (6 Seasons),Athletic Club (6 Seasons),,1 League,,150.1,7290,6718,529,434,8,249,67,86,0,0,0,0,5720,43,73,,Iñigo Martínez,DF
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,32.2,2772,2644,123,94,4,49,4,11,0,0,0,0,2497,5,13,,Iñigo Martínez,DF
2015-2016,18,Vitória,pt POR,1. Primeira Liga,10th,0.2,,,,,,,,,,,,,,,,Matches,Raphinha,"FW,MF"
2016-2017,19,Vitória,pt POR,1. Primeira Liga,4th,18.8,,,,,,,,,,,,,,,,Matches,Raphinha,"FW,MF"
2017-2018,20,Vitória,pt POR,1. Primeira Liga,9th,30.9,,,,,,,,,,,,,,,,Matches,Raphinha,"FW,MF"
2018-2019,21,Sporting CP,pt POR,1. Primeira Liga,3rd,16.8,527,502,24,5,2,9,44,10,9,4,1,0,356,1,24,Matches,Raphinha,"FW,MF"
2019-2020,22,Sporting CP,pt POR,1. Primeira Liga,4th,4.0,118,106,12,1,0,2,10,8,3,2,0,0,87,0,0,Matches,Raphinha,"FW,MF"
