Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Player
Avaí (1 Season),Avaí (1 Season),Avaí (1 Season),,1 League,,,,,,,,,,,,,,,,,,,Raphinha
,,,,,,,,,,,,,,,,,,,,,,,Raphinha
Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),,,,70.8,645,608,36,6,2,11,54,18,12,6,1,0,443,1,24,,Raphinha
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,53.8,2637,2228,386,80,23,44,342,66,229,77,81,1,1913,23,59,,Raphinha
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,58.6,2365,2015,342,89,16,29,327,80,169,97,49,1,1511,8,71,,Raphinha
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,23.3,817,707,105,29,5,11,109,16,59,38,16,0,533,5,26,,Raphinha
PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),,,,1.0,,,,,,,,,,,,,,,,,Raphinha
Série A (1 Season),Série A (1 Season),Série A (1 Season),,,,,,,,,,,,,,,,,,,,,Raphinha
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,17.3,1487,1441,43,32,2,11,1,3,0,0,0,0,1360,3,6,Matches,Pau Cubarsí
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,15.3,1325,1279,46,38,2,4,1,0,0,0,0,0,1237,0,4,Matches,Pau Cubarsí
2 Seasons,2 Seasons,1 Club,,1 League,,32.7,2812,2720,89,70,4,15,2,3,0,0,0,0,2597,3,10,,Pau Cubarsí
2008-2009,19,Lech Poznań,pl POL,1. Ekstraklasa,3rd,27.0,,,,,,,,,,,,,,,,Matches,Robert Lewandowski
2009-2010,20,Lech Poznań,pl POL,1. Ekstraklasa,1st,27.9,,,,,,,,,,,,,,,,Matches,Robert Lewandowski
2010-2011,21,Dortmund,de GER,1. Bundesliga,1st,17.7,,,,,,,,,,,,,,,,Matches,Robert Lewandowski
2011-2012,22,Dortmund,de GER,1. Bundesliga,1st,31.9,,,,,,,,,,,,,,,,Matches,Robert Lewandowski
2012-2013,23,Dortmund,de GER,1. Bundesliga,2nd,28.8,,,,,,,,,,,,,,,,Matches,Robert Lewandowski
2013-2014,24,Dortmund,de GER,1. Bundesliga,2nd,31.1,,,,,,,,,,,,,,,,Matches,Robert Lewandowski
2014-2015,25,Bayern Munich,de GER,1. Bundesliga,1st,27.6,,,,,,,,,,,,,,,,Matches,Robert Lewandowski
2015-2016,26,Bayern Munich,de GER,1. Bundesliga,1st,29.5,,,,,,,,,,,,,,,,Matches,Robert Lewandowski
2016-2017,27,Bayern Munich,de GER,1. Bundesliga,1st,30.8,,,,,,,12,,,,,,,,,Matches,Robert Lewandowski
2017-2018,28,Bayern Munich,de GER,1. Bundesliga,1st,24.1,613,591,18,4,1,2,15,0,0,0,0,0,472,4,26,Matches,Robert Lewandowski
2018-2019,29,Bayern Munich,de GER,1. Bundesliga,1st,32.9,742,719,18,0,12,5,9,0,0,0,0,0,565,5,44,Matches,Robert Lewandowski
2019-2020,30,Bayern Munich,de GER,1. Bundesliga,1st,30.7,796,766,23,5,8,8,23,0,0,0,0,0,571,7,32,Matches,Robert Lewandowski
2020-2021,31,Bayern Munich,de GER,1. Bundesliga,1st,27.3,694,666,24,2,2,4,29,0,0,0,0,0,516,4,26,Matches,Robert Lewandowski
2021-2022,32,Bayern Munich,de GER,1. Bundesliga,1st,32.7,767,733,29,7,10,4,26,1,0,0,0,0,575,5,26,Matches,Robert Lewandowski
2022-2023,33,Barcelona,es ESP,1. La Liga,1st,31.6,793,767,14,4,16,5,19,0,0,0,0,0,602,12,24,Matches,Robert Lewandowski
2023-2024,34,Barcelona,es ESP,1. La Liga,2nd,30.6,592,569,16,2,9,5,18,1,0,0,0,0,416,7,23,Matches,Robert Lewandowski
2024-2025,35,Barcelona,es ESP,1. La Liga,1st,14.7,291,279,8,0,1,5,2,0,0,0,0,0,214,4,14,Matches,Robert Lewandowski
17 Seasons,17 Seasons,4 Clubs,,3 Leagues,,476.8,5288,5090,150,24,59,38,153,2,0,0,0,0,3931,48,215,,Robert Lewandowski
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Robert Lewandowski
Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),,1 League,,235.6,3612,3475,112,18,33,23,114,1,0,0,0,0,2699,25,154,,Robert Lewandowski
Dortmund (4 Seasons),Dortmund (4 Seasons),Dortmund (4 Seasons),,1 League,,109.5,,,,,,,,,,,,,,,,,Robert Lewandowski
