Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Player,Position
2010-2011,20,Arsenal,eng ENG,1. Premier League,4th,15,15,1350,15.0,19,1.27,65,46,70.8,6,5,4,6,40.0,,,,,,Matches,Wojciech Szczęsny,GK
2011-2012,21,Arsenal,eng ENG,1. Premier League,3rd,38,38,3420,38.0,49,1.29,135,86,63.7,21,7,10,13,34.2,,,,,,Matches,Wojciech Szczęsny,GK
2012-2013,22,Arsenal,eng ENG,1. Premier League,4th,25,25,2250,25.0,24,0.96,99,75,75.8,14,7,4,10,40.0,,,,,,Matches,Wojciech Szczęsny,GK
2013-2014,23,Arsenal,eng ENG,1. Premier League,4th,37,37,3330,37.0,41,1.11,147,106,72.1,23,7,7,16,43.2,,,,,,Matches,Wojciech Szczęsny,GK
2014-2015,24,Arsenal,eng ENG,1. Premier League,3rd,17,17,1498,16.6,21,1.26,63,42,66.7,7,6,4,3,17.6,,,,,,Matches,Wojciech Szczęsny,GK
2015-2016,25,Roma,it ITA,1. Serie A,3rd,34,34,3060,34.0,34,1.00,130,96,73.8,22,10,2,8,23.5,,,,,,Matches,Wojciech Szczęsny,GK
2016-2017,26,Roma,it ITA,1. Serie A,2nd,38,38,3420,38.0,38,1.00,154,116,76.6,28,3,7,14,36.8,4,2,2,0,50.0,Matches,Wojciech Szczęsny,GK
2017-2018,27,Juventus,it ITA,1. Serie A,1st,17,17,1530,17.0,9,0.53,33,24,72.7,13,3,1,11,64.7,0,0,0,0,,Matches,Wojciech Szczęsny,GK
2018-2019,28,Juventus,it ITA,1. Serie A,1st,28,28,2520,28.0,20,0.71,81,61,76.5,22,5,1,11,39.3,3,1,1,1,50.0,Matches,Wojciech Szczęsny,GK
2019-2020,29,Juventus,it ITA,1. Serie A,1st,29,29,2591,28.8,33,1.15,129,95,80.6,19,4,6,11,37.9,10,8,1,1,11.1,Matches,Wojciech Szczęsny,GK
2020-2021,30,Juventus,it ITA,1. Serie A,4th,30,30,2677,29.7,32,1.08,98,66,71.4,16,8,6,5,16.7,6,4,2,0,33.3,Matches,Wojciech Szczęsny,GK
2021-2022,31,Juventus,it ITA,1. Serie A,4th,33,33,2970,33.0,29,0.88,105,73,75.2,18,9,6,12,36.4,6,3,3,0,50.0,Matches,Wojciech Szczęsny,GK
2022-2023,32,Juventus,it ITA,1. Serie A,7th,28,28,2472,27.5,26,0.95,93,67,75.3,17,3,8,14,50.0,3,3,0,0,0.0,Matches,Wojciech Szczęsny,GK
2023-2024,33,Juventus,it ITA,1. Serie A,3rd,35,35,3150,35.0,30,0.86,108,79,74.1,17,13,5,15,42.9,3,2,1,0,33.3,Matches,Wojciech Szczęsny,GK
16 Seasons,16 Seasons,5 Clubs,,4 Leagues,,432,432,38733,430.4,435,1.01,1609,1171,74.4,252,102,77,159,36.8,35,23,10,2,30.3,,Wojciech Szczęsny,GK
,,,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Wojciech Szczęsny,GK
Juventus (7 Seasons),Juventus (7 Seasons),Juventus (7 Seasons),,1 League,,200,200,17910,199.0,179,0.90,647,465,75.6,122,45,33,79,39.5,31,21,8,2,27.6,,Wojciech Szczęsny,GK
Arsenal (5 Seasons),Arsenal (5 Seasons),Arsenal (5 Seasons),,1 League,,132,132,11848,131.6,154,1.17,509,355,69.7,71,32,29,48,36.4,,,,,,,Wojciech Szczęsny,GK
Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,72,72,6480,72.0,72,1.00,284,212,75.4,50,13,9,22,30.6,4,2,2,0,50.0,,Wojciech Szczęsny,GK
Brentford (1 Season),Brentford (1 Season),Brentford (1 Season),,1 League,,28,28,2495,27.7,30,1.08,169,139,82.2,9,12,6,10,35.7,,,,,,,Wojciech Szczęsny,GK
,,,,,,,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,272,272,24390,271.0,251,0.93,931,677,75.5,172,58,42,101,37.1,35,23,10,2,30.3,,Wojciech Szczęsny,GK
Premier League (5 Seasons),Premier League (5 Seasons),Premier League (5 Seasons),,,,132,132,11848,131.6,154,1.17,509,355,69.7,71,32,29,48,36.4,,,,,,,Wojciech Szczęsny,GK
League One (1 Season),League One (1 Season),League One (1 Season),,,,28,28,2495,27.7,30,1.08,169,139,82.2,9,12,6,10,35.7,,,,,,,Wojciech Szczęsny,GK
