Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Player
2020-2021,23,Barcelona,es ESP,1. La Liga,3rd,35.0,3052,90,617,1742,726,87,3052,67,58,86.6,9,13.4,2147,12665,7334,95,103,11,35,25,2519,129,Matches,Frenkie de Jong,MF
2021-2022,24,Barcelona,es ESP,1. La Liga,2nd,27.5,1876,35,261,1141,498,66,1876,60,51,85.0,9,15.0,1264,7247,4393,78,71,8,37,28,1484,121,Matches,Frenkie de Jong,MF
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,28.2,2526,45,391,1553,607,47,2526,60,35,58.3,20,33.3,1797,11014,6407,92,94,9,24,22,2036,83,Matches,Frenkie de Jong,MF
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,18.2,1840,69,359,1139,355,18,1840,24,13,54.2,8,33.3,1207,7284,4346,69,52,3,14,17,1467,38,Matches,Frenkie de Jong,MF
2024-2025,27,Barcelona,es ESP,1. La Liga,3rd,2.6,200,1,19,147,34,5,200,4,2,50.0,2,50.0,135,773,459,5,7,0,2,1,160,6,Matches,Frenkie de Jong,MF
11 Seasons,11 Seasons,4 Clubs,,3 Leagues,,225.6,14089,344,2335,8513,3405,316,14089,351,266,75.8,77,21.9,9849,60776,35625,585,545,56,180,149,11270,564,,Frenkie de Jong,MF
,,,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Frenkie de Jong,MF
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,135.0,11303,271,1952,6764,2709,258,11303,272,205,75.4,59,21.7,7844,46729,27022,416,401,37,142,122,9183,459,,Frenkie de Jong,MF
Ajax (3 Seasons),Ajax (3 Seasons),Ajax (3 Seasons),,1 League,,46.9,2786,73,383,1749,696,58,2786,79,61,77.2,18,22.8,2005,14047,8603,169,144,19,38,27,2087,105,,Frenkie de Jong,MF
Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),,1 League,,43.3,,,,,,,,,,,,,,,,,,,,,,,,Frenkie de Jong,MF
Willem II (2 Seasons),Willem II (2 Seasons),Willem II (2 Seasons),,1 League,,0.5,,,,,,,,,,,,,,,,,,,,,,,,Frenkie de Jong,MF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frenkie de Jong,MF
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,135.0,11303,271,1952,6764,2709,258,11303,272,205,75.4,59,21.7,7844,46729,27022,416,401,37,142,122,9183,459,,Frenkie de Jong,MF
Eredivisie (5 Seasons),Eredivisie (5 Seasons),Eredivisie (5 Seasons),,,,47.4,2786,73,383,1749,696,58,2786,79,61,77.2,18,22.8,2005,14047,8603,169,144,19,38,27,2087,105,,Frenkie de Jong,MF
Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),,,,43.3,,,,,,,,,,,,,,,,,,,,,,,,Frenkie de Jong,MF
2019-2020,17,Girona,es ESP,2. La Liga 2,5th,0.3,7,0,0,3,4,2,7,3,2,66.7,1,33.3,6,49,33,1,3,1,2,1,6,0,Matches,Pau Victor Delgado,FW
2020-2021,18,Girona,es ESP,2. La Liga 2,5th,1.2,42,0,3,15,25,8,42,2,1,50.0,1,50.0,26,119,48,1,2,0,3,3,29,9,Matches,Pau Victor Delgado,FW
2024-2025,22,Barcelona,es ESP,1. La Liga,3rd,2.2,120,4,11,55,57,12,120,11,7,63.6,4,36.4,66,297,136,2,2,2,6,7,89,21,Matches,Pau Victor Delgado,FW
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,3.6,169,4,14,73,86,22,169,16,10,62.5,6,37.5,98,465,217,4,7,3,11,11,124,30,,Pau Victor Delgado,FW
,,,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Pau Victor Delgado,FW
