Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Player
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,23.0,915,1266,72.3,15558,3922,475,556,85.4,304,393,77.4,107,226,47.3,7,9.8,9.3,-2.8,57,48,74,20,104,Matches,Raphinha
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,15.2,522,693,75.3,8785,2397,261,313,83.4,182,222,82.0,63,114,55.3,9,5.7,5.0,+3.3,41,39,32,8,57,Matches,Raphinha
2024-2025,27,Barcelona,es ESP,1. La Liga,1st,15.6,476,678,70.2,8195,2429,238,290,82.1,164,215,76.3,60,118,50.8,6,7.8,5.0,-1.8,55,46,29,5,73,Matches,Raphinha
10 Seasons,10 Seasons,6 Clubs,,5 Leagues,,206.5,4400,6464,68.1,74772,23762,2219,2703,82.1,1466,2034,72.1,535,1170,45.7,50,49.6,40.5,+0.4,372,386,281,63,619,,Raphinha
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Raphinha
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,53.8,1913,2637,72.5,32538,8748,974,1159,84.0,650,830,78.3,230,458,50.2,22,23.3,19.3,-1.3,153,133,135,33,234,,Raphinha
Vitória (3 Seasons),Vitória (3 Seasons),Vitória (3 Seasons),,1 League,,50.0,,,,,,,,,,,,,,,10,,,,,,,,,,Raphinha
Leeds United (2 Seasons),Leeds United (2 Seasons),Leeds United (2 Seasons),,1 League,,58.6,1511,2365,63.9,25464,9513,746,910,82.0,493,756,65.2,187,463,40.4,12,15.4,13.0,-3.4,129,170,89,18,231,,Raphinha
Sporting CP (2 Seasons),Sporting CP (2 Seasons),Sporting CP (2 Seasons),,1 League,,20.8,443,645,68.7,7606,2268,232,298,77.9,137,187,73.3,58,106,54.7,1,4.7,3.7,-3.7,39,35,32,7,73,,Raphinha
Rennes (2 Seasons),Rennes (2 Seasons),Rennes (2 Seasons),,1 League,,23.3,533,817,65.2,9164,3233,267,336,79.5,186,261,71.3,60,143,42.0,5,6.3,4.6,-1.3,51,48,25,5,81,,Raphinha
Leeds United (1 Season),Leeds United (1 Season),Leeds United (1 Season),,1 League,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,Raphinha
Avaí (1 Season),Avaí (1 Season),Avaí (1 Season),,1 League,,,,,,,,,,,,,,,,,,,,,,,,,,,Raphinha
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raphinha
Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),,,,70.8,443,645,68.7,7606,2268,232,298,77.9,137,187,73.3,58,106,54.7,11,4.7,3.7,+6.3,39,35,32,7,73,,Raphinha
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,53.8,1913,2637,72.5,32538,8748,974,1159,84.0,650,830,78.3,230,458,50.2,22,23.3,19.3,-1.3,153,133,135,33,234,,Raphinha
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,58.6,1511,2365,63.9,25464,9513,746,910,82.0,493,756,65.2,187,463,40.4,12,15.4,13.0,-3.4,129,170,89,18,231,,Raphinha
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,23.3,533,817,65.2,9164,3233,267,336,79.5,186,261,71.3,60,143,42.0,5,6.3,4.6,-1.3,51,48,25,5,81,,Raphinha
PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,Raphinha
Série A (1 Season),Série A (1 Season),Série A (1 Season),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raphinha
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,17.3,1360,1487,91.5,25525,8442,493,523,94.3,737,772,95.5,122,170,71.8,0,0.4,0.4,-0.4,5,73,0,0,75,Matches,Pau Cubarsí
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,15.3,1237,1325,93.4,23963,8152,376,397,94.7,748,777,96.3,104,134,77.6,1,0.9,0.4,0.1,6,89,1,1,86,Matches,Pau Cubarsí
2 Seasons,2 Seasons,1 Club,,1 League,,32.7,2597,2812,92.4,49488,16594,869,920,94.5,1485,1549,95.9,226,304,74.3,1,1.4,0.8,-0.4,11,162,1,1,161,,Pau Cubarsí
2008-2009,19,Lech Poznań,pl POL,1. Ekstraklasa,3rd,27.0,,,,,,,,,,,,,,,3,,,,,,,,,Matches,Robert Lewandowski
2009-2010,20,Lech Poznań,pl POL,1. Ekstraklasa,1st,27.9,,,,,,,,,,,,,,,4,,,,,,,,,Matches,Robert Lewandowski
2010-2011,21,Dortmund,de GER,1. Bundesliga,1st,17.7,,,,,,,,,,,,,,,1,,,,,,,,,Matches,Robert Lewandowski
2011-2012,22,Dortmund,de GER,1. Bundesliga,1st,31.9,,,,,,,,,,,,,,,7,,,,,,,,,Matches,Robert Lewandowski
2012-2013,23,Dortmund,de GER,1. Bundesliga,2nd,28.8,,,,,,,,,,,,,,,5,,,,,,,,,Matches,Robert Lewandowski
2013-2014,24,Dortmund,de GER,1. Bundesliga,2nd,31.1,,,,,,,,,,,,,,,8,,,,,,,,,Matches,Robert Lewandowski
