Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Player
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.5,,,,,,,,,,,,,,,1,,,,,,,,,Matches,Dani Olmo
2016-2017,18,Dinamo Zagreb,hr CRO,1. 1. HNL,2nd,9.3,,,,,,,,,,,,,,,4,,,,,,,,,Matches,Dani Olmo
2017-2018,19,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,23.3,,,,,,,,,,,,,,,6,,,,,,,,,Matches,Dani Olmo
2018-2019,20,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,17.7,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Dani Olmo
2019-2020,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,8.2,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Dani Olmo
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,3rd,8.3,262,361,72.6,3517,1285,154,178,86.5,61,85,71.8,18,37,48.6,1,1.2,1.7,-0.2,9,35,13,2,46,Matches,Dani Olmo
2020-2021,22,RB Leipzig,de GER,1. Bundesliga,2nd,24.4,958,1256,76.3,13733,4251,550,641,85.8,269,352,76.4,73,114,64.0,9,5.1,6.0,+3.9,41,106,46,3,175,Matches,Dani Olmo
2021-2022,23,RB Leipzig,de GER,1. Bundesliga,4th,8.3,273,353,77.3,3916,1298,148,169,87.6,90,111,81.1,16,34,47.1,3,2.6,3.4,+0.4,12,31,16,2,53,Matches,Dani Olmo
2022-2023,24,RB Leipzig,de GER,1. Bundesliga,3rd,14.2,450,596,75.5,6561,1888,258,300,86.0,134,173,77.5,31,57,54.4,5,4.5,5.1,+0.5,38,36,27,1,68,Matches,Dani Olmo
2023-2024,25,RB Leipzig,de GER,1. Bundesliga,4th,16.1,511,657,77.8,8589,2309,256,306,83.7,187,226,82.7,52,74,70.3,5,5.4,3.7,-0.4,32,60,21,7,68,Matches,Dani Olmo
2024-2025,26,Barcelona,es ESP,1. La Liga,1st,5.9,181,233,77.7,3121,994,100,109,91.7,58,74,78.4,20,27,74.1,0,1.1,1.7,-1.1,5,18,11,1,34,Matches,Dani Olmo
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,137.0,2635,3456,76.2,39437,12025,1466,1703,86.1,799,1021,78.3,210,343,61.2,34,19.9,21.5,+14.1,137,286,134,16,444,,Dani Olmo
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Dani Olmo
Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),,1 League,,59.8,,,,,,,,,,,,,,,11,,,,,,,,,,Dani Olmo
RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),,1 League,,71.3,2454,3223,76.1,36316,11031,1366,1594,85.7,741,947,78.2,190,316,60.1,23,18.8,19.9,+4.2,132,268,123,15,410,,Dani Olmo
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,5.9,181,233,77.7,3121,994,100,109,91.7,58,74,78.4,20,27,74.1,0,1.1,1.7,-1.1,5,18,11,1,34,,Dani Olmo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dani Olmo
1. HNL (6 Seasons),1. HNL (6 Seasons),1. HNL (6 Seasons),,,,59.8,,,,,,,,,,,,,,,11,,,,,,,,,,Dani Olmo
Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,71.3,2454,3223,76.1,36316,11031,1366,1594,85.7,741,947,78.2,190,316,60.1,23,18.8,19.9,+4.2,132,268,123,15,410,,Dani Olmo
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,5.9,181,233,77.7,3121,994,100,109,91.7,58,74,78.4,20,27,74.1,0,1.1,1.7,-1.1,5,18,11,1,34,,Dani Olmo
2010-2011,18,Gladbach,de GER,1. Bundesliga,16th,6.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen
2011-2012,19,Gladbach,de GER,1. Bundesliga,4th,34.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen
2012-2013,20,Gladbach,de GER,1. Bundesliga,8th,33.8,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen
2013-2014,21,Gladbach,de GER,1. Bundesliga,6th,34.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen
2015-2016,23,Barcelona,es ESP,1. La Liga,1st,6.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen
2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,36.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen
2017-2018,25,Barcelona,es ESP,1. La Liga,1st,37.0,1068,1304,81.9,27867,19433,154,154,100.0,598,613,97.6,313,531,58.9,0,0.0,0.0,0.0,0,1,0,0,0,Matches,Marc-André ter Stegen
2018-2019,26,Barcelona,es ESP,1. La Liga,1st,35.0,930,1084,85.8,24411,17180,131,131,100.0,512,521,98.3,284,427,66.5,0,0.0,0.0,0.0,0,6,0,0,0,Matches,Marc-André ter Stegen
2019-2020,27,Barcelona,es ESP,1. La Liga,2nd,36.0,1253,1431,87.6,29479,20950,331,333,99.4,599,614,97.6,318,477,66.7,2,0.7,0.2,+1.3,2,9,2,0,1,Matches,Marc-André ter Stegen
2020-2021,28,Barcelona,es ESP,1. La Liga,3rd,31.0,925,1043,88.7,22407,15660,182,183,99.5,514,522,98.5,228,336,67.9,0,0.0,0.0,0.0,1,2,0,0,1,Matches,Marc-André ter Stegen
2021-2022,29,Barcelona,es ESP,1. La Liga,2nd,35.0,1113,1281,86.9,27465,18908,242,245,98.8,564,577,97.7,300,447,67.1,0,0.1,0.0,-0.1,1,10,0,0,2,Matches,Marc-André ter Stegen
2022-2023,30,Barcelona,es ESP,1. La Liga,1st,37.2,1193,1412,84.5,30703,21527,228,232,98.3,600,613,97.9,362,564,64.2,0,0.3,0.0,-0.3,3,15,0,0,4,Matches,Marc-André ter Stegen
2023-2024,31,Barcelona,es ESP,1. La Liga,2nd,28.0,927,1036,89.5,22797,16159,182,183,99.5,490,501,97.8,251,344,73.0,0,0.1,0.1,-0.1,1,9,1,0,1,Matches,Marc-André ter Stegen
2024-2025,32,Barcelona,es ESP,1. La Liga,1st,5.5,186,203,91.6,4679,3174,17,17,100.0,125,127,98.4,44,59,74.6,0,0.0,0.0,0.0,0,1,1,0,0,Matches,Marc-André ter Stegen
15 Seasons,15 Seasons,2 Clubs,,2 Leagues,,394.6,7595,8794,86.4,189808,132991,1467,1478,99.3,4002,4088,97.9,2100,3185,65.9,2,1.3,0.4,+0.7,8,53,4,0,9,,Marc-André ter Stegen
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Marc-André ter Stegen
Barcelona (11 Seasons),Barcelona (11 Seasons),Barcelona (11 Seasons),,1 League,,286.7,7595,8794,86.4,189808,132991,1467,1478,99.3,4002,4088,97.9,2100,3185,65.9,2,1.3,0.4,+0.7,8,53,4,0,9,,Marc-André ter Stegen
Gladbach (4 Seasons),Gladbach (4 Seasons),Gladbach (4 Seasons),,1 League,,107.8,,,,,,,,,,,,,,,0,,,,,,,,,,Marc-André ter Stegen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marc-André ter Stegen
La Liga (11 Seasons),La Liga (11 Seasons),La Liga (11 Seasons),,,,286.7,7595,8794,86.4,189808,132991,1467,1478,99.3,4002,4088,97.9,2100,3185,65.9,2,1.3,0.4,+0.7,8,53,4,0,9,,Marc-André ter Stegen
Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,107.8,,,,,,,,,,,,,,,0,,,,,,,,,,Marc-André ter Stegen
2017-2018,17,Valencia,es ESP,1. La Liga,4th,3.5,68,110,61.8,1005,379,46,63,73.0,17,26,65.4,4,13,30.8,1,0.8,0.7,+0.2,4,4,3,0,11,Matches,Ferrán Torres
2018-2019,18,Valencia,es ESP,1. La Liga,4th,9.4,239,330,72.4,3643,1131,127,157,80.9,83,108,76.9,19,35,54.3,1,1.7,1.6,-0.7,15,13,18,8,27,Matches,Ferrán Torres
2019-2020,19,Valencia,es ESP,1. La Liga,9th,25.0,535,768,69.7,7746,2357,310,355,87.3,166,245,67.8,32,88,36.4,5,4.9,3.3,+0.1,25,32,35,8,76,Matches,Ferrán Torres
2020-2021,20,Manchester City,eng ENG,1. Premier League,1st,14.5,353,445,79.3,4935,789,216,242,89.3,99,123,80.5,17,39,43.6,2,2.2,1.7,-0.2,19,12,13,1,31,Matches,Ferrán Torres
2021-2022,21,Manchester City,eng ENG,1. Premier League,1st,3.4,54,74,73.0,711,64,32,39,82.1,15,20,75.0,2,3,66.7,1,0.0,0.2,+1.0,1,0,1,0,4,Matches,Ferrán Torres
2021-2022,21,Barcelona,es ESP,1. La Liga,2nd,15.7,489,587,83.3,6854,1284,291,326,89.3,133,160,83.1,33,41,80.5,4,3.1,2.6,+0.9,12,30,12,0,53,Matches,Ferrán Torres
2022-2023,22,Barcelona,es ESP,1. La Liga,1st,15.5,437,576,75.9,6772,1479,250,285,87.7,144,192,75.0,33,62,53.2,2,4.1,4.2,-2.1,25,13,29,11,44,Matches,Ferrán Torres
2023-2024,23,Barcelona,es ESP,1. La Liga,2nd,13.5,351,450,78.0,5339,1196,203,241,84.2,102,127,80.3,31,38,81.6,2,2.7,1.9,-0.7,26,26,22,5,44,Matches,Ferrán Torres
2024-2025,24,Barcelona,es ESP,1. La Liga,1st,5.2,102,143,71.3,1251,371,67,79,84.8,24,36,66.7,4,14,28.6,2,0.4,0.4,+1.6,6,9,7,1,13,Matches,Ferrán Torres
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,105.6,2628,3483,75.5,38256,9050,1542,1787,86.3,783,1037,75.5,175,333,52.6,20,19.9,16.6,+0.1,133,139,140,34,303,,Ferrán Torres
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Ferrán Torres
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,49.8,1379,1756,78.5,20216,4330,811,931,87.1,403,515,78.3,101,155,65.2,10,10.3,9.1,-0.3,69,78,70,17,154,,Ferrán Torres
Valencia (3 Seasons),Valencia (3 Seasons),Valencia (3 Seasons),,1 League,,37.9,842,1208,69.7,12394,3867,483,575,84.0,266,379,70.2,55,136,40.4,7,7.4,5.6,-0.4,44,49,56,16,114,,Ferrán Torres
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,17.9,407,519,78.4,5646,853,248,281,88.3,114,143,79.7,19,42,45.2,3,2.3,1.9,+0.7,20,12,14,1,35,,Ferrán Torres
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferrán Torres
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,87.7,2221,2964,74.9,32610,8197,1294,1506,85.9,669,894,74.8,156,291,53.6,17,17.7,14.7,-0.7,113,127,126,33,268,,Ferrán Torres
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,17.9,407,519,78.4,5646,853,248,281,88.3,114,143,79.7,19,42,45.2,3,2.3,1.9,+0.7,20,12,14,1,35,,Ferrán Torres
2024-2025,22,Barcelona,es ESP,1. La Liga,1st,4.3,229,278,82.4,3732,1154,112,127,88.2,100,116,86.2,12,21,57.1,1,0.4,0.8,0.6,4,9,6,1,16,Matches,Gerard Martín
1 Season,1 Season,1 Club,,1 League,,4.3,229,278,82.4,3732,1154,112,127,88.2,100,116,86.2,12,21,57.1,1,0.4,0.8,0.6,4,9,6,1,16,,Gerard Martín
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,1.6,77,98,78.6,1026,294,54,62,87.1,16,19,84.2,5,12,41.7,0,0.5,0.4,-0.5,4,9,3,0,11,Matches,Pablo Torre
2023-2024,20,Girona,es ESP,1. La Liga,3rd,7.8,356,429,83.0,5756,1588,193,218,88.5,126,145,86.9,27,40,67.5,2,0.9,1.5,+1.1,11,42,17,0,65,Matches,Pablo Torre
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,2.8,128,158,81.0,1913,475,65,73,89.0,48,54,88.9,8,16,50.0,1,0.5,0.9,+0.5,5,10,4,1,15,Matches,Pablo Torre
3 Seasons,3 Seasons,2 Clubs,,1 League,,12.1,561,685,81.9,8695,2357,312,353,88.4,190,218,87.2,40,68,58.8,3,1.9,2.8,+1.1,20,61,24,1,91,,Pablo Torre
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Pablo Torre
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,4.4,205,256,80.1,2939,769,119,135,88.1,64,73,87.7,13,28,46.4,1,1.0,1.3,0.0,9,19,7,1,26,,Pablo Torre
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,7.8,356,429,83.0,5756,1588,193,218,88.5,126,145,86.9,27,40,67.5,2,0.9,1.5,+1.1,11,42,17,0,65,,Pablo Torre
2017-2018,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,6th,2.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Eric García
2018-2019,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,8th,9.8,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Eric García
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,3.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Eric García
2019-2020,18,Manchester City,eng ENG,1. Premier League,2nd,8.8,680,731,93.0,12072,3791,272,291,93.5,355,368,96.5,45,54,83.3,0,0.2,0.1,-0.2,2,38,1,1,53,Matches,Eric García
2020-2021,19,Manchester City,eng ENG,1. Premier League,1st,4.3,325,342,95.0,5830,1856,131,134,97.8,170,174,97.7,23,30,76.7,0,0.0,0.1,0.0,1,22,0,0,22,Matches,Eric García
2021-2022,20,Barcelona,es ESP,1. La Liga,2nd,22.7,1568,1689,92.8,29467,10517,565,596,94.8,844,885,95.4,139,172,80.8,0,0.1,0.7,-0.1,4,157,3,0,137,Matches,Eric García
2022-2023,21,Barcelona,es ESP,1. La Liga,1st,15.7,1142,1257,90.9,21550,7275,429,460,93.3,578,612,94.4,122,158,77.2,0,0.2,0.6,-0.2,1,130,2,0,105,Matches,Eric García
2023-2024,22,Girona,es ESP,1. La Liga,3rd,29.3,2064,2306,89.5,37231,14739,810,866,93.5,1059,1123,94.3,169,252,67.1,0,0.5,1.1,-0.5,10,223,17,2,221,Matches,Eric García
2023-2024,22,Barcelona,es ESP,1. La Liga,2nd,0.6,46,48,95.8,802,308,22,23,95.7,21,21,100.0,3,4,75.0,0,0.0,0.0,0.0,0,4,0,0,5,Matches,Eric García
2024-2025,23,Barcelona,es ESP,1. La Liga,1st,5.0,268,297,90.2,4587,1594,111,128,86.7,131,137,95.6,18,19,94.7,1,0.4,0.5,+0.6,1,33,6,0,29,Matches,Eric García
6 Seasons,6 Seasons,3 Clubs,,2 Leagues,,86.4,6093,6670,91.3,111539,40080,2340,2498,93.7,3158,3320,95.1,519,689,75.3,1,1.5,3.1,-0.5,19,607,29,3,572,,Eric García
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Eric García
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,44.1,3024,3291,91.9,56406,19694,1127,1207,93.4,1574,1655,95.1,282,353,79.9,1,0.7,1.8,+0.3,6,324,11,0,276,,Eric García
Manchester City (3 Seasons),Manchester City (3 Seasons),Manchester City (3 Seasons),,1 League,,14.8,,,,,,,,,,,,,,,0,,,,,,,,,,Eric García
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,13.1,1005,1073,93.7,17902,5647,403,425,94.8,525,542,96.9,68,84,81.0,0,0.2,0.2,-0.2,3,60,1,1,75,,Eric García
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,29.3,2064,2306,89.5,37231,14739,810,866,93.5,1059,1123,94.3,169,252,67.1,0,0.5,1.1,-0.5,10,223,17,2,221,,Eric García
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric García
La Liga (4 Seasons),La Liga (4 Seasons),La Liga (4 Seasons),,,,73.4,5088,5597,90.9,93637,34433,1937,2073,93.4,2633,2778,94.8,451,605,74.5,1,1.2,2.9,-0.2,16,547,28,2,497,,Eric García
PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),,,,14.8,,,,,,,,,,,,,,,0,,,,,,,,,,Eric García
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,13.1,1005,1073,93.7,17902,5647,403,425,94.8,525,542,96.9,68,84,81.0,0,0.2,0.2,-0.2,3,60,1,1,75,,Eric García
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.1,522,631,82.7,7613,1710,321,349,92.0,138,172,80.2,38,54,70.4,0,1.1,1.3,-1.1,18,53,16,2,76,Matches,Fermin López
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,3.4,113,133,85.0,1654,315,72,81,88.9,34,41,82.9,4,4,100.0,0,0.4,0.6,-0.4,2,12,4,2,15,Matches,Fermin López
2 Seasons,2 Seasons,1 Club,,1 League,,19.5,635,764,83.1,9267,2025,393,430,91.4,172,213,80.8,42,58,72.4,0,1.6,1.9,-1.6,20,65,20,4,91,,Fermin López
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,2.7,148,160,92.5,2634,623,66,71,93.0,72,77,93.5,10,11,90.9,0,0.0,0.1,0.0,1,12,0,0,8,Matches,Marc Bernal
1 Season,1 Season,1 Club,,1 League,,2.7,148,160,92.5,2634,623,66,71,93.0,72,77,93.5,10,11,90.9,0,0.0,0.1,0.0,1,12,0,0,8,,Marc Bernal
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,3.5,200,230,87.0,3004,748,121,129,93.8,65,76,85.5,11,19,57.9,2,0.8,0.5,1.2,3,10,3,1,7,Matches,Héctor Fort
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,3.1,203,227,89.4,2969,626,110,116,94.8,75,86,87.2,7,9,77.8,0,0.6,1.1,-0.6,4,16,1,0,14,Matches,Héctor Fort
2 Seasons,2 Seasons,1 Club,,1 League,,6.6,403,457,88.2,5973,1374,231,245,94.3,140,162,86.4,18,28,64.3,2,1.4,1.5,0.6,7,26,4,1,21,,Héctor Fort
2021-2022,16,Barcelona,es ESP,1. La Liga,2nd,25.7,1086,1262,86.1,14787,2659,658,697,94.4,300,350,85.7,55,88,62.5,5,3.2,4.1,1.8,20,104,25,6,115,Matches,Gavi
2022-2023,17,Barcelona,es ESP,1. La Liga,1st,28.1,1026,1206,85.1,14584,2930,652,711,91.7,289,340,85.0,55,79,69.6,4,3.7,3.8,0.3,38,98,40,4,134,Matches,Gavi
2023-2024,18,Barcelona,es ESP,1. La Liga,2nd,10.5,489,541,90.4,7119,1400,297,315,94.3,146,165,88.5,28,35,80.0,1,1.1,1.4,-0.1,11,37,8,2,39,Matches,Gavi
2024-2025,19,Barcelona,es ESP,1. La Liga,1st,2.0,121,140,86.4,1818,459,65,73,89.0,38,44,86.4,8,11,72.7,0,0.7,0.2,-0.7,3,16,1,0,12,Matches,Gavi
4 Seasons,4 Seasons,1 Club,,1 League,,66.4,2722,3149,86.4,38308,7448,1672,1796,93.1,773,899,86.0,146,213,68.5,10,8.7,9.4,1.3,72,255,74,12,300,,Gavi
2024-2025,19,Barcelona,es ESP,1. La Liga,1st,1.9,171,180,95.0,3171,1062,57,57,100.0,106,112,94.6,7,10,70.0,0,0.0,0.0,0.0,0,13,0,0,13,Matches,Sergi Dominguez
1 Season,1 Season,1 Club,,1 League,,1.9,171,180,95.0,3171,1062,57,57,100.0,106,112,94.6,7,10,70.0,0,0.0,0.0,0.0,0,13,0,0,13,,Sergi Dominguez
2014-2015,17,Willem II,nl NED,1. Eredivisie,9th,0.3,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Frenkie de Jong
2015-2016,18,Willem II,nl NED,1. Eredivisie,16th,0.2,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Frenkie de Jong
2015-2016,18,Jong Ajax,nl NED,2. Eerste Divisie,9th,14.3,,,,,,,,,,,,,,,3,,,,,,,,,Matches,Frenkie de Jong
2016-2017,19,Jong Ajax,nl NED,2. Eerste Divisie,2nd,29.0,,,,,,,,,,,,,,,6,,,,,,,,,Matches,Frenkie de Jong
2016-2017,19,Ajax,nl NED,1. Eredivisie,2nd,1.7,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Frenkie de Jong
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,17.3,,,,,,,,,,,,,,,7,,,,,,,,,Matches,Frenkie de Jong
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,27.9,2274,2511,90.6,33763,10781,1278,1368,93.4,744,807,92.2,141,173,81.5,3,4.4,6.2,-1.4,44,279,38,3,316,Matches,Frenkie de Jong
2019-2020,22,Barcelona,es ESP,1. La Liga,2nd,23.5,1519,1660,91.5,22524,5475,881,940,93.7,462,493,93.7,102,114,89.5,2,2.4,2.7,-0.4,25,157,19,0,146,Matches,Frenkie de Jong
2020-2021,23,Barcelona,es ESP,1. La Liga,3rd,35.0,2575,2821,91.3,38292,11255,1377,1462,94.2,943,1002,94.1,131,156,84.0,4,5.8,5.6,-1.8,49,243,30,0,238,Matches,Frenkie de Jong
2021-2022,24,Barcelona,es ESP,1. La Liga,2nd,27.5,1504,1680,89.5,23427,5811,797,856,93.1,519,568,91.4,112,139,80.6,3,3.4,4.1,-0.4,43,170,36,3,206,Matches,Frenkie de Jong
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,28.2,2089,2320,90.0,33411,10589,1121,1186,94.5,782,849,92.1,144,186,77.4,4,4.3,6.3,-0.3,45,250,59,7,279,Matches,Frenkie de Jong
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,18.2,1542,1674,92.1,23581,7114,872,905,96.4,558,608,91.8,80,104,76.9,0,2.2,4.9,-2.2,21,187,34,7,168,Matches,Frenkie de Jong
2024-2025,27,Barcelona,es ESP,1. La Liga,1st,2.6,173,186,93.0,2681,855,92,95,96.8,67,72,93.1,8,11,72.7,1,1.2,1.0,-0.2,5,22,0,0,21,Matches,Frenkie de Jong
11 Seasons,11 Seasons,4 Clubs,,3 Leagues,,225.6,11676,12852,90.8,177679,51880,6418,6812,94.2,4075,4399,92.6,718,883,81.3,33,23.7,30.8,+9.3,232,1308,216,20,1374,,Frenkie de Jong
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Frenkie de Jong
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,135.0,9402,10341,90.9,143916,41099,5140,5444,94.4,3331,3592,92.7,577,710,81.3,14,19.3,24.6,-5.3,188,1029,178,17,1058,,Frenkie de Jong
Ajax (3 Seasons),Ajax (3 Seasons),Ajax (3 Seasons),,1 League,,46.9,2274,2511,90.6,33763,10781,1278,1368,93.4,744,807,92.2,141,173,81.5,10,4.4,6.2,+5.6,44,279,38,3,316,,Frenkie de Jong
Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),,1 League,,43.3,,,,,,,,,,,,,,,9,,,,,,,,,,Frenkie de Jong
Willem II (2 Seasons),Willem II (2 Seasons),Willem II (2 Seasons),,1 League,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,Frenkie de Jong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frenkie de Jong
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,135.0,9402,10341,90.9,143916,41099,5140,5444,94.4,3331,3592,92.7,577,710,81.3,14,19.3,24.6,-5.3,188,1029,178,17,1058,,Frenkie de Jong
Eredivisie (5 Seasons),Eredivisie (5 Seasons),Eredivisie (5 Seasons),,,,47.4,2274,2511,90.6,33763,10781,1278,1368,93.4,744,807,92.2,141,173,81.5,10,4.4,6.2,+5.6,44,279,38,3,316,,Frenkie de Jong
Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),,,,43.3,,,,,,,,,,,,,,,9,,,,,,,,,,Frenkie de Jong
2019-2020,17,Girona,es ESP,2. La Liga 2,5th,0.3,4,4,100.0,46,18,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,1,0,0,0,2,Matches,Pau Victor Delgado
2020-2021,18,Girona,es ESP,2. La Liga 2,5th,1.2,19,28,67.9,287,57,11,17,64.7,6,8,75.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches,Pau Victor Delgado
2024-2025,22,Barcelona,es ESP,1. La Liga,1st,2.0,60,78,76.9,912,128,35,39,89.7,21,30,70.0,4,5,80.0,1,0.4,0.3,+0.6,3,4,2,0,4,Matches,Pau Victor Delgado
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,3.5,83,110,75.5,1245,203,50,60,83.3,27,38,71.1,5,6,83.3,1,0.4,0.3,+0.6,4,5,2,0,9,,Pau Victor Delgado
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Pau Victor Delgado
Girona (4 Seasons),Girona (4 Seasons),Girona (4 Seasons),,2 Leagues,,1.5,23,32,71.9,333,75,15,21,71.4,6,8,75.0,1,1,100.0,0,0.0,0.0,0.0,1,1,0,0,5,,Pau Victor Delgado
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,2.0,60,78,76.9,912,128,35,39,89.7,21,30,70.0,4,5,80.0,1,0.4,0.3,+0.6,3,4,2,0,4,,Pau Victor Delgado
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pau Victor Delgado
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,2.0,60,78,76.9,912,128,35,39,89.7,21,30,70.0,4,5,80.0,1,0.4,0.3,+0.6,3,4,2,0,4,,Pau Victor Delgado
