Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2021-2022,24,Fiorentina,it ITA,1. Serie A,7th,23,944,41,27.6,10.5,8,84,6,15,18,8,1.78,12,13,-1,-0.10,-0.42,11.5,11.0,+0.5,+0.05,-0.64,Sofyan Amrabat,MF
2022-2023,25,Fiorentina,it ITA,1. Serie A,8th,29,1998,69,58.4,22.2,24,79,11,5,23,4,1.41,29,27,+2,+0.09,-0.42,30.5,25.7,+4.8,+0.22,-0.22,Sofyan Amrabat,MF
2023-2024,26,Manchester Utd,eng ENG,1. Premier League,8th,21,938,45,27.4,10.4,10,83,6,11,10,8,1.71,8,15,-7,-0.67,-0.89,14.3,19.1,-4.7,-0.45,-0.17,Sofyan Amrabat,MF
2023-2024,26,Fiorentina,it ITA,1. Serie A,8th,0,,,,,0,,0,0,,1,,,,,,,,,,,,Sofyan Amrabat,MF
2024-2025,27,Fiorentina,it ITA,1. Serie A,4th,2,180,90,14.3,2.0,2,90,2,0,,0,1.00,1,1,0,0.00,-1.50,1.6,2.3,-0.7,-0.36,-1.01,Sofyan Amrabat,MF
2024-2025,27,Fenerbahçe,tr TUR,1. Süper Lig,2nd,10,725,73,57.5,8.1,7,89,5,3,33,0,2.20,21,8,+13,+1.61,-0.07,,,,,,Sofyan Amrabat,MF
2016-2017,18,Paris S-G,fr FRA,1. Ligue 1,2nd,4,138,35,4.0,1.5,2,,0,2,,1,3.00,3,1,+2,+1.30,-0.18,,,,,,Jonathan Ikone,"FW,MF"
2016-2017,18,Montpellier,fr FRA,1. Ligue 1,15th,14,669,48,19.6,7.4,7,,2,7,,0,0.64,9,20,-11,-1.48,-1.25,,,,,,Jonathan Ikone,"FW,MF"
2017-2018,19,Montpellier,fr FRA,1. Ligue 1,10th,18,998,55,29.2,11.1,12,71,4,6,24,6,1.28,11,10,+1,+0.09,+0.02,10.5,11.4,-0.8,-0.07,-0.24,Jonathan Ikone,"FW,MF"
2018-2019,20,Lille,fr FRA,1. Ligue 1,2nd,38,2796,74,81.8,31.1,34,81,12,4,9,0,1.97,49,25,+24,+0.77,-0.81,46.0,32.8,+13.3,+0.43,-0.17,Jonathan Ikone,"FW,MF"
2019-2020,21,Lille,fr FRA,1. Ligue 1,4th,28,2057,73,81.6,22.9,26,76,5,2,36,0,1.75,28,17,+11,+0.48,+1.06,30.6,21.7,+9.0,+0.39,+0.42,Jonathan Ikone,"FW,MF"
2020-2021,22,Lille,fr FRA,1. Ligue 1,1st,37,2177,59,63.7,24.2,26,75,6,11,21,0,2.24,36,20,+16,+0.66,-1.15,27.2,20.6,+6.7,+0.28,-0.59,Jonathan Ikone,"FW,MF"
2021-2022,23,Lille,fr FRA,1. Ligue 1,10th,18,1062,59,31.1,11.8,13,75,1,5,17,0,1.39,14,15,-1,-0.08,-0.12,17.1,11.4,+5.7,+0.48,+0.30,Jonathan Ikone,"FW,MF"
2021-2022,23,Fiorentina,it ITA,1. Serie A,7th,17,649,38,19.0,7.2,7,65,0,10,20,2,1.41,10,11,-1,-0.14,-0.43,13.7,8.1,+5.5,+0.77,+0.32,Jonathan Ikone,"FW,MF"
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,33,2007,61,58.7,22.3,24,74,10,9,26,5,1.52,30,23,+7,+0.31,+0.12,33.5,24.5,+9.0,+0.40,+0.23,Jonathan Ikone,"FW,MF"
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,28,1682,60,49.2,18.7,18,80,7,10,25,4,1.57,26,18,+8,+0.43,+0.07,26.4,24.1,+2.3,+0.12,+0.06,Jonathan Ikone,"FW,MF"
2024-2025,26,Fiorentina,it ITA,1. Serie A,4th,10,253,25,20.1,2.8,1,55,0,9,22,3,2.10,5,0,+5,+1.78,+0.62,3.7,2.4,+1.3,+0.45,-0.07,Jonathan Ikone,"FW,MF"
2020-2021,19,Empoli,it ITA,2. Serie B,1st,20,1644,82,48.1,18.3,19,86,14,1,7,18,1.90,38,16,+22,+1.20,+0.65,33.8,17.5,+16.3,+0.89,+0.61,Fabiano Parisi,DF
2021-2022,20,Empoli,it ITA,1. Serie A,14th,25,1477,59,43.2,16.4,16,80,9,9,22,7,1.12,22,27,-5,-0.30,+0.39,19.1,27.3,-8.2,-0.50,+0.10,Fabiano Parisi,DF
2022-2023,21,Empoli,it ITA,1. Serie A,14th,33,2830,86,82.7,31.4,33,86,28,0,,2,1.21,31,37,-6,-0.19,+0.72,32.5,45.0,-12.5,-0.40,+0.67,Fabiano Parisi,DF
2023-2024,22,Fiorentina,it ITA,1. Serie A,8th,21,1454,69,42.5,16.2,16,86,13,5,14,16,1.38,25,20,+5,+0.31,-0.15,24.6,16.7,+7.9,+0.49,+0.69,Fabiano Parisi,DF
2024-2025,23,Fiorentina,it ITA,1. Serie A,4th,6,165,28,13.1,1.8,1,90,1,5,15,9,2.00,3,0,+3,+1.64,+0.40,2.1,1.0,+1.1,+0.59,+0.10,Fabiano Parisi,DF
2016-2017,18,1860 Munich,de GER,2. 2. Bundesliga,16th,6,540,90,17.6,6.0,6,,6,0,,0,0.67,5,8,-3,-0.50,-0.25,,,,,,Marin Pongračić,DF
2017-2018,19,RB Salzburg,at AUT,1. Bundesliga,1st,16,1311,82,40.5,14.6,14,,14,2,,6,2.19,42,17,+25,+1.72,+0.46,,,,,,Marin Pongračić,DF
