Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2024-2025,19,Fiorentina,it ITA,1. Serie A,4th,11.5,540,609,88.7,10990,3118,147,160,91.9,316,335,94.3,72,100,72.0,0,0.1,0.1,-0.1,1,28,1,0,34,Pietro Comuzzo,DF
2016-2017,16,Juventus,it ITA,1. Serie A,1st,0.2,,,,,,,,,,,,,,,0,,,,,,,,,Moise Kean,FW
2017-2018,17,Hellas Verona,it ITA,1. Serie A,19th,12.6,149,207,72.0,2076,327,85,105,81.0,41,51,80.4,8,15,53.3,0,0.5,0.4,-0.5,8,7,2,1,13,Moise Kean,FW
2018-2019,18,Juventus,it ITA,1. Serie A,1st,6.0,67,86,77.9,919,95,40,48,83.3,19,23,82.6,4,5,80.0,0,0.3,0.3,-0.3,5,0,0,0,4,Moise Kean,FW
2019-2020,19,Everton,eng ENG,1. Premier League,12th,9.5,99,138,71.7,1173,310,55,71,77.5,20,25,80.0,4,7,57.1,2,2.0,0.6,0.0,10,8,6,2,12,Moise Kean,FW
2020-2021,20,Paris S-G,fr FRA,1. Ligue 1,2nd,18.9,243,313,77.6,3143,454,151,180,83.9,48,62,77.4,13,16,81.3,0,0.9,0.6,-0.9,8,10,7,0,22,Moise Kean,FW
2020-2021,20,Everton,eng ENG,1. Premier League,10th,0.2,6,8,75.0,87,0,3,3,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Moise Kean,FW
2021-2022,21,Everton,eng ENG,1. Premier League,16th,0.0,1,1,100.0,11,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Moise Kean,FW
2021-2022,21,Juventus,it ITA,1. Serie A,4th,12.2,174,228,76.3,2486,280,106,137,77.4,42,53,79.2,15,22,68.2,2,0.2,0.2,+1.8,5,9,3,1,10,Moise Kean,FW
2022-2023,22,Juventus,it ITA,1. Serie A,7th,11.1,130,187,69.5,1655,337,79,101,78.2,30,42,71.4,5,9,55.6,0,1.1,0.6,-1.1,8,7,6,1,13,Moise Kean,FW
2023-2024,23,Juventus,it ITA,1. Serie A,3rd,7.3,66,96,68.8,911,134,37,49,75.5,18,20,90.0,5,6,83.3,0,0.7,0.1,-0.7,5,3,0,0,6,Moise Kean,FW
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,11.5,99,139,71.2,1581,251,50,65,76.9,37,51,72.5,7,9,77.8,1,1.0,0.6,0.0,8,4,4,0,11,Moise Kean,FW
2019-2020,20,Trapani,it ITA,2. Serie B,18th,19.5,430,632,68.0,7620,2515,211,250,84.4,146,214,68.2,55,111,49.5,2,2.3,1.6,-0.3,22,55,20,7,76,Andrea Colpani,"FW,MF"
2020-2021,21,Monza,it ITA,2. Serie B,3rd,10.3,360,454,79.3,6275,1732,183,204,89.7,129,151,85.4,42,75,56.0,1,2.0,1.7,-1.0,23,32,18,5,56,Andrea Colpani,"FW,MF"
2021-2022,22,Monza,it ITA,2. Serie B,4th,18.6,591,778,76.0,10432,2500,290,324,89.5,216,278,77.7,71,131,54.2,1,3.7,4.0,-2.7,36,40,31,20,76,Andrea Colpani,"FW,MF"
2022-2023,23,Monza,it ITA,1. Serie A,11th,10.5,319,409,78.0,5412,1268,157,180,87.2,123,145,84.8,30,55,54.5,1,1.9,1.8,-0.9,17,28,14,2,51,Andrea Colpani,"FW,MF"
2023-2024,24,Monza,it ITA,1. Serie A,12th,29.5,752,981,76.7,14005,3225,333,379,87.9,296,370,80.0,102,176,58.0,4,5.0,4.6,-1.0,56,55,41,9,120,Andrea Colpani,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,10.7,253,308,82.1,3971,771,145,157,92.4,86,108,79.6,15,31,48.4,1,0.8,0.9,+0.2,11,13,11,0,40,Andrea Colpani,"FW,MF"
2009-2010,18,Atlético Madrid,es ESP,1. La Liga,9th,19.0,,,,,,,,,,,,,,,0,,,,,,,,,David de Gea,GK
2010-2011,19,Atlético Madrid,es ESP,1. La Liga,7th,38.0,,,,,,,,,,,,,,,0,,,,,,,,,David de Gea,GK
2011-2012,20,Manchester Utd,eng ENG,1. Premier League,2nd,29.0,,,,,,,,,,,,,,,0,,,,,,,,,David de Gea,GK
2012-2013,21,Manchester Utd,eng ENG,1. Premier League,1st,28.0,,,,,,,,,,,,,,,0,,,,,,,,,David de Gea,GK
2013-2014,22,Manchester Utd,eng ENG,1. Premier League,7th,37.0,,,,,,,,,,,,,,,0,,,,,,,,,David de Gea,GK
2014-2015,23,Manchester Utd,eng ENG,1. Premier League,4th,36.8,,,,,,,,,,,,,,,0,,,,,,,,,David de Gea,GK
2015-2016,24,Manchester Utd,eng ENG,1. Premier League,5th,34.0,,,,,,,,,,,,,,,0,,,,,,,,,David de Gea,GK
2016-2017,25,Manchester Utd,eng ENG,1. Premier League,6th,35.0,,,,,,,,,,,,,,,0,,,,,,,,,David de Gea,GK
2017-2018,26,Manchester Utd,eng ENG,1. Premier League,2nd,37.0,686,1092,62.8,23707,20013,74,75,98.7,287,289,99.3,321,721,44.5,0,0.0,0.0,0.0,1,13,0,0,0,David de Gea,GK
2018-2019,27,Manchester Utd,eng ENG,1. Premier League,6th,38.0,719,1106,65.0,25229,21426,76,77,98.7,283,290,97.6,359,733,49.0,0,0.0,0.1,0.0,0,10,1,0,0,David de Gea,GK
2019-2020,28,Manchester Utd,eng ENG,1. Premier League,3rd,38.0,736,941,78.2,16748,11389,213,215,99.1,370,376,98.4,150,344,43.6,0,0.0,0.0,0.0,0,5,0,0,0,David de Gea,GK
2020-2021,29,Manchester Utd,eng ENG,1. Premier League,2nd,25.5,464,592,78.4,10858,7535,143,144,99.3,203,211,96.2,112,228,49.1,0,0.0,0.0,0.0,0,4,0,0,0,David de Gea,GK
2021-2022,30,Manchester Utd,eng ENG,1. Premier League,6th,38.0,677,924,73.3,16463,11234,176,178,98.9,332,343,96.8,166,397,41.8,0,0.0,0.0,0.0,0,5,0,0,0,David de Gea,GK
2022-2023,31,Manchester Utd,eng ENG,1. Premier League,3rd,38.0,866,1218,71.1,22585,16134,199,199,100.0,402,410,98.0,260,596,43.6,0,0.1,0.2,-0.1,1,7,1,0,0,David de Gea,GK
2024-2025,33,Fiorentina,it ITA,1. Serie A,4th,11.0,256,349,73.4,7782,5827,38,38,100.0,112,113,99.1,106,195,54.4,1,0.3,0.0,+0.7,1,7,0,0,0,David de Gea,GK
2020-2021,18,Roma,it ITA,1. Serie A,7th,0.1,11,11,100.0,168,51,7,7,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Edoardo Bove,"MF,FW"
2021-2022,19,Roma,it ITA,1. Serie A,6th,0.8,29,35,82.9,544,128,15,17,88.2,11,14,78.6,3,4,75.0,0,0.0,0.0,0.0,0,4,0,0,3,Edoardo Bove,"MF,FW"
2022-2023,20,Roma,it ITA,1. Serie A,6th,11.0,309,406,76.1,4427,1026,168,201,83.6,110,139,79.1,13,30,43.3,0,0.9,0.7,-0.9,7,20,6,0,33,Edoardo Bove,"MF,FW"
2023-2024,21,Roma,it ITA,1. Serie A,6th,19.8,649,780,83.2,9698,2639,378,423,89.4,225,258,87.2,31,48,64.6,2,0.7,1.2,+1.3,16,59,19,1,88,Edoardo Bove,"MF,FW"
2024-2025,22,Fiorentina,it ITA,1. Serie A,4th,9.3,280,340,82.4,4657,1046,137,156,87.8,112,125,89.6,24,31,77.4,2,1.5,0.8,+0.5,10,18,4,0,37,Edoardo Bove,"MF,FW"
2013-2014,18,Crotone,it ITA,2. Serie B,6th,27.7,,,,,,,,,,,,,,,0,,,,,,,,,Danilo Cataldi,MF
