Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2019-2020,20,Trapani,it ITA,2. Serie B,18th,19.5,632,591,40,11,0,13,75,8,20,7,11,0,430,1,24,Andrea Colpani,"FW,MF"
2020-2021,21,Monza,it ITA,2. Serie B,3rd,10.3,454,411,42,8,1,2,51,5,26,6,16,0,360,1,12,Andrea Colpani,"FW,MF"
2021-2022,22,Monza,it ITA,2. Serie B,4th,18.6,778,689,87,20,0,15,105,9,58,18,10,0,591,2,21,Andrea Colpani,"FW,MF"
2022-2023,23,Monza,it ITA,1. Serie A,11th,10.5,409,374,30,4,3,8,33,3,22,4,18,0,319,5,9,Andrea Colpani,"FW,MF"
2023-2024,24,Monza,it ITA,1. Serie A,12th,29.5,981,876,99,24,2,33,111,9,66,15,40,0,752,6,19,Andrea Colpani,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,10.7,308,288,18,5,1,4,19,2,11,5,1,0,253,2,2,Andrea Colpani,"FW,MF"
2009-2010,18,Atlético Madrid,es ESP,1. La Liga,9th,19.0,,,,,,,,,,,,,,,,David de Gea,GK
2010-2011,19,Atlético Madrid,es ESP,1. La Liga,7th,38.0,,,,,,,,,,,,,,,,David de Gea,GK
2011-2012,20,Manchester Utd,eng ENG,1. Premier League,2nd,29.0,,,,,,,,,,,,,,,,David de Gea,GK
2012-2013,21,Manchester Utd,eng ENG,1. Premier League,1st,28.0,,,,,,,,,,,,,,,,David de Gea,GK
2013-2014,22,Manchester Utd,eng ENG,1. Premier League,7th,37.0,,,,,,,,,,,,,,,,David de Gea,GK
2014-2015,23,Manchester Utd,eng ENG,1. Premier League,4th,36.8,,,,,,,,,,,,,,,,David de Gea,GK
2015-2016,24,Manchester Utd,eng ENG,1. Premier League,5th,34.0,,,,,,,,,,,,,,,,David de Gea,GK
2016-2017,25,Manchester Utd,eng ENG,1. Premier League,6th,35.0,,,,,,,0,,,,,,,,,David de Gea,GK
2017-2018,26,Manchester Utd,eng ENG,1. Premier League,2nd,37.0,1092,698,391,101,0,1,0,0,0,0,0,0,686,3,0,David de Gea,GK
2018-2019,27,Manchester Utd,eng ENG,1. Premier League,6th,38.0,1106,679,422,90,0,1,0,0,0,0,0,0,719,5,0,David de Gea,GK
2019-2020,28,Manchester Utd,eng ENG,1. Premier League,3rd,38.0,941,593,347,78,0,2,0,1,0,0,0,0,736,1,0,David de Gea,GK
2020-2021,29,Manchester Utd,eng ENG,1. Premier League,2nd,25.5,592,382,207,35,0,0,0,0,0,0,0,0,464,3,0,David de Gea,GK
2021-2022,30,Manchester Utd,eng ENG,1. Premier League,6th,38.0,924,564,358,59,0,3,0,0,0,0,0,0,677,2,1,David de Gea,GK
2022-2023,31,Manchester Utd,eng ENG,1. Premier League,3rd,38.0,1218,968,243,64,1,3,0,0,0,0,0,0,866,7,1,David de Gea,GK
2024-2025,33,Fiorentina,it ITA,1. Serie A,4th,11.0,349,229,117,42,0,0,0,0,0,0,0,0,256,3,0,David de Gea,GK
2020-2021,18,Roma,it ITA,1. Serie A,7th,0.1,11,11,0,0,0,0,0,0,0,0,0,0,11,0,0,Edoardo Bove,"MF,FW"
2021-2022,19,Roma,it ITA,1. Serie A,6th,0.8,35,33,2,2,0,1,2,0,0,0,0,0,29,0,0,Edoardo Bove,"MF,FW"
