Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2023-2024,23,Juventus,it ITA,1. Serie A,3rd,7.3,7,4,3,2,2,1,3,33.3,2,4,1,3,2,9,5,0,Moise Kean,FW
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,11.5,4,2,0,2,2,1,2,50.0,1,4,0,4,0,4,8,1,Moise Kean,FW
2019-2020,20,Trapani,it ITA,2. Serie B,18th,19.5,27,19,7,13,7,11,24,45.8,13,24,2,22,33,60,8,0,Andrea Colpani,"FW,MF"
2020-2021,21,Monza,it ITA,2. Serie B,3rd,10.3,12,9,2,8,2,5,12,41.7,7,12,4,8,7,19,9,0,Andrea Colpani,"FW,MF"
2021-2022,22,Monza,it ITA,2. Serie B,4th,18.6,26,15,7,11,8,10,23,43.5,13,14,2,12,4,30,9,0,Andrea Colpani,"FW,MF"
2022-2023,23,Monza,it ITA,1. Serie A,11th,10.5,14,9,6,5,3,8,12,66.7,4,14,2,12,3,17,6,0,Andrea Colpani,"FW,MF"
2023-2024,24,Monza,it ITA,1. Serie A,12th,29.5,25,15,6,13,6,11,20,55.0,9,11,4,7,14,39,14,0,Andrea Colpani,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,10.7,8,3,3,4,1,0,6,0.0,6,4,0,4,2,10,9,0,Andrea Colpani,"FW,MF"
2009-2010,18,Atlético Madrid,es ESP,1. La Liga,9th,19.0,,,,,,,,,,,,,,,,,David de Gea,GK
2010-2011,19,Atlético Madrid,es ESP,1. La Liga,7th,38.0,,,,,,,,,,,,,,,,,David de Gea,GK
2011-2012,20,Manchester Utd,eng ENG,1. Premier League,2nd,29.0,,,,,,,,,,,,,,,,,David de Gea,GK
2012-2013,21,Manchester Utd,eng ENG,1. Premier League,1st,28.0,,,,,,,,,,,,,,,,,David de Gea,GK
2013-2014,22,Manchester Utd,eng ENG,1. Premier League,7th,37.0,,,,,,,,,,,,,,,,,David de Gea,GK
2014-2015,23,Manchester Utd,eng ENG,1. Premier League,4th,36.8,,,,,,,,,,,,,,,,,David de Gea,GK
2015-2016,24,Manchester Utd,eng ENG,1. Premier League,5th,34.0,,,,,,,,,,,,,,,,,David de Gea,GK
2016-2017,25,Manchester Utd,eng ENG,1. Premier League,6th,35.0,,0,,,,,,,,,,,0,,,,David de Gea,GK
2017-2018,26,Manchester Utd,eng ENG,1. Premier League,2nd,37.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,9,3,David de Gea,GK
2018-2019,27,Manchester Utd,eng ENG,1. Premier League,6th,38.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,11,4,David de Gea,GK
2019-2020,28,Manchester Utd,eng ENG,1. Premier League,3rd,38.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,4,David de Gea,GK
2020-2021,29,Manchester Utd,eng ENG,1. Premier League,2nd,25.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,3,David de Gea,GK
2021-2022,30,Manchester Utd,eng ENG,1. Premier League,6th,38.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,2,David de Gea,GK
2022-2023,31,Manchester Utd,eng ENG,1. Premier League,3rd,38.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,15,3,David de Gea,GK
2024-2025,33,Fiorentina,it ITA,1. Serie A,4th,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,David de Gea,GK
2020-2021,18,Roma,it ITA,1. Serie A,7th,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Edoardo Bove,"MF,FW"
2021-2022,19,Roma,it ITA,1. Serie A,6th,0.8,1,1,1,0,0,0,2,0.0,2,1,0,1,1,2,0,0,Edoardo Bove,"MF,FW"
2022-2023,20,Roma,it ITA,1. Serie A,6th,11.0,35,18,12,15,8,16,39,41.0,23,15,1,14,10,45,11,0,Edoardo Bove,"MF,FW"
2023-2024,21,Roma,it ITA,1. Serie A,6th,19.8,60,31,16,31,13,27,46,58.7,19,21,1,20,11,71,11,1,Edoardo Bove,"MF,FW"
