Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2022-2023,22,Juventus,it ITA,1. Serie A,7th,11.1,5,1,0,15,18,8,5,5,6,0,0,0,40,9,11,45.0,Moise Kean,FW
2023-2024,23,Juventus,it ITA,1. Serie A,3rd,7.3,2,0,0,13,13,7,1,2,4,0,0,0,18,10,6,62.5,Moise Kean,FW
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,11.5,2,0,0,15,20,24,5,0,2,0,1,0,20,20,23,46.5,Moise Kean,FW
2019-2020,20,Trapani,it ITA,2. Serie B,18th,19.5,2,0,0,22,36,0,75,33,19,1,0,0,124,19,19,50.0,Andrea Colpani,"FW,MF"
2020-2021,21,Monza,it ITA,2. Serie B,3rd,10.3,2,0,0,16,19,1,51,7,9,0,0,0,59,8,13,38.1,Andrea Colpani,"FW,MF"
2021-2022,22,Monza,it ITA,2. Serie B,4th,18.6,4,0,0,29,45,1,105,4,15,0,0,0,98,10,18,35.7,Andrea Colpani,"FW,MF"
2022-2023,23,Monza,it ITA,1. Serie A,11th,10.5,1,0,0,22,26,0,33,3,9,1,0,0,55,6,10,37.5,Andrea Colpani,"FW,MF"
2023-2024,24,Monza,it ITA,1. Serie A,12th,29.5,1,0,0,23,44,2,111,14,15,0,0,0,86,9,25,26.5,Andrea Colpani,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,10.7,1,0,0,13,15,1,19,2,3,0,0,0,28,7,9,43.8,Andrea Colpani,"FW,MF"
2009-2010,18,Atlético Madrid,es ESP,1. La Liga,9th,19.0,1,0,,0,,,,,,,,,,,,,David de Gea,GK
2010-2011,19,Atlético Madrid,es ESP,1. La Liga,7th,38.0,1,0,,0,,,,,,,,,,,,,David de Gea,GK
2011-2012,20,Manchester Utd,eng ENG,1. Premier League,2nd,29.0,0,0,,0,,,,,,,,,,,,,David de Gea,GK
2012-2013,21,Manchester Utd,eng ENG,1. Premier League,1st,28.0,0,0,,0,,,,,,,,,,,,,David de Gea,GK
2013-2014,22,Manchester Utd,eng ENG,1. Premier League,7th,37.0,1,0,,0,,,,,,,,,,,,,David de Gea,GK
2014-2015,23,Manchester Utd,eng ENG,1. Premier League,4th,36.8,0,0,,0,,,,,,,,,,,,,David de Gea,GK
2015-2016,24,Manchester Utd,eng ENG,1. Premier League,5th,34.0,0,0,,0,,,,,,,,,,,,,David de Gea,GK
2016-2017,25,Manchester Utd,eng ENG,1. Premier League,6th,35.0,2,0,0,0,2,0,0,0,0,0,0,0,,,,,David de Gea,GK
2017-2018,26,Manchester Utd,eng ENG,1. Premier League,2nd,37.0,0,0,0,0,4,0,0,0,0,0,0,0,39,1,1,50.0,David de Gea,GK
2018-2019,27,Manchester Utd,eng ENG,1. Premier League,6th,38.0,1,0,0,1,4,0,0,0,0,0,0,0,46,3,0,100.0,David de Gea,GK
2019-2020,28,Manchester Utd,eng ENG,1. Premier League,3rd,38.0,2,0,0,0,6,0,0,0,0,0,0,0,35,7,0,100.0,David de Gea,GK
2020-2021,29,Manchester Utd,eng ENG,1. Premier League,2nd,25.5,0,0,0,0,3,0,0,0,0,0,0,0,32,4,1,80.0,David de Gea,GK
2021-2022,30,Manchester Utd,eng ENG,1. Premier League,6th,38.0,0,0,0,0,1,0,0,0,0,0,0,0,30,8,0,100.0,David de Gea,GK
2022-2023,31,Manchester Utd,eng ENG,1. Premier League,3rd,38.0,0,0,0,0,5,0,0,1,0,0,0,0,25,5,1,83.3,David de Gea,GK
2024-2025,33,Fiorentina,it ITA,1. Serie A,4th,11.0,0,0,0,0,2,0,0,0,0,0,0,0,9,2,0,100.0,David de Gea,GK
2020-2021,18,Roma,it ITA,1. Serie A,7th,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Edoardo Bove,"MF,FW"
2021-2022,19,Roma,it ITA,1. Serie A,6th,0.8,0,0,0,1,3,0,2,1,1,0,0,0,4,0,3,0.0,Edoardo Bove,"MF,FW"
2022-2023,20,Roma,it ITA,1. Serie A,6th,11.0,2,0,0,24,23,1,9,10,18,0,0,0,80,14,12,53.8,Edoardo Bove,"MF,FW"
2023-2024,21,Roma,it ITA,1. Serie A,6th,19.8,2,0,0,31,37,1,8,11,31,0,0,0,95,29,35,45.3,Edoardo Bove,"MF,FW"
2024-2025,22,Fiorentina,it ITA,1. Serie A,4th,9.3,3,0,0,15,21,0,2,6,17,1,0,0,44,11,15,42.3,Edoardo Bove,"MF,FW"
2013-2014,18,Crotone,it ITA,2. Serie B,6th,27.7,9,0,,,,,,,,,,,,,,,Danilo Cataldi,MF
2014-2015,19,Lazio,it ITA,1. Serie A,3rd,11.1,3,1,,14,,,,,,,,,,,,,Danilo Cataldi,MF
2015-2016,20,Lazio,it ITA,1. Serie A,8th,15.0,9,1,,24,,,,,,,,,,,,,Danilo Cataldi,MF
2016-2017,21,Lazio,it ITA,1. Serie A,5th,7.4,3,1,0,8,5,0,57,8,9,0,0,0,,,,,Danilo Cataldi,MF
2016-2017,21,Genoa,it ITA,1. Serie A,16th,10.3,5,0,0,13,7,0,62,9,10,0,0,0,,,,,Danilo Cataldi,MF
2017-2018,22,Benevento,it ITA,1. Serie A,20th,25.4,10,2,1,35,28,0,62,37,25,0,0,0,180,2,10,16.7,Danilo Cataldi,MF
2018-2019,23,Lazio,it ITA,1. Serie A,8th,6.4,2,0,0,6,3,1,41,7,7,0,0,0,37,2,7,22.2,Danilo Cataldi,MF
2019-2020,24,Lazio,it ITA,1. Serie A,4th,6.6,3,0,0,5,2,0,35,13,11,0,0,0,60,4,3,57.1,Danilo Cataldi,MF
2020-2021,25,Lazio,it ITA,1. Serie A,6th,6.3,4,0,0,9,4,0,30,9,2,0,1,0,64,1,5,16.7,Danilo Cataldi,MF
2021-2022,26,Lazio,it ITA,1. Serie A,5th,19.0,8,0,0,18,19,0,66,17,17,0,1,0,165,6,7,46.2,Danilo Cataldi,MF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,21.3,5,0,0,12,20,0,44,24,16,0,0,0,159,1,5,16.7,Danilo Cataldi,MF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,15.1,8,0,0,17,8,0,31,17,12,0,0,0,105,6,4,60.0,Danilo Cataldi,MF
2024-2025,29,Fiorentina,it ITA,1. Serie A,4th,7.2,0,0,0,6,6,0,6,8,11,0,0,0,39,0,3,0.0,Danilo Cataldi,MF
2018-2019,17,River Plate,ar ARG,1. Liga Argentina,4th,1.3,0,0,0,0,0,0,3,0,0,0,0,0,6,0,3,0.0,Lucas Beltrán,"MF,FW"
2023-2024,22,Fiorentina,it ITA,1. Serie A,8th,18.8,6,0,0,24,28,4,7,2,14,1,0,0,50,22,58,27.5,Lucas Beltrán,"MF,FW"
2024-2025,23,Fiorentina,it ITA,1. Serie A,4th,6.8,1,0,0,7,10,2,3,2,4,0,0,0,24,5,14,26.3,Lucas Beltrán,"MF,FW"
