Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2021-2022,27,Atalanta,it ITA,1. Serie A,8th,6,5,460,5.1,1,0,1,1,0,0,2,0,1.7,1.7,0.4,2.0,8,28,24,0.20,0.00,0.20,0.20,0.20,0.33,0.07,0.40,0.33,0.40,Robin Gosens,DF
2021-2022,27,Inter,it ITA,1. Serie A,2nd,7,0,169,1.9,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,4,7,19,0.00,0.53,0.53,0.00,0.53,0.12,0.34,0.45,0.12,0.45,Robin Gosens,DF
2022-2023,28,Inter,it ITA,1. Serie A,3rd,32,11,1184,13.2,3,0,3,3,0,0,2,0,3.0,3.0,2.4,5.3,29,41,102,0.23,0.00,0.23,0.23,0.23,0.23,0.18,0.41,0.23,0.41,Robin Gosens,DF
2023-2024,29,Union Berlin,de GER,1. Bundesliga,15th,30,27,2283,25.4,6,3,9,6,0,0,9,1,2.1,2.1,3.0,5.1,21,97,113,0.24,0.12,0.35,0.24,0.35,0.08,0.12,0.20,0.08,0.20,Robin Gosens,DF
2024-2025,30,Union Berlin,de GER,1. Bundesliga,12th,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,1,4,5,0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.15,0.02,0.15,Robin Gosens,DF
2024-2025,30,Fiorentina,it ITA,1. Serie A,4th,12,12,1052,11.7,2,2,4,2,0,0,3,0,1.1,1.1,1.3,2.4,13,55,35,0.17,0.17,0.34,0.17,0.34,0.09,0.11,0.20,0.09,0.20,Robin Gosens,DF
2023-2024,18,Fiorentina,it ITA,1. Serie A,8th,4,0,43,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pietro Comuzzo,DF
2024-2025,19,Fiorentina,it ITA,1. Serie A,4th,12,12,1037,11.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4,34,2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Pietro Comuzzo,DF
2016-2017,16,Juventus,it ITA,1. Serie A,1st,3,0,21,0.2,1,0,1,1,0,0,0,0,,,,,,,,4.29,0.00,4.29,4.29,4.29,,,,,,Moise Kean,FW
2017-2018,17,Hellas Verona,it ITA,1. Serie A,19th,19,12,1131,12.6,4,0,4,4,0,0,5,0,4.9,4.9,0.5,5.4,30,13,61,0.32,0.00,0.32,0.32,0.32,0.39,0.04,0.43,0.39,0.43,Moise Kean,FW
2017-2018,17,Juventus,it ITA,1. Serie A,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moise Kean,FW
2018-2019,18,Juventus,it ITA,1. Serie A,1st,13,5,541,6.0,6,0,6,6,0,0,2,0,3.6,3.6,0.3,3.9,11,4,42,1.00,0.00,1.00,1.00,1.00,0.60,0.05,0.65,0.60,0.65,Moise Kean,FW
2019-2020,19,Everton,eng ENG,1. Premier League,12th,29,6,852,9.5,2,2,4,2,0,0,1,0,4.0,4.0,2.0,6.0,26,12,60,0.21,0.21,0.42,0.21,0.42,0.42,0.21,0.63,0.42,0.63,Moise Kean,FW
2020-2021,20,Paris S-G,fr FRA,1. Ligue 1,2nd,26,22,1698,18.9,13,0,13,13,0,0,4,0,10.2,10.2,0.9,11.1,31,22,104,0.69,0.00,0.69,0.69,0.69,0.54,0.05,0.59,0.54,0.59,Moise Kean,FW
2020-2021,20,Everton,eng ENG,1. Premier League,10th,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0,5,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.28,0.28,0.28,Moise Kean,FW
2021-2022,21,Everton,eng ENG,1. Premier League,16th,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Moise Kean,FW
2021-2022,21,Juventus,it ITA,1. Serie A,4th,32,12,1098,12.2,5,2,7,5,0,0,5,0,4.9,4.9,0.2,5.1,20,10,77,0.41,0.16,0.57,0.41,0.57,0.40,0.02,0.42,0.40,0.42,Moise Kean,FW
2022-2023,22,Juventus,it ITA,1. Serie A,7th,28,11,995,11.1,6,0,6,6,0,0,5,1,6.3,6.3,1.1,7.4,30,13,76,0.54,0.00,0.54,0.54,0.54,0.57,0.10,0.67,0.57,0.67,Moise Kean,FW
2023-2024,23,Juventus,it ITA,1. Serie A,3rd,19,8,654,7.3,0,0,0,0,0,0,2,0,2.1,2.1,0.7,2.8,12,6,38,0.00,0.00,0.00,0.00,0.00,0.28,0.10,0.38,0.28,0.38,Moise Kean,FW
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,13,12,1036,11.5,9,1,10,9,0,1,2,0,9.0,8.2,1.0,9.2,15,11,57,0.78,0.09,0.87,0.78,0.87,0.78,0.09,0.87,0.71,0.80,Moise Kean,FW
2017-2018,18,Atalanta,it ITA,1. Serie A,7th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrea Colpani,"FW,MF"
2018-2019,19,Atalanta,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrea Colpani,"FW,MF"
2019-2020,20,Trapani,it ITA,2. Serie B,18th,34,24,1757,19.5,0,2,2,0,0,0,2,0,1.9,1.9,2.3,4.2,44,76,112,0.00,0.10,0.10,0.00,0.10,0.10,0.12,0.22,0.10,0.22,Andrea Colpani,"FW,MF"
2020-2021,21,Monza,it ITA,2. Serie B,3rd,23,11,924,10.3,1,1,2,1,0,0,2,0,2.7,2.7,2.0,4.7,43,56,84,0.10,0.10,0.19,0.10,0.19,0.26,0.19,0.45,0.26,0.45,Andrea Colpani,"FW,MF"
2021-2022,22,Monza,it ITA,2. Serie B,4th,33,21,1677,18.6,5,1,6,5,0,0,4,0,4.1,4.1,3.7,7.8,62,76,150,0.27,0.05,0.32,0.27,0.32,0.22,0.20,0.42,0.22,0.42,Andrea Colpani,"FW,MF"
2022-2023,23,Monza,it ITA,1. Serie A,11th,27,10,948,10.5,4,1,5,4,0,0,1,0,2.1,2.1,1.9,4.1,31,51,69,0.38,0.09,0.47,0.38,0.47,0.20,0.18,0.39,0.20,0.39,Andrea Colpani,"FW,MF"
2023-2024,24,Monza,it ITA,1. Serie A,12th,38,36,2657,29.5,8,4,12,8,0,0,1,0,4.8,4.8,5.0,9.8,90,120,193,0.27,0.14,0.41,0.27,0.41,0.16,0.17,0.33,0.16,0.33,Andrea Colpani,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,14,12,960,10.7,2,1,3,2,0,0,1,0,2.0,2.0,0.8,2.8,28,40,81,0.19,0.09,0.28,0.19,0.28,0.19,0.08,0.27,0.19,0.27,Andrea Colpani,"FW,MF"
2009-2010,18,Atlético Madrid,es ESP,1. La Liga,9th,19,19,1710,19.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,David de Gea,GK
2010-2011,19,Atlético Madrid,es ESP,1. La Liga,7th,38,38,3420,38.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,David de Gea,GK
2011-2012,20,Manchester Utd,eng ENG,1. Premier League,2nd,29,29,2610,29.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,David de Gea,GK
