Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2017-2018,17,Hellas Verona,it ITA,1. Serie A,19th,12.6,4,35,10,28.6,2.79,0.80,0.11,0.40,16.0,0,0,0,4.9,4.9,0.16,-0.9,-0.9,Moise Kean,FW
2018-2019,18,Juventus,it ITA,1. Serie A,1st,6.0,6,20,10,50.0,3.33,1.66,0.30,0.60,14.2,0,0,0,3.6,3.6,0.18,+2.4,+2.4,Moise Kean,FW
2019-2020,19,Everton,eng ENG,1. Premier League,12th,9.5,2,30,13,43.3,3.17,1.37,0.07,0.15,16.1,0,0,0,4.0,4.0,0.13,-2.0,-2.0,Moise Kean,FW
2020-2021,20,Paris S-G,fr FRA,1. Ligue 1,2nd,18.9,13,52,24,46.2,2.76,1.27,0.25,0.54,12.1,0,0,0,10.2,10.2,0.20,+2.8,+2.8,Moise Kean,FW
2020-2021,20,Everton,eng ENG,1. Premier League,10th,0.2,0,1,0,0.0,6.00,0.00,0.00,,25.8,0,0,0,0.0,0.0,0.05,0.0,0.0,Moise Kean,FW
2021-2022,21,Everton,eng ENG,1. Premier League,16th,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Moise Kean,FW
2021-2022,21,Juventus,it ITA,1. Serie A,4th,12.2,5,28,10,35.7,2.30,0.82,0.18,0.50,11.3,0,0,0,4.9,4.9,0.17,+0.1,+0.1,Moise Kean,FW
2022-2023,22,Juventus,it ITA,1. Serie A,7th,11.1,6,38,14,36.8,3.44,1.27,0.16,0.43,14.4,0,0,0,6.3,6.3,0.16,-0.3,-0.3,Moise Kean,FW
2023-2024,23,Juventus,it ITA,1. Serie A,3rd,7.3,0,16,3,18.8,2.20,0.41,0.00,0.00,15.4,0,0,0,2.1,2.1,0.13,-2.1,-2.1,Moise Kean,FW
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,11.5,9,47,19,40.4,4.08,1.65,0.19,0.47,14.3,0,0,1,9.0,8.2,0.17,0.0,+0.8,Moise Kean,FW
