Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2022-2023,22,Juventus,it ITA,1. Serie A,7th,11.1,31,2.80,21,0,4,5,0,1,2,0.18,2,0,0,0,0,0,Moise Kean,FW
2023-2024,23,Juventus,it ITA,1. Serie A,3rd,7.3,14,1.93,7,0,5,1,0,1,1,0.14,0,0,0,1,0,0,Moise Kean,FW
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,11.5,26,2.26,12,0,8,4,1,1,2,0.17,1,0,1,0,0,0,Moise Kean,FW
2019-2020,20,Trapani,it ITA,2. Serie B,18th,19.5,54,2.81,31,6,7,3,3,4,6,0.31,4,0,0,0,2,0,Andrea Colpani,"FW,MF"
2020-2021,21,Monza,it ITA,2. Serie B,3rd,10.3,41,4.00,22,10,3,2,4,0,2,0.20,1,0,1,0,0,0,Andrea Colpani,"FW,MF"
2021-2022,22,Monza,it ITA,2. Serie B,4th,18.6,82,4.40,47,19,6,5,5,0,4,0.21,1,2,1,0,0,0,Andrea Colpani,"FW,MF"
2022-2023,23,Monza,it ITA,1. Serie A,11th,10.5,38,3.60,23,5,3,4,3,0,2,0.19,1,0,0,0,1,0,Andrea Colpani,"FW,MF"
2023-2024,24,Monza,it ITA,1. Serie A,12th,29.5,120,4.06,79,20,8,5,7,1,10,0.34,8,0,2,0,0,0,Andrea Colpani,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,10.7,28,2.62,22,2,0,3,1,0,4,0.37,3,0,0,1,0,0,Andrea Colpani,"FW,MF"
2009-2010,18,Atlético Madrid,es ESP,1. La Liga,9th,19.0,,,,,,,,,,,,,,,,,David de Gea,GK
2010-2011,19,Atlético Madrid,es ESP,1. La Liga,7th,38.0,,,,,,,,,,,,,,,,,David de Gea,GK
2011-2012,20,Manchester Utd,eng ENG,1. Premier League,2nd,29.0,,,,,,,,,,,,,,,,,David de Gea,GK
2012-2013,21,Manchester Utd,eng ENG,1. Premier League,1st,28.0,,,,,,,,,,,,,,,,,David de Gea,GK
2013-2014,22,Manchester Utd,eng ENG,1. Premier League,7th,37.0,,,,,,,,,,,,,,,,,David de Gea,GK
2014-2015,23,Manchester Utd,eng ENG,1. Premier League,4th,36.8,,,,,,,,,,,,,,,,,David de Gea,GK
2015-2016,24,Manchester Utd,eng ENG,1. Premier League,5th,34.0,,,,,,,,,,,,,,,,,David de Gea,GK
2016-2017,25,Manchester Utd,eng ENG,1. Premier League,6th,35.0,,,,,,,,,,,,,,,,,David de Gea,GK
2017-2018,26,Manchester Utd,eng ENG,1. Premier League,2nd,37.0,6,0.16,3,3,0,0,0,0,3,0.08,1,2,0,0,0,0,David de Gea,GK
2018-2019,27,Manchester Utd,eng ENG,1. Premier League,6th,38.0,4,0.11,1,3,0,0,0,0,0,0.00,0,0,0,0,0,0,David de Gea,GK
2019-2020,28,Manchester Utd,eng ENG,1. Premier League,3rd,38.0,3,0.08,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,David de Gea,GK
2020-2021,29,Manchester Utd,eng ENG,1. Premier League,2nd,25.5,2,0.08,1,1,0,0,0,0,1,0.04,1,0,0,0,0,0,David de Gea,GK
2021-2022,30,Manchester Utd,eng ENG,1. Premier League,6th,38.0,3,0.08,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,David de Gea,GK
2022-2023,31,Manchester Utd,eng ENG,1. Premier League,3rd,38.0,5,0.13,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0,David de Gea,GK
2024-2025,33,Fiorentina,it ITA,1. Serie A,4th,11.0,4,0.36,2,2,0,0,0,0,3,0.27,2,1,0,0,0,0,David de Gea,GK
2020-2021,18,Roma,it ITA,1. Serie A,7th,0.1,1,8.18,1,0,0,0,0,0,1,8.18,1,0,0,0,0,0,Edoardo Bove,"MF,FW"
2021-2022,19,Roma,it ITA,1. Serie A,6th,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Edoardo Bove,"MF,FW"
2022-2023,20,Roma,it ITA,1. Serie A,6th,11.0,17,1.54,15,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Edoardo Bove,"MF,FW"
2023-2024,21,Roma,it ITA,1. Serie A,6th,19.8,40,2.02,34,0,1,0,5,0,2,0.10,2,0,0,0,0,0,Edoardo Bove,"MF,FW"
2024-2025,22,Fiorentina,it ITA,1. Serie A,4th,9.3,29,3.12,22,1,1,1,3,1,7,0.75,5,0,1,0,1,0,Edoardo Bove,"MF,FW"
2013-2014,18,Crotone,it ITA,2. Serie B,6th,27.7,,,,,,,,,,,,,,,,,Danilo Cataldi,MF
