Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2016-2017,21,Southampton,eng ENG,1. Premier League,8th,20.9,,,,,,,,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2017-2018,22,Southampton,eng ENG,Jr. PL2 — Div. 2,6th,2.0,,,,,,,,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2017-2018,22,Southampton,eng ENG,1. Premier League,17th,19.1,1073,29,161,484,440,25,1073,6,5,83.3,1,16.7,524,1940,733,9,16,2,20,13,640,102,James Ward-Prowse,MF
2018-2019,23,Southampton,eng ENG,1. Premier League,16th,21.6,1139,67,219,492,440,34,1138,11,5,45.5,6,54.5,472,2066,819,15,19,3,25,16,579,86,James Ward-Prowse,MF
2019-2020,24,Southampton,eng ENG,1. Premier League,11th,38.0,2413,118,441,1267,721,42,2411,21,14,66.7,7,33.3,896,3484,1356,17,36,3,28,21,1165,82,James Ward-Prowse,MF
2020-2021,25,Southampton,eng ENG,1. Premier League,15th,38.0,3045,107,612,1837,623,22,3041,22,17,77.3,5,22.7,1401,6124,2934,34,46,0,33,14,1824,51,James Ward-Prowse,MF
2021-2022,26,Southampton,eng ENG,1. Premier League,15th,35.7,2438,77,415,1288,748,20,2434,20,12,60.0,8,40.0,1070,3992,1726,21,29,3,20,25,1362,42,James Ward-Prowse,MF
2022-2023,27,Southampton,eng ENG,1. Premier League,20th,37.5,2484,97,447,1380,667,28,2480,20,7,35.0,12,60.0,1172,4364,2014,19,27,1,26,22,1462,58,James Ward-Prowse,MF
2023-2024,28,Southampton,eng ENG,2. Championship,4th,1.0,123,3,10,58,55,6,123,1,1,100.0,0,0.0,50,347,145,3,2,0,0,0,101,9,James Ward-Prowse,MF
2023-2024,28,West Ham,eng ENG,1. Premier League,9th,33.3,1923,76,375,1001,558,32,1920,21,11,52.4,7,33.3,911,3951,1606,18,26,6,15,11,1155,63,James Ward-Prowse,MF
2024-2025,29,West Ham,eng ENG,1. Premier League,14th,0.2,16,0,3,11,2,0,16,0,0,,0,,6,38,30,1,0,0,0,0,8,0,James Ward-Prowse,MF
2024-2025,29,Nott'ham Forest,eng ENG,1. Premier League,3rd,4.4,204,13,49,115,44,0,204,0,0,,0,,91,403,168,1,3,0,3,3,114,2,James Ward-Prowse,MF
2022-2023,22,Vitória,pt POR,1. Primeira Liga,6th,17.8,802,17,123,307,392,68,802,82,18,22.0,52,63.4,459,3216,1476,55,45,20,57,22,513,133,Jota Silva,"FW,MF"
2023-2024,23,Vitória,pt POR,1. Primeira Liga,5th,30.9,1185,31,104,416,690,173,1185,111,42,37.8,67,60.4,674,4544,2029,84,57,42,113,34,814,261,Jota Silva,"FW,MF"
2024-2025,24,Nott'ham Forest,eng ENG,1. Premier League,3rd,6.0,227,13,57,58,121,28,227,24,5,20.8,11,45.8,121,838,497,16,10,6,19,7,135,36,Jota Silva,"FW,MF"
2016-2017,18,Toulouse,fr FRA,1. Ligue 1,13th,2.9,,,,,,,,,,,,,,,,,,,,,,,Ibrahim Sangaré,MF
