Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,23.7,1107,1292,85.7,21399,6777,397,443,89.6,570,634,89.9,129,182,70.9,1,0.5,0.9,+0.5,6,62,3,0,78,Nikola Milenković,DF
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,27.9,1341,1584,84.7,27355,9362,395,465,84.9,777,838,92.7,159,235,67.7,0,0.7,0.9,-0.7,8,73,0,0,81,Nikola Milenković,DF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,18.0,412,496,83.1,8157,3051,138,157,87.9,215,243,88.5,53,77,68.8,1,0.2,0.3,+0.8,4,27,0,0,25,Nikola Milenković,DF
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,31.0,1123,1460,76.9,22984,10571,387,440,88.0,572,657,87.1,154,326,47.2,2,1.2,0.6,+0.8,7,101,11,0,89,Murillo,DF
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,17.7,559,701,79.7,10450,4706,239,261,91.6,238,274,86.9,67,137,48.9,0,0.9,0.6,-0.9,10,51,6,0,53,Murillo,DF
2008-2009,16,West Brom,eng ENG,1. Premier League,20th,0.2,,,,,,,,,,,,,,,0,,,,,,,,,Chris Wood,FW
2009-2010,17,West Brom,eng ENG,2. Championship,2nd,7.9,,,,,,,,,,,,,,,4,,,,,,,,,Chris Wood,FW
2010-2011,18,West Brom,eng ENG,1. Premier League,11th,0.1,,,,,,,,,,,,,,,0,,,,,,,,,Chris Wood,FW
2010-2011,18,Barnsley,eng ENG,2. Championship,17th,3.0,,,,,,,,,,,,,,,0,,,,,,,,,Chris Wood,FW
2010-2011,18,Brighton,eng ENG,3. League One,1st,20.0,,,,,,,,,,,,,,,4,,,,,,,,,Chris Wood,FW
2011-2012,19,Bristol City,eng ENG,2. Championship,20th,13.0,,,,,,,,,,,,,,,1,,,,,,,,,Chris Wood,FW
2011-2012,19,Birmingham City,eng ENG,2. Championship,4th,12.8,,,,,,,,,,,,,,,1,,,,,,,,,Chris Wood,FW
2012-2013,20,Millwall,eng ENG,2. Championship,20th,17.7,,,,,,,,,,,,,,,2,,,,,,,,,Chris Wood,FW
2012-2013,20,Leicester City,eng ENG,2. Championship,6th,18.1,,,,,,,,,,,,,,,4,,,,,,,,,Chris Wood,FW
2013-2014,21,Leicester City,eng ENG,2. Championship,1st,10.3,,,,,,,,,,,,,,,4,,,,,,,,,Chris Wood,FW
2014-2015,22,Leicester City,eng ENG,1. Premier League,14th,1.3,,,,,,,,,,,,,,,0,,,,,,,,,Chris Wood,FW
2014-2015,22,Ipswich Town,eng ENG,2. Championship,6th,3.0,,,,,,,,,,,,,,,0,,,,,,,,,Chris Wood,FW
2015-2016,23,Leeds United,eng ENG,2. Championship,13th,32.0,,,,,,,,,,,,,,,4,,,,,,,,,Chris Wood,FW
2016-2017,24,Leeds United,eng ENG,2. Championship,7th,40.2,,,,,,,,,,,,,,,4,,,,,,,,,Chris Wood,FW
2017-2018,25,Leeds United,eng ENG,2. Championship,13th,3.0,,,,,,,,,,,,,,,0,,,,,,,,,Chris Wood,FW
2017-2018,25,Burnley,eng ENG,1. Premier League,7th,18.0,250,424,59.0,3088,437,165,243,67.9,56,107,52.3,8,14,57.1,1,0.6,0.5,+0.4,11,10,3,0,16,Chris Wood,FW
2018-2019,26,Burnley,eng ENG,1. Premier League,15th,28.8,390,613,63.6,4203,799,265,379,69.9,75,122,61.5,6,19,31.6,2,3.8,2.7,-1.8,20,15,7,1,25,Chris Wood,FW
2019-2020,27,Burnley,eng ENG,1. Premier League,10th,27.1,290,474,61.2,3085,405,212,313,67.7,43,90,47.8,4,7,57.1,1,1.8,0.5,-0.8,22,9,2,0,16,Chris Wood,FW
2020-2021,28,Burnley,eng ENG,1. Premier League,17th,30.5,425,663,64.1,4824,732,296,428,69.2,88,129,68.2,6,17,35.3,3,1.9,1.2,+1.1,21,31,5,0,20,Chris Wood,FW
2021-2022,29,Burnley,eng ENG,1. Premier League,18th,15.2,178,310,57.4,2190,520,124,203,61.1,37,63,58.7,4,6,66.7,0,0.5,0.4,-0.5,9,27,4,0,23,Chris Wood,FW
