Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2015-2016,17,Partizan,rs SRB,1. SuperLiga,2nd,4,4,300,3.3,1,0,1,1,0,0,0,1,,,,,,,,0.30,0.00,0.30,0.30,0.30,,,,,,Nikola Milenković,DF
2016-2017,18,Partizan,rs SRB,1. SuperLiga,1st,32,32,2880,32.0,2,1,3,2,0,0,6,0,,,,,,,,0.06,0.03,0.09,0.06,0.09,,,,,,Nikola Milenković,DF
2017-2018,19,Fiorentina,it ITA,1. Serie A,8th,16,14,1254,13.9,0,0,0,0,0,0,1,2,0.7,0.7,0.1,0.8,13,54,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Nikola Milenković,DF
2018-2019,20,Fiorentina,it ITA,1. Serie A,16th,34,34,3008,33.4,3,0,3,3,0,0,8,1,2.7,2.7,0.2,2.9,38,159,27,0.09,0.00,0.09,0.09,0.09,0.08,0.01,0.09,0.08,0.09,Nikola Milenković,DF
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,37,36,3258,36.2,5,0,5,5,0,0,9,0,2.6,2.6,0.3,2.9,44,144,7,0.14,0.00,0.14,0.14,0.14,0.07,0.01,0.08,0.07,0.08,Nikola Milenković,DF
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,34,34,3034,33.7,3,1,4,3,0,0,7,1,3.9,3.9,0.6,4.5,25,123,16,0.09,0.03,0.12,0.09,0.12,0.12,0.02,0.13,0.12,0.13,Nikola Milenković,DF
2021-2022,23,Fiorentina,it ITA,1. Serie A,7th,34,34,2926,32.5,1,0,1,1,0,0,10,1,2.1,2.1,0.2,2.3,13,114,8,0.03,0.00,0.03,0.03,0.03,0.07,0.01,0.07,0.07,0.07,Nikola Milenković,DF
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,27,23,2137,23.7,2,1,3,2,0,0,4,0,1.9,1.9,0.5,2.4,9,78,3,0.08,0.04,0.13,0.08,0.13,0.08,0.02,0.10,0.08,0.10,Nikola Milenković,DF
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,34,27,2510,27.9,0,0,0,0,0,0,4,0,0.4,0.4,0.7,1.1,8,81,10,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Nikola Milenković,DF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,18,18,1620,18.0,2,1,3,2,0,0,2,0,2.8,2.8,0.2,3.0,2,25,3,0.11,0.06,0.17,0.11,0.17,0.15,0.01,0.17,0.15,0.17,Nikola Milenković,DF
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,32,32,2789,31.0,0,2,2,0,0,0,5,0,1.8,1.8,1.2,3.0,22,89,7,0.00,0.06,0.06,0.00,0.06,0.06,0.04,0.10,0.06,0.10,Murillo,DF
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,18,18,1597,17.7,1,0,1,1,0,0,4,0,1.0,1.0,0.9,1.9,11,53,3,0.06,0.00,0.06,0.06,0.06,0.06,0.05,0.11,0.06,0.11,Murillo,DF
2008-2009,16,West Brom,eng ENG,1. Premier League,20th,2,0,17,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Chris Wood,FW
2009-2010,17,West Brom,eng ENG,2. Championship,2nd,18,6,713,7.9,1,4,5,1,0,0,0,0,,,,,,,,0.13,0.50,0.63,0.13,0.63,,,,,,Chris Wood,FW
2010-2011,18,West Brom,eng ENG,1. Premier League,11th,1,0,9,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Chris Wood,FW
2010-2011,18,Barnsley,eng ENG,2. Championship,17th,7,4,274,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Chris Wood,FW
2010-2011,18,Brighton,eng ENG,3. League One,1st,29,22,1804,20.0,8,4,12,4,4,5,1,0,,,,,,,,0.40,0.20,0.60,0.20,0.40,,,,,,Chris Wood,FW
2011-2012,19,Bristol City,eng ENG,2. Championship,20th,19,12,1173,13.0,3,1,4,2,1,1,0,0,,,,,,,,0.23,0.08,0.31,0.15,0.23,,,,,,Chris Wood,FW
2011-2012,19,Birmingham City,eng ENG,2. Championship,4th,23,13,1155,12.8,9,1,10,9,0,0,0,0,,,,,,,,0.70,0.08,0.78,0.70,0.78,,,,,,Chris Wood,FW
2012-2013,20,Millwall,eng ENG,2. Championship,20th,19,18,1589,17.7,11,2,13,11,0,0,1,0,,,,,,,,0.62,0.11,0.74,0.62,0.74,,,,,,Chris Wood,FW
2012-2013,20,Leicester City,eng ENG,2. Championship,6th,20,19,1627,18.1,9,4,13,8,1,2,0,0,,,,,,,,0.50,0.22,0.72,0.44,0.66,,,,,,Chris Wood,FW
2013-2014,21,Leicester City,eng ENG,2. Championship,1st,26,7,925,10.3,4,4,8,4,0,0,0,0,,,,,,,,0.39,0.39,0.78,0.39,0.78,,,,,,Chris Wood,FW
2014-2015,22,Leicester City,eng ENG,1. Premier League,14th,7,0,114,1.3,1,0,1,1,0,0,0,0,,,,,,,,0.79,0.00,0.79,0.79,0.79,,,,,,Chris Wood,FW
2014-2015,22,Ipswich Town,eng ENG,2. Championship,6th,8,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Chris Wood,FW
2015-2016,23,Leeds United,eng ENG,2. Championship,13th,36,33,2879,32.0,13,4,17,10,3,4,1,0,,,,,,,,0.41,0.13,0.53,0.31,0.44,,,,,,Chris Wood,FW
2016-2017,24,Leeds United,eng ENG,2. Championship,7th,44,41,3621,40.2,27,4,31,22,5,5,2,0,,,,,,,,0.67,0.10,0.77,0.55,0.65,,,,,,Chris Wood,FW
2017-2018,25,Leeds United,eng ENG,2. Championship,13th,3,3,270,3.0,1,0,1,1,0,0,0,0,,,,,,,,0.33,0.00,0.33,0.33,0.33,,,,,,Chris Wood,FW
2017-2018,25,Burnley,eng ENG,1. Premier League,7th,24,20,1624,18.0,10,1,11,10,0,0,1,0,7.0,7.0,0.6,7.6,15,16,117,0.55,0.06,0.61,0.55,0.61,0.39,0.03,0.42,0.39,0.42,Chris Wood,FW
2018-2019,26,Burnley,eng ENG,1. Premier League,15th,38,29,2588,28.8,10,2,12,10,0,0,2,0,8.8,8.8,3.8,12.6,13,25,199,0.35,0.07,0.42,0.35,0.42,0.31,0.13,0.44,0.31,0.44,Chris Wood,FW
2019-2020,27,Burnley,eng ENG,1. Premier League,10th,32,29,2437,27.1,14,1,15,13,1,1,1,0,15.7,14.9,1.8,16.7,13,16,160,0.52,0.04,0.55,0.48,0.52,0.58,0.07,0.64,0.55,0.62,Chris Wood,FW
