Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,34,3034,89,88.7,33.7,34,89,32,0,,1,1.06,44,52,-8,-0.24,+0.70,40.7,52.7,-12.0,-0.36,+0.71,Nikola Milenković,DF
2021-2022,23,Fiorentina,it ITA,1. Serie A,7th,34,2926,86,85.6,32.5,34,86,29,0,,2,1.56,46,41,+5,+0.15,-0.39,50.0,32.9,+17.1,+0.53,+0.11,Nikola Milenković,DF
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,27,2137,79,62.5,23.7,23,86,21,4,39,9,1.48,34,27,+7,+0.29,+0.08,35.4,27.0,+8.5,+0.36,+0.13,Nikola Milenković,DF
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,34,2510,74,73.4,27.9,27,89,26,7,15,4,1.56,45,35,+10,+0.36,-0.14,37.4,36.3,+1.1,+0.04,-0.21,Nikola Milenković,DF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,18,1620,90,94.7,18.0,18,90,18,0,,0,2.00,25,18,+7,+0.39,+0.39,22.0,18.5,+3.4,+0.19,+0.10,Nikola Milenković,DF
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,32,2789,87,81.5,31.0,32,87,28,0,,0,0.91,41,56,-15,-0.48,-0.06,41.8,42.8,-0.9,-0.03,+0.31,Murillo,DF
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,18,1597,89,93.4,17.7,18,89,17,0,,0,1.89,22,19,+3,+0.17,-3.02,20.9,18.8,+2.1,+0.12,-1.03,Murillo,DF
2008-2009,16,West Brom,eng ENG,1. Premier League,20th,2,17,9,0.5,0.2,0,,,2,,,,,,,,,,,,,,Chris Wood,FW
2009-2010,17,West Brom,eng ENG,2. Championship,2nd,18,713,40,17.2,7.9,6,,,12,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,West Brom,eng ENG,1. Premier League,11th,1,9,9,0.3,0.1,0,,,1,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,Barnsley,eng ENG,2. Championship,17th,7,274,39,6.6,3.0,4,,,3,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,Brighton,eng ENG,3. League One,1st,29,1804,62,43.6,20.0,22,,,7,,,,,,,,,,,,,,Chris Wood,FW
2011-2012,19,Bristol City,eng ENG,2. Championship,20th,19,1173,62,28.3,13.0,12,,,7,,,,,,,,,,,,,,Chris Wood,FW
2011-2012,19,Birmingham City,eng ENG,2. Championship,4th,23,1155,50,27.9,12.8,13,,,10,,,,,,,,,,,,,,Chris Wood,FW
2012-2013,20,Millwall,eng ENG,2. Championship,20th,19,1589,84,38.4,17.7,18,,,1,,,,,,,,,,,,,,Chris Wood,FW
2012-2013,20,Leicester City,eng ENG,2. Championship,6th,20,1627,81,39.3,18.1,19,,,1,,,,,,,,,,,,,,Chris Wood,FW
2013-2014,21,Leicester City,eng ENG,2. Championship,1st,26,925,36,22.3,10.3,7,,,19,,,,,,,,,,,,,,Chris Wood,FW
2014-2015,22,Leicester City,eng ENG,1. Premier League,14th,7,114,16,3.3,1.3,0,,0,7,,12,0.71,1,3,-2,-1.58,-1.39,,,,,,Chris Wood,FW
2014-2015,22,Ipswich Town,eng ENG,2. Championship,6th,8,270,34,6.5,3.0,3,,0,5,,3,0.75,0,5,-5,-1.67,-2.20,,,,,,Chris Wood,FW
2015-2016,23,Leeds United,eng ENG,2. Championship,13th,36,2879,80,69.5,32.0,33,,26,3,,0,1.39,39,37,+2,+0.06,+0.78,,,,,,Chris Wood,FW
2016-2017,24,Leeds United,eng ENG,2. Championship,7th,44,3621,82,87.5,40.2,41,,32,3,,0,1.61,53,44,+9,+0.22,-0.64,,,,,,Chris Wood,FW
2017-2018,25,Leeds United,eng ENG,2. Championship,13th,3,270,90,6.5,3.0,3,,3,0,,0,1.67,3,2,+1,+0.33,+0.47,,,,,,Chris Wood,FW
2017-2018,25,Burnley,eng ENG,1. Premier League,7th,24,1624,68,47.5,18.0,20,,7,4,,1,1.67,22,11,+11,+0.61,+1.31,17.0,23.0,-6.0,-0.33,+0.32,Chris Wood,FW
2018-2019,26,Burnley,eng ENG,1. Premier League,15th,38,2588,68,75.7,28.8,29,83,13,9,22,0,1.05,35,49,-14,-0.49,+0.49,34.1,42.7,-8.6,-0.30,+0.68,Chris Wood,FW
2019-2020,27,Burnley,eng ENG,1. Premier League,10th,32,2437,76,71.3,27.1,29,81,17,3,29,0,1.41,27,33,-6,-0.22,-0.13,35.3,36.0,-0.6,-0.02,+0.13,Chris Wood,FW
2020-2021,28,Burnley,eng ENG,1. Premier League,17th,33,2741,83,80.1,30.5,32,85,22,1,18,0,1.00,27,43,-16,-0.53,+0.27,31.7,44.8,-13.0,-0.43,-0.12,Chris Wood,FW
2021-2022,29,Burnley,eng ENG,1. Premier League,18th,17,1367,80,40.0,15.2,17,80,6,0,,0,0.65,15,26,-11,-0.72,-0.37,14.1,23.7,-9.5,-0.63,-0.28,Chris Wood,FW
2021-2022,29,Newcastle Utd,eng ENG,1. Premier League,11th,17,1327,78,38.8,14.7,15,86,12,2,22,1,1.88,17,15,+2,+0.14,+1.00,16.2,16.0,+0.2,+0.01,+0.84,Chris Wood,FW
2022-2023,30,Newcastle Utd,eng ENG,1. Premier League,4th,18,446,25,13.0,5.0,4,72,0,14,11,1,1.94,8,3,+5,+1.01,+0.10,6.8,4.1,+2.6,+0.53,-0.37,Chris Wood,FW
2022-2023,30,Nott'ham Forest,eng ENG,1. Premier League,16th,7,372,53,10.9,4.1,5,71,0,2,9,0,0.86,3,6,-3,-0.73,+0.07,3.1,7.4,-4.3,-1.04,-0.43,Chris Wood,FW
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,31,1812,58,53.0,20.1,20,83,13,11,14,0,0.94,28,34,-6,-0.30,+0.37,29.5,26.5,+3.0,+0.15,+0.50,Chris Wood,FW
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,19,1486,78,86.9,16.5,18,81,5,1,28,0,1.95,26,16,+10,+0.61,+1.81,21.0,16.1,+4.9,+0.30,+0.84,Chris Wood,FW
2017-2018,16,Chelsea,eng ENG,Jr. PL2 — Div. 1,8th,10,740,74,37.4,8.2,7,90,6,3,36,1,1.20,15,16,-1,-0.12,-0.12,,,,,,Callum Hudson-Odoi,"FW,MF"
2017-2018,16,Chelsea,eng ENG,1. Premier League,5th,2,29,15,0.8,0.3,0,,0,2,,2,0.00,0,1,-1,-3.10,-3.77,0.7,0.2,+0.5,+1.60,+1.07,Callum Hudson-Odoi,"FW,MF"
2018-2019,17,Chelsea,eng ENG,Jr. PL2 — Div. 1,6th,5,450,90,22.7,5.0,5,90,5,0,,0,1.40,10,9,+1,+0.20,+0.20,,,,,,Callum Hudson-Odoi,"FW,MF"
2018-2019,17,Chelsea,eng ENG,1. Premier League,3rd,10,393,39,11.5,4.4,4,69,1,6,20,3,1.70,10,5,+5,+1.15,+0.58,7.8,4.1,+3.8,+0.86,+0.31,Callum Hudson-Odoi,"FW,MF"
2019-2020,18,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,2,135,68,8.3,1.5,2,68,0,0,,0,3.00,3,0,+3,+2.00,+1.33,,,,,,Callum Hudson-Odoi,"FW,MF"
2019-2020,18,Chelsea,eng ENG,1. Premier League,4th,22,863,39,25.2,9.6,7,85,4,15,18,3,1.77,17,14,+3,+0.31,-0.11,18.1,10.4,+7.7,+0.80,-0.01,Callum Hudson-Odoi,"FW,MF"
