Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,31.0,0,17,6,35.3,0.55,0.19,0.00,0.00,22.6,2,0,0,1.8,1.8,0.11,-1.8,-1.8,Murillo,DF
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,17.7,1,14,4,28.6,0.79,0.23,0.07,0.25,20.0,2,0,0,1.0,1.0,0.07,0.0,0.0,Murillo,DF
2008-2009,16,West Brom,eng ENG,1. Premier League,20th,0.2,0,,0,,,0.00,,,,,0,0,,,,,,Chris Wood,FW
2009-2010,17,West Brom,eng ENG,2. Championship,2nd,7.9,1,,8,,,1.01,,0.13,,,0,0,,,,,,Chris Wood,FW
2010-2011,18,West Brom,eng ENG,1. Premier League,11th,0.1,0,,0,,,0.00,,,,,0,0,,,,,,Chris Wood,FW
2010-2011,18,Barnsley,eng ENG,2. Championship,17th,3.0,0,,2,,,0.66,,0.00,,,0,0,,,,,,Chris Wood,FW
2010-2011,18,Brighton,eng ENG,3. League One,1st,20.0,8,,21,,,1.05,,0.19,,,4,5,,,,,,Chris Wood,FW
2011-2012,19,Bristol City,eng ENG,2. Championship,20th,13.0,3,,8,,,0.61,,0.25,,,1,1,,,,,,Chris Wood,FW
2011-2012,19,Birmingham City,eng ENG,2. Championship,4th,12.8,9,,18,,,1.40,,0.50,,,0,0,,,,,,Chris Wood,FW
2012-2013,20,Millwall,eng ENG,2. Championship,20th,17.7,11,,31,,,1.76,,0.35,,,0,0,,,,,,Chris Wood,FW
2012-2013,20,Leicester City,eng ENG,2. Championship,6th,18.1,9,,26,,,1.44,,0.31,,,1,2,,,,,,Chris Wood,FW
2013-2014,21,Leicester City,eng ENG,2. Championship,1st,10.3,4,,14,,,1.36,,0.29,,,0,0,,,,,,Chris Wood,FW
2014-2015,22,Leicester City,eng ENG,1. Premier League,14th,1.3,1,,1,,,0.79,,1.00,,,0,0,,,,,,Chris Wood,FW
2014-2015,22,Ipswich Town,eng ENG,2. Championship,6th,3.0,0,,0,,,0.00,,,,,0,0,,,,,,Chris Wood,FW
2015-2016,23,Leeds United,eng ENG,2. Championship,13th,32.0,13,,31,,,0.97,,0.32,,,3,4,,,,,,Chris Wood,FW
2016-2017,24,Leeds United,eng ENG,2. Championship,7th,40.2,27,0,44,,0.00,1.09,,0.50,,,5,5,,,,,,Chris Wood,FW
2017-2018,25,Leeds United,eng ENG,2. Championship,13th,3.0,1,7,4,57.1,2.33,1.33,0.14,0.25,,,0,0,,,,,,Chris Wood,FW
2017-2018,25,Burnley,eng ENG,1. Premier League,7th,18.0,10,39,24,61.5,2.16,1.33,0.26,0.42,12.3,0,0,0,7.0,7.0,0.19,+3.0,+3.0,Chris Wood,FW
2018-2019,26,Burnley,eng ENG,1. Premier League,15th,28.8,10,59,23,39.0,2.05,0.80,0.17,0.43,12.4,0,0,0,8.8,8.8,0.15,+1.2,+1.2,Chris Wood,FW
2019-2020,27,Burnley,eng ENG,1. Premier League,10th,27.1,14,64,28,43.8,2.36,1.03,0.20,0.46,10.7,0,1,1,15.7,14.9,0.23,-1.7,-1.9,Chris Wood,FW
2020-2021,28,Burnley,eng ENG,1. Premier League,17th,30.5,12,68,37,54.4,2.23,1.21,0.15,0.27,14.1,0,2,2,13.0,11.4,0.17,-1.0,-1.4,Chris Wood,FW
2021-2022,29,Burnley,eng ENG,1. Premier League,18th,15.2,3,30,11,36.7,1.98,0.72,0.10,0.27,12.7,0,0,0,4.2,4.2,0.14,-1.2,-1.2,Chris Wood,FW
2021-2022,29,Newcastle Utd,eng ENG,1. Premier League,11th,14.7,2,20,6,30.0,1.36,0.41,0.05,0.17,12.0,0,1,1,3.1,2.3,0.12,-1.1,-1.3,Chris Wood,FW
2022-2023,30,Newcastle Utd,eng ENG,1. Premier League,4th,5.0,2,8,3,37.5,1.61,0.61,0.13,0.33,14.7,0,1,1,1.8,1.0,0.13,+0.2,0.0,Chris Wood,FW
2022-2023,30,Nott'ham Forest,eng ENG,1. Premier League,16th,4.1,1,3,1,33.3,0.73,0.24,0.33,1.00,8.2,0,0,0,1.0,1.0,0.32,0.0,0.0,Chris Wood,FW
