Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Player,Position,Score
2024-12-15,Sun,Bundesliga,Matchweek 14,Away,L,Eint Frankfurt,RB Leipzig,Y,AM,83.0,0,1.0,0.0,0.0,1.0,0.0,0,0,37,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,23.0,32.0,71.9,3.0,32.0,1.0,1.0,0,Can Uzun,"MF,FW",1–2
2024-12-07,Sat,Bundesliga,Matchweek 13,Home,D,Eint Frankfurt,Augsburg,N,AM,19.0,1,0.0,0.0,0.0,2.0,1.0,0,0,10,0.0,0.0,1.0,0.1,0.1,0.1,1.0,0.0,6.0,7.0,85.7,0.0,5.0,1.0,0.0,0,Can Uzun,"MF,FW",2–2
2024-11-02,Sat,Bundesliga,Matchweek 9,Home,W,Eint Frankfurt,Bochum,N,LM,26.0,1,0.0,0.0,0.0,2.0,1.0,0,0,21,0.0,0.0,2.0,0.8,0.8,0.0,0.0,0.0,12.0,14.0,85.7,3.0,11.0,1.0,1.0,0,Can Uzun,"MF,FW",7–2
2024-10-19,Sat,Bundesliga,Matchweek 7,Away,L,Eint Frankfurt,Leverkusen,N,"LM,LB",9.0,0,0.0,0.0,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,2.0,4.0,0.0,0.0,0,Can Uzun,"MF,FW",1–2
2024-12-21,Sat,Bundesliga,Matchweek 15,Home,L,Eint Frankfurt,Mainz 05,N,CM,30.0,0,0.0,0.0,0.0,1.0,0.0,1,0,22,1.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,12.0,18.0,66.7,3.0,9.0,2.0,0.0,0,Jean Mattéo Bahoya,"MF,DF",1–3
2024-12-15,Sun,Bundesliga,Matchweek 14,Away,L,Eint Frankfurt,RB Leipzig,N,WB,16.0,0,0.0,0.0,0.0,0.0,0.0,0,0,15,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,6.0,8.0,75.0,0.0,9.0,0.0,2.0,1,Jean Mattéo Bahoya,"MF,DF",1–2
2024-12-07,Sat,Bundesliga,Matchweek 13,Home,D,Eint Frankfurt,Augsburg,N,AM,19.0,0,0.0,0.0,0.0,1.0,1.0,0,0,10,0.0,0.0,0.0,0.1,0.1,0.0,2.0,2.0,5.0,6.0,83.3,0.0,9.0,1.0,4.0,3,Jean Mattéo Bahoya,"MF,DF",2–2
2024-11-23,Sat,Bundesliga,Matchweek 11,Home,W,Eint Frankfurt,Werder Bremen,N,LM,26.0,0,0.0,0.0,0.0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,66.7,1.0,4.0,0.0,0.0,0,Jean Mattéo Bahoya,"MF,DF",1–0
2024-11-10,Sun,Bundesliga,Matchweek 10,Away,W,Eint Frankfurt,Stuttgart,N,RM,13.0,0,0.0,0.0,0.0,0.0,0.0,0,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,3.0,0.0,1.0,1,Jean Mattéo Bahoya,"MF,DF",3–2
2024-12-21,Sat,Bundesliga,Matchweek 15,Home,L,Eint Frankfurt,Mainz 05,Y,CM,60.0,0,0.0,0.0,0.0,1.0,0.0,0,0,46,0.0,0.0,1.0,0.1,0.1,0.1,4.0,0.0,37.0,42.0,88.1,8.0,28.0,5.0,2.0,2,Oscar Højlund,MF,1–3
2024-12-15,Sun,Bundesliga,Matchweek 14,Away,L,Eint Frankfurt,RB Leipzig,N,CM,39.0,0,0.0,0.0,0.0,0.0,0.0,0,0,28,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,24.0,25.0,96.0,2.0,19.0,0.0,1.0,1,Oscar Højlund,MF,1–2
2024-12-07,Sat,Bundesliga,Matchweek 13,Home,D,Eint Frankfurt,Augsburg,N,DM,19.0,0,0.0,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,3.0,0.0,0.0,0,Oscar Højlund,MF,2–2
2024-12-01,Sun,Bundesliga,Matchweek 12,Away,W,Eint Frankfurt,Heidenheim,N,CM,12.0,0,0.0,0.0,0.0,1.0,1.0,0,0,9,1.0,0.0,0.0,0.1,0.1,0.4,2.0,0.0,4.0,7.0,57.1,2.0,6.0,1.0,0.0,0,Oscar Højlund,MF,4–0
2024-08-24,Sat,Bundesliga,Matchweek 1,Away,L,Eint Frankfurt,Dortmund,N,LM,14.0,0,0.0,0.0,0.0,0.0,0.0,0,0,7,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,1.0,0.0,0,Oscar Højlund,MF,0–2
2024-12-07,Sat,Preliminary round,Home,L 1–3,Frankfurt,Mainz U19,Y,,90,,3,,,0.0,,0.0,0,0,0,,,,,,,,,,,,,,,,Match Report,GK,,U19
2024-11-23,Sat,Preliminary round,Home,W 9–2,Frankfurt,Nürnberg U19,Y,,90,,2,,,0.0,,0.0,0,0,0,,,,,,,,,,,,,,,,Match Report,GK,,U19
2024-11-09,Sat,Preliminary round,Home,W 1–0,Frankfurt,Darmstadt 98 U19,Y,,90,,0,,,1.0,,0.0,0,0,0,,,,,,,,,,,,,,,,Match Report,GK,,U19
2024-11-02,Sat,Preliminary round,Away,W 6–2,Frankfurt,Kickers Offenbach U19,Y,,90,,2,,,0.0,,0.0,0,0,0,,,,,,,,,,,,,,,,Match Report,GK,,U19
2024-10-26,Sat,Preliminary round,Home,W 4–0,Frankfurt,FSV Frankfurt U19,Y,,90,,0,,,1.0,,0.0,0,0,0,,,,,,,,,,,,,,,,Match Report,GK,,U19
