Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2015-2016,18,Midtjylland,dk DEN,1. Danish Superliga,3rd,10.1,,,,,,,,,,,,,,,,Rasmus Kristensen,DF
2016-2017,19,Midtjylland,dk DEN,1. Danish Superliga,4th,32.3,,,,,,,0,,,,,,,,,Rasmus Kristensen,DF
2017-2018,20,Midtjylland,dk DEN,1. Danish Superliga,1st,16.8,,,,,,,0,,,,,,,,,Rasmus Kristensen,DF
2017-2018,20,Jong Ajax,nl NED,2. Eerste Divisie,1st,2.0,,,,,,,0,,,,,,,,,Rasmus Kristensen,DF
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,5.4,,,,,,,0,,,,,,,,,Rasmus Kristensen,DF
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,6.9,366,318,48,2,0,3,18,46,0,0,0,0,285,0,10,Rasmus Kristensen,DF
2019-2020,22,RB Salzburg,at AUT,1. Bundesliga,1st,10.6,,,,,,,20,,,,,,,,,Rasmus Kristensen,DF
2020-2021,23,RB Salzburg,at AUT,1. Bundesliga,1st,25.9,,,,,,,64,,,,,,,,,Rasmus Kristensen,DF
2021-2022,24,RB Salzburg,at AUT,1. Bundesliga,1st,28.1,,,,,,,97,,,,,,,,,Rasmus Kristensen,DF
2022-2023,25,Leeds United,eng ENG,1. Premier League,19th,21.8,1044,861,181,7,0,3,35,174,0,0,0,0,740,2,38,Rasmus Kristensen,DF
2023-2024,26,Roma,it ITA,1. Serie A,6th,19.4,1037,879,152,8,1,1,44,144,0,0,0,0,799,6,25,Rasmus Kristensen,DF
2024-2025,27,Eint Frankfurt,de GER,1. Bundesliga,3rd,11.4,676,593,79,7,2,3,26,72,0,0,0,0,535,4,14,Rasmus Kristensen,DF
2023-2024,19,Eint Frankfurt,de GER,1. Bundesliga,6th,21.0,965,944,19,14,1,2,8,5,0,0,0,0,835,2,13,Hugo Larsson,MF
2024-2025,20,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.8,437,427,10,9,0,3,2,1,0,0,0,0,390,0,3,Hugo Larsson,MF
2010-2011,20,Kaiserslautern,de GER,1. Bundesliga,7th,9.0,,,,,,,,,,,,,,,,Kevin Trapp,GK
2011-2012,21,Kaiserslautern,de GER,1. Bundesliga,18th,23.0,,,,,,,,,,,,,,,,Kevin Trapp,GK
2012-2013,22,Eint Frankfurt,de GER,1. Bundesliga,6th,26.0,,,,,,,,,,,,,,,,Kevin Trapp,GK
2013-2014,23,Eint Frankfurt,de GER,1. Bundesliga,13th,33.8,,,,,,,,,,,,,,,,Kevin Trapp,GK
2014-2015,24,Eint Frankfurt,de GER,1. Bundesliga,9th,22.0,,,,,,,,,,,,,,,,Kevin Trapp,GK
2015-2016,25,Paris S-G,fr FRA,1. Ligue 1,1st,34.5,,,,,,,,,,,,,,,,Kevin Trapp,GK
2016-2017,26,Paris S-G,fr FRA,1. Ligue 1,2nd,23.6,,,,,,,0,,,,,,,,,Kevin Trapp,GK
2017-2018,27,Paris S-G,fr FRA,1. Ligue 1,1st,4.0,92,67,25,4,0,1,0,0,0,0,0,0,85,0,1,Kevin Trapp,GK
2018-2019,28,Eint Frankfurt,de GER,1. Bundesliga,7th,32.6,1213,849,355,133,0,2,0,0,0,0,0,0,802,9,0,Kevin Trapp,GK
2019-2020,29,Eint Frankfurt,de GER,1. Bundesliga,9th,22.0,939,724,213,68,0,3,0,0,0,0,0,0,703,2,0,Kevin Trapp,GK
2020-2021,30,Eint Frankfurt,de GER,1. Bundesliga,5th,33.0,1359,1012,341,76,0,2,0,0,0,0,0,0,953,6,0,Kevin Trapp,GK
2021-2022,31,Eint Frankfurt,de GER,1. Bundesliga,11th,32.0,1257,925,326,76,0,3,0,0,0,0,0,0,823,6,0,Kevin Trapp,GK
2022-2023,32,Eint Frankfurt,de GER,1. Bundesliga,7th,33.0,888,607,276,57,0,5,0,0,0,0,0,0,616,5,0,Kevin Trapp,GK
2023-2024,33,Eint Frankfurt,de GER,1. Bundesliga,6th,32.0,1166,890,271,59,0,2,0,0,0,0,0,0,867,5,1,Kevin Trapp,GK
2024-2025,34,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.5,380,296,83,24,0,0,0,0,0,0,0,0,291,1,1,Kevin Trapp,GK
2014-2015,19,Montpellier,fr FRA,1. Ligue 1,7th,1.0,,,,,,,,,,,,,,,,Ellyes Skhiri,MF
2015-2016,20,Montpellier,fr FRA,1. Ligue 1,12th,9.1,,,,,,,,,,,,,,,,Ellyes Skhiri,MF
2016-2017,21,Montpellier,fr FRA,1. Ligue 1,15th,36.5,,,,,,,8,,,,,,,,,Ellyes Skhiri,MF
2017-2018,22,Montpellier,fr FRA,1. Ligue 1,10th,33.9,1584,1552,28,26,7,27,8,2,0,0,0,0,1355,4,26,Ellyes Skhiri,MF
2018-2019,23,Montpellier,fr FRA,1. Ligue 1,6th,34.3,1673,1621,49,34,3,22,6,14,0,0,0,0,1428,3,25,Ellyes Skhiri,MF
2019-2020,24,Köln,de GER,1. Bundesliga,14th,29.7,1392,1331,55,49,2,10,6,6,0,0,0,0,1184,6,18,Ellyes Skhiri,MF
2020-2021,25,Köln,de GER,1. Bundesliga,16th,30.9,1523,1439,81,75,1,11,3,5,1,1,0,0,1316,3,17,Ellyes Skhiri,MF
2021-2022,26,Köln,de GER,1. Bundesliga,7th,20.2,958,913,43,39,2,9,6,4,0,0,0,0,805,2,11,Ellyes Skhiri,MF
2022-2023,27,Köln,de GER,1. Bundesliga,11th,31.7,1717,1647,65,52,1,9,13,12,0,0,0,0,1505,5,23,Ellyes Skhiri,MF
2023-2024,28,Eint Frankfurt,de GER,1. Bundesliga,6th,24.1,1287,1249,36,32,4,3,4,4,0,0,0,0,1082,2,20,Ellyes Skhiri,MF
2024-2025,29,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.0,479,469,10,10,1,0,0,0,0,0,0,0,426,0,9,Ellyes Skhiri,MF
2018-2019,16,Dortmund U17,de GER,Jr. U17 Bundesliga,1st,11.9,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2019-2020,17,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,13.7,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2020-2021,18,Dortmund U19,de GER,Jr. U19 Bundesliga,1st,1.0,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2020-2021,18,Dortmund,de GER,1. Bundesliga,3rd,0.8,27,25,2,1,0,1,4,1,0,0,0,0,18,0,1,Ansgar Knauff,"MF,DF"
2021-2022,19,Dortmund,de GER,1. Bundesliga,2nd,1.3,36,36,0,0,0,0,0,0,0,0,0,0,18,0,1,Ansgar Knauff,"MF,DF"
2021-2022,19,Dortmund II,de GER,3. 3. Liga,9th,6.4,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2021-2022,19,Eint Frankfurt,de GER,1. Bundesliga,11th,8.4,341,266,71,0,1,1,21,70,1,0,0,0,213,4,14,Ansgar Knauff,"MF,DF"
2022-2023,20,Eint Frankfurt,de GER,1. Bundesliga,7th,14.3,683,523,158,5,1,0,29,153,0,0,0,0,455,2,32,Ansgar Knauff,"MF,DF"
2023-2024,21,Eint Frankfurt,de GER,1. Bundesliga,6th,23.4,747,684,57,2,3,1,46,55,0,0,0,0,475,6,44,Ansgar Knauff,"MF,DF"
