Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2024-2025,22,Eint Frankfurt,de GER,1. Bundesliga,3rd,11.2,9,6,3,3,3,4,5,80.0,1,5,1,4,5,14,6,0,Hugo Ekitike,FW
2015-2016,18,Midtjylland,dk DEN,1. Danish Superliga,3rd,10.1,,,,,,,,,,,,,,,,,Rasmus Kristensen,DF
2016-2017,19,Midtjylland,dk DEN,1. Danish Superliga,4th,32.3,,0,,,,,,,,,,,0,,,,Rasmus Kristensen,DF
2017-2018,20,Midtjylland,dk DEN,1. Danish Superliga,1st,16.8,,0,,,,,,,,,,,0,,,,Rasmus Kristensen,DF
2017-2018,20,Jong Ajax,nl NED,2. Eerste Divisie,1st,2.0,,0,,,,,,,,,,,0,,,,Rasmus Kristensen,DF
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,5.4,,0,,,,,,,,,,,0,,,,Rasmus Kristensen,DF
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,6.9,14,8,6,6,2,7,13,53.8,6,10,3,7,4,18,11,0,Rasmus Kristensen,DF
2019-2020,22,RB Salzburg,at AUT,1. Bundesliga,1st,10.6,,16,,,,,,,,,,,24,,,,Rasmus Kristensen,DF
2020-2021,23,RB Salzburg,at AUT,1. Bundesliga,1st,25.9,,28,,,,,,,,,,,44,,,,Rasmus Kristensen,DF
2021-2022,24,RB Salzburg,at AUT,1. Bundesliga,1st,28.1,,24,,,,,,,,,,,32,,,,Rasmus Kristensen,DF
2022-2023,25,Leeds United,eng ENG,1. Premier League,19th,21.8,62,35,35,21,6,42,76,55.3,34,32,14,18,35,97,61,0,Rasmus Kristensen,DF
2023-2024,26,Roma,it ITA,1. Serie A,6th,19.4,36,19,25,8,3,28,50,56.0,22,27,7,20,8,44,50,0,Rasmus Kristensen,DF
2024-2025,27,Eint Frankfurt,de GER,1. Bundesliga,3rd,11.4,22,12,16,3,3,17,32,53.1,15,17,5,12,11,33,34,0,Rasmus Kristensen,DF
2023-2024,19,Eint Frankfurt,de GER,1. Bundesliga,6th,21.0,32,18,18,10,4,15,28,53.6,13,34,7,27,29,61,30,1,Hugo Larsson,MF
2024-2025,20,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.8,16,8,8,5,3,11,25,44.0,14,17,6,11,14,30,16,1,Hugo Larsson,MF
2010-2011,20,Kaiserslautern,de GER,1. Bundesliga,7th,9.0,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2011-2012,21,Kaiserslautern,de GER,1. Bundesliga,18th,23.0,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2012-2013,22,Eint Frankfurt,de GER,1. Bundesliga,6th,26.0,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2013-2014,23,Eint Frankfurt,de GER,1. Bundesliga,13th,33.8,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2014-2015,24,Eint Frankfurt,de GER,1. Bundesliga,9th,22.0,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2015-2016,25,Paris S-G,fr FRA,1. Ligue 1,1st,34.5,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2016-2017,26,Paris S-G,fr FRA,1. Ligue 1,2nd,23.6,,1,,,,,,,,,,,4,,,,Kevin Trapp,GK
2017-2018,27,Paris S-G,fr FRA,1. Ligue 1,1st,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Kevin Trapp,GK
2018-2019,28,Eint Frankfurt,de GER,1. Bundesliga,7th,32.6,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,17,1,Kevin Trapp,GK
2019-2020,29,Eint Frankfurt,de GER,1. Bundesliga,9th,22.0,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,5,0,Kevin Trapp,GK
2020-2021,30,Eint Frankfurt,de GER,1. Bundesliga,5th,33.0,0,0,0,0,0,0,1,0.0,1,1,0,1,3,3,11,3,Kevin Trapp,GK
2021-2022,31,Eint Frankfurt,de GER,1. Bundesliga,11th,32.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,13,2,Kevin Trapp,GK
2022-2023,32,Eint Frankfurt,de GER,1. Bundesliga,7th,33.0,1,1,1,0,0,0,2,0.0,2,2,0,2,0,1,10,0,Kevin Trapp,GK
2023-2024,33,Eint Frankfurt,de GER,1. Bundesliga,6th,32.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,1,Kevin Trapp,GK
2024-2025,34,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,2,Kevin Trapp,GK
2014-2015,19,Montpellier,fr FRA,1. Ligue 1,7th,1.0,,,,,,,,,,,,,,,,,Ellyes Skhiri,MF
2015-2016,20,Montpellier,fr FRA,1. Ligue 1,12th,9.1,,,,,,,,,,,,,,,,,Ellyes Skhiri,MF
2016-2017,21,Montpellier,fr FRA,1. Ligue 1,15th,36.5,,70,,,,,,,,,,,105,,,,Ellyes Skhiri,MF
2017-2018,22,Montpellier,fr FRA,1. Ligue 1,10th,33.9,89,54,34,47,8,37,88,42.0,51,59,10,49,77,166,57,4,Ellyes Skhiri,MF
2018-2019,23,Montpellier,fr FRA,1. Ligue 1,6th,34.3,105,58,31,64,10,43,91,47.3,48,60,7,53,60,165,41,0,Ellyes Skhiri,MF
2019-2020,24,Köln,de GER,1. Bundesliga,14th,29.7,74,52,30,37,7,29,77,37.7,48,47,9,38,67,141,33,0,Ellyes Skhiri,MF
2020-2021,25,Köln,de GER,1. Bundesliga,16th,30.9,83,48,44,31,8,33,65,50.8,32,49,13,36,82,165,38,2,Ellyes Skhiri,MF
2021-2022,26,Köln,de GER,1. Bundesliga,7th,20.2,55,33,25,26,4,22,41,53.7,19,41,7,34,37,92,35,1,Ellyes Skhiri,MF
2022-2023,27,Köln,de GER,1. Bundesliga,11th,31.7,79,44,29,42,8,26,66,39.4,40,52,12,40,56,135,48,0,Ellyes Skhiri,MF
2023-2024,28,Eint Frankfurt,de GER,1. Bundesliga,6th,24.1,44,24,18,19,7,19,36,52.8,17,33,4,29,39,83,47,2,Ellyes Skhiri,MF
2024-2025,29,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.0,10,6,4,5,1,4,14,28.6,10,20,4,16,10,20,15,2,Ellyes Skhiri,MF
2018-2019,16,Dortmund U17,de GER,Jr. U17 Bundesliga,1st,11.9,,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2019-2020,17,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,13.7,,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2020-2021,18,Dortmund U19,de GER,Jr. U19 Bundesliga,1st,1.0,,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2020-2021,18,Dortmund,de GER,1. Bundesliga,3rd,0.8,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,0,0,Ansgar Knauff,"MF,DF"
2021-2022,19,Dortmund,de GER,1. Bundesliga,2nd,1.3,3,1,1,1,1,0,4,0.0,4,2,0,2,0,3,4,0,Ansgar Knauff,"MF,DF"
2021-2022,19,Dortmund II,de GER,3. 3. Liga,9th,6.4,,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2021-2022,19,Eint Frankfurt,de GER,1. Bundesliga,11th,8.4,18,14,8,5,5,8,15,53.3,7,11,1,10,8,26,6,0,Ansgar Knauff,"MF,DF"
2022-2023,20,Eint Frankfurt,de GER,1. Bundesliga,7th,14.3,36,25,22,11,3,15,34,44.1,19,19,1,18,15,51,26,0,Ansgar Knauff,"MF,DF"
2023-2024,21,Eint Frankfurt,de GER,1. Bundesliga,6th,23.4,43,26,17,16,10,17,31,54.8,14,40,3,37,20,63,15,0,Ansgar Knauff,"MF,DF"
2024-2025,22,Eint Frankfurt,de GER,1. Bundesliga,3rd,7.6,24,13,12,7,5,5,7,71.4,2,12,1,11,7,31,11,0,Ansgar Knauff,"MF,DF"
2009-2010,17,Dortmund,de GER,1. Bundesliga,5th,0.5,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2010-2011,18,Dortmund,de GER,1. Bundesliga,1st,28.1,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2011-2012,19,Dortmund,de GER,1. Bundesliga,1st,13.1,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2012-2013,20,Dortmund,de GER,1. Bundesliga,2nd,22.4,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2013-2014,21,Bayern Munich,de GER,1. Bundesliga,1st,20.2,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2014-2015,22,Bayern Munich,de GER,1. Bundesliga,1st,24.9,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2015-2016,23,Bayern Munich,de GER,1. Bundesliga,1st,10.6,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2016-2017,24,Dortmund,de GER,1. Bundesliga,3rd,8.4,,8,,,,,,,,,,,13,,,,Mario Götze,"MF,FW"
2017-2018,25,Dortmund,de GER,1. Bundesliga,4th,17.8,50,43,19,24,7,14,34,41.2,20,17,1,16,8,58,9,0,Mario Götze,"MF,FW"
2018-2019,26,Dortmund,de GER,1. Bundesliga,2nd,18.6,26,19,6,11,9,4,25,16.0,21,10,0,10,8,34,4,1,Mario Götze,"MF,FW"
2019-2020,27,Dortmund,de GER,1. Bundesliga,2nd,5.8,10,7,0,6,4,3,12,25.0,9,3,0,3,2,12,1,0,Mario Götze,"MF,FW"
2020-2021,28,PSV Eindhoven,nl NED,1. Eredivisie,2nd,15.6,27,15,5,19,3,11,34,32.4,23,25,0,25,22,49,5,0,Mario Götze,"MF,FW"
