Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2024-2025,25,Eint Frankfurt,de GER,1. Bundesliga,3rd,12.5,837,125,425,362,53,10,837,12,10,83.3,2,16.7,456,1907,810,4,5,1,11,6,510,3,Tuta,"DF,MF"
2020-2021,18,Vejle BK,dk DEN,1. Danish Superliga,10th,6.7,,,,,,,,,,,,,,,,,,,,,,,Hugo Ekitike,FW
2020-2021,18,Reims,fr FRA,1. Ligue 1,14th,1.0,46,0,2,14,30,9,46,9,2,22.2,7,77.8,23,141,46,3,0,2,2,1,35,9,Hugo Ekitike,FW
2021-2022,19,Reims,fr FRA,1. Ligue 1,12th,14.1,603,20,73,269,273,66,601,47,23,48.9,24,51.1,365,2120,1006,35,28,19,66,22,439,87,Hugo Ekitike,FW
2022-2023,20,Paris S-G,fr FRA,1. Ligue 1,1st,12.8,473,5,32,202,250,63,473,39,16,41.0,18,46.2,353,2225,764,23,19,7,28,18,337,84,Hugo Ekitike,FW
2023-2024,21,Paris S-G,fr FRA,1. Ligue 1,1st,0.1,11,0,0,1,10,2,11,0,0,,0,,11,56,6,0,0,1,2,1,11,3,Hugo Ekitike,FW
2023-2024,21,Eint Frankfurt,de GER,1. Bundesliga,6th,8.0,311,2,20,137,159,56,311,39,18,46.2,19,48.7,190,1040,500,16,9,9,26,13,225,60,Hugo Ekitike,FW
2024-2025,22,Eint Frankfurt,de GER,1. Bundesliga,3rd,11.2,408,8,35,177,209,67,408,57,29,50.9,27,47.4,249,1736,936,31,23,14,34,15,295,75,Hugo Ekitike,FW
2015-2016,18,Midtjylland,dk DEN,1. Danish Superliga,3rd,10.1,,,,,,,,,,,,,,,,,,,,,,,Rasmus Kristensen,DF
2016-2017,19,Midtjylland,dk DEN,1. Danish Superliga,4th,32.3,,,,,,,,,,,,,,,,,,,,,,,Rasmus Kristensen,DF
2017-2018,20,Midtjylland,dk DEN,1. Danish Superliga,1st,16.8,,,,,,,,,,,,,,,,,,,,,,,Rasmus Kristensen,DF
2017-2018,20,Jong Ajax,nl NED,2. Eerste Divisie,1st,2.0,,,,,,,,,,,,,,,,,,,,,,,Rasmus Kristensen,DF
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,5.4,,,,,,,,,,,,,,,,,,,,,,,Rasmus Kristensen,DF
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,6.9,436,15,77,182,184,26,436,13,8,61.5,5,38.5,233,978,612,17,12,5,7,4,256,57,Rasmus Kristensen,DF
2019-2020,22,RB Salzburg,at AUT,1. Bundesliga,1st,10.6,,,,,,,,,,,,,,,,,,,,,,,Rasmus Kristensen,DF
2020-2021,23,RB Salzburg,at AUT,1. Bundesliga,1st,25.9,,,,,,,,,,,,,,,,,,,,,,,Rasmus Kristensen,DF
2021-2022,24,RB Salzburg,at AUT,1. Bundesliga,1st,28.1,,,,,,,,,,,,,,,,,,,,,,,Rasmus Kristensen,DF
2022-2023,25,Leeds United,eng ENG,1. Premier League,19th,21.8,1276,90,470,529,282,23,1276,15,7,46.7,7,46.7,548,1725,833,15,10,4,6,5,633,70,Rasmus Kristensen,DF
2023-2024,26,Roma,it ITA,1. Serie A,6th,19.4,1213,74,407,516,296,38,1213,17,7,41.2,10,58.8,571,2020,914,16,9,6,14,5,760,115,Rasmus Kristensen,DF
2024-2025,27,Eint Frankfurt,de GER,1. Bundesliga,3rd,11.4,798,51,258,365,184,21,798,13,8,61.5,4,30.8,494,2389,1427,34,20,3,16,3,509,45,Rasmus Kristensen,DF
2023-2024,19,Eint Frankfurt,de GER,1. Bundesliga,6th,21.0,1175,52,339,641,206,16,1175,19,7,36.8,11,57.9,654,2937,1185,26,19,4,25,7,770,42,Hugo Larsson,MF
2024-2025,20,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.8,529,38,160,273,100,9,529,6,4,66.7,2,33.3,275,1099,487,6,9,1,8,5,344,6,Hugo Larsson,MF
2010-2011,20,Kaiserslautern,de GER,1. Bundesliga,7th,9.0,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2011-2012,21,Kaiserslautern,de GER,1. Bundesliga,18th,23.0,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2012-2013,22,Eint Frankfurt,de GER,1. Bundesliga,6th,26.0,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2013-2014,23,Eint Frankfurt,de GER,1. Bundesliga,13th,33.8,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2014-2015,24,Eint Frankfurt,de GER,1. Bundesliga,9th,22.0,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2015-2016,25,Paris S-G,fr FRA,1. Ligue 1,1st,34.5,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
