Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2023-2024,21,Eint Frankfurt,de GER,1. Bundesliga,6th,8.0,3,0,0,12,12,6,9,2,7,0,0,0,21,14,27,34.1,Hugo Ekitike,FW
2024-2025,22,Eint Frankfurt,de GER,1. Bundesliga,3rd,11.2,0,0,0,10,6,9,11,5,6,0,0,0,40,22,26,45.8,Hugo Ekitike,FW
2015-2016,18,Midtjylland,dk DEN,1. Danish Superliga,3rd,10.1,1,0,,13,,,,,,,,,,,,,Rasmus Kristensen,DF
2016-2017,19,Midtjylland,dk DEN,1. Danish Superliga,4th,32.3,4,2,1,33,0,0,0,0,0,0,0,0,,,,,Rasmus Kristensen,DF
2017-2018,20,Midtjylland,dk DEN,1. Danish Superliga,1st,16.8,0,0,0,22,0,0,0,0,0,0,0,0,,,,,Rasmus Kristensen,DF
2017-2018,20,Jong Ajax,nl NED,2. Eerste Divisie,1st,2.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Rasmus Kristensen,DF
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,5.4,1,0,0,4,0,0,0,0,0,0,0,0,,,,,Rasmus Kristensen,DF
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,6.9,1,0,0,9,2,0,18,4,8,0,0,0,37,9,6,60.0,Rasmus Kristensen,DF
2019-2020,22,RB Salzburg,at AUT,1. Bundesliga,1st,10.6,0,0,0,7,3,1,20,24,16,,,0,,,,,Rasmus Kristensen,DF
2020-2021,23,RB Salzburg,at AUT,1. Bundesliga,1st,25.9,2,0,0,26,16,1,64,44,28,,,0,,,,,Rasmus Kristensen,DF
2021-2022,24,RB Salzburg,at AUT,1. Bundesliga,1st,28.1,1,0,0,16,17,2,97,32,24,,,0,,,,,Rasmus Kristensen,DF
2022-2023,25,Leeds United,eng ENG,1. Premier League,19th,21.8,4,0,0,19,6,1,35,35,35,0,0,0,119,34,27,55.7,Rasmus Kristensen,DF
2023-2024,26,Roma,it ITA,1. Serie A,6th,19.4,5,0,0,14,8,1,44,8,19,1,0,1,67,30,21,58.8,Rasmus Kristensen,DF
2024-2025,27,Eint Frankfurt,de GER,1. Bundesliga,3rd,11.4,0,0,0,12,7,0,26,11,12,0,0,0,54,18,11,62.1,Rasmus Kristensen,DF
2023-2024,19,Eint Frankfurt,de GER,1. Bundesliga,6th,21.0,1,0,0,16,2,1,8,29,18,0,0,0,116,9,19,32.1,Hugo Larsson,MF
2024-2025,20,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.8,1,0,0,11,1,0,2,14,8,0,1,0,46,6,5,54.5,Hugo Larsson,MF
2010-2011,20,Kaiserslautern,de GER,1. Bundesliga,7th,9.0,0,0,,0,,,,,,,,,,,,,Kevin Trapp,GK
2011-2012,21,Kaiserslautern,de GER,1. Bundesliga,18th,23.0,1,0,,0,,,,,,,,,,,,,Kevin Trapp,GK
2012-2013,22,Eint Frankfurt,de GER,1. Bundesliga,6th,26.0,0,0,,0,,,,,,,,,,,,,Kevin Trapp,GK
2013-2014,23,Eint Frankfurt,de GER,1. Bundesliga,13th,33.8,2,0,,0,,,,,,,,,,,,,Kevin Trapp,GK
2014-2015,24,Eint Frankfurt,de GER,1. Bundesliga,9th,22.0,1,0,,0,,,,,,,,,,,,,Kevin Trapp,GK
2015-2016,25,Paris S-G,fr FRA,1. Ligue 1,1st,34.5,0,0,,1,,,,,,,,,,,,,Kevin Trapp,GK
2016-2017,26,Paris S-G,fr FRA,1. Ligue 1,2nd,23.6,0,0,0,0,2,0,0,4,1,0,0,0,,,,,Kevin Trapp,GK
2017-2018,27,Paris S-G,fr FRA,1. Ligue 1,1st,4.0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,100.0,Kevin Trapp,GK
2018-2019,28,Eint Frankfurt,de GER,1. Bundesliga,7th,32.6,2,0,0,0,8,0,0,0,0,0,0,0,60,15,0,100.0,Kevin Trapp,GK
2019-2020,29,Eint Frankfurt,de GER,1. Bundesliga,9th,22.0,1,0,0,0,1,0,0,3,0,0,0,0,50,4,0,100.0,Kevin Trapp,GK
2020-2021,30,Eint Frankfurt,de GER,1. Bundesliga,5th,33.0,0,0,0,0,2,0,0,3,0,0,0,0,78,7,0,100.0,Kevin Trapp,GK
2021-2022,31,Eint Frankfurt,de GER,1. Bundesliga,11th,32.0,2,0,0,0,3,0,0,1,0,0,0,0,65,5,0,100.0,Kevin Trapp,GK
2022-2023,32,Eint Frankfurt,de GER,1. Bundesliga,7th,33.0,3,0,0,0,4,0,0,0,1,0,0,0,37,4,0,100.0,Kevin Trapp,GK
2023-2024,33,Eint Frankfurt,de GER,1. Bundesliga,6th,32.0,2,0,0,0,6,0,0,1,0,0,0,0,58,8,1,88.9,Kevin Trapp,GK
2024-2025,34,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.5,0,0,0,0,1,0,0,0,0,0,0,0,15,1,1,50.0,Kevin Trapp,GK
2014-2015,19,Montpellier,fr FRA,1. Ligue 1,7th,1.0,0,0,,0,,,,,,,,,,,,,Ellyes Skhiri,MF
2015-2016,20,Montpellier,fr FRA,1. Ligue 1,12th,9.1,1,0,,13,,,,,,,,,,,,,Ellyes Skhiri,MF
