Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2020-2021,24,Dortmund,de GER,1. Bundesliga,3rd,21,1258,60,41.1,14.0,15,74,5,6,24,11,2.14,33,13,+20,+1.43,+0.98,24.5,16.7,+7.9,+0.56,-0.27,Mahmoud Dahoud,MF
2021-2022,25,Dortmund,de GER,1. Bundesliga,2nd,22,1658,75,54.2,18.4,20,79,12,2,38,1,2.00,52,31,+21,+1.14,+0.37,34.9,24.5,+10.4,+0.57,+0.10,Mahmoud Dahoud,MF
2022-2023,26,Dortmund,de GER,1. Bundesliga,2nd,9,337,37,11.0,3.7,4,65,1,5,15,6,2.11,10,3,+7,+1.87,+0.81,7.7,4.0,+3.7,+0.98,+0.18,Mahmoud Dahoud,MF
2023-2024,27,Stuttgart,de GER,1. Bundesliga,2nd,13,227,17,7.4,2.5,1,66,0,12,13,2,2.31,6,4,+2,+0.79,-0.38,7.7,2.5,+5.2,+2.07,+1.20,Mahmoud Dahoud,MF
2023-2024,27,Brighton,eng ENG,1. Premier League,11th,9,452,50,13.2,5.0,6,68,0,3,16,8,2.11,10,5,+5,+1.00,+1.36,7.9,4.1,+3.8,+0.76,+0.83,Mahmoud Dahoud,MF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,7,320,46,23.7,3.6,3,71,1,4,27,6,1.57,13,8,+5,+1.41,+0.79,8.6,6.1,+2.6,+0.72,+0.39,Mahmoud Dahoud,MF
2018-2019,17,Paris S-G,fr FRA,1. Ligue 1,1st,0,,,,,0,,0,0,,1,,,,,,,,,,,,Junior Dina Ebimbe,"MF,FW"
2019-2020,18,Le Havre,fr FRA,2. Ligue 2,6th,25,1768,71,70.2,19.6,21,81,8,4,15,1,1.48,28,23,+5,+0.25,-0.70,29.8,17.5,+12.2,+0.62,+0.07,Junior Dina Ebimbe,"MF,FW"
2020-2021,19,Dijon,fr FRA,1. Ligue 1,20th,30,2144,71,62.7,23.8,25,80,11,5,31,2,0.47,14,47,-33,-1.39,-0.33,18.8,45.5,-26.7,-1.12,-0.27,Junior Dina Ebimbe,"MF,FW"
2021-2022,20,Paris S-G,fr FRA,1. Ligue 1,1st,10,316,32,9.2,3.5,4,66,0,6,9,20,2.60,9,1,+8,+2.28,+0.94,5.8,2.5,+3.3,+0.93,-0.04,Junior Dina Ebimbe,"MF,FW"
2022-2023,21,Eint Frankfurt,de GER,1. Bundesliga,7th,19,1063,56,34.7,11.8,10,84,4,9,25,3,1.79,24,19,+5,+0.42,+0.38,22.3,12.9,+9.4,+0.80,+0.83,Junior Dina Ebimbe,"MF,FW"
2023-2024,22,Eint Frankfurt,de GER,1. Bundesliga,6th,31,1956,63,63.9,21.7,25,73,4,6,24,0,1.39,31,28,+3,+0.14,+0.30,26.2,30.8,-4.6,-0.21,-0.10,Junior Dina Ebimbe,"MF,FW"
2024-2025,23,Eint Frankfurt,de GER,1. Bundesliga,3rd,6,281,47,20.8,3.1,3,61,0,3,33,2,1.83,7,4,+3,+0.96,+0.20,5.1,6.1,-1.0,-0.34,-0.96,Junior Dina Ebimbe,"MF,FW"
2018-2019,15,St. Pauli U17,de GER,Jr. U17 Bundesliga,18th,20,1409,70,60.2,15.7,17,76,8,3,37,0,1.45,30,21,+9,+0.57,+2.31,,,,,,Igor Matanovic,"FW,MF"
2019-2020,16,St. Pauli U17,de GER,Jr. U17 Bundesliga,25th,7,426,61,22.5,4.7,4,79,2,3,37,0,1.71,12,12,0,0.00,+1.05,,,,,,Igor Matanovic,"FW,MF"
2019-2020,16,St. Pauli U19,de GER,Jr. U19 Bundesliga,24th,5,439,88,24.4,4.9,5,88,3,0,,0,1.40,12,13,-1,-0.21,+0.26,,,,,,Igor Matanovic,"FW,MF"
2020-2021,17,St. Pauli U19,de GER,Jr. U19 Bundesliga,12th,2,117,59,32.5,1.3,1,90,1,1,27,0,0.50,1,1,0,0.00,-0.74,,,,,,Igor Matanovic,"FW,MF"
2020-2021,17,St. Pauli,de GER,2. 2. Bundesliga,10th,18,397,22,13.0,4.4,3,86,2,15,9,1,1.72,7,8,-1,-0.23,-0.09,10.6,8.0,+2.6,+0.58,+0.76,Igor Matanovic,"FW,MF"
2021-2022,18,St. Pauli,de GER,2. 2. Bundesliga,5th,18,553,31,18.1,6.1,6,68,0,12,12,2,1.39,11,13,-2,-0.33,-0.94,8.5,15.2,-6.7,-1.09,-1.28,Igor Matanovic,"FW,MF"
2022-2023,19,St. Pauli,de GER,2. 2. Bundesliga,5th,18,621,35,20.3,6.9,6,60,0,12,22,3,1.22,13,8,+5,+0.72,+0.32,10.1,6.9,+3.2,+0.46,+0.04,Igor Matanovic,"FW,MF"
2023-2024,20,Karlsruher,de GER,2. 2. Bundesliga,5th,32,2319,72,75.8,25.8,27,83,10,5,18,0,1.59,48,32,+16,+0.62,+0.14,43.7,37.5,+6.1,+0.24,+0.04,Igor Matanovic,"FW,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,13,289,22,21.4,3.2,2,56,0,11,16,2,2.00,7,8,-1,-0.31,-1.41,6.9,5.4,+1.5,+0.47,+0.06,Igor Matanovic,"FW,MF"
2020-2021,14,Nürnberg U17,de GER,Jr. U17 Bundesliga,7th,5,290,58,64.4,3.2,3,69,0,2,42,0,2.40,14,3,+11,+3.41,+5.10,,,,,,Can Uzun,"MF,FW"
2021-2022,15,Nürnberg U17,de GER,Jr. U17 Bundesliga,14th,19,1669,88,92.7,18.5,19,88,16,0,,0,1.58,48,29,+19,+1.02,-1.04,,,,,,Can Uzun,"MF,FW"
2021-2022,15,Nürnberg U19,de GER,Jr. U19 Bundesliga,2nd,1,1,1,0.1,0.0,0,,0,1,1,0,3.00,0,0,0,0.00,-0.90,,,,,,Can Uzun,"MF,FW"
2022-2023,16,Nürnberg U19,de GER,Jr. U19 Bundesliga,8th,15,1281,85,89.0,14.2,15,85,7,0,,0,2.07,32,18,+14,+0.98,-1.85,,,,,,Can Uzun,"MF,FW"
2022-2023,16,Nürnberg,de GER,2. 2. Bundesliga,14th,3,75,25,2.5,0.8,1,64,0,2,6,0,1.67,1,0,+1,+1.20,+1.74,1.3,1.4,-0.2,-0.18,+0.02,Can Uzun,"MF,FW"
2023-2024,17,Nürnberg,de GER,2. 2. Bundesliga,12th,30,1992,66,65.1,22.1,25,73,7,5,32,0,1.20,32,38,-6,-0.27,+0.99,28.5,35.4,-6.9,-0.31,+0.22,Can Uzun,"MF,FW"
2024-2025,18,Eint Frankfurt,de GER,1. Bundesliga,3rd,9,243,27,18.0,2.7,1,83,0,8,20,6,1.22,7,4,+3,+1.11,+0.38,5.9,4.9,+1.0,+0.38,-0.05,Can Uzun,"MF,FW"
2022-2023,17,Angers,fr FRA,1. Ligue 1,20th,10,270,27,7.9,3.0,2,66,0,8,17,10,0.40,3,5,-2,-0.67,+0.65,5.0,4.6,+0.5,+0.16,+0.76,Jean Mattéo Bahoya,"MF,DF"
2023-2024,18,Angers,fr FRA,2. Ligue 2,2nd,19,722,38,21.1,8.0,6,65,0,13,26,0,1.95,17,8,+9,+1.12,+0.96,14.0,9.3,+4.7,+0.59,+0.53,Jean Mattéo Bahoya,"MF,DF"
2023-2024,18,Eint Frankfurt,de GER,1. Bundesliga,6th,8,177,22,5.8,2.0,1,64,0,7,16,1,0.50,2,6,-4,-2.03,-2.19,2.9,3.3,-0.5,-0.23,-0.06,Jean Mattéo Bahoya,"MF,DF"
2024-2025,19,Eint Frankfurt,de GER,1. Bundesliga,3rd,9,217,24,16.1,2.4,1,64,0,8,19,2,1.56,9,5,+4,+1.66,+1.02,6.0,4.1,+1.9,+0.79,+0.43,Jean Mattéo Bahoya,"MF,DF"
2023-2024,18,FC Copenhagen,dk DEN,1. Danish Superliga,3rd,11,392,36,13.6,4.4,5,63,1,6,13,19,2.45,7,4,+3,+0.69,-0.14,,,,,,Oscar Højlund,MF
2024-2025,19,Eint Frankfurt,de GER,1. Bundesliga,3rd,5,144,29,10.7,1.6,1,60,0,4,21,0,0.80,2,4,-2,-1.25,-2.29,3.6,1.5,+2.1,+1.29,+0.97,Oscar Højlund,MF
2020-2021,17,Young Boys,ch SUI,1. Super Lg,1st,0,,,,,0,,,0,,1,,,,,,,,,,,,Aurele Amenda,DF
2021-2022,18,Young Boys,ch SUI,1. Super Lg,3rd,4,205,51,6.3,2.3,1,90,1,3,38,13,2.00,6,4,+2,+0.88,+0.05,,,,,,Aurele Amenda,DF
2022-2023,19,Young Boys,ch SUI,1. Super Lg,1st,16,1060,66,32.7,11.8,11,87,10,5,20,13,1.81,23,13,+10,+0.85,-0.88,,,,,,Aurele Amenda,DF
2023-2024,20,Young Boys,ch SUI,1. Super Lg,1st,23,1861,81,54.4,20.7,21,88,19,2,6,12,1.91,40,20,+20,+0.97,-0.30,,,,,,Aurele Amenda,DF
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,4,70,18,5.2,0.8,1,45,0,3,8,6,2.50,1,1,0,0.00,-0.84,1.4,2.1,-0.7,-0.95,-1.45,Aurele Amenda,DF
2010-2011,20,Nürnberg,de GER,1. Bundesliga,6th,14,1041,74,34.0,11.6,11,,9,3,,,,,,,,,,,,,,Timothy Chandler,DF
2011-2012,21,Nürnberg,de GER,1. Bundesliga,10th,30,2512,84,82.1,27.9,29,,24,1,,,,,,,,,,,,,,Timothy Chandler,DF
2012-2013,22,Nürnberg,de GER,1. Bundesliga,10th,30,2523,84,82.5,28.0,29,,24,1,,,,,,,,,,,,,,Timothy Chandler,DF
