Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2023-2024,21,Liverpool,eng ENG,1. Premier League,3rd,12.5,0,0,0,20,15,0,4,14,12,0,0,0,74,10,14,41.7,Ryan Gravenberch,MF
2024-2025,22,Liverpool,eng ENG,1. Premier League,1st,18.3,4,0,0,30,31,0,3,36,18,0,0,0,96,16,5,76.2,Ryan Gravenberch,MF
2016-2017,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,11.9,3,0,0,,,,,,,,,0,,,,,Trent Alexander-Arnold,DF
2016-2017,17,Liverpool,eng ENG,1. Premier League,4th,1.9,0,0,0,1,2,0,6,2,2,0,0,0,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,1.0,0,0,0,,,,,,,,,0,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,1. Premier League,4th,17.5,3,0,0,12,1,3,102,28,25,0,0,0,133,5,17,22.7,Trent Alexander-Arnold,DF
2018-2019,19,Liverpool,eng ENG,1. Premier League,2nd,27.4,3,0,0,14,7,4,201,35,39,0,0,0,169,9,23,28.1,Trent Alexander-Arnold,DF
2019-2020,20,Liverpool,eng ENG,1. Premier League,1st,35.3,5,0,0,22,9,3,382,45,34,0,0,0,221,15,30,33.3,Trent Alexander-Arnold,DF
2020-2021,21,Liverpool,eng ENG,1. Premier League,3rd,33.7,2,0,0,21,9,5,297,49,33,0,1,0,258,8,23,25.8,Trent Alexander-Arnold,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,31.7,2,0,0,12,7,11,273,43,23,0,0,0,235,15,13,53.6,Trent Alexander-Arnold,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,32.5,5,0,0,22,6,5,252,43,40,0,0,0,239,20,13,60.6,Trent Alexander-Arnold,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,23.9,6,0,0,9,9,2,168,31,26,0,0,0,176,8,6,57.1,Trent Alexander-Arnold,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,15.5,4,0,0,8,6,1,102,19,32,0,0,0,84,2,8,20.0,Trent Alexander-Arnold,DF
2013-2014,19,Dundee United,sct SCO,1. Premiership,4th,36.0,6,0,,29,,,,,,,,,,,,,Andrew Robertson,DF
2014-2015,20,Hull City,eng ENG,1. Premier League,18th,17.0,7,0,,11,,,,,,,,,,,,,Andrew Robertson,DF
2015-2016,21,Hull City,eng ENG,2. Championship,4th,39.6,3,0,,16,,,,,,,,,,,,,Andrew Robertson,DF
2016-2017,22,Hull City,eng ENG,1. Premier League,18th,30.4,5,0,0,18,10,1,120,56,36,0,2,0,,,,,Andrew Robertson,DF
2017-2018,23,Liverpool,eng ENG,1. Premier League,4th,21.6,2,0,0,15,4,5,88,26,17,0,0,0,140,15,9,62.5,Andrew Robertson,DF
2018-2019,24,Liverpool,eng ENG,1. Premier League,2nd,35.7,4,0,0,18,16,1,135,29,49,0,0,0,223,24,28,46.2,Andrew Robertson,DF
2019-2020,25,Liverpool,eng ENG,1. Premier League,1st,34.6,2,0,0,18,13,2,210,38,31,0,0,0,210,33,34,49.3,Andrew Robertson,DF
2020-2021,26,Liverpool,eng ENG,1. Premier League,3rd,37.6,2,0,0,23,10,8,294,21,34,0,1,0,229,29,26,52.7,Andrew Robertson,DF
2021-2022,27,Liverpool,eng ENG,1. Premier League,2nd,28.2,5,1,0,19,9,4,195,23,21,0,0,0,180,26,14,65.0,Andrew Robertson,DF
2022-2023,28,Liverpool,eng ENG,1. Premier League,5th,28.7,3,0,0,22,10,7,195,18,21,0,0,0,174,22,24,47.8,Andrew Robertson,DF
2023-2024,29,Liverpool,eng ENG,1. Premier League,3rd,18.8,2,0,0,9,5,3,184,13,24,0,0,0,104,14,12,53.8,Andrew Robertson,DF
2024-2025,30,Liverpool,eng ENG,1. Premier League,1st,15.3,2,1,0,6,4,0,87,10,16,0,1,0,70,3,5,37.5,Andrew Robertson,DF
2017-2018,18,Arg Juniors,ar ARG,1. Liga Argentina,12th,14.6,2,0,0,20,24,0,43,19,17,1,0,0,102,17,16,51.5,Alexis Mac Allister,MF
2018-2019,19,Arg Juniors,ar ARG,1. Liga Argentina,26th,17.1,4,0,0,22,48,1,105,10,15,0,0,0,92,15,30,33.3,Alexis Mac Allister,MF
2019-2020,20,Boca Juniors,ar ARG,1. Liga Argentina,1st,7.9,1,0,0,8,26,0,47,1,4,0,0,0,47,4,10,28.6,Alexis Mac Allister,MF
2019-2020,20,Brighton,eng ENG,1. Premier League,15th,3.9,0,0,0,4,4,1,23,1,5,0,0,0,15,2,5,28.6,Alexis Mac Allister,MF
2020-2021,21,Brighton,eng ENG,1. Premier League,16th,12.4,1,0,0,19,15,0,11,9,12,0,0,0,67,7,19,26.9,Alexis Mac Allister,MF
2021-2022,22,Brighton,eng ENG,1. Premier League,9th,23.6,4,0,0,30,39,4,66,13,40,0,0,0,149,24,23,51.1,Alexis Mac Allister,MF
2022-2023,23,Brighton,eng ENG,1. Premier League,6th,32.1,8,0,0,35,57,0,29,22,39,0,0,1,213,25,16,61.0,Alexis Mac Allister,MF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,28.9,7,1,0,53,47,0,32,35,55,0,0,0,195,31,28,52.5,Alexis Mac Allister,MF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,14.7,5,0,0,32,19,0,17,11,33,0,0,0,87,10,12,45.5,Alexis Mac Allister,MF
2019-2020,22,Porto,pt POR,1. Primeira Liga,1st,19.7,2,0,0,49,49,8,16,15,10,2,0,0,112,10,27,27.0,Luis Díaz,FW
2020-2021,23,Porto,pt POR,1. Primeira Liga,2nd,18.2,0,0,0,50,43,4,15,13,18,0,0,0,109,23,43,34.8,Luis Díaz,FW
2021-2022,24,Porto,pt POR,1. Primeira Liga,1st,16.6,2,0,0,29,26,8,22,4,5,1,0,0,73,33,30,52.4,Luis Díaz,FW
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,10.6,0,0,0,14,14,3,14,4,7,0,0,0,54,15,16,48.4,Luis Díaz,FW
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,11.1,2,0,0,20,24,3,8,6,11,0,0,0,50,8,23,25.8,Luis Díaz,FW
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,29.2,3,0,0,54,42,20,26,3,25,1,0,0,127,26,48,35.1,Luis Díaz,FW
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,12.4,1,0,0,26,16,6,10,3,7,1,0,0,46,7,17,29.2,Luis Díaz,FW
2018-2019,17,RB Salzburg,at AUT,1. Bundesliga,1st,8.0,1,0,0,13,16,3,25,10,4,0,0,0,,,,,Dominik Szoboszlai,MF
2019-2020,18,RB Salzburg,at AUT,1. Bundesliga,1st,18.5,3,0,0,25,30,5,113,14,21,,,0,,,,,Dominik Szoboszlai,MF
2020-2021,19,RB Salzburg,at AUT,1. Bundesliga,1st,8.9,0,0,0,15,8,1,82,4,4,,,0,,,,,Dominik Szoboszlai,MF
2021-2022,20,RB Leipzig,de GER,1. Bundesliga,4th,17.1,2,0,0,15,23,6,91,10,12,0,0,0,101,17,19,47.2,Dominik Szoboszlai,MF
2022-2023,21,RB Leipzig,de GER,1. Bundesliga,3rd,27.2,5,2,1,25,39,2,117,17,28,0,1,0,151,7,18,28.0,Dominik Szoboszlai,MF
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,23.4,1,0,0,29,29,3,113,15,19,2,0,0,171,12,20,37.5,Dominik Szoboszlai,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,12.6,5,0,0,21,11,1,23,7,9,0,0,0,64,12,8,60.0,Dominik Szoboszlai,MF
2016-2017,17,Sochaux,fr FRA,2. Ligue 2,12th,11.1,1,0,0,11,0,0,0,0,0,0,0,1,,,,,Ibrahima Konaté,DF
2017-2018,18,Leipzig U19,de GER,Jr. U19 Bundesliga,9th,1.0,1,0,0,,,,,,,,,0,,,,,Ibrahima Konaté,DF
2017-2018,18,RB Leipzig,de GER,1. Bundesliga,6th,13.6,1,0,0,13,10,0,0,20,25,0,1,0,58,36,19,65.5,Ibrahima Konaté,DF
2018-2019,19,RB Leipzig,de GER,1. Bundesliga,3rd,27.0,7,0,0,37,25,0,2,58,32,0,1,0,140,97,36,72.9,Ibrahima Konaté,DF
2019-2020,20,RB Leipzig,de GER,1. Bundesliga,3rd,6.3,2,0,0,4,6,0,3,5,6,0,0,0,34,18,4,81.8,Ibrahima Konaté,DF
2020-2021,21,RB Leipzig,de GER,1. Bundesliga,2nd,7.7,2,0,0,13,15,0,0,8,4,0,1,0,50,29,9,76.3,Ibrahima Konaté,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,11.0,2,0,0,10,3,0,0,16,10,0,0,0,64,34,19,64.2,Ibrahima Konaté,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,17.2,5,0,0,29,15,1,1,26,26,0,1,1,107,46,14,76.7,Ibrahima Konaté,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,17.5,5,1,1,25,13,0,1,20,22,0,0,0,97,77,31,71.3,Ibrahima Konaté,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,11.8,4,0,0,9,6,0,0,7,10,0,0,0,43,35,7,83.3,Ibrahima Konaté,DF
2016-2017,17,Jong PSV,nl NED,2. Eerste Divisie,4th,0.6,0,0,0,,0,0,0,0,0,0,0,0,,,,,Cody Gakpo,FW
2017-2018,18,Jong PSV,nl NED,2. Eerste Divisie,5th,10.6,0,0,0,13,0,0,0,0,0,0,0,0,,,,,Cody Gakpo,FW
