Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2023-2024,27,Liverpool,eng ENG,1. Premier League,3rd,7.5,19,13,9,6,4,9,15,60.0,6,9,1,8,6,25,10,0,Kostas Tsimikas,DF
2024-2025,28,Liverpool,eng ENG,1. Premier League,1st,2.8,13,7,8,3,2,6,8,75.0,2,4,2,2,3,16,9,0,Kostas Tsimikas,DF
2021-2022,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,8.5,,,,,,,,,,,,,,,,,Jarell Quansah,DF
2022-2023,19,Bristol Rovers,eng ENG,3. League One,17th,15.2,,8,,,,,,,,,,,9,,,,Jarell Quansah,DF
2022-2023,19,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,11.0,,,,,,,,,,,,,,,,,Jarell Quansah,DF
2023-2024,20,Liverpool,eng ENG,Jr. PL2,,1.0,,,,,,,,,,,,,,,,,Jarell Quansah,DF
2023-2024,20,Liverpool,eng ENG,1. Premier League,3rd,13.2,25,22,17,7,1,14,20,70.0,6,16,8,8,17,42,39,1,Jarell Quansah,DF
2024-2025,21,Liverpool,eng ENG,1. Premier League,1st,2.5,9,7,7,2,0,4,5,80.0,1,3,3,0,3,12,10,0,Jarell Quansah,DF
2019-2020,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,1.0,,,,,,,,,,,,,,,,,Conor Bradley,DF
2020-2021,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,7th,13.7,,,,,,,,,,,,,,,,,Conor Bradley,DF
2021-2022,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,19.6,,,,,,,,,,,,,,,,,Conor Bradley,DF
2022-2023,19,Bolton,eng ENG,3. League One,5th,40.2,,48,,,,,,,,,,,51,,,,Conor Bradley,DF
2023-2024,20,Liverpool,eng ENG,1. Premier League,3rd,8.4,33,25,14,12,7,24,38,63.2,14,17,1,16,10,43,14,0,Conor Bradley,DF
2024-2025,21,Liverpool,eng ENG,1. Premier League,1st,2.7,4,2,1,2,1,4,10,40.0,6,0,0,0,2,6,13,0,Conor Bradley,DF
2018-2019,25,Sint-Truiden,be BEL,1. First Division A,9th,12.3,22,16,11,10,1,3,6,50.0,3,15,3,12,22,44,16,0,Wataru Endo,MF
2019-2020,26,Sint-Truiden,be BEL,1. First Division A,12th,1.7,3,2,3,0,0,2,4,50.0,2,4,3,1,0,3,3,0,Wataru Endo,MF
2019-2020,26,Stuttgart,de GER,2. 2. Bundesliga,2nd,20.0,32,17,9,18,5,15,39,38.5,24,35,8,27,38,70,27,1,Wataru Endo,MF
2020-2021,27,Stuttgart,de GER,1. Bundesliga,9th,32.8,65,44,25,34,6,29,71,40.8,42,53,14,39,51,116,59,0,Wataru Endo,MF
2021-2022,28,Stuttgart,de GER,1. Bundesliga,15th,32.2,73,41,34,34,5,31,72,43.1,41,43,12,31,30,103,64,0,Wataru Endo,MF
2022-2023,29,Stuttgart,de GER,1. Bundesliga,16th,32.5,70,37,30,31,9,38,85,44.7,47,44,6,38,26,96,63,0,Wataru Endo,MF
2023-2024,30,Liverpool,eng ENG,1. Premier League,3rd,19.1,48,28,11,31,6,20,61,32.8,41,24,2,22,20,68,31,3,Wataru Endo,MF
2024-2025,31,Liverpool,eng ENG,1. Premier League,1st,0.7,4,3,1,3,0,3,4,75.0,1,2,0,2,2,6,1,0,Wataru Endo,MF
2018-2019,15,Fulham,eng ENG,Jr. PL2 — Div. 2,10th,4.1,,,,,,,,,,,,,,,,,Harvey Elliott,"FW,MF"
2018-2019,15,Fulham,eng ENG,1. Premier League,19th,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Harvey Elliott,"FW,MF"
2019-2020,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,10.1,,,,,,,,,,,,,,,,,Harvey Elliott,"FW,MF"
2019-2020,16,Liverpool,eng ENG,1. Premier League,1st,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Harvey Elliott,"FW,MF"
2020-2021,17,Blackburn,eng ENG,2. Championship,15th,30.6,22,13,7,11,4,10,35,28.6,25,27,1,26,20,42,15,2,Harvey Elliott,"FW,MF"
2021-2022,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,1.0,,,,,,,,,,,,,,,,,Harvey Elliott,"FW,MF"
2021-2022,18,Liverpool,eng ENG,1. Premier League,2nd,3.8,3,0,1,1,1,0,6,0.0,6,8,1,7,4,7,2,0,Harvey Elliott,"FW,MF"
2022-2023,19,Liverpool,eng ENG,1. Premier League,5th,17.9,27,18,6,12,9,9,37,24.3,28,26,1,25,15,42,8,0,Harvey Elliott,"FW,MF"
2023-2024,20,Liverpool,eng ENG,1. Premier League,3rd,15.0,27,17,8,14,5,10,31,32.3,21,27,0,27,6,33,7,0,Harvey Elliott,"FW,MF"
2024-2025,21,Liverpool,eng ENG,1. Premier League,1st,0.5,3,2,2,1,0,0,0,,0,1,0,1,0,3,1,0,Harvey Elliott,"FW,MF"
2016-2017,18,Fiorentina,it ITA,1. Serie A,8th,16.6,,23,,,,,,,,,,,17,,,,Federico Chiesa,FW
2017-2018,19,Fiorentina,it ITA,1. Serie A,8th,33.5,62,41,22,22,18,16,54,29.6,38,34,1,33,18,80,16,0,Federico Chiesa,FW
2018-2019,20,Fiorentina,it ITA,1. Serie A,16th,33.7,46,27,8,17,21,10,40,25.0,30,24,1,23,10,56,12,0,Federico Chiesa,FW
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,29.3,38,22,13,15,10,10,52,19.2,42,19,0,19,6,44,6,0,Federico Chiesa,FW
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,2.7,6,2,2,2,2,3,8,37.5,5,3,1,2,1,7,3,0,Federico Chiesa,FW
2020-2021,22,Juventus,it ITA,1. Serie A,4th,24.6,47,26,21,14,12,19,50,38.0,31,23,1,22,12,59,16,0,Federico Chiesa,FW
2021-2022,23,Juventus,it ITA,1. Serie A,4th,9.6,26,19,9,9,8,12,26,46.2,14,7,0,7,4,30,3,0,Federico Chiesa,FW
2022-2023,24,Juventus,it ITA,1. Serie A,7th,9.5,22,11,6,6,10,5,14,35.7,9,13,1,12,0,22,1,0,Federico Chiesa,FW
2023-2024,25,Juventus,it ITA,1. Serie A,3rd,24.4,20,10,7,6,7,3,13,23.1,10,17,1,16,6,26,4,0,Federico Chiesa,FW
2024-2025,26,Liverpool,eng ENG,1. Premier League,1st,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Federico Chiesa,FW
2019-2020,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,1.0,,,,,,,,,,,,,,,,,Vitezslav Jaros,GK
2020-2021,19,Liverpool,eng ENG,Jr. PL2 — Div. 1,7th,3.0,,,,,,,,,,,,,,,,,Vitezslav Jaros,GK
2021-2022,20,Notts County,eng ENG,5. National League,5th,15.0,,,,,,,,,,,,,,,,,Vitezslav Jaros,GK
2022-2023,21,Stockport,eng ENG,4. League Two,4th,10.4,,0,,,,,,,,,,,0,,,,Vitezslav Jaros,GK
2023-2024,22,Sturm Graz,at AUT,1. Bundesliga,1st,14.0,,0,,,,,,,,,,,1,,,,Vitezslav Jaros,GK
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Vitezslav Jaros,GK
2023-2024,17,Liverpool,eng ENG,Jr. PL2,,6.3,,,,,,,,,,,,,,,,,Jayden Danns,FW
2023-2024,17,Liverpool,eng ENG,1. Premier League,3rd,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Jayden Danns,FW
2024-2025,18,Liverpool,eng ENG,Jr. PL2,4th,0.3,,,,,,,,,,,,,,,,,Jayden Danns,FW
2022-2023,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,2.8,,,,,,,,,,,,,,,,,James McConnell,MF
2023-2024,18,Liverpool,eng ENG,Jr. PL2,,10.4,,,,,,,,,,,,,,,,,James McConnell,MF
2023-2024,18,Liverpool,eng ENG,1. Premier League,3rd,0.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,James McConnell,MF
2024-2025,19,Liverpool,eng ENG,Jr. PL2,4th,0.8,,,,,,,,,,,,,,,,,James McConnell,MF
2020-2021,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,7th,12.1,,,,,,,,,,,,,,,,,Tyler Morton,MF
2021-2022,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,18.7,,,,,,,,,,,,,,,,,Tyler Morton,MF
2021-2022,18,Liverpool,eng ENG,1. Premier League,2nd,0.7,0,0,0,0,0,0,2,0.0,2,0,0,0,3,3,0,0,Tyler Morton,MF
2022-2023,19,Blackburn Rovers,eng ENG,Jr. PL2 — Div. 1,10th,1.0,,,,,,,,,,,,,,,,,Tyler Morton,MF
2022-2023,19,Blackburn,eng ENG,2. Championship,7th,30.9,60,32,25,30,5,36,69,52.2,33,30,8,22,19,79,47,2,Tyler Morton,MF
2023-2024,20,Hull City,eng ENG,2. Championship,7th,33.0,53,32,21,29,3,26,55,47.3,29,52,14,38,24,77,43,0,Tyler Morton,MF
2024-2025,21,Liverpool,eng ENG,Jr. PL2,4th,2.9,,,,,,,,,,,,,,,,,Tyler Morton,MF
