Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2018-2019,26,Liverpool,eng ENG,1. Premier League,2nd,38,37,3250,36.1,22,8,30,19,3,3,1,0,20.2,17.9,9.4,27.2,131,127,429,0.61,0.22,0.83,0.53,0.75,0.56,0.26,0.82,0.49,0.75,Mohamed Salah,FW
2019-2020,27,Liverpool,eng ENG,1. Premier League,1st,34,33,2876,32.0,19,10,29,16,3,3,1,0,19.0,16.6,7.8,24.5,105,91,347,0.59,0.31,0.91,0.50,0.81,0.59,0.25,0.84,0.52,0.77,Mohamed Salah,FW
2020-2021,28,Liverpool,eng ENG,1. Premier League,3rd,37,34,3078,34.2,22,5,27,16,6,6,0,0,19.3,14.6,6.2,20.8,111,136,396,0.64,0.15,0.79,0.47,0.61,0.56,0.18,0.75,0.43,0.61,Mohamed Salah,FW
2021-2022,29,Liverpool,eng ENG,1. Premier League,2nd,35,30,2762,30.7,23,13,36,18,5,6,1,0,22.7,17.8,10.0,27.8,125,122,451,0.75,0.42,1.17,0.59,1.01,0.74,0.33,1.07,0.58,0.91,Mohamed Salah,FW
2022-2023,30,Liverpool,eng ENG,1. Premier League,5th,38,37,3290,36.6,19,12,31,17,2,4,2,0,21.6,18.5,7.2,25.7,120,149,421,0.52,0.33,0.85,0.47,0.79,0.59,0.20,0.79,0.51,0.70,Mohamed Salah,FW
2023-2024,31,Liverpool,eng ENG,1. Premier League,3rd,32,28,2534,28.2,18,10,28,13,5,7,2,0,21.2,15.5,11.8,27.3,98,147,341,0.64,0.36,0.99,0.46,0.82,0.75,0.42,1.17,0.55,0.97,Mohamed Salah,FW
2024-2025,32,Liverpool,eng ENG,1. Premier League,1st,19,19,1672,18.6,18,13,31,13,5,5,1,0,16.4,12.5,7.9,20.4,79,71,224,0.97,0.70,1.67,0.70,1.40,0.88,0.43,1.31,0.67,1.10,Mohamed Salah,FW
2018-2019,16,Ajax,nl NED,1. Eredivisie,1st,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ryan Gravenberch,MF
2018-2019,16,Jong Ajax,nl NED,2. Eerste Divisie,11th,27,27,2311,25.7,2,7,9,2,0,0,3,0,,,,,,,,0.08,0.27,0.35,0.08,0.35,,,,,,Ryan Gravenberch,MF
2019-2020,17,Jong Ajax,nl NED,2. Eerste Divisie,4th,17,17,1484,16.5,6,3,9,6,0,0,3,0,,,,,,,,0.36,0.18,0.55,0.36,0.55,,,,,,Ryan Gravenberch,MF
2019-2020,17,Ajax,nl NED,1. Eredivisie,1st,9,5,481,5.3,2,1,3,2,0,0,1,0,0.9,0.9,1.2,2.0,20,42,16,0.37,0.19,0.56,0.37,0.56,0.16,0.22,0.38,0.16,0.38,Ryan Gravenberch,MF
2020-2021,18,Ajax,nl NED,1. Eredivisie,1st,32,31,2609,29.0,3,5,8,3,0,0,3,0,2.4,2.4,3.0,5.4,95,311,97,0.10,0.17,0.28,0.10,0.28,0.08,0.10,0.19,0.08,0.19,Ryan Gravenberch,MF
2021-2022,19,Ajax,nl NED,1. Eredivisie,1st,30,26,2205,24.5,2,5,7,2,0,0,4,0,4.2,4.2,3.9,8.1,92,204,148,0.08,0.20,0.29,0.08,0.29,0.17,0.16,0.33,0.17,0.33,Ryan Gravenberch,MF
2022-2023,20,Bayern Munich,de GER,1. Bundesliga,1st,24,3,576,6.4,0,0,0,0,0,0,1,0,0.9,0.9,0.5,1.4,11,44,31,0.00,0.00,0.00,0.00,0.00,0.14,0.08,0.21,0.14,0.21,Ryan Gravenberch,MF
2023-2024,21,Bayern Munich,de GER,1. Bundesliga,3rd,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,1.92,1.92,0.00,1.92,Ryan Gravenberch,MF
2023-2024,21,Liverpool,eng ENG,1. Premier League,3rd,26,12,1121,12.5,1,0,1,1,0,0,0,0,2.0,2.0,0.9,2.9,39,78,71,0.08,0.00,0.08,0.08,0.08,0.16,0.07,0.23,0.16,0.23,Ryan Gravenberch,MF
2024-2025,22,Liverpool,eng ENG,1. Premier League,1st,19,19,1647,18.3,0,2,2,0,0,0,4,0,0.7,0.7,2.0,2.6,39,98,29,0.00,0.11,0.11,0.00,0.11,0.04,0.11,0.14,0.04,0.14,Ryan Gravenberch,MF
2016-2017,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,12,12,1072,11.9,4,4,8,4,0,0,3,0,,,,,,,,0.34,0.34,0.67,0.34,0.67,,,,,,Trent Alexander-Arnold,DF
2016-2017,17,Liverpool,eng ENG,1. Premier League,4th,7,2,167,1.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,1. Premier League,4th,19,18,1573,17.5,1,1,2,1,0,0,3,0,1.0,1.0,2.6,3.6,39,94,126,0.06,0.06,0.11,0.06,0.11,0.05,0.15,0.21,0.05,0.21,Trent Alexander-Arnold,DF
2018-2019,19,Liverpool,eng ENG,1. Premier League,2nd,29,27,2462,27.4,1,12,13,1,0,0,3,0,1.6,1.6,6.3,7.9,70,157,174,0.04,0.44,0.48,0.04,0.48,0.06,0.23,0.29,0.06,0.29,Trent Alexander-Arnold,DF
2019-2020,20,Liverpool,eng ENG,1. Premier League,1st,38,35,3175,35.3,4,13,17,4,0,0,5,0,2.8,2.8,10.9,13.7,98,247,226,0.11,0.37,0.48,0.11,0.48,0.08,0.31,0.39,0.08,0.39,Trent Alexander-Arnold,DF
2020-2021,21,Liverpool,eng ENG,1. Premier League,3rd,36,34,3031,33.7,2,7,9,2,0,0,2,0,2.6,2.6,8.6,11.2,98,251,249,0.06,0.21,0.27,0.06,0.27,0.08,0.26,0.33,0.08,0.33,Trent Alexander-Arnold,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,32,32,2853,31.7,2,12,14,2,0,0,2,0,2.4,2.4,12.0,14.4,53,267,201,0.06,0.38,0.44,0.06,0.44,0.07,0.38,0.46,0.07,0.46,Trent Alexander-Arnold,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,37,34,2923,32.5,2,9,11,2,0,0,5,0,2.4,2.4,11.5,13.8,43,235,139,0.06,0.28,0.34,0.06,0.34,0.07,0.35,0.43,0.07,0.43,Trent Alexander-Arnold,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,28,25,2155,23.9,3,4,7,3,0,0,6,0,2.6,2.3,7.2,9.5,45,205,97,0.13,0.17,0.29,0.13,0.29,0.11,0.30,0.41,0.10,0.40,Trent Alexander-Arnold,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,18,17,1395,15.5,1,4,5,1,0,0,4,0,0.7,0.7,5.4,6.1,36,118,57,0.06,0.26,0.32,0.06,0.32,0.05,0.35,0.40,0.05,0.40,Trent Alexander-Arnold,DF
2013-2014,19,Dundee United,sct SCO,1. Premiership,4th,36,36,3240,36.0,3,4,7,3,0,0,6,0,,,,,,,,0.08,0.11,0.19,0.08,0.19,,,,,,Andrew Robertson,DF
2014-2015,20,Hull City,eng ENG,1. Premier League,18th,24,17,1526,17.0,0,2,2,0,0,0,7,0,,,,,,,,0.00,0.12,0.12,0.00,0.12,,,,,,Andrew Robertson,DF
2015-2016,21,Hull City,eng ENG,2. Championship,4th,42,41,3565,39.6,2,4,6,2,0,0,3,0,,,,,,,,0.05,0.10,0.15,0.05,0.15,,,,,,Andrew Robertson,DF
2016-2017,22,Hull City,eng ENG,1. Premier League,18th,33,31,2736,30.4,1,2,3,1,0,0,5,0,,,,,,,,0.03,0.07,0.10,0.03,0.10,,,,,,Andrew Robertson,DF
2017-2018,23,Liverpool,eng ENG,1. Premier League,4th,22,22,1940,21.6,1,5,6,1,0,0,2,0,0.5,0.5,4.1,4.7,76,150,214,0.05,0.23,0.28,0.05,0.28,0.03,0.19,0.22,0.03,0.22,Andrew Robertson,DF
2018-2019,24,Liverpool,eng ENG,1. Premier League,2nd,36,36,3216,35.7,0,11,11,0,0,0,4,0,0.7,0.7,7.2,7.9,124,244,263,0.00,0.31,0.31,0.00,0.31,0.02,0.20,0.22,0.02,0.22,Andrew Robertson,DF
2019-2020,25,Liverpool,eng ENG,1. Premier League,1st,36,34,3111,34.6,2,12,14,2,0,0,2,0,1.8,1.8,7.5,9.3,149,219,277,0.06,0.35,0.41,0.06,0.41,0.05,0.22,0.27,0.05,0.27,Andrew Robertson,DF
2020-2021,26,Liverpool,eng ENG,1. Premier League,3rd,38,38,3383,37.6,1,7,8,1,0,0,2,0,1.5,1.5,6.6,8.0,119,228,289,0.03,0.19,0.21,0.03,0.21,0.04,0.17,0.21,0.04,0.21,Andrew Robertson,DF
2021-2022,27,Liverpool,eng ENG,1. Premier League,2nd,29,29,2537,28.2,3,10,13,3,0,0,5,1,1.4,1.4,5.6,7.0,96,186,239,0.11,0.35,0.46,0.11,0.46,0.05,0.20,0.25,0.05,0.25,Andrew Robertson,DF
2022-2023,28,Liverpool,eng ENG,1. Premier League,5th,34,29,2583,28.7,0,8,8,0,0,0,3,0,1.3,1.3,6.1,7.4,80,166,194,0.00,0.28,0.28,0.00,0.28,0.05,0.21,0.26,0.05,0.26,Andrew Robertson,DF
2023-2024,29,Liverpool,eng ENG,1. Premier League,3rd,23,18,1693,18.8,3,2,5,3,0,0,2,0,1.9,1.9,5.4,7.3,63,140,130,0.16,0.11,0.27,0.16,0.27,0.10,0.29,0.39,0.10,0.39,Andrew Robertson,DF
2024-2025,30,Liverpool,eng ENG,1. Premier League,1st,18,17,1379,15.3,0,0,0,0,0,0,2,1,0.5,0.5,2.5,3.0,32,99,46,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.20,0.04,0.20,Andrew Robertson,DF
2017-2018,18,Arg Juniors,ar ARG,1. Liga Argentina,12th,24,15,1316,14.6,2,6,8,2,0,0,2,0,2.7,2.7,2.7,5.4,32,138,66,0.14,0.41,0.55,0.14,0.55,0.19,0.18,0.37,0.19,0.37,Alexis Mac Allister,MF
