Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2023-2024,31,Liverpool,eng ENG,1. Premier League,3rd,32,2534,79,74.1,28.2,28,87,22,4,27,0,2.09,59,30,+29,+1.03,-0.60,67.8,32.5,+35.3,+1.25,+0.57,Mohamed Salah,FW
2024-2025,32,Liverpool,eng ENG,1. Premier League,1st,19,1672,88,97.8,18.6,19,88,14,0,,0,2.42,47,19,+28,+1.51,+1.51,43.8,17.4,+26.5,+1.42,+1.73,Mohamed Salah,FW
2018-2019,16,Ajax,nl NED,1. Eredivisie,1st,1,8,8,0.3,0.1,0,,0,1,7,2,0.00,0,0,0,0.00,-2.57,0.0,0.2,-0.2,-1.86,-3.59,Ryan Gravenberch,MF
2018-2019,16,Jong Ajax,nl NED,2. Eerste Divisie,11th,27,2311,86,67.6,25.7,27,86,23,0,,0,1.74,58,43,+15,+0.58,+0.67,,,,,,Ryan Gravenberch,MF
2019-2020,17,Jong Ajax,nl NED,2. Eerste Divisie,4th,17,1484,87,56.9,16.5,17,87,15,0,,0,2.06,48,23,+25,+1.52,+1.52,,,,,,Ryan Gravenberch,MF
2019-2020,17,Ajax,nl NED,1. Eredivisie,1st,9,481,53,21.4,5.3,5,79,2,4,21,8,2.33,12,5,+7,+1.31,-0.62,16.1,6.3,+9.8,+1.84,+0.01,Ryan Gravenberch,MF
2020-2021,18,Ajax,nl NED,1. Eredivisie,1st,32,2609,82,85.3,29.0,31,83,22,1,22,0,2.56,83,19,+64,+2.21,-0.79,77.1,27.3,+49.7,+1.72,-1.49,Ryan Gravenberch,MF
2021-2022,19,Ajax,nl NED,1. Eredivisie,1st,30,2205,74,72.1,24.5,26,80,14,4,29,0,2.50,74,11,+63,+2.57,+0.89,66.3,20.2,+46.1,+1.88,-0.15,Ryan Gravenberch,MF
2022-2023,20,Bayern Munich,de GER,1. Bundesliga,1st,24,576,24,18.8,6.4,3,59,0,21,19,8,2.21,17,10,+7,+1.09,-0.61,14.3,7.6,+6.7,+1.05,-0.08,Ryan Gravenberch,MF
2023-2024,21,Bayern Munich,de GER,1. Bundesliga,3rd,1,10,10,0.3,0.1,0,,0,1,10,1,3.00,0,1,-1,-9.00,-10.48,0.6,0.3,+0.3,+2.46,+0.91,Ryan Gravenberch,MF
2023-2024,21,Liverpool,eng ENG,1. Premier League,3rd,26,1121,43,32.8,12.5,12,68,1,14,22,5,2.23,28,17,+11,+0.88,-0.45,27.0,15.0,+12.0,+0.96,-0.21,Ryan Gravenberch,MF
2024-2025,22,Liverpool,eng ENG,1. Premier League,1st,19,1647,87,96.3,18.3,19,87,15,0,,0,2.42,44,18,+26,+1.42,-1.44,42.1,16.6,+25.4,+1.39,+0.08,Ryan Gravenberch,MF
2016-2017,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,12,1072,89,54.1,11.9,12,89,11,0,,0,2.58,35,12,+23,+1.93,+2.23,,,,,,Trent Alexander-Arnold,DF
2016-2017,17,Liverpool,eng ENG,1. Premier League,4th,7,167,24,4.9,1.9,2,,1,5,,16,2.29,1,2,-1,-0.54,-1.56,,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,1,90,90,4.5,1.0,1,90,1,0,,0,3.00,3,1,+2,+2.00,+1.33,,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,1. Premier League,4th,19,1573,83,46.0,17.5,18,,14,1,,16,1.89,39,17,+22,+1.26,+0.09,33.8,15.7,+18.1,+1.03,+0.01,Trent Alexander-Arnold,DF
2018-2019,19,Liverpool,eng ENG,1. Premier League,2nd,29,2462,85,72.0,27.4,27,88,20,2,40,4,2.69,67,14,+53,+1.94,+0.62,58.8,21.2,+37.6,+1.38,+0.69,Trent Alexander-Arnold,DF
2019-2020,20,Liverpool,eng ENG,1. Premier League,1st,38,3175,84,92.8,35.3,35,88,31,3,26,0,2.61,80,32,+48,+1.36,-0.11,65.7,36.7,+29.0,+0.82,+0.04,Trent Alexander-Arnold,DF
2020-2021,21,Liverpool,eng ENG,1. Premier League,3rd,36,3031,84,88.6,33.7,34,88,30,2,19,0,1.81,60,40,+20,+0.59,-0.79,61.2,37.5,+23.8,+0.71,+0.53,Trent Alexander-Arnold,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,32,2853,89,83.4,31.7,32,89,30,0,,2,2.38,80,22,+58,+1.83,+0.24,74.1,30.0,+44.1,+1.39,-0.32,Trent Alexander-Arnold,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,37,2923,79,85.5,32.5,34,85,23,3,16,1,1.78,70,44,+26,+0.80,+0.44,63.1,42.5,+20.7,+0.64,+0.62,Trent Alexander-Arnold,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,28,2155,77,63.0,23.9,25,83,14,3,28,0,2.00,53,28,+25,+1.04,-0.38,54.5,28.5,+26.0,+1.09,-0.05,Trent Alexander-Arnold,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,18,1395,78,81.6,15.5,17,81,9,1,24,0,2.39,40,15,+25,+1.61,+0.76,35.1,12.3,+22.7,+1.46,+0.43,Trent Alexander-Arnold,DF
2013-2014,19,Dundee United,sct SCO,1. Premiership,4th,36,3240,90,94.7,36.0,36,,,0,,,,,,,,,,,,,,Andrew Robertson,DF
2014-2015,20,Hull City,eng ENG,1. Premier League,18th,24,1526,64,44.6,17.0,17,,10,7,,6,0.79,16,27,-11,-0.65,-0.32,,,,,,Andrew Robertson,DF
2015-2016,21,Hull City,eng ENG,2. Championship,4th,42,3565,85,86.1,39.6,41,,34,1,,2,1.91,64,26,+38,+0.96,+1.59,,,,,,Andrew Robertson,DF
2016-2017,22,Hull City,eng ENG,1. Premier League,18th,33,2736,83,80.0,30.4,31,,29,2,,1,0.94,32,59,-27,-0.89,+1.22,,,,,,Andrew Robertson,DF
2017-2018,23,Liverpool,eng ENG,1. Premier League,4th,22,1940,88,56.7,21.6,22,,19,0,,5,2.14,53,18,+35,+1.62,+0.95,43.3,15.9,+27.4,+1.27,+0.55,Andrew Robertson,DF
2018-2019,24,Liverpool,eng ENG,1. Premier League,2nd,36,3216,89,94.0,35.7,36,89,33,0,,1,2.53,81,20,+61,+1.71,-0.94,68.2,27.0,+41.1,+1.15,-0.52,Andrew Robertson,DF
2019-2020,25,Liverpool,eng ENG,1. Premier League,1st,36,3111,86,91.0,34.6,34,89,30,2,39,0,2.64,80,31,+49,+1.42,+0.54,64.7,33.3,+31.5,+0.91,+1.01,Andrew Robertson,DF
2020-2021,26,Liverpool,eng ENG,1. Premier League,3rd,38,3383,89,98.9,37.6,38,89,35,0,,0,1.82,65,42,+23,+0.61,-6.69,65.5,42.9,+22.6,+0.60,-4.16,Andrew Robertson,DF
2021-2022,27,Liverpool,eng ENG,1. Premier League,2nd,29,2537,87,74.2,28.2,29,87,25,0,,4,2.41,71,20,+51,+1.81,+0.08,64.8,26.3,+38.5,+1.37,-0.31,Andrew Robertson,DF
2022-2023,28,Liverpool,eng ENG,1. Premier League,5th,34,2583,76,75.5,28.7,29,84,19,5,27,1,1.82,58,34,+24,+0.84,+0.41,54.9,36.3,+18.5,+0.65,+0.41,Andrew Robertson,DF
2023-2024,29,Liverpool,eng ENG,1. Premier League,3rd,23,1693,74,49.5,18.8,18,86,14,5,28,0,2.04,43,22,+21,+1.12,-0.13,45.4,23.0,+22.4,+1.19,+0.17,Andrew Robertson,DF
2024-2025,30,Liverpool,eng ENG,1. Premier League,1st,18,1379,77,80.6,15.3,17,80,9,1,12,1,2.39,40,17,+23,+1.50,+0.14,37.3,14.5,+22.8,+1.49,+0.52,Andrew Robertson,DF
2017-2018,18,Arg Juniors,ar ARG,1. Liga Argentina,12th,24,1316,55,54.2,14.6,15,74,3,9,23,2,1.46,15,15,0,0.00,-0.48,17.8,12.6,+5.2,+0.36,+0.42,Alexis Mac Allister,MF
2018-2019,19,Arg Juniors,ar ARG,1. Liga Argentina,26th,19,1541,81,68.5,17.1,16,87,11,3,48,0,1.11,14,15,-1,-0.06,+1.46,19.3,15.5,+3.8,+0.22,+0.58,Alexis Mac Allister,MF
2019-2020,20,Boca Juniors,ar ARG,1. Liga Argentina,1st,13,708,54,34.2,7.9,9,71,1,4,17,2,1.85,8,4,+4,+0.51,-1.01,11.1,7.0,+4.1,+0.53,-0.09,Alexis Mac Allister,MF
2019-2020,20,Brighton,eng ENG,1. Premier League,15th,9,352,39,10.3,3.9,4,70,0,5,14,1,1.44,4,6,-2,-0.51,-0.13,4.7,5.2,-0.5,-0.14,+0.12,Alexis Mac Allister,MF
2020-2021,21,Brighton,eng ENG,1. Premier League,16th,21,1115,53,32.6,12.4,13,75,5,8,17,9,1.00,9,14,-5,-0.40,-0.36,14.7,11.1,+3.6,+0.29,-0.18,Alexis Mac Allister,MF
2021-2022,22,Brighton,eng ENG,1. Premier League,9th,33,2123,64,62.1,23.6,22,86,18,11,21,5,1.33,31,29,+2,+0.08,+0.36,30.4,24.1,+6.4,+0.27,+0.48,Alexis Mac Allister,MF
