Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2022-2023,24,Juventus,it ITA,1. Serie A,7th,9.5,476,4,56,166,265,49,476,45,24,53.3,19,42.2,293,2176,1193,46,28,16,26,19,331,88,Federico Chiesa,FW
2023-2024,25,Juventus,it ITA,1. Serie A,3rd,24.4,1006,6,77,303,643,130,1005,95,35,36.8,48,50.5,643,4746,2697,111,56,58,54,40,740,216,Federico Chiesa,FW
2024-2025,26,Liverpool,eng ENG,1. Premier League,1st,0.2,12,0,2,5,5,3,12,1,0,0.0,1,100.0,11,35,13,1,0,1,1,2,9,2,Federico Chiesa,FW
2019-2020,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,1.0,,,,,,,,,,,,,,,,,,,,,,,Vitezslav Jaros,GK
2020-2021,19,Liverpool,eng ENG,Jr. PL2 — Div. 1,7th,3.0,,,,,,,,,,,,,,,,,,,,,,,Vitezslav Jaros,GK
2021-2022,20,Notts County,eng ENG,5. National League,5th,15.0,,,,,,,,,,,,,,,,,,,,,,,Vitezslav Jaros,GK
2022-2023,21,Stockport,eng ENG,4. League Two,4th,10.4,,,,,,,,,,,,,,,,,,,,,,,Vitezslav Jaros,GK
2023-2024,22,Sturm Graz,at AUT,1. Bundesliga,1st,14.0,,,,,,,,,,,,,,,,,,,,,,,Vitezslav Jaros,GK
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,0.1,8,5,8,0,0,0,8,0,0,,0,,7,29,8,0,0,0,0,0,5,0,Vitezslav Jaros,GK
2023-2024,17,Liverpool,eng ENG,Jr. PL2,,6.3,,,,,,,,,,,,,,,,,,,,,,,Jayden Danns,FW
2023-2024,17,Liverpool,eng ENG,1. Premier League,3rd,0.1,7,0,0,3,4,0,7,0,0,,0,,3,11,5,0,1,0,0,0,4,2,Jayden Danns,FW
2024-2025,18,Liverpool,eng ENG,Jr. PL2,4th,0.3,,,,,,,,,,,,,,,,,,,,,,,Jayden Danns,FW
2022-2023,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,2.8,,,,,,,,,,,,,,,,,,,,,,,James McConnell,MF
2023-2024,18,Liverpool,eng ENG,Jr. PL2,,10.4,,,,,,,,,,,,,,,,,,,,,,,James McConnell,MF
2023-2024,18,Liverpool,eng ENG,1. Premier League,3rd,0.0,10,0,1,7,2,0,10,1,0,0.0,0,0.0,5,47,11,0,1,0,1,0,6,0,James McConnell,MF
2024-2025,19,Liverpool,eng ENG,Jr. PL2,4th,0.8,,,,,,,,,,,,,,,,,,,,,,,James McConnell,MF
2020-2021,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,7th,12.1,,,,,,,,,,,,,,,,,,,,,,,Tyler Morton,MF
2021-2022,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,18.7,,,,,,,,,,,,,,,,,,,,,,,Tyler Morton,MF
2021-2022,18,Liverpool,eng ENG,1. Premier League,2nd,0.7,41,0,2,33,6,0,41,0,0,,0,,24,54,12,0,1,0,2,0,23,0,Tyler Morton,MF
2022-2023,19,Blackburn Rovers,eng ENG,Jr. PL2 — Div. 1,10th,1.0,,,,,,,,,,,,,,,,,,,,,,,Tyler Morton,MF
2022-2023,19,Blackburn,eng ENG,2. Championship,7th,30.9,2202,69,577,1273,366,20,2202,34,17,50.0,14,41.2,1177,4346,1966,24,21,6,46,20,1494,49,Tyler Morton,MF
2023-2024,20,Hull City,eng ENG,2. Championship,7th,33.0,2348,105,575,1216,573,49,2348,46,24,52.2,20,43.5,1309,5114,2322,36,33,11,33,20,1666,86,Tyler Morton,MF
2024-2025,21,Liverpool,eng ENG,Jr. PL2,4th,2.9,,,,,,,,,,,,,,,,,,,,,,,Tyler Morton,MF
