Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2019-2020,24,Hellas Verona,it ITA,1. Serie A,9th,23.5,2,27,8,29.6,1.15,0.34,0.07,0.25,16.3,0,0,0,4.0,4.0,0.15,-2.0,-2.0,Mattia Zaccagni,"FW,MF"
2020-2021,25,Hellas Verona,it ITA,1. Serie A,10th,29.0,5,30,12,40.0,1.03,0.41,0.13,0.33,19.2,1,1,1,3.2,2.4,0.08,+1.8,+1.6,Mattia Zaccagni,"FW,MF"
2021-2022,26,Hellas Verona,it ITA,1. Serie A,9th,2.0,2,3,2,66.7,1.50,1.00,0.33,0.50,16.6,0,1,1,1.1,0.3,0.11,+0.9,+0.7,Mattia Zaccagni,"FW,MF"
2021-2022,26,Lazio,it ITA,1. Serie A,5th,20.8,4,33,10,30.3,1.58,0.48,0.12,0.40,15.3,0,0,0,3.2,3.2,0.10,+0.8,+0.8,Mattia Zaccagni,"FW,MF"
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,30.8,10,56,23,41.1,1.82,0.75,0.16,0.39,16.7,1,1,1,6.7,5.9,0.11,+3.3,+3.1,Mattia Zaccagni,"FW,MF"
2023-2024,28,Lazio,it ITA,1. Serie A,7th,21.7,6,42,13,31.0,1.93,0.60,0.14,0.46,17.6,3,0,0,4.7,4.7,0.12,+1.3,+1.3,Mattia Zaccagni,"FW,MF"
2024-2025,29,Lazio,it ITA,1. Serie A,4th,14.0,5,20,7,35.0,1.43,0.50,0.15,0.43,18.4,0,2,2,3.6,2.0,0.10,+1.4,+1.0,Mattia Zaccagni,"FW,MF"
2019-2020,17,Genoa,it ITA,1. Serie A,17th,1.2,0,1,0,0.0,0.86,0.00,0.00,,26.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Nicolò Rovella,MF
2020-2021,18,Genoa,it ITA,1. Serie A,11th,13.2,0,11,2,18.2,0.83,0.15,0.00,0.00,22.7,2,0,0,0.9,0.9,0.08,-0.9,-0.9,Nicolò Rovella,MF
2021-2022,19,Genoa,it ITA,1. Serie A,19th,16.3,0,17,4,23.5,1.04,0.25,0.00,0.00,27.7,6,0,0,0.7,0.7,0.04,-0.7,-0.7,Nicolò Rovella,MF
2022-2023,20,Monza,it ITA,1. Serie A,11th,19.3,1,21,6,28.6,1.09,0.31,0.05,0.17,25.5,1,0,0,1.2,1.2,0.06,-0.2,-0.2,Nicolò Rovella,MF
2022-2023,20,Juventus,it ITA,1. Serie A,7th,0.3,0,2,0,0.0,6.67,0.00,0.00,,27.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Nicolò Rovella,MF
2023-2024,21,Lazio,it ITA,1. Serie A,7th,14.6,0,5,1,20.0,0.34,0.07,0.00,0.00,26.4,1,0,0,0.6,0.6,0.12,-0.6,-0.6,Nicolò Rovella,MF
2024-2025,22,Lazio,it ITA,1. Serie A,4th,13.8,0,14,6,42.9,1.01,0.43,0.00,0.00,28.4,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Nicolò Rovella,MF
2012-2013,17,Roma,it ITA,1. Serie A,6th,1.1,1,,1,,,0.89,,1.00,,,0,0,,,,,,Alessio Romagnoli,DF
2013-2014,18,Roma,it ITA,1. Serie A,2nd,7.8,0,,1,,,0.13,,0.00,,,0,0,,,,,,Alessio Romagnoli,DF
2014-2015,19,Sampdoria,it ITA,1. Serie A,7th,28.2,2,,3,,,0.11,,0.67,,,0,0,,,,,,Alessio Romagnoli,DF
2015-2016,20,Milan,it ITA,1. Serie A,7th,32.7,0,,0,,,0.00,,,,,0,0,,,,,,Alessio Romagnoli,DF
2016-2017,21,Milan,it ITA,1. Serie A,6th,26.3,1,14,5,35.7,0.53,0.19,0.07,0.20,,,0,0,,,,,,Alessio Romagnoli,DF
2017-2018,22,Milan,it ITA,1. Serie A,6th,26.1,2,10,5,50.0,0.38,0.19,0.20,0.40,14.5,0,0,0,1.1,1.1,0.12,+0.9,+0.9,Alessio Romagnoli,DF
2018-2019,23,Milan,it ITA,1. Serie A,5th,31.6,2,11,4,36.4,0.35,0.13,0.18,0.50,14.6,0,0,0,0.9,0.9,0.08,+1.1,+1.1,Alessio Romagnoli,DF
2019-2020,24,Milan,it ITA,1. Serie A,6th,34.3,1,15,3,20.0,0.44,0.09,0.07,0.33,10.2,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Alessio Romagnoli,DF
2020-2021,25,Milan,it ITA,1. Serie A,2nd,21.2,1,15,3,20.0,0.71,0.14,0.07,0.33,7.2,0,0,0,2.8,2.8,0.19,-1.8,-1.8,Alessio Romagnoli,DF
2021-2022,26,Milan,it ITA,1. Serie A,1st,15.7,1,12,5,41.7,0.77,0.32,0.08,0.20,14.2,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Alessio Romagnoli,DF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,32.5,2,13,5,38.5,0.40,0.15,0.15,0.40,11.9,0,0,0,1.4,1.4,0.11,+0.6,+0.6,Alessio Romagnoli,DF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,26.8,0,11,5,45.5,0.41,0.19,0.00,0.00,12.0,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Alessio Romagnoli,DF
2024-2025,29,Lazio,it ITA,1. Serie A,4th,12.4,0,6,2,33.3,0.48,0.16,0.00,0.00,8.4,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Alessio Romagnoli,DF
2019-2020,19,Benfica,pt POR,1. Primeira Liga,2nd,10.3,1,11,3,27.3,1.07,0.29,0.09,0.33,26.3,1,0,0,0.5,0.5,0.04,+0.5,+0.5,Nuno Tavares,DF
2020-2021,20,Benfica,pt POR,1. Primeira Liga,3rd,7.0,0,5,2,40.0,0.71,0.28,0.00,0.00,15.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Nuno Tavares,DF
2021-2022,21,Arsenal,eng ENG,1. Premier League,5th,13.1,1,23,2,8.7,1.76,0.15,0.04,0.50,19.8,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Nuno Tavares,DF
