Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2024-2025,29,Lazio,it ITA,1. Serie A,4th,14.0,45,3.04,29,11,0,3,2,0,5,0.34,4,1,0,0,0,0,Mattia Zaccagni,"FW,MF"
2019-2020,17,Genoa,it ITA,1. Serie A,17th,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Nicolò Rovella,MF
2020-2021,18,Genoa,it ITA,1. Serie A,11th,13.2,28,2.12,21,2,1,0,4,0,2,0.15,1,1,0,0,0,0,Nicolò Rovella,MF
2021-2022,19,Genoa,it ITA,1. Serie A,19th,16.3,61,3.74,28,25,1,2,4,1,6,0.37,2,4,0,0,0,0,Nicolò Rovella,MF
2022-2023,20,Monza,it ITA,1. Serie A,11th,19.3,53,2.74,41,5,1,1,2,3,7,0.36,5,1,0,0,0,1,Nicolò Rovella,MF
2022-2023,20,Juventus,it ITA,1. Serie A,7th,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Nicolò Rovella,MF
2023-2024,21,Lazio,it ITA,1. Serie A,7th,14.6,22,1.50,16,2,1,0,1,2,4,0.27,4,0,0,0,0,0,Nicolò Rovella,MF
2024-2025,22,Lazio,it ITA,1. Serie A,4th,13.8,32,2.16,26,3,1,0,1,1,1,0.07,1,0,0,0,0,0,Nicolò Rovella,MF
2012-2013,17,Roma,it ITA,1. Serie A,6th,1.1,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2013-2014,18,Roma,it ITA,1. Serie A,2nd,7.8,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2014-2015,19,Sampdoria,it ITA,1. Serie A,7th,28.2,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2015-2016,20,Milan,it ITA,1. Serie A,7th,32.7,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2016-2017,21,Milan,it ITA,1. Serie A,6th,26.3,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2017-2018,22,Milan,it ITA,1. Serie A,6th,26.1,26,0.99,22,0,1,3,0,0,3,0.11,1,0,0,2,0,0,Alessio Romagnoli,DF
2018-2019,23,Milan,it ITA,1. Serie A,5th,31.6,20,0.63,17,0,0,2,0,1,3,0.09,2,0,0,1,0,0,Alessio Romagnoli,DF
2019-2020,24,Milan,it ITA,1. Serie A,6th,34.3,36,1.05,27,2,1,3,3,0,4,0.12,4,0,0,0,0,0,Alessio Romagnoli,DF
2020-2021,25,Milan,it ITA,1. Serie A,2nd,21.2,14,0.66,11,0,0,3,0,0,2,0.09,2,0,0,0,0,0,Alessio Romagnoli,DF
2021-2022,26,Milan,it ITA,1. Serie A,1st,15.7,12,0.77,11,0,0,1,0,0,2,0.13,2,0,0,0,0,0,Alessio Romagnoli,DF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,32.5,14,0.43,11,3,0,0,0,0,3,0.09,3,0,0,0,0,0,Alessio Romagnoli,DF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,26.8,12,0.45,11,0,0,1,0,0,1,0.04,1,0,0,0,0,0,Alessio Romagnoli,DF
2024-2025,29,Lazio,it ITA,1. Serie A,4th,12.4,8,0.60,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Alessio Romagnoli,DF
2019-2020,19,Benfica,pt POR,1. Primeira Liga,2nd,10.3,33,3.20,24,6,3,0,0,0,7,0.68,6,1,0,0,0,0,Nuno Tavares,DF
2020-2021,20,Benfica,pt POR,1. Primeira Liga,3rd,7.0,20,2.82,16,0,3,1,0,0,2,0.28,2,0,0,0,0,0,Nuno Tavares,DF
2021-2022,21,Arsenal,eng ENG,1. Premier League,5th,13.1,27,2.07,19,0,4,1,2,1,3,0.23,2,0,0,1,0,0,Nuno Tavares,DF
2022-2023,22,Marseille,fr FRA,1. Ligue 1,3rd,26.1,66,2.53,47,1,7,9,2,0,5,0.19,0,0,2,3,0,0,Nuno Tavares,DF
2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,5.1,9,1.77,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Nuno Tavares,DF
2024-2025,24,Lazio,it ITA,1. Serie A,4th,11.8,42,3.37,30,3,6,1,2,0,11,0.88,7,1,2,0,1,0,Nuno Tavares,DF
