Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2024-2025,29,Lazio,it ITA,1. Serie A,4th,14.0,4,0,0,18,45,3,74,14,10,0,0,0,40,6,10,37.5,Mattia Zaccagni,"FW,MF"
2019-2020,17,Genoa,it ITA,1. Serie A,17th,1.2,0,0,0,0,3,0,2,4,0,0,0,0,12,0,0,,Nicolò Rovella,MF
2020-2021,18,Genoa,it ITA,1. Serie A,11th,13.2,4,0,0,19,23,0,29,20,16,0,1,0,93,7,13,35.0,Nicolò Rovella,MF
2021-2022,19,Genoa,it ITA,1. Serie A,19th,16.3,5,0,0,26,24,3,110,20,26,0,0,0,118,5,15,25.0,Nicolò Rovella,MF
2022-2023,20,Monza,it ITA,1. Serie A,11th,19.3,5,1,0,26,21,2,28,40,29,0,0,0,141,9,10,47.4,Nicolò Rovella,MF
2022-2023,20,Juventus,it ITA,1. Serie A,7th,0.3,1,0,0,1,1,0,3,0,1,0,0,0,1,0,0,,Nicolò Rovella,MF
2023-2024,21,Lazio,it ITA,1. Serie A,7th,14.6,6,0,0,38,16,0,20,23,28,0,0,0,99,11,9,55.0,Nicolò Rovella,MF
2024-2025,22,Lazio,it ITA,1. Serie A,4th,13.8,7,0,0,24,10,1,20,26,30,0,0,0,79,2,11,15.4,Nicolò Rovella,MF
2012-2013,17,Roma,it ITA,1. Serie A,6th,1.1,0,0,,0,,,,,,,,,,,,,Alessio Romagnoli,DF
2013-2014,18,Roma,it ITA,1. Serie A,2nd,7.8,4,0,,14,,,,,,,,,,,,,Alessio Romagnoli,DF
2014-2015,19,Sampdoria,it ITA,1. Serie A,7th,28.2,9,0,,29,,,,,,,,,,,,,Alessio Romagnoli,DF
2015-2016,20,Milan,it ITA,1. Serie A,7th,32.7,9,1,,46,,,,,,,,,,,,,Alessio Romagnoli,DF
2016-2017,21,Milan,it ITA,1. Serie A,6th,26.3,5,2,1,18,17,3,2,40,22,0,0,0,,,,,Alessio Romagnoli,DF
2017-2018,22,Milan,it ITA,1. Serie A,6th,26.1,8,2,1,31,10,2,5,23,14,0,0,0,96,69,36,65.7,Alessio Romagnoli,DF
2018-2019,23,Milan,it ITA,1. Serie A,5th,31.6,6,1,0,20,14,4,2,37,19,0,0,1,127,71,33,68.3,Alessio Romagnoli,DF
2019-2020,24,Milan,it ITA,1. Serie A,6th,34.3,4,0,0,42,22,1,0,56,25,0,1,0,157,78,43,64.5,Alessio Romagnoli,DF
2020-2021,25,Milan,it ITA,1. Serie A,2nd,21.2,7,0,0,19,11,0,1,24,7,0,1,0,85,55,26,67.9,Alessio Romagnoli,DF
2021-2022,26,Milan,it ITA,1. Serie A,1st,15.7,4,1,0,17,13,3,1,19,14,0,1,0,79,46,19,70.8,Alessio Romagnoli,DF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,32.5,6,0,0,35,19,1,0,38,15,0,0,0,139,78,45,63.4,Alessio Romagnoli,DF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,26.8,9,0,0,34,19,1,1,29,18,0,0,0,120,76,54,58.5,Alessio Romagnoli,DF
2024-2025,29,Lazio,it ITA,1. Serie A,4th,12.4,1,1,0,11,4,2,0,14,13,0,0,0,45,35,19,64.8,Alessio Romagnoli,DF
2019-2020,19,Benfica,pt POR,1. Primeira Liga,2nd,10.3,2,0,0,17,10,0,84,9,13,0,0,0,53,19,8,70.4,Nuno Tavares,DF
2020-2021,20,Benfica,pt POR,1. Primeira Liga,3rd,7.0,3,0,0,22,16,1,35,6,9,0,0,0,48,14,15,48.3,Nuno Tavares,DF
2021-2022,21,Arsenal,eng ENG,1. Premier League,5th,13.1,2,0,0,23,13,1,40,9,14,0,1,0,68,23,22,51.1,Nuno Tavares,DF
2022-2023,22,Marseille,fr FRA,1. Ligue 1,3rd,26.1,6,1,0,37,38,6,96,15,30,0,0,0,173,23,31,42.6,Nuno Tavares,DF
2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,5.1,2,0,0,8,2,0,16,1,7,0,0,0,33,3,2,60.0,Nuno Tavares,DF
2024-2025,24,Lazio,it ITA,1. Serie A,4th,11.8,3,1,1,14,25,1,75,12,16,0,1,0,71,8,6,57.1,Nuno Tavares,DF
2019-2020,18,Midtjylland,dk DEN,1. Danish Superliga,1st,5.5,0,0,0,11,14,0,13,4,8,,,0,,,,,Gustav Isaksen,FW
2020-2021,19,Midtjylland,dk DEN,1. Danish Superliga,2nd,7.6,3,1,1,11,31,4,20,6,2,,,0,,,,,Gustav Isaksen,FW
2021-2022,20,Midtjylland,dk DEN,1. Danish Superliga,2nd,21.5,0,0,0,15,50,9,54,10,7,,,0,,,,,Gustav Isaksen,FW
2022-2023,21,Midtjylland,dk DEN,1. Danish Superliga,7th,27.0,3,0,0,18,52,5,87,8,7,,,0,,,,,Gustav Isaksen,FW
2023-2024,22,Midtjylland,dk DEN,1. Danish Superliga,1st,1.7,0,0,0,1,4,0,11,2,3,,,0,,,,,Gustav Isaksen,FW
2023-2024,22,Lazio,it ITA,1. Serie A,7th,11.9,3,0,0,17,24,3,29,4,3,0,0,0,41,4,7,36.4,Gustav Isaksen,FW
2024-2025,23,Lazio,it ITA,1. Serie A,4th,11.0,4,0,0,11,19,1,53,5,3,0,0,0,28,6,16,27.3,Gustav Isaksen,FW
2018-2019,21,Reims,fr FRA,1. Ligue 1,8th,8.3,2,0,0,9,13,2,1,4,6,1,0,0,34,20,28,41.7,Boulaye Dia,"MF,FW"
2019-2020,22,Reims,fr FRA,1. Ligue 1,6th,20.1,0,0,0,24,25,13,4,7,9,1,0,0,57,28,84,25.0,Boulaye Dia,"MF,FW"
2020-2021,23,Reims,fr FRA,1. Ligue 1,14th,32.6,2,0,0,31,36,14,14,12,12,1,0,0,109,31,92,25.2,Boulaye Dia,"MF,FW"
2021-2022,24,Villarreal,es ESP,1. La Liga,7th,14.1,3,0,0,23,13,7,1,5,6,0,0,0,36,31,35,47.0,Boulaye Dia,"MF,FW"
2022-2023,25,Salernitana,it ITA,1. Serie A,15th,28.0,4,0,0,28,43,13,6,7,5,0,0,0,97,20,58,25.6,Boulaye Dia,"MF,FW"
2023-2024,26,Salernitana,it ITA,1. Serie A,20th,12.7,1,0,0,11,24,3,1,3,2,0,0,0,41,6,27,18.2,Boulaye Dia,"MF,FW"
2024-2025,27,Lazio,it ITA,1. Serie A,4th,10.0,2,0,0,12,12,1,2,3,3,1,0,0,20,10,21,32.3,Boulaye Dia,"MF,FW"
2016-2017,22,SPAL,it ITA,2. Serie B,1st,37.0,10,0,,,,,,,,,,,,,,,Manuel Lazzari,DF
2017-2018,23,SPAL,it ITA,1. Serie A,17th,34.6,4,0,0,23,84,2,169,31,47,0,1,0,154,6,37,14.0,Manuel Lazzari,DF
2018-2019,24,SPAL,it ITA,1. Serie A,13th,31.5,7,0,0,28,61,0,242,20,17,1,0,0,142,9,21,30.0,Manuel Lazzari,DF
2019-2020,25,Lazio,it ITA,1. Serie A,4th,28.3,6,0,0,21,41,7,135,8,11,0,1,0,94,2,17,10.5,Manuel Lazzari,DF
2020-2021,26,Lazio,it ITA,1. Serie A,6th,29.0,2,1,0,26,53,2,114,18,14,0,0,1,111,13,18,41.9,Manuel Lazzari,DF
2021-2022,27,Lazio,it ITA,1. Serie A,5th,18.5,3,0,0,18,44,4,56,12,14,0,0,0,85,4,20,16.7,Manuel Lazzari,DF
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,20.9,8,0,0,15,39,0,36,18,21,0,0,1,90,9,14,39.1,Manuel Lazzari,DF
2023-2024,29,Lazio,it ITA,1. Serie A,7th,18.6,4,1,0,16,20,1,56,12,18,0,0,0,72,5,16,23.8,Manuel Lazzari,DF
2024-2025,30,Lazio,it ITA,1. Serie A,4th,9.9,1,0,0,5,21,0,77,6,12,0,0,0,28,3,11,21.4,Manuel Lazzari,DF
2013-2014,20,Voždovac,rs SRB,1. SuperLiga,7th,23.5,1,1,,,,,,,,,,,,,,,Adam Marušić,DF
2014-2015,21,Kortrijk,be BEL,1. Pro League,6th,26.5,8,1,,,,,,,,,,,,,,,Adam Marušić,DF
2015-2016,22,Kortrijk,be BEL,1. Pro League,7th,31.5,6,0,,51,,,,,,,,,,,,,Adam Marušić,DF
2016-2017,23,Oostende,be BEL,1. First Division A,4th,33.3,6,0,0,,0,0,0,0,0,0,0,0,,,,,Adam Marušić,DF
2017-2018,24,Lazio,it ITA,1. Serie A,5th,28.0,3,1,0,28,15,6,98,31,21,1,0,0,134,27,16,62.8,Adam Marušić,DF
2018-2019,25,Lazio,it ITA,1. Serie A,8th,23.5,2,1,0,31,18,2,56,24,15,0,1,0,111,31,26,54.4,Adam Marušić,DF
2019-2020,26,Lazio,it ITA,1. Serie A,4th,10.5,3,0,0,8,11,0,13,14,6,0,0,0,38,7,14,33.3,Adam Marušić,DF
2020-2021,27,Lazio,it ITA,1. Serie A,6th,33.0,3,0,0,19,16,4,64,40,22,0,1,1,185,28,27,50.9,Adam Marušić,DF
2021-2022,28,Lazio,it ITA,1. Serie A,5th,30.2,6,1,1,26,13,0,29,41,18,0,0,0,155,33,22,60.0,Adam Marušić,DF
2022-2023,29,Lazio,it ITA,1. Serie A,2nd,30.7,8,1,0,22,14,1,17,38,30,0,0,0,175,29,25,53.7,Adam Marušić,DF
2023-2024,30,Lazio,it ITA,1. Serie A,7th,34.4,3,1,0,24,10,4,44,29,31,0,1,0,154,32,33,49.2,Adam Marušić,DF
2024-2025,31,Lazio,it ITA,1. Serie A,4th,10.4,1,0,0,6,6,0,26,7,8,0,0,0,36,11,9,55.0,Adam Marušić,DF
2021-2022,22,Fortuna Sittard,nl NED,1. Eredivisie,15th,9.1,0,0,0,10,8,3,15,3,5,0,0,0,51,20,22,47.6,Tijjani Noslin,"FW,MF"
2022-2023,23,Fortuna Sittard,nl NED,1. Eredivisie,13th,17.9,3,0,0,27,16,3,32,21,30,0,0,0,119,35,38,47.9,Tijjani Noslin,"FW,MF"
2023-2024,24,Fortuna Sittard,nl NED,1. Eredivisie,10th,11.3,2,1,0,17,9,4,31,8,9,1,0,0,53,27,32,45.8,Tijjani Noslin,"FW,MF"
2023-2024,24,Hellas Verona,it ITA,1. Serie A,13th,14.9,2,0,0,24,10,4,15,2,8,2,0,0,65,49,71,40.8,Tijjani Noslin,"FW,MF"
2024-2025,25,Lazio,it ITA,1. Serie A,4th,6.0,2,0,0,15,6,0,11,0,3,0,0,0,17,16,19,45.7,Tijjani Noslin,"FW,MF"
2015-2016,22,Lazio,it ITA,1. Serie A,8th,6.5,3,1,,11,,,,,,,,,,,,,Patric,DF
2016-2017,23,Lazio,it ITA,1. Serie A,5th,11.3,4,0,0,5,8,2,16,10,17,1,0,0,,,,,Patric,DF
2017-2018,24,Lazio,it ITA,1. Serie A,5th,6.6,1,1,0,5,0,2,12,3,6,0,1,0,30,8,7,53.3,Patric,DF
2018-2019,25,Lazio,it ITA,1. Serie A,8th,12.1,1,0,0,12,8,1,31,12,11,0,1,0,63,11,12,47.8,Patric,DF
