Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2024-2025,25,Lazio,it ITA,1. Serie A,4th,16,15,1320,14.7,7,1,8,5,2,3,6,1,10.0,7.8,1.2,9.0,20,37,96,0.48,0.07,0.55,0.34,0.41,0.64,0.08,0.72,0.50,0.58,Valentín Castellanos,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mario Gila,DF
2022-2023,21,Lazio,it ITA,1. Serie A,2nd,4,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mario Gila,DF
2023-2024,22,Lazio,it ITA,1. Serie A,7th,21,21,1809,20.1,0,0,0,0,0,0,4,1,0.5,0.5,0.5,1.0,21,93,12,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Mario Gila,DF
2024-2025,23,Lazio,it ITA,1. Serie A,4th,15,15,1281,14.2,1,0,1,1,0,0,5,0,0.6,0.6,0.3,0.9,21,88,4,0.07,0.00,0.07,0.07,0.07,0.04,0.02,0.06,0.04,0.06,Mario Gila,DF
2015-2016,20,Hellas Verona,it ITA,1. Serie A,20th,3,0,52,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Mattia Zaccagni,"FW,MF"
2016-2017,21,Hellas Verona,it ITA,2. Serie B,2nd,26,13,1355,15.1,2,2,4,2,0,0,5,1,,,,,,,,0.13,0.13,0.27,0.13,0.27,,,,,,Mattia Zaccagni,"FW,MF"
2017-2018,22,Hellas Verona,it ITA,1. Serie A,19th,6,2,152,1.7,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,2,6,6,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32,Mattia Zaccagni,"FW,MF"
2018-2019,23,Hellas Verona,it ITA,2. Serie B,5th,29,22,1919,21.3,3,1,4,3,0,0,4,0,3.3,3.3,3.3,6.6,104,117,119,0.14,0.05,0.19,0.14,0.19,0.15,0.15,0.31,0.15,0.31,Mattia Zaccagni,"FW,MF"
2019-2020,24,Hellas Verona,it ITA,1. Serie A,9th,34,26,2114,23.5,2,5,7,2,0,0,5,0,4.0,4.0,4.1,8.1,98,89,225,0.09,0.21,0.30,0.09,0.30,0.17,0.18,0.35,0.17,0.35,Mattia Zaccagni,"FW,MF"
2020-2021,25,Hellas Verona,it ITA,1. Serie A,10th,36,33,2609,29.0,5,5,10,4,1,1,6,0,3.2,2.4,5.7,8.2,118,112,299,0.17,0.17,0.34,0.14,0.31,0.11,0.20,0.31,0.09,0.29,Mattia Zaccagni,"FW,MF"
2021-2022,26,Hellas Verona,it ITA,1. Serie A,9th,2,2,180,2.0,2,0,2,1,1,1,0,0,1.1,0.3,1.1,1.4,10,10,20,1.00,0.00,1.00,0.50,0.50,0.56,0.54,1.10,0.17,0.70,Mattia Zaccagni,"FW,MF"
2021-2022,26,Lazio,it ITA,1. Serie A,5th,29,21,1876,20.8,4,5,9,4,0,0,6,0,3.2,3.2,2.9,6.1,85,55,211,0.19,0.24,0.43,0.19,0.43,0.15,0.14,0.29,0.15,0.29,Mattia Zaccagni,"FW,MF"
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,35,33,2770,30.8,10,6,16,9,1,1,9,0,6.7,5.9,4.5,10.4,118,76,282,0.32,0.19,0.52,0.29,0.49,0.22,0.15,0.36,0.19,0.34,Mattia Zaccagni,"FW,MF"
2023-2024,28,Lazio,it ITA,1. Serie A,7th,28,24,1956,21.7,6,1,7,6,0,0,8,0,4.7,4.7,2.9,7.6,88,55,209,0.28,0.05,0.32,0.28,0.32,0.22,0.13,0.35,0.22,0.35,Mattia Zaccagni,"FW,MF"
2024-2025,29,Lazio,it ITA,1. Serie A,4th,16,15,1263,14.0,5,2,7,3,2,2,4,0,3.6,2.0,1.3,3.4,43,62,127,0.36,0.14,0.50,0.21,0.36,0.24,0.09,0.33,0.14,0.23,Mattia Zaccagni,"FW,MF"
2018-2019,16,Genoa,it ITA,1. Serie A,17th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolò Rovella,MF
2019-2020,17,Genoa,it ITA,1. Serie A,17th,2,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Nicolò Rovella,MF
2020-2021,18,Genoa,it ITA,1. Serie A,11th,20,12,1187,13.2,0,2,2,0,0,0,4,0,0.9,0.9,1.6,2.4,15,59,7,0.00,0.15,0.15,0.00,0.15,0.07,0.12,0.18,0.07,0.18,Nicolò Rovella,MF
2021-2022,19,Genoa,it ITA,1. Serie A,19th,21,16,1468,16.3,0,3,3,0,0,0,5,0,0.7,0.7,2.3,3.0,31,84,34,0.00,0.18,0.18,0.00,0.18,0.04,0.14,0.18,0.04,0.18,Nicolò Rovella,MF
2022-2023,20,Monza,it ITA,1. Serie A,11th,25,21,1740,19.3,1,2,3,1,0,0,5,1,1.2,1.2,2.2,3.4,26,99,19,0.05,0.10,0.16,0.05,0.16,0.06,0.11,0.18,0.06,0.18,Nicolò Rovella,MF
2022-2023,20,Juventus,it ITA,1. Serie A,7th,3,0,27,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,Nicolò Rovella,MF
2023-2024,21,Lazio,it ITA,1. Serie A,7th,23,16,1318,14.6,0,2,2,0,0,0,6,0,0.6,0.6,0.5,1.1,21,56,11,0.00,0.14,0.14,0.00,0.14,0.04,0.03,0.08,0.04,0.08,Nicolò Rovella,MF
2024-2025,22,Lazio,it ITA,1. Serie A,4th,15,14,1246,13.8,0,0,0,0,0,0,7,0,0.4,0.4,0.9,1.3,18,83,21,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Nicolò Rovella,MF
2012-2013,17,Roma,it ITA,1. Serie A,6th,2,1,101,1.1,1,0,1,1,0,0,0,0,,,,,,,,0.89,0.00,0.89,0.89,0.89,,,,,,Alessio Romagnoli,DF
2013-2014,18,Roma,it ITA,1. Serie A,2nd,11,8,703,7.8,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Alessio Romagnoli,DF
2014-2015,19,Roma,it ITA,1. Serie A,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2014-2015,19,Sampdoria,it ITA,1. Serie A,7th,30,28,2535,28.2,2,2,4,2,0,0,9,0,,,,,,,,0.07,0.07,0.14,0.07,0.14,,,,,,Alessio Romagnoli,DF
2015-2016,20,Milan,it ITA,1. Serie A,7th,34,33,2944,32.7,0,0,0,0,0,0,9,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Alessio Romagnoli,DF
