Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2019-2020,17,Genoa,it ITA,1. Serie A,17th,1.2,0,0,0,0,0,0,1,0.0,1,0,0,0,4,4,0,0,Nicolò Rovella,MF
2020-2021,18,Genoa,it ITA,1. Serie A,11th,13.2,29,16,15,11,3,9,32,28.1,23,11,0,11,20,49,19,1,Nicolò Rovella,MF
2021-2022,19,Genoa,it ITA,1. Serie A,19th,16.3,37,26,16,14,7,15,40,37.5,25,21,1,20,20,57,20,0,Nicolò Rovella,MF
2022-2023,20,Monza,it ITA,1. Serie A,11th,19.3,45,29,22,21,2,13,36,36.1,23,20,1,19,40,85,17,0,Nicolò Rovella,MF
2022-2023,20,Juventus,it ITA,1. Serie A,7th,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Nicolò Rovella,MF
2023-2024,21,Lazio,it ITA,1. Serie A,7th,14.6,46,28,25,17,4,16,36,44.4,20,27,6,21,23,69,29,0,Nicolò Rovella,MF
2024-2025,22,Lazio,it ITA,1. Serie A,4th,13.8,48,30,17,25,6,23,44,52.3,21,9,3,6,26,74,19,2,Nicolò Rovella,MF
2012-2013,17,Roma,it ITA,1. Serie A,6th,1.1,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2013-2014,18,Roma,it ITA,1. Serie A,2nd,7.8,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2014-2015,19,Sampdoria,it ITA,1. Serie A,7th,28.2,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2015-2016,20,Milan,it ITA,1. Serie A,7th,32.7,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2016-2017,21,Milan,it ITA,1. Serie A,6th,26.3,,22,,,,,,,,,,,40,,,,Alessio Romagnoli,DF
2017-2018,22,Milan,it ITA,1. Serie A,6th,26.1,20,14,17,2,1,9,14,64.3,5,24,14,10,23,43,154,1,Alessio Romagnoli,DF
2018-2019,23,Milan,it ITA,1. Serie A,5th,31.6,34,19,26,6,2,16,19,84.2,3,48,32,16,37,71,173,1,Alessio Romagnoli,DF
2019-2020,24,Milan,it ITA,1. Serie A,6th,34.3,46,25,28,15,3,16,27,59.3,11,32,18,14,56,102,157,1,Alessio Romagnoli,DF
2020-2021,25,Milan,it ITA,1. Serie A,2nd,21.2,17,7,8,7,2,8,19,42.1,11,29,22,7,24,41,80,0,Alessio Romagnoli,DF
2021-2022,26,Milan,it ITA,1. Serie A,1st,15.7,24,14,14,10,0,14,18,77.8,4,21,12,9,19,43,45,0,Alessio Romagnoli,DF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,32.5,33,15,19,14,0,11,22,50.0,11,33,26,7,38,71,108,0,Alessio Romagnoli,DF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,26.8,25,18,14,11,0,16,24,66.7,8,29,17,12,29,54,115,0,Alessio Romagnoli,DF
2024-2025,29,Lazio,it ITA,1. Serie A,4th,12.4,24,13,10,14,0,11,14,78.6,3,12,7,5,14,38,42,0,Alessio Romagnoli,DF
2019-2020,19,Benfica,pt POR,1. Primeira Liga,2nd,10.3,25,13,10,9,6,12,21,57.1,9,10,2,8,9,34,10,3,Nuno Tavares,DF
2020-2021,20,Benfica,pt POR,1. Primeira Liga,3rd,7.0,14,9,6,6,2,10,15,66.7,5,4,0,4,6,20,12,0,Nuno Tavares,DF
2021-2022,21,Arsenal,eng ENG,1. Premier League,5th,13.1,21,14,10,7,4,8,18,44.4,10,15,5,10,9,30,33,1,Nuno Tavares,DF
2022-2023,22,Marseille,fr FRA,1. Ligue 1,3rd,26.1,56,30,19,24,13,28,56,50.0,28,32,4,28,15,71,25,0,Nuno Tavares,DF
2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,5.1,11,7,9,1,1,8,9,88.9,1,6,0,6,1,12,21,0,Nuno Tavares,DF
2024-2025,24,Lazio,it ITA,1. Serie A,4th,11.8,22,16,10,7,5,12,24,50.0,12,9,1,8,12,34,31,1,Nuno Tavares,DF
2019-2020,18,Midtjylland,dk DEN,1. Danish Superliga,1st,5.5,,8,,,,,,,,,,,4,,,,Gustav Isaksen,FW
2020-2021,19,Midtjylland,dk DEN,1. Danish Superliga,2nd,7.6,,2,,,,,,,,,,,6,,,,Gustav Isaksen,FW
2021-2022,20,Midtjylland,dk DEN,1. Danish Superliga,2nd,21.5,,7,,,,,,,,,,,10,,,,Gustav Isaksen,FW
2022-2023,21,Midtjylland,dk DEN,1. Danish Superliga,7th,27.0,,7,,,,,,,,,,,8,,,,Gustav Isaksen,FW
2023-2024,22,Midtjylland,dk DEN,1. Danish Superliga,1st,1.7,,3,,,,,,,,,,,2,,,,Gustav Isaksen,FW
