Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2024-2025,26,Bologna,it ITA,1. Serie A,7th,6,260,43,17.0,2.9,3,71,1,3,15,7,2.00,4,6,-2,-0.69,-1.12,2.4,2.5,-0.1,-0.03,-0.35,Nicolò Casale,DF
2021-2022,17,Rennes,fr FRA,1. Ligue 1,4th,10,87,9,2.5,1.0,0,,0,10,9,18,1.60,2,3,-1,-1.03,-2.20,2.2,2.4,-0.2,-0.25,-0.79,Loum Tchaouna,"FW,MF"
2022-2023,18,Dijon,fr FRA,2. Ligue 2,18th,28,1621,58,47.4,18.0,19,75,2,9,22,1,0.96,16,22,-6,-0.33,-0.38,18.2,21.4,-3.2,-0.18,-0.28,Loum Tchaouna,"FW,MF"
2023-2024,19,Salernitana,it ITA,1. Serie A,20th,33,2100,64,61.4,23.3,23,81,14,10,23,2,0.33,25,53,-28,-1.20,+0.23,19.6,46.8,-27.3,-1.17,-0.02,Loum Tchaouna,"FW,MF"
2024-2025,20,Lazio,it ITA,1. Serie A,4th,13,314,24,18.4,3.5,1,45,0,12,22,5,1.64,11,6,+5,+1.43,+1.37,8.3,6.2,+2.1,+0.51,-0.01,Loum Tchaouna,"FW,MF"
2014-2015,17,Bari,it ITA,2. Serie B,10th,1,14,14,0.4,0.2,0,,0,1,,5,0.00,0,0,0,0.00,+0.14,,,,,,Gaetano Castrovilli,"MF,FW"
2016-2017,19,Bari,it ITA,2. Serie B,12th,10,161,16,4.3,1.8,1,,0,9,,,,,,,,,,,,,,Gaetano Castrovilli,"MF,FW"
2017-2018,20,Cremonese,it ITA,2. Serie B,14th,27,1555,58,41.1,17.3,15,,9,12,,6,1.07,17,16,+1,+0.06,+0.06,,,,,,Gaetano Castrovilli,"MF,FW"
2018-2019,21,Cremonese,it ITA,2. Serie B,9th,26,2092,80,64.6,23.2,24,85,15,2,25,1,1.50,25,16,+9,+0.39,+0.78,23.1,23.5,-0.4,-0.02,+0.37,Gaetano Castrovilli,"MF,FW"
2019-2020,22,Fiorentina,it ITA,1. Serie A,10th,33,2673,81,78.2,29.7,31,84,18,2,34,1,1.36,36,37,-1,-0.03,-0.52,40.0,36.8,+3.1,+0.10,-0.09,Gaetano Castrovilli,"MF,FW"
2020-2021,23,Fiorentina,it ITA,1. Serie A,13th,34,2332,69,68.2,25.9,29,76,8,5,26,1,0.97,31,39,-8,-0.31,+0.02,31.3,37.2,-5.9,-0.23,+0.66,Gaetano Castrovilli,"MF,FW"
2021-2022,24,Fiorentina,it ITA,1. Serie A,7th,23,1391,60,40.7,15.5,16,73,5,7,33,2,1.74,18,19,-1,-0.06,-0.46,25.0,15.6,+9.4,+0.61,+0.16,Gaetano Castrovilli,"MF,FW"
2022-2023,25,Fiorentina,it ITA,1. Serie A,8th,15,718,48,21.0,8.0,7,77,2,8,22,5,1.67,17,8,+9,+1.13,+1.09,13.7,8.1,+5.6,+0.70,+0.49,Gaetano Castrovilli,"MF,FW"
2023-2024,26,Fiorentina,it ITA,1. Serie A,8th,6,367,61,10.7,4.1,5,72,1,1,8,5,2.50,8,7,+1,+0.25,-0.17,6.9,5.3,+1.6,+0.40,+0.34,Gaetano Castrovilli,"MF,FW"
2024-2025,27,Lazio,it ITA,1. Serie A,4th,7,134,19,7.8,1.5,1,60,0,6,12,8,1.63,3,4,-1,-0.67,-1.07,3.7,3.2,+0.5,+0.33,-0.21,Gaetano Castrovilli,"MF,FW"
2013-2014,19,Arles-Avignon,fr FRA,2. Ligue 2,13th,9,511,57,14.9,5.7,5,,,4,,,,,,,,,,,,,,Samuel Gigot,DF
2014-2015,20,Arles-Avignon,fr FRA,2. Ligue 2,20th,24,1990,83,58.2,22.1,23,,20,1,,6,0.83,19,30,-11,-0.50,+0.57,,,,,,Samuel Gigot,DF
2015-2016,21,Kortrijk,be BEL,1. Pro League,7th,26,2063,79,63.7,22.9,22,,19,4,,6,1.36,28,24,+4,+0.17,+0.17,,,,,,Samuel Gigot,DF
