Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2020-2021,25,Hellas Verona,it ITA,1. Serie A,10th,29.0,1266,21,137,510,652,100,1265,102,60,58.8,42,41.2,860,6342,3232,118,69,46,74,64,984,299,Mattia Zaccagni,"FW,MF"
2021-2022,26,Hellas Verona,it ITA,1. Serie A,9th,2.0,99,1,5,36,62,10,98,11,7,63.6,4,36.4,62,468,250,10,7,4,2,8,66,20,Mattia Zaccagni,"FW,MF"
2021-2022,26,Lazio,it ITA,1. Serie A,5th,20.8,977,12,106,397,484,98,977,87,45,51.7,41,47.1,671,5005,2571,85,36,36,41,12,781,211,Mattia Zaccagni,"FW,MF"
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,30.8,1402,16,162,628,636,120,1401,126,60,47.6,35,27.8,976,6797,3560,118,62,42,49,35,1136,282,Mattia Zaccagni,"FW,MF"
2023-2024,28,Lazio,it ITA,1. Serie A,7th,21.7,1164,19,129,492,571,79,1164,114,54,47.4,37,32.5,781,5644,3016,88,64,30,48,38,910,209,Mattia Zaccagni,"FW,MF"
2024-2025,29,Lazio,it ITA,1. Serie A,4th,14.0,675,9,57,273,356,45,673,48,21,43.8,21,43.8,421,2980,1405,43,26,11,21,22,511,127,Mattia Zaccagni,"FW,MF"
2019-2020,17,Genoa,it ITA,1. Serie A,17th,1.2,76,0,14,53,11,0,76,1,1,100.0,0,0.0,55,271,83,1,2,0,2,0,50,2,Nicolò Rovella,MF
2020-2021,18,Genoa,it ITA,1. Serie A,11th,13.2,974,37,288,557,141,3,974,14,12,85.7,2,14.3,640,3035,1427,15,18,1,16,6,665,7,Nicolò Rovella,MF
2021-2022,19,Genoa,it ITA,1. Serie A,19th,16.3,1138,34,220,633,301,9,1138,28,16,57.1,12,42.9,636,3073,1458,31,23,0,20,16,685,34,Nicolò Rovella,MF
2022-2023,20,Monza,it ITA,1. Serie A,11th,19.3,1556,46,374,950,248,10,1556,15,6,40.0,8,53.3,950,5023,2259,26,30,2,20,7,1134,19,Nicolò Rovella,MF
2022-2023,20,Juventus,it ITA,1. Serie A,7th,0.3,29,0,4,17,9,0,29,2,2,100.0,0,0.0,21,125,66,1,1,0,1,0,24,2,Nicolò Rovella,MF
2023-2024,21,Lazio,it ITA,1. Serie A,7th,14.6,1157,49,316,723,131,3,1157,18,10,55.6,7,38.9,575,3079,1311,21,11,1,18,11,787,11,Nicolò Rovella,MF
2024-2025,22,Lazio,it ITA,1. Serie A,4th,13.8,1175,38,256,763,170,2,1175,12,9,75.0,2,16.7,702,3744,1753,18,26,0,12,8,852,21,Nicolò Rovella,MF
2012-2013,17,Roma,it ITA,1. Serie A,6th,1.1,,,,,,,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2013-2014,18,Roma,it ITA,1. Serie A,2nd,7.8,,,,,,,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2014-2015,19,Sampdoria,it ITA,1. Serie A,7th,28.2,,,,,,,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2015-2016,20,Milan,it ITA,1. Serie A,7th,32.7,,,,,,,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2016-2017,21,Milan,it ITA,1. Serie A,6th,26.3,,,,,,,,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
