Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2020-2021,18,Genoa,it ITA,1. Serie A,11th,13.2,844,795,45,27,3,9,29,1,16,3,11,0,710,4,7,Nicolò Rovella,MF
2021-2022,19,Genoa,it ITA,1. Serie A,19th,16.3,977,822,152,75,3,11,110,9,68,26,32,0,762,3,11,Nicolò Rovella,MF
2022-2023,20,Monza,it ITA,1. Serie A,11th,19.3,1363,1292,68,52,1,24,28,6,10,2,7,0,1206,3,15,Nicolò Rovella,MF
2022-2023,20,Juventus,it ITA,1. Serie A,7th,0.3,25,22,3,1,0,2,3,1,1,1,0,0,22,0,1,Nicolò Rovella,MF
2023-2024,21,Lazio,it ITA,1. Serie A,7th,14.6,976,925,48,30,2,7,20,2,16,2,11,0,851,3,18,Nicolò Rovella,MF
2024-2025,22,Lazio,it ITA,1. Serie A,4th,13.8,1028,977,48,29,4,6,20,5,9,4,3,0,924,3,5,Nicolò Rovella,MF
2012-2013,17,Roma,it ITA,1. Serie A,6th,1.1,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2013-2014,18,Roma,it ITA,1. Serie A,2nd,7.8,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2014-2015,19,Sampdoria,it ITA,1. Serie A,7th,28.2,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2015-2016,20,Milan,it ITA,1. Serie A,7th,32.7,,,,,,,,,,,,,,,,Alessio Romagnoli,DF
2016-2017,21,Milan,it ITA,1. Serie A,6th,26.3,,,,,,,2,,,,,,,,,Alessio Romagnoli,DF
2017-2018,22,Milan,it ITA,1. Serie A,6th,26.1,1491,1431,57,32,0,3,5,25,0,0,0,0,1356,3,11,Alessio Romagnoli,DF
2018-2019,23,Milan,it ITA,1. Serie A,5th,31.6,1776,1717,55,50,0,13,2,5,0,0,0,0,1615,4,8,Alessio Romagnoli,DF
2019-2020,24,Milan,it ITA,1. Serie A,6th,34.3,1994,1930,62,54,0,8,0,8,0,0,0,0,1808,2,7,Alessio Romagnoli,DF
2020-2021,25,Milan,it ITA,1. Serie A,2nd,21.2,1029,986,40,37,0,3,1,2,0,0,0,0,920,3,3,Alessio Romagnoli,DF
2021-2022,26,Milan,it ITA,1. Serie A,1st,15.7,999,947,51,34,1,1,1,2,0,0,0,0,893,1,5,Alessio Romagnoli,DF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,32.5,1849,1688,161,91,1,13,0,2,0,0,0,0,1673,0,6,Alessio Romagnoli,DF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,26.8,1759,1625,128,57,1,3,1,2,0,0,0,0,1604,6,3,Alessio Romagnoli,DF
2024-2025,29,Lazio,it ITA,1. Serie A,4th,12.4,769,694,73,27,0,0,0,6,0,0,0,0,707,2,0,Alessio Romagnoli,DF
2019-2020,19,Benfica,pt POR,1. Primeira Liga,2nd,10.3,637,513,122,10,0,11,84,102,10,4,4,0,447,2,18,Nuno Tavares,DF
2020-2021,20,Benfica,pt POR,1. Primeira Liga,3rd,7.0,512,411,99,10,0,0,35,89,0,0,0,0,395,2,9,Nuno Tavares,DF
2021-2022,21,Arsenal,eng ENG,1. Premier League,5th,13.1,727,613,113,13,0,9,40,100,0,0,0,0,581,1,26,Nuno Tavares,DF
2022-2023,22,Marseille,fr FRA,1. Ligue 1,3rd,26.1,1367,1105,257,15,3,16,96,241,1,0,0,0,1058,5,41,Nuno Tavares,DF
2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,5.1,274,225,48,8,0,4,16,39,1,0,1,0,201,1,7,Nuno Tavares,DF
2024-2025,24,Lazio,it ITA,1. Serie A,4th,11.8,644,515,128,28,2,3,75,95,5,3,1,0,506,1,17,Nuno Tavares,DF
2019-2020,18,Midtjylland,dk DEN,1. Danish Superliga,1st,5.5,,,,,,,13,,,,,,,,,Gustav Isaksen,FW
2020-2021,19,Midtjylland,dk DEN,1. Danish Superliga,2nd,7.6,,,,,,,20,,,,,,,,,Gustav Isaksen,FW
2021-2022,20,Midtjylland,dk DEN,1. Danish Superliga,2nd,21.5,,,,,,,54,,,,,,,,,Gustav Isaksen,FW
2022-2023,21,Midtjylland,dk DEN,1. Danish Superliga,7th,27.0,,,,,,,87,,,,,,,,,Gustav Isaksen,FW
2023-2024,22,Midtjylland,dk DEN,1. Danish Superliga,1st,1.7,,,,,,,11,,,,,,,,,Gustav Isaksen,FW
2023-2024,22,Lazio,it ITA,1. Serie A,7th,11.9,328,311,15,3,3,1,29,9,3,2,0,0,218,2,17,Gustav Isaksen,FW
2024-2025,23,Lazio,it ITA,1. Serie A,4th,11.0,337,308,28,4,1,3,53,3,21,16,2,0,260,1,11,Gustav Isaksen,FW
2018-2019,21,Reims,fr FRA,1. Ligue 1,8th,8.3,156,145,11,0,0,0,1,0,0,0,0,0,106,0,4,Boulaye Dia,"MF,FW"
2019-2020,22,Reims,fr FRA,1. Ligue 1,6th,20.1,325,290,32,2,1,0,4,1,0,0,0,0,236,3,7,Boulaye Dia,"MF,FW"
2020-2021,23,Reims,fr FRA,1. Ligue 1,14th,32.6,621,577,42,0,1,6,14,1,0,0,0,0,488,2,15,Boulaye Dia,"MF,FW"
2021-2022,24,Villarreal,es ESP,1. La Liga,7th,14.1,253,237,15,0,1,1,1,0,0,0,0,0,189,1,6,Boulaye Dia,"MF,FW"
2022-2023,25,Salernitana,it ITA,1. Serie A,15th,28.0,589,566,20,0,2,7,6,3,0,0,0,0,449,3,30,Boulaye Dia,"MF,FW"
2023-2024,26,Salernitana,it ITA,1. Serie A,20th,12.7,244,227,16,2,2,5,1,0,0,0,0,0,204,1,5,Boulaye Dia,"MF,FW"
2024-2025,27,Lazio,it ITA,1. Serie A,4th,10.0,248,244,4,1,4,4,2,0,0,0,0,0,206,0,3,Boulaye Dia,"MF,FW"
2016-2017,22,SPAL,it ITA,2. Serie B,1st,37.0,,,,,,,,,,,,,,,,Manuel Lazzari,DF
2017-2018,23,SPAL,it ITA,1. Serie A,17th,34.6,1516,1200,312,10,3,7,169,298,4,0,0,0,1178,4,72,Manuel Lazzari,DF
2018-2019,24,SPAL,it ITA,1. Serie A,13th,31.5,1463,1260,201,9,0,7,242,192,0,0,0,0,1092,2,73,Manuel Lazzari,DF
2019-2020,25,Lazio,it ITA,1. Serie A,4th,28.3,1066,892,172,14,3,3,135,158,0,0,0,0,835,2,33,Manuel Lazzari,DF
2020-2021,26,Lazio,it ITA,1. Serie A,6th,29.0,1153,935,214,15,2,4,114,199,0,0,0,0,924,4,28,Manuel Lazzari,DF
2021-2022,27,Lazio,it ITA,1. Serie A,5th,18.5,1014,836,178,18,1,1,56,160,0,0,0,0,859,0,18,Manuel Lazzari,DF
